DATETIME,IND323,IND5088,IND5105,IND5113,IND5115,IND5117,IND5125
1491091200,68.1275,188.588,23.74825,7.177335,23.712,1050.01,10.08635
1491091800,68.0392,188.953,23.74825,-4.99333,22.7373,1049.98,9.982099999999999
1491092400,67.9945,188.939,23.63035,-4.99333,22.7373,1049.98,9.864165
1491093000,66.7497,189.193,23.53745,-4.99333,23.5262,1049.915,9.691665
1491093600,63.3618,189.249,23.53745,26.542835,23.5487,1049.915,9.542584999999999
1491094200,63.3618,188.794,23.49335,69.29565,23.5262,1049.915,9.508334999999999
1491094800,63.3618,188.943,23.53745,93.71215,23.6575,1049.93,9.508334999999999
1491095400,63.3618,189.7,23.53745,105.07849999999999,23.4605,1049.8899999999999,9.508334999999999
1491096000,63.3618,188.696,23.49335,105.767,23.3043,1049.8899999999999,9.498335
1491096600,64.1,189.277,23.3824,105.767,23.225,1049.84,9.48242
1491097200,64.778,190.199,23.34915,114.5155,23.225,1049.8899999999999,9.431999999999999
1491097800,65.2395,194.334,23.34915,118.26249999999999,23.394,1049.8899999999999,9.38975
1491098400,65.6013,191.455,23.3164,118.26249999999999,23.394,1049.8899999999999,9.3635
1491099000,65.9147,187.203,23.27675,127.4795,23.3285,1049.8899999999999,9.357415
1491099600,66.0897,186.622,23.27675,134.507,23.0708,1049.8899999999999,9.34708
1491100200,66.3955,189.78,23.19965,134.507,22.9942,1049.96,9.34708
1491100800,66.6453,188.746,23.0325,134.507,22.8133,1049.915,9.283415
1491101400,66.8283,188.53,22.903750000000002,135.41899999999998,22.601,1049.915,9.046585
1491102000,67.0575,189.088,22.70715,135.41899999999998,22.5305,1049.93,8.819500000000001
1491102600,67.1528,189.218,22.56575,123.417,22.3395,1049.93,8.6395
1491103200,67.159,188.615,22.435000000000002,101.28735,21.7912,1049.93,8.495000000000001
1491104400,67.1934,,21.7912,60.236,20.792650000000002,1049.94,8.427
1491105000,67.1934,188.446,21.3203,60.236,21.096899999999998,1050.01,8.3405
1491105600,67.19030000000001,189.172,21.3203,60.236,21.3203,1050.02,8.325
1491106200,67.126,188.646,21.3203,91.076,21.852,1050.07,8.25833
1491106800,66.94725,189.166,21.852,132.639,22.0098,1050.07,8.08933
1491107400,66.8928,189.499,21.9309,141.5145,22.0392,1050.12,8.08933
1491108000,66.8928,189.814,21.9943,142.7645,22.0098,1050.13,8.08483
1491108600,66.881,189.297,21.9943,143.89049999999997,21.9788,1050.12,8.06717
1491109200,66.8917,188.983,21.9943,155.625,21.9615,1050.12,8.06717
1491109800,66.8917,188.588,21.9943,155.625,21.9615,1050.12,8.06717
1491110400,66.9153,189.186,22.009,183.8205,22.479,1050.12,8.06717
1491111000,66.936,189.105,21.97015,149.1255,22.479,1050.12,8.07825
1491111600,67.0172,189.12,21.83165,149.1255,21.7018,1050.12,8.07825
1491112200,67.0402,188.958,22.1429,174.3465,21.7018,1050.12,8.0595
1491112800,67.2152,189.009,22.01305,159.2125,21.442,1050.11,8.025165000000001
1491113400,67.2653,188.889,21.8215,159.2125,21.9412,1050.11,8.025165000000001
1491114000,67.2858,189.248,21.69415,127.89000000000001,21.6865,1050.08,8.025165000000001
1491114600,67.339,189.013,21.56425,122.994,21.6865,1050.0549999999998,7.998415
1491115200,67.339,189.458,21.56425,102.68375,21.1458,1050.025,7.91583
1491115800,67.339,188.679,21.2939,49.71635,20.7052,1050.025,7.782665
1491116400,67.339,188.891,20.9255,4.230265,19.1903,1049.935,7.562250000000001
1491117000,67.339,189.029,19.94775,-6.065835,18.2245,1049.7649999999999,7.181915
1491117600,65.0188,187.825,19.0608,-6.065835,18.2245,1047.1399999999999,7.00625
1491118200,60.0697,188.491,19.0608,-6.065835,18.9313,1047.1399999999999,7.00625
1491118800,58.9658,189.074,19.0608,3.7476000000000003,19.8167,1046.255,7.00625
1491119400,58.9658,188.574,19.374000000000002,22.4456,20.5838,1046.255,7.00625
1491120000,58.9658,189.811,20.20025,38.4745,21.0113,1046.255,7.00625
1491120600,58.9658,188.522,20.79755,38.4745,21.277,1046.255,7.00625
1491121200,58.9658,188.666,21.124,38.4745,21.277,1046.255,7.29575
1491121800,59.7895,189.59,21.2147,31.15515,21.2367,1048.8600000000001,7.597415
1491122400,60.6015,188.884,21.25685,37.96065,21.2367,1049.815,7.676
1491123000,61.196,189.616,21.28715,37.96065,21.2973,1049.885,7.71475
1491123600,61.85,189.087,21.28715,44.82005,21.6322,1049.885,7.8315850000000005
1491124200,62.6545,188.866,21.464750000000002,64.5863,21.6763,1049.885,8.0335
1491124800,63.2172,189.493,21.65425,75.26265000000001,21.866,1049.91,8.20025
1491125400,63.7675,188.588,21.65425,75.26265000000001,21.6763,1049.91,8.281835000000001
1491126000,64.1635,189.101,21.6828,82.5701,21.6893,1049.9250000000002,8.292584999999999
1491126600,64.4495,188.601,21.77765,77.48125,21.6893,1049.915,8.36092
1491127200,64.4827,189.728,21.87805,87.7205,22.2787,1049.9050000000002,8.510835
1491127800,64.5517,190.71,22.17275,74.3955,22.3922,1049.9050000000002,8.736415000000001
1491128400,64.8927,190.271,22.33545,77.32730000000001,22.4888,1049.9050000000002,9.147
1491129000,65.1957,189.182,22.4405,93.76325,22.6245,1049.9050000000002,9.446670000000001
1491129600,65.6727,187.86,22.4673,89.418,22.6245,1049.845,9.578335
1491130200,66.1783,189.05,22.55665,89.418,22.6245,1049.76,9.79475
1491130800,66.1783,189.812,22.55665,67.49915,22.4733,1049.76,10.04335
1491131400,66.1783,189.496,22.5489,61.6255,22.4733,1049.71,10.40845
1491132000,66.1783,189.656,22.45955,24.959935,21.2287,1049.045,10.7721
1491132600,66.1783,189.491,22.0364,4.4010015,21.2287,1049.045,10.9741
1491133200,65.9563,188.787,21.64815,4.4010015,21.627,1044.615,11.1217
1491133800,63.1438,188.716,21.64815,8.1758165,21.6693,1035.9699999999998,11.2817
1491134400,60.6625,189.274,21.64815,8.1758165,22.924,1025.125,11.606750000000002
1491135000,59.7062,188.593,22.29665,17.7973,23.0362,1025.125,11.9604
1491135600,59.7062,189.221,22.9801,21.328000000000003,23.7007,1025.125,12.11135
1491136200,59.7062,189.444,23.368450000000003,21.328000000000003,23.8388,992.52,12.21585
1491136800,59.1843,189.152,23.368450000000003,19.711,23.7007,964.5799999999999,12.2889
1491137400,58.854,188.543,23.59135,8.072515000000001,23.482,964.5799999999999,12.3873
1491138000,58.1682,189.609,23.723950000000002,-7.218584999999999,23.482,938.9245000000001,12.47825
1491138600,58.1682,190.356,23.723950000000002,-7.218584999999999,23.7472,964.5799999999999,12.76295
1491139200,57.5923,189.403,23.7571,-7.218584999999999,23.767,964.5799999999999,13.061250000000001
1491139800,56.0965,189.578,23.7571,-3.3144185,23.8885,994.0,13.19865
1491140400,56.0965,189.362,23.82775,10.018816500000002,24.187,994.0,13.388649999999998
1491141000,56.0965,189.262,24.037750000000003,25.728,24.8903,1016.87,13.73255
1491141600,56.0965,189.591,24.53865,30.675849999999997,25.2102,1026.215,14.0138
1491142200,56.0965,189.142,24.930300000000003,24.51765,24.9703,1016.87,14.07965
1491142800,56.0965,189.434,24.930300000000003,24.51765,24.9703,950.4485,14.298
1491143400,56.3012,188.744,24.930300000000003,19.76615,24.3792,1001.8655,14.499099999999999
1491144000,56.3012,189.428,24.63475,6.438235000000001,24.1798,1001.8655,14.5882
1491144600,56.3012,189.326,24.56285,6.438235000000001,24.3792,1003.418,14.72175
1491145200,56.3012,189.513,24.56285,2.15792,24.7465,1013.11,14.8473
1491145800,55.852,189.427,24.2795,1.6861685000000002,24.7465,1003.418,15.0003
1491146400,55.7217,189.058,24.2795,1.6861685000000002,24.1467,993.6435,15.120999999999999
1491147000,54.2002,189.583,24.46315,1.6861685000000002,24.1467,964.2275,15.1846
1491147600,54.0618,188.937,24.7849,26.861583500000002,24.8233,946.058,15.24635
1491148200,53.5033,189.962,24.88055,3.2927485,24.9378,946.058,15.26225
1491148800,53.44,189.45,24.88055,26.483315,25.8293,946.058,15.3914
1491149400,53.44,188.926,25.38355,26.483315,25.9098,973.9214999999999,15.562100000000001
1491150000,53.44,189.464,25.744500000000002,26.483315,25.9098,973.9214999999999,15.7121
1491150600,53.4328,189.342,25.86955,3.92983,25.966,946.058,15.849
1491151200,53.394,188.279,25.928150000000002,3.92983,25.9465,975.4739999999999,15.901
1491151800,53.4328,189.701,25.95625,15.249165000000001,25.966,979.396,15.901
1491152400,53.44,189.824,25.96975,15.249165000000001,26.5788,979.396,15.901
1491153000,53.5587,188.888,26.2724,24.097,26.876,1008.6099999999999,15.882100000000001
1491153600,54.3157,188.713,26.727400000000003,24.097,27.0923,1008.6099999999999,15.882100000000001
1491154200,54.795,189.377,26.912399999999998,28.78265,27.0923,1015.93,15.882100000000001
1491154800,56.7247,188.881,27.02055,29.8848,27.0923,1020.3199999999999,15.8642
1491155400,58.5573,188.924,27.13505,25.19915,27.4293,1020.3199999999999,15.8642
1491156000,59.0365,189.136,27.2285,28.9885,27.4293,1023.04,15.8476
1491156600,59.6507,189.105,27.342,44.8411,27.4048,1026.23,15.8385
1491157200,61.105,189.15,27.417050000000003,53.8125,27.4048,1035.375,15.79425
1491157800,61.5438,189.049,27.43725,65.4755,27.4452,1043.95,15.678899999999999
1491158400,62.1728,189.059,27.438200000000002,65.4755,27.4452,1048.285,15.5978
1491159000,63.6547,189.783,27.438200000000002,74.6065,27.4452,1049.9250000000002,15.5663
1491159600,64.8908,190.17,27.4887,99.47465,27.5322,1049.97,15.47775
1491160200,65.9558,188.058,27.5475,158.536,27.8402,1050.085,15.3467
1491160800,66.8082,188.487,27.6862,218.63799999999998,27.8988,1050.1750000000002,15.1937
