DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM112,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1492041600,1.0,63.711,35.1408,483.116,70.9213,35.512065185880495,62.39779731417968,1.99533,0.8446773130149933,5.26067,1.0398399999999999,0.0,-0.7992999999999952,0.0,-0.902000000000001,0.0,1.3522999999999996,0.0,0.09269999999999357,0.0,-0.32730000000000103,0.0,-18.389999999999873,0.0,-0.7848000000000006,-0.30049999999999955,0.0,0.0,35.2963,-0.15550000000000352,2.0,46.1895,76.2467,0.06084953488747025,0.45553401562982043,0.07143943663380892,0.010927591092188216,0.8769916104290016,0.5526854734796343,0.02949980063286528,0.3525143330077648,54.899,0.044499999999999984,0.0,-1.1548999999999978,0.0,10.4663,101.1294458034818,0.04330715803466678,0.31191449807954086,0.35810385662383354,1.0,1.0,6.1,12.1,12.1,-141.1,1336.22,5.800000000000011,0.0,189.464,30.8886,30.6445,604.52,607.145,29.9053,1489.725,1465.0166666666667,21.9384,21.170077777777774,-137.35000000000002,-141.1,30.01393333333333,0.5787420531489587,0.5614269812951448,0.6474856669922352,0.9890683977426832,0.9705001993671347,0.5444659843701796,0.11488424625410398,0.4473145265203658,0.8985872254038061,0.9391504651125298,0.030433814313605034,0.9285605633661911,0.5490390245596233,0.730820223079869,0.002898695659337385,0.019054804414074825,0.8731214446624601,6.72517,75.46525714285714,29.1205,29.1205,18.6542,62.3587,35.2963,-128.53333333333333,0.9340390029122201,0.8425158937020827,0.00579739131867477,18.6542,-24.321000000000026,0.0,29.1205,70.9213,6.72517,62.3587,189.491,68.4622,35.512065185880495,-91.54530584247948,62.39779731417968,67.13243926388903,53.183940764356024,47.00337686375194,62.59969934563,477.72040691175897,1.9633149033665602,35.107011129721585,0.12300838957099841,0.002898695659337385,0.9890724089078118,0.9391504651125298,0.9705001993671347,0.4473145265203658,0.9285605633661911,0.6474856669922352,0.5787420531489587,0.5444659843701796,,0.7963770443884864,0.2795913099749592,0.5387858270178955,0.9518535845462199,0.4087266878253361,0.4411352300630871,0.896204192746114,0.7189571724740865,0.8470147737284777,0.6425631434520311
1492042200,1.0,61.8922,34.943,408.845,70.1848,35.32154940357551,62.96085791125705,1.863,0.8342135952564658,-2.33617,-7.59684,0.0,-0.5925000000000011,0.0,-0.8228000000000009,0.0,-1.818799999999996,0.0,-0.6818999999999988,0.0,0.8681000000000019,0.0,-70.33999999999992,0.0,0.40449999999999875,-0.2023400000000004,0.0,0.0,35.1408,-0.19780000000000086,2.0,45.597,74.6293,0.024360468138023172,0.4562672259873004,0.7625991017506579,0.9415589464815769,0.885710625172222,0.33787297333858846,0.024729803855993326,0.8238111696293834,54.0762,-0.13233000000000006,0.0,-0.7365000000000066,0.0,10.002699999999997,93.92596867839482,0.04951209827636164,0.24009172376981566,0.31191449807954086,1.0,1.0,4.7,8.7,8.7,-122.0,1265.88,19.099999999999994,0.0,189.491,30.36365,30.223999999999997,531.0595000000001,550.2036666666667,29.525,1472.355,1445.103,21.36175,21.005300000000002,-128.45,-122.0,29.51693333333333,0.3123710587472684,0.625595342600047,0.17618883037061664,0.9866554841857055,0.9752701961440067,0.5437327740126996,0.104085258159202,0.6621270266614115,0.8871624745648088,0.9756395318619768,0.029856466512396873,0.23740089824934205,0.6783815623809499,0.847650619230282,0.006440427011385142,0.017355100746436425,0.8760240689873663,6.52283,73.5749,29.525,,19.5223,63.711,35.1408,-125.56666666666666,0.9258797695060971,0.6247421174945368,0.012880854022770285,19.5223,-74.27099999999996,0.0,29.525,70.1848,6.52283,63.711,189.324,67.7803,35.32154940357551,-86.11981538970946,62.96085791125705,65.56906336805523,52.060543791928595,45.55507251779089,62.56697114941534,435.2843050252661,1.9201674384298557,34.914702160717226,0.11428937482777805,0.006440427011385142,0.05844105351842315,0.9756395318619768,0.9752701961440067,0.6621270266614115,0.23740089824934205,0.17618883037061664,0.3123710587472684,0.5437327740126996,,0.3440889453620419,0.8778114419251638,0.6272149438236237,0.7999789161015732,0.35252669341753395,0.45688105995832085,0.5020591757442482,0.8678965233482593,0.2775804654157457,0.4771390100899246
1492042800,1.0,62.42,34.7107,398.979,70.848,35.11722668253235,62.15879782710427,1.82333,0.7578880091029452,-1.761,0.5751700000000002,0.0,-0.42480000000000473,0.0,-0.6159000000000034,0.0,0.5277999999999992,0.0,-0.7997999999999905,0.0,-0.032099999999999795,0.0,-14.63000000000011,0.0,-0.6642999999999972,-0.024829999999999686,0.0,0.0,34.943,-0.23229999999999507,1.0,45.1722,73.241,0.06421314202133155,0.4518859640588645,0.5195470039579717,0.3471131946410898,0.9149057388455164,0.25585780502903555,0.02955276397915585,0.8883415994438196,53.4603,-0.039670000000000094,0.0,0.6632000000000033,0.0,9.3705,92.45849930969081,0.054541089566020315,0.29635891012151394,0.24009172376981566,1.0,1.0,4.3,8.899999999999999,8.899999999999999,-125.8,1251.25,-3.799999999999997,0.0,189.324,29.71515,29.874916666666664,495.2765,507.64050000000003,29.1205,1459.09,1404.017,20.9086,20.63989,-130.35,-125.8,29.168733333333336,0.2830629661795527,0.625595342600047,0.11165840055618034,0.954535545188602,0.9704472360208442,0.5481140359411355,0.104085258159202,0.7441421949709645,0.7965614189350678,0.9357868579786685,0.04564167460053764,0.4804529960420283,0.6783815623809499,0.8087071538468109,0.005854270602468988,0.017355100746436425,0.8813511178006118,6.498,73.2340375,28.8607,,19.4902,61.8922,34.943,-128.38333333333333,0.9258797695060971,0.5661259323591054,0.011708541204937976,19.4902,-9.866000000000042,0.0,28.8607,70.848,6.498,61.8922,188.949,66.9805,35.11722668253235,-86.47241383037465,62.15879782710427,65.50449440448743,51.620941985695765,44.69420209655772,62.4962394592183,431.5222537450183,1.895590602587633,34.65584233616431,0.08509426115448365,0.005854270602468988,0.6528868053589102,0.9357868579786685,0.9704472360208442,0.7441421949709645,0.4804529960420283,0.11165840055618034,0.2830629661795527,0.5481140359411355,,0.5424346014517935,0.9136807858702155,0.7267521017309211,0.7570489051876506,0.6388449464735313,0.46709504381892525,0.8413306489093783,0.8422913586030966,1.0392737573974085,0.37608053250916357
1492043400,1.0,62.8342,34.6017,294.118,71.7013,34.90109127960085,62.43089185582035,2.0245,0.6839641477192941,4.434,6.195,0.0,-0.5269999999999939,0.0,-0.3604999999999947,0.0,0.414200000000001,0.0,-0.5068000000000126,0.0,-1.8712000000000018,0.0,-117.72000000000003,0.0,-1.238000000000003,-0.84267,0.0,0.0,34.7107,-0.10900000000000176,0.0,44.6452,72.0762,0.13627198572266896,0.4080066583079385,0.16869474110220917,0.28525099879954574,0.8267050500601884,0.18371875200774757,0.025591656219842496,0.2906732141033662,53.0998,0.2011700000000003,0.0,0.8533000000000044,0.0,10.003699999999998,103.12731589745792,0.0633001080396723,0.3081851984128654,0.29635891012151394,1.0,1.0,5.9,11.8,11.8,-141.2,1133.53,-15.399999999999991,0.0,188.949,29.32275,29.341700000000003,445.9805,441.1961666666666,28.8607,1429.9,1372.3140000000003,20.47815,20.090770000000003,-138.0,-141.2,28.669466666666665,0.28388954380316794,0.625595342600047,0.7093267858966338,0.768153390266282,0.9744083437801575,0.5919933416920615,0.104085258159202,0.8162812479922524,0.6901111158721907,0.863728014277331,0.0625313384544009,0.8313052588977908,0.6783815623809499,0.8009473782485435,0.002704523024329137,0.017355100746436425,0.8813511178006118,5.65533,73.06373333333332,27.6227,,17.619,62.42,34.7107,-135.31666666666666,0.9258797695060971,0.5677790876063359,0.005409046048658274,17.619,-104.86099999999999,0.0,27.6227,71.7013,5.65533,62.42,189.54,66.4737,34.90109127960085,-89.02654402271838,62.43089185582035,65.50017251067247,51.09773711868168,43.63168997525351,62.0172631852643,285.198928567528,2.095249192339058,34.30108930467803,0.17329494993981165,0.002704523024329137,0.7147490012004543,0.863728014277331,0.9744083437801575,0.8162812479922524,0.8313052588977908,0.7093267858966338,0.28388954380316794,0.5919933416920615,,0.8723062789815154,0.3952965010165139,0.6786774099909234,0.5890747335478481,0.9955070799749628,0.30037870182530285,0.6500494027586247,0.3436077023639822,0.3365932750934956,0.32495610918787926
1492044000,1.0,62.5472,34.6,231.118,72.2708,34.77809780276535,,1.96233,0.621592921343255,1.84667,-2.58733,0.0,-0.38000000000000256,0.0,-0.16380000000000194,0.0,-0.28700000000000614,0.0,-0.890199999999993,0.0,0.37920000000000087,0.0,-67.61999999999989,0.0,-0.07519999999999882,-0.27000000000000046,0.0,0.0,34.6017,-0.0016999999999995907,0.0,44.2652,72.0762,,0.332903443514906,,,0.6551210507704717,0.13924487867924285,0.02011956859921038,0.5863963726928167,52.936,-0.06217000000000028,0.0,0.5694999999999908,0.0,9.549299999999999,97.13474486060883,0.04731557768976089,0.17202880841869167,0.3081851984128654,1.0,1.0,4.7,8.9,8.9,-119.4,1065.91,21.799999999999983,0.0,189.54,28.9906,28.763616666666667,403.91200000000003,387.2688333333333,27.6227,1373.395,1331.1960000000001,19.875799999999998,19.594520000000003,-133.45,-119.4,28.0103,0.19295987005467566,0.625595342600047,0.4136036273071832,0.6629459467183348,0.9798804314007896,0.667096556485094,0.104085258159202,0.8607551213207572,0.6457404029089755,,,,,,0.0068090963113065246,0.017355100746436425,0.8813511178006118,5.38533,72.4577111111111,,,17.9982,,34.6017,-132.73333333333332,0.9258797695060971,0.3859197401093513,0.013618192622613049,17.9982,-63.0,0.0,27.5475,72.2708,5.38533,62.8342,189.211,65.5835,34.77809780276535,-83.7518777521534,,,50.41690607815704,42.756719912696894,,237.935457936973,2.0788078601875273,33.82616570346624,0.3448789492295284,0.0068090963113065246,,,0.9798804314007896,0.8607551213207572,,0.4136036273071832,0.19295987005467566,0.667096556485094,,0.8349779958889628,0.5143503805495897,,,0.6102690631179016,0.6779295507784809,,0.713765431229641,0.2430989974940232,0.5714547857315786
1492044600,1.0,62.4145,34.5953,207.492,72.7863,34.769659116632596,,1.94317,0.6065769464681292,-1.175,-3.0216700000000003,0.0,-0.3492000000000033,0.0,-0.11019999999999897,0.0,-0.13269999999999982,0.0,-0.3534999999999968,0.0,1.1194999999999986,0.0,-15.029999999999973,0.0,0.42879999999999896,-0.06315999999999988,0.0,0.0,34.6,-0.004699999999999704,0.0,43.916,72.0762,,0.31417573665959564,,,0.6483355131114887,0.1312263695724739,0.018146550927944705,0.7184748941628324,52.8258,-0.019159999999999844,0.0,0.515500000000003,0.0,8.8586,93.92227732490315,0.026435645610718934,0.03904422248452721,0.17202880841869167,1.0,1.0,5.4,10.9,10.9,-129.5,1050.88,-10.099999999999994,0.0,189.211,28.4185,28.442116666666664,346.5485,337.278,27.6227,1345.415,1305.7127272727275,19.50625,19.55117272727273,-127.65,-129.5,27.715499999999995,0.13471611946085224,0.6247421174945368,0.2815251058371676,0.6474856669922352,0.9818534490720553,0.6858242633404044,0.09328627006430001,0.8687736304275261,0.6398455209730107,,,,,,0.005471834916448146,0.01565539707879802,0.8791713641148067,5.32217,72.0732222222222,,,19.1177,,34.6,-129.83333333333331,0.9177205360999741,0.2694322389217045,0.010943669832896291,19.1177,-23.626000000000005,0.0,27.9763,72.7863,5.32217,62.5472,189.255,65.23,34.769659116632596,-89.9175043845176,,,49.981819453992244,42.2487067799359,,220.91883407195053,2.104073421877563,33.73468922957471,0.3516644868885113,0.005471834916448146,,,0.9818534490720553,0.8687736304275261,,0.2815251058371676,0.13471611946085224,0.6858242633404044,,0.6416828700662468,0.5860128209261181,,,0.39986450660636014,0.6495040849117123,,0.7380736464831695,0.7857278092978821,0.22130217459267024
1492045200,1.0,62.3837,34.5,216.557,73.304,34.75054609419411,,1.97617,0.5945523927222746,3.549,4.724,0.0,-0.1716999999999942,0.0,0.0033999999999991815,0.0,-0.030799999999999272,0.0,-0.08100000000000307,0.0,0.9168000000000021,0.0,5.649999999999864,0.0,1.0410000000000004,0.0046600000000003305,0.0,0.0,34.5953,-0.09530000000000172,0.0,43.7443,72.0762,,0.3330959096613664,,,0.7723320421322828,0.12881892863153344,0.01755025836815649,0.6058147255222808,52.8292,0.03299999999999992,0.0,0.5177000000000049,0.0,8.982799999999997,96.7121701417496,0.04163057578334582,0.08496220735011917,0.03904422248452721,1.0,1.0,4.7,9.8,9.8,-127.9,1056.53,1.5999999999999943,0.0,189.255,28.4185,28.424916666666665,262.618,292.8515,27.9763,1301.0500000000002,1284.9475,19.50625,19.591450000000002,-126.85,-127.9,28.180366666666664,0.1420542755601145,0.6105013600224866,0.3941852744777193,0.5890151570709722,0.9824497416318435,0.6669040903386336,0.08089739541850677,0.8711810713684666,0.6240207466528459,,,,,,0.005733172735510088,0.015146095964751779,0.8769916104290016,5.32683,71.92596666666665,,,20.0345,,34.5953,-127.63333333333333,0.9140316031705191,0.284108551120229,0.011466345471020175,20.0345,9.064999999999998,0.0,29.0173,73.304,5.32683,62.4145,190.062,65.149,34.75054609419411,-89.35659060841834,,,49.827663204991524,42.05421686995945,,223.91907831516508,2.1277789624001717,33.72700361911781,0.22766795786771718,0.005733172735510088,,,0.9824497416318435,0.8711810713684666,,0.3941852744777193,0.1420542755601145,0.6669040903386336,,0.23575828971413842,0.9795678115292412,,,0.6238295791279375,0.4662235484505276,,0.209156033012676,0.6782474999434197,0.11292812580450029
1492045800,1.0,62.349,34.4992,192.493,73.7713,34.63818428211539,,1.92967,0.546869987829776,5.875,2.326,0.0,-0.042300000000004445,0.0,0.10949999999999704,0.0,-0.03470000000000084,0.0,-0.11880000000000734,0.0,0.4211999999999989,0.0,-6.389999999999873,0.0,0.2082000000000015,-0.007830000000000226,0.0,0.0,34.5,-7.999999999981355E-4,0.0,43.702,72.0762,,0.32454485376864717,,,0.5983063276924445,0.1245571680173525,0.016751561606402343,0.8764261274545947,52.9387,-0.046499999999999986,0.0,0.4672999999999945,0.0,8.7698,88.42198752807182,0.025917465689039295,0.025516395617869957,0.08496220735011917,1.0,1.0,5.7,11.4,11.4,-131.0,1050.14,-3.0999999999999943,0.0,190.062,28.4185,28.375,223.83749999999998,256.7928333333333,29.0173,1258.565,1243.9258333333332,19.50625,19.49331666666667,-128.7,-131.0,28.7397,0.11002350668868961,0.6105013600224866,0.12357387254540526,0.4087490390998172,0.9832484383935977,0.6754551462313528,0.04317450792947705,0.8754428319826475,0.5747748545401452,,,,,,0.0055378215153170885,0.015146095964751779,0.8760240689873663,5.319,71.98488888888888,,,20.4557,,34.5,-129.13333333333333,0.9140316031705191,0.22004701337737922,0.011075643030634177,20.4557,-24.063999999999993,0.0,29.2255,73.7713,5.319,62.3837,189.172,65.0302,34.63818428211539,-93.4984733901835,,,49.766542750527044,41.94787103342187,,217.69811489352486,2.1235051487667564,33.669942217975766,0.4016936723075555,0.0055378215153170885,,,0.9832484383935977,0.8754428319826475,,0.12357387254540526,0.11002350668868961,0.6754551462313528,,0.1522293891859345,0.6792811696153076,,,0.6504718010960048,0.3360524336755547,,1.0162506068931088,0.5865162252945949,0.22796513046259193
1492046400,1.0,62.318,34.4792,161.44,74.227,34.64029912270971,,2.44183,0.4980996241455545,6.40883,0.53383,0.0,0.13569999999999993,0.0,0.17249999999999943,0.0,-0.030999999999998806,0.0,-0.030199999999993565,0.0,0.31259999999999977,0.0,-0.16000000000008185,0.0,1.8521999999999998,-0.3526699999999998,0.0,0.0,34.4992,-0.020000000000003126,0.0,43.8377,72.2708,,0.33314780674405564,,,0.6369324193242152,0.12457448587855069,0.016825513950920135,0.5718293182396781,53.1112,0.51216,0.0,0.4557000000000073,0.0,10.3094,96.48408827785809,0.031799940801356334,0.015131955556311541,0.025516395617869957,1.0,1.0,4.7,9.9,9.9,-135.0,1049.98,-4.0,0.0,189.172,28.4968,28.744499999999995,212.0245,217.20299999999997,29.2255,1192.3899999999999,1209.1225,19.50625,19.496758333333336,-130.25,-135.0,29.773500000000002,0.5055402305350053,0.6273017928110676,0.42817068176032186,0.4245289181470372,0.9831744860490799,0.6668521932559444,0.0385174789506843,0.8754255141214493,0.5652664786825536,,,,,,0.0044322396458615285,0.013433857972652358,0.8760240689873663,4.96633,72.22386666666665,,,20.7683,,34.4992,-130.66666666666666,0.8993090031475705,0.9889195389299894,0.008864479291723057,20.7683,-31.052999999999997,0.0,31.0777,74.227,4.96633,62.349,190.03,65.0,34.64029912270971,-90.96356046131342,,,50.00362460366698,42.0950106270167,,167.32292638251366,2.4279364281421048,33.70239208051188,0.36306758067578476,0.0044322396458615285,,,0.9831744860490799,0.8754255141214493,,0.42817068176032186,0.5055402305350053,0.6668521932559444,,0.7167634642163058,0.7082161403979188,,,0.6896912776918444,0.815948657935299,,0.8123308224978529,0.5446678946841275,0.35955921237927335
1492047000,1.0,62.2617,34.4065,157.964,74.6083,34.634850476584305,,2.65767,0.4560839233979304,3.8505,-2.55833,0.0,0.1641000000000048,0.0,0.20600000000000307,0.0,-0.05630000000000024,0.0,0.0,1.0,-0.6325000000000003,0.0,-0.029999999999972715,0.0,0.16079999999999828,-0.1850000000000005,0.0,0.0,34.4792,-0.07269999999999754,0.0,44.0018,72.7863,,0.31485496095616383,,,0.7455948761729991,0.13381510736731672,0.017873339547115563,0.22281536068763375,53.3172,0.21584000000000003,0.0,0.381299999999996,0.0,11.102699999999999,108.91057136443018,0.03631060813622988,0.016032135218920666,0.015131955556311541,1.0,1.0,3.5,7.1,7.1,-114.3,1049.95,20.700000000000003,0.0,190.03,29.1214,29.347133333333332,199.9925,194.51066666666668,31.0777,1099.72,1171.4216666666666,19.50625,19.417225000000002,-128.7,-114.3,30.5139,0.724361347895389,0.6273017928110676,0.7771846393123663,0.5926569206842569,0.9821266604528844,0.6851450390438362,0.029539523142583207,0.8661848926326833,0.49898234844437284,,,,,,0.009384776742230433,0.013433857972652358,0.8760240689873663,4.78133,72.63353333333332,,,20.1358,,34.4792,-126.18333333333331,0.8853627314465133,0.551277304209222,0.018769553484460865,20.1358,-3.475999999999999,0.0,31.2385,74.6083,4.78133,62.318,188.745,65.0,34.634850476584305,-83.97164447878436,,,50.46188547274441,42.43248979191331,,145.04009851479898,2.581768227223594,33.54200892384583,0.25440512382700087,0.009384776742230433,,,0.9821266604528844,0.8661848926326833,,0.7771846393123663,0.724361347895389,0.6851450390438362,,0.7850690210629061,0.5746878458549541,,,0.28126430504765704,0.9587443824463103,,0.7169733462931006,0.7769232864884389,0.436494651338057
