DATETIME,IND323,IND5088,IND5105,IND5113,IND5115,IND5117,IND5125
1489795200,75.5857,189.023,25.27365,807.826,25.0227,1568.25,15.0866
1489795800,72.9365,189.411,25.1251,805.0975,24.7135,1563.825,14.89215
1489796400,71.4847,189.167,25.07975,805.0975,24.7135,1563.825,14.8595
1489797000,70.7432,189.268,25.07975,751.929,25.1368,1563.825,14.8595
1489797600,70.557,188.09,25.16,706.893,25.1832,1563.825,14.8595
1489798200,70.175,189.282,25.16,736.0065,25.512,1563.825,14.8595
1489798800,70.175,189.6,25.3476,777.3254999999999,26.0817,1557.35,14.99235
1489799400,70.175,188.966,25.7955,776.026,26.0817,1555.955,15.05395
1489800000,70.2838,189.222,26.080350000000003,730.7584999999999,26.504,1544.73,15.46895
1489800600,70.557,188.941,26.29285,722.314,26.7203,1515.845,16.0926
1489801200,70.63,189.73,26.61215,722.314,27.3438,1494.22,16.298000000000002
1489801800,70.63,189.097,26.6493,619.0899999999999,27.3438,1494.22,16.40715
1489802400,70.7668,188.684,26.6493,542.9365,26.5783,1483.4,16.40715
1489803000,70.8237,188.635,26.6493,473.0105,26.0357,1473.92,16.40715
1489803600,70.9248,189.709,26.61365,380.197,26.0357,1427.815,16.40715
1489804200,70.9428,189.629,26.524549999999998,380.197,26.4708,1370.875,16.40715
1489804800,70.9607,189.407,26.524549999999998,415.793,26.649,1368.1100000000001,16.40715
1489805400,71.0727,189.298,26.5599,415.793,27.2293,1344.29,16.265749999999997
1489806000,71.1783,188.733,26.85335,411.20500000000004,27.2293,1325.895,16.112099999999998
1489806600,71.1825,189.925,26.85335,411.20500000000004,27.0577,1289.935,16.077350000000003
1489807200,71.1943,189.009,26.843249999999998,411.20500000000004,26.6288,1223.225,16.03565
1489807800,71.3675,189.398,26.843249999999998,335.2315,25.3798,1185.53,15.85775
1489808400,71.399,188.928,26.0043,296.53999999999996,24.409,1179.6,15.54835
1489809000,71.5273,189.56,25.07865,285.606,24.409,1164.5149999999999,15.320350000000001
1489809600,71.5588,189.454,24.966250000000002,285.606,24.7775,1164.5149999999999,15.1935
1489810200,71.6097,188.63,24.966250000000002,279.9845,25.155,1164.5149999999999,14.7585
1489810800,71.7743,189.747,24.966250000000002,305.3275,25.363,1179.6,14.4721
1489811400,72.0067,189.409,25.259,305.3275,25.6328,1164.5149999999999,14.4721
1489812000,72.0067,189.407,25.4979,305.3275,26.6983,1145.325,14.4721
1489812600,72.0067,189.568,26.16555,295.83050000000003,27.236,1133.6950000000002,14.4721
1489813200,72.0067,189.317,26.96715,280.8875,27.4863,1118.025,14.4721
1489813800,72.0113,188.847,27.361150000000002,242.631,29.2212,1098.17,14.4721
1489814400,72.0117,189.215,27.361150000000002,211.44650000000001,29.2212,1098.17,14.4721
1489815000,72.0117,188.922,27.361150000000002,211.44650000000001,26.4008,1104.01,14.4721
1489815600,72.0117,189.566,26.943550000000002,211.44650000000001,24.1223,1104.01,14.4721
1489816200,72.0117,189.255,26.218249999999998,208.961,24.1223,1099.9250000000002,14.415099999999999
1489816800,72.0113,189.407,26.218249999999998,208.961,26.0357,1080.96,14.2797
1489817400,72.0113,189.828,26.1132,223.127,26.1907,1063.62,13.70845
1489818000,72.0612,189.133,25.6467,250.678,26.1907,1063.62,13.14835
1489818600,72.0612,189.461,26.1132,223.127,26.1907,1059.325,13.070699999999999
1489819200,72.0612,189.084,26.216099999999997,215.64249999999998,26.2415,1059.325,13.0396
1489819800,72.0612,189.012,26.349899999999998,228.2985,26.4583,1059.7150000000001,12.93135
1489820400,72.0612,189.681,26.349899999999998,250.678,27.0432,1069.495,12.80125
1489821000,72.0612,189.718,26.75075,282.0585,28.253,1085.87,12.650549999999999
1489821600,72.0612,188.858,27.6481,300.924,28.3303,1097.725,12.496649999999999
1489822200,72.1107,188.765,28.29165,323.6105,28.4103,1097.725,12.650549999999999
1489822800,72.368,189.656,28.3703,347.3035,29.1545,1115.37,12.80125
1489823400,72.4873,189.16,28.50925,347.3035,29.1545,1120.155,12.93135
1489824000,72.5135,189.172,28.50925,351.24649999999997,28.6082,1136.345,13.0396
1489824600,72.515,189.486,28.50925,351.24649999999997,28.1348,1136.345,13.05835
1489825200,72.5828,185.6,28.881349999999998,343.79499999999996,28.1348,1160.405,13.05835
1489827600,72.714,,28.252,253.3,28.252,1182.1,13.2068
1489828200,72.764,186.848,28.2825,153.343,28.267249999999997,1182.1,13.2417
1489828800,72.8466,187.584,28.2825,87.9715,28.2825,1106.33,13.438
1489829400,72.91059999999999,188.989,28.3295,73.3886,28.3765,1081.7,13.8
1489830000,72.9481,189.575,28.3765,58.8523,28.5072,1050.2,14.2888
1489830600,73.02885,189.528,28.441850000000002,58.829,28.7967,1050.04,14.701
1489831200,73.0895,188.976,28.644350000000003,57.17845,28.7967,1050.04,15.0187
1489831800,73.02885,189.61,28.7891,49.469350000000006,28.8197,1049.96,15.2868
1489832400,72.9682,189.477,28.8082,31.19475,28.8197,1049.92,15.4648
1489833000,72.9682,188.927,28.8921,11.683834999999998,29.1822,1049.865,15.6973
1489833600,72.9682,189.052,28.8921,-1.5272500000000004,29.1822,1049.81,15.9298
1489834200,72.7708,188.97,28.9616,-5.257835,29.1035,1047.58,16.07665
1489834800,70.6032,189.529,29.142850000000003,-6.374,29.1035,1034.33,16.445149999999998
1489835400,68.6603,188.374,29.142850000000003,-6.50375,29.1035,1021.56,16.81675
1489836000,64.9158,190.089,28.92615,-6.50375,27.9833,1007.394,17.247999999999998
1489836600,64.4957,188.435,28.92615,-6.50375,27.9833,994.0785,17.743000000000002
1489837200,62.2717,189.174,29.142400000000002,-6.479749999999999,29.1813,994.0785,18.0422
1489837800,61.452,189.098,29.21425,0.9710849999999995,29.4955,994.0785,18.17785
1489838400,61.452,188.442,29.3384,9.11942,30.0337,983.3009999999999,18.512500000000003
1489839000,61.452,190.009,29.64225,9.11942,30.0337,937.7215,18.891849999999998
1489839600,59.7313,189.275,29.64225,9.11942,29.789,895.4780000000001,19.021
1489840200,59.5373,189.407,29.64225,2.73017,28.9468,885.3340000000001,19.09415
1489840800,59.5373,189.044,29.3679,-5.3981650000000005,28.8113,873.9325,19.1645
1489841400,59.5373,189.589,28.9983,-7.829750000000001,28.9468,684.9665,19.21975
1489842000,59.5373,189.778,28.9983,-7.829750000000001,29.0498,600.7615,19.27265
1489842600,59.7313,190.102,28.9983,-7.829750000000001,29.3897,781.928,19.5479
1489843200,59.7313,189.576,29.21975,6.250749999999998,29.7578,877.5345,19.8581
1489843800,59.7313,189.244,29.57375,36.052099999999996,30.7668,931.1795,20.117350000000002
1489844400,59.7313,189.452,30.2623,66.3931,31.0717,931.1795,20.32565
1489845000,60.1062,189.882,30.919249999999998,103.80275,31.5425,931.1795,20.32565
1489846200,63.06,,31.5425,126.717,32.0061,1049.19,20.3963
1489846800,64.68525,190.549,31.5447,80.8885,32.14725,1049.19,20.4108
1489847400,66.0067,189.14,31.8248,72.6215,31.8902,1049.19,20.472
1489848000,67.79595,189.378,31.8902,35.6872,31.8902,1049.19,20.472
1489848600,69.3322,188.866,32.087,35.6872,32.087,1050.04,20.505
1489849200,69.6922,188.729,32.2495,31.67375,32.412,1050.04,20.6265
1489849800,70.00059999999999,189.563,32.2495,27.1269,32.437,1049.19,20.8438
1489850400,70.30125000000001,188.952,32.424499999999995,31.67375,32.568,1049.19,20.964
1489851000,70.3345,188.989,32.5025,34.6868,33.0347,1048.89,20.9813
1489851600,70.6645,188.918,32.80135,51.382549999999995,33.3005,1048.55,21.1303
1489852200,70.7333,189.309,33.1676,51.382549999999995,33.3145,1048.55,21.2367
1489852800,70.8577,189.942,33.307500000000005,72.74289999999999,33.7905,1048.72,21.234949999999998
1489853400,71.4413,189.387,33.5525,84.9574,33.8563,1048.72,21.2517
1489854000,71.7195,189.388,33.8234,73.2663,33.863,1049.285,21.279600000000002
1489854600,71.9345,189.033,33.8234,73.2663,33.863,1049.285,21.2954
1489855200,72.646,189.388,33.84475,57.91165,33.8332,1049.285,21.333550000000002
1489855800,72.9962,188.672,33.84475,34.37125,33.7608,1048.52,21.3798
1489856400,73.2057,189.323,33.8481,29.43275,33.8332,1049.285,21.3918
1489857000,73.2527,188.913,33.87625,24.0215,33.9193,1049.71,21.40605
1489857600,73.5087,189.138,33.87625,18.044649999999997,34.0022,1049.285,21.40605
1489858200,73.7302,188.832,33.888149999999996,14.357999999999999,33.9193,1048.915,21.40605
1489858800,74.1663,188.977,33.93555,11.816949999999999,33.9518,1048.915,21.3918
1489859400,74.2155,188.505,33.93555,10.6321,33.857,1048.915,21.3918
1489860000,74.7875,189.701,33.888149999999996,5.595835,33.3582,1048.915,21.3918
1489860600,75.2468,189.478,33.6076,0.5184185,33.3315,1048.06,21.38015
1489861200,75.2468,189.673,33.344849999999994,-2.1440815,33.1718,1047.4850000000001,21.342399999999998
1489861800,75.2468,188.441,33.25165,-2.1440815,32.726,1047.4850000000001,21.2643
1489862400,75.3703,189.367,33.0554,-3.019915,32.726,1048.6399999999999,21.203
1489863000,75.4138,188.685,32.845150000000004,-0.35741500000000004,32.7513,1049.5349999999999,21.18395
1489863600,75.543,188.927,32.73865,-3.653335,32.7513,1049.56,21.139699999999998
1489864200,75.543,189.339,32.6235,-3.653335,32.3025,1048.6399999999999,21.100749999999998
1489864800,75.543,189.108,32.514250000000004,-3.653335,31.705,1048.6399999999999,21.0803
1489865400,75.3703,188.673,32.2046,-5.3394200000000005,31.705,1048.4099999999999,21.03825
1489866000,75.1252,186.839,32.046499999999995,-5.3394200000000005,31.9863,1049.56,21.000500000000002
1489866600,75.1252,188.398,32.046499999999995,-5.3394200000000005,32.1067,1049.56,20.97675
1489867200,74.2185,189.146,31.84565,14.872014999999998,31.9863,1049.56,20.95635
1489867800,74.2185,189.956,31.82075,77.50784999999999,30.2842,1049.8899999999999,20.93235
1489868400,74.2025,189.408,31.13525,274.851,29.5582,1049.995,20.90885
1489869000,74.1593,189.357,29.9212,387.1105,29.2328,1050.46,20.833
1489869600,73.9893,189.466,29.3955,387.1105,29.124,1054.68,20.64865
1489870200,73.8608,189.37,29.1784,434.3775,28.9547,1072.72,20.3275
1489870800,73.8608,189.414,29.03935,453.80899999999997,28.948,1138.625,19.945700000000002
1489871400,73.8608,188.667,28.951349999999998,456.83050000000003,28.4265,1235.205,19.753
1489872000,73.8608,190.243,28.68725,499.53100000000006,28.153,1283.085,19.6635
1489872600,73.7363,189.095,28.289749999999998,550.088,27.8373,1300.67,19.4252
1489873200,73.6683,188.951,27.99515,637.9085,27.7197,1317.215,19.08585
1489873800,73.4302,189.71,27.7785,637.9085,27.4355,1339.5,18.742
1489874400,73.4098,189.38,27.5776,708.7,27.136,1360.4050000000002,18.42885
1489875000,73.3415,189.353,27.28575,708.7,26.9497,1382.145,18.12525
1489875600,73.0057,189.613,27.04285,722.1485,26.8338,1432.335,17.7973
1489876200,72.9673,189.58,26.891750000000002,691.7915,26.7172,1464.955,17.61075
1489876800,72.5763,188.928,26.7755,661.675,26.4985,1464.955,17.4825
1489877400,72.4687,189.321,26.63535,661.675,26.4985,1464.955,17.34305
