DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND45384,IND45385,IND45386,IND45387,IND45388,IND45389,IND45390,IND45392,IND45393,IND45394,IND45397,IND45398,IND45399,IND45400,IND45401,IND45402,IND45403,IND45426,IND45427,IND45463,IND45464,IND45465,IND45466,IND45467,IND45468,IND45469,IND45470,IND45471,IND45510,IND45511,IND45512,IND45513,IND45514,IND45515,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5106,IND5114,IND5118,IND5126,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND63786,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM19789,SYM1994,SYM246,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1495843200,1.0,63.3732,35.6712,274.581,75.5907,36.113996731630316,62.80133462713325,2.22483,0.16282131204734462,2.053,0.5405,0.0,0.0,1.0,0.0,1.0,0.011499999999998067,0.0,-0.10419999999999163,0.0,0.15580000000000283,0.0,14.160000000000082,0.0,0.3940000000000019,-0.08800000000000008,0.0,0.0,35.8282,-0.15700000000000358,0.0,43.4,0.608934892459503,0.11109255881753954,0.007171424783141478,0.20486324294862723,0.9256644873296994,0.2543999802299314,0.02536018832353737,0.08954589314037442,53.4,0.23532999999999982,0.0,75.5907,75.6807,75.4307,75.4307,0.25,0.25,0.27640000000000003,77.1912,77.1912,71.3173,71.3173,5.873899999999992,5.873899999999992,5.793966666666664,9.2667,9.2667,9.793366666666666,0.6949999999999932,0.0,75.1268,75.6622,74.9343,75.4825,75.2623,75.7668,0.5353999999999957,0.5482000000000085,0.5045000000000073,75.4307,75.6807,0.010900000000006571,-0.05329999999999302,0.0,0.0,0.0,1.0,9.2667,112.57794574256909,0.04760020365138853,0.3012457439436361,0.28537536332176144,1.0,1.0,6.4,13.3,13.3,-146.3,1114.68,-8.100000000000023,0.0,189.108,28.761783333333334,264.96166666666664,1097.684166666667,18.728658333333335,-146.3,28.517200000000003,0.4851367047388364,0.8410476420197166,0.9104541068596256,0.9242491695961178,0.9746398116764626,0.8889074411824605,0.030771927675608685,0.7456000197700686,0.2961834069832554,0.391065107540497,0.5876860714209429,0.9928285752168585,0.2301491993318311,0.4223253955922727,0.0025317329534850475,0.010068209120811149,0.9151737141689128,5.44067,75.30597777777777,28.8012,19.5345,63.3617,35.8282,-142.56666666666666,0.620965337938093,0.9702734094776728,0.005063465906970095,19.5345,0.04760020365138853,10.894000000000005,0.0,28.8012,75.5907,5.44067,63.3617,189.803,66.3345,36.113996731630316,-95.70158103701215,62.80133462713325,66.54674058798538,51.38246616264243,42.91724733295478,60.077713668564975,243.90301154355916,2.215273381473041,33.22264815171792,0.07433551267030063,0.0025317329534850475,0.7951367570513728,0.391065107540497,0.9746398116764626,0.7456000197700686,0.9928285752168585,0.9104541068596256,0.4851367047388364,0.8889074411824605,,,,0.27659089870229203,0.3827769413708479,0.25204025580568873,1.3220570192350247,0.5949883953345971,1.0090355755986575,0.8913076475251505,0.5144654928483309,0.3318386474251076,0.5712238775501021
1495843800,1.0,63.4338,35.5467,252.524,75.7813,35.93632028526008,,2.14417,0.13890252852999063,0.503167,-1.549833,0.0,0.03399999999999892,1.0,0.0,2.0,0.060600000000000875,0.0,0.11079999999999757,0.0,-0.18870000000000076,0.0,-27.62000000000012,0.0,0.06700000000000017,-0.07899999999999974,0.0,0.0,35.6712,-0.12449999999999761,0.0,43.434,,0.1331602755062521,,,0.8907815543873111,0.24642129646857547,0.025352745634848795,0.17230788455031032,53.4,-0.08065999999999995,0.0,75.7813,75.948,75.6125,75.6125,0.33549999999999613,0.33549999999999613,0.2776499999999989,77.1152,77.1152,71.2912,71.2912,5.823999999999998,5.823999999999998,5.81013333333333,9.522400000000001,9.522400000000001,9.575716666666667,-0.4439999999999884,0.0,75.2783,75.7813,75.0785,75.6125,75.3497,75.948,0.5030000000000001,0.5339999999999918,0.5982999999999947,75.6125,75.948,0.18179999999999552,0.26729999999999166,0.0,0.0,0.19060000000000343,1.0,9.522400000000001,108.08356400951516,0.05513114384137778,0.26097071444189,0.3012457439436361,1.0,1.0,8.2,15.6,15.6,-145.7,1087.06,0.6000000000000227,0.0,189.803,28.672733333333333,276.32466666666664,1090.9225,18.791833333333336,-145.7,28.6922,0.33777202339526546,0.8410476420197166,0.8276921154496897,0.8976718135711482,0.9746472543651512,0.8668397244937479,0.030771927675608685,0.7535787035314245,0.29556966125666706,,,,,,0.003307762957706979,0.010068209120811149,0.9151737141689128,5.36167,75.40353333333333,,19.3458,,35.6712,-142.79999999999998,0.620965337938093,0.6755440467905309,0.006615525915413958,19.3458,0.05513114384137778,-22.057000000000016,0.0,28.8682,75.7813,5.36167,63.3732,189.359,66.4453,35.93632028526008,-100.12715872549319,,,51.39111708810837,42.92370250025854,,233.63774345724667,2.1850481783253017,33.28185993611814,0.1092184456126889,0.003307762957706979,,,0.9746472543651512,0.7535787035314245,,0.8276921154496897,0.33777202339526546,0.8668397244937479,,,,0.3448933272066109,0.5472149703956171,,,0.6540413904921879,1.0636067692200661,,0.7053250918836227,0.5014972151914869,0.47936467723738646
1495844400,1.0,63.3303,35.4357,196.791,75.769,35.802889360801636,,2.1965,0.13890252852999063,3.05833,2.5551630000000003,0.0,-0.03349999999999653,1.0,0.06419999999999959,2.0,-0.10349999999999682,0.0,-0.37400000000000944,0.0,0.17190000000000083,0.0,-37.07999999999993,0.0,0.2012999999999998,-0.22233999999999998,0.0,0.0,35.5467,-0.1110000000000042,0.0,43.4005,,0.15162130908799198,,,0.8677006020205067,0.25530552583325683,0.025274844933345753,0.38179842546569254,53.4642,0.05232999999999999,0.0,75.769,75.8508,75.6228,75.6228,0.22800000000000864,0.22800000000000864,0.27045000000000147,77.1,77.1,71.1822,71.1822,5.9178,5.9178,5.833899999999997,9.5518,9.5518,9.436016666666667,0.2939999999999827,0.0,75.5597,75.7813,75.349,75.6228,75.4947,75.948,0.22159999999999513,0.27379999999999427,0.4532999999999987,75.6228,75.8508,0.010300000000000864,-0.09719999999998663,0.0,0.0,-0.012299999999996203,1.0,9.5518,101.74318484520091,0.028611706195165516,0.022870935576838784,0.26097071444189,1.0,1.0,6.0,12.6,12.6,-145.3,1049.98,0.39999999999997726,0.0,189.359,28.6826,269.3705,1090.2216666666666,18.874391666666668,-145.3,28.912966666666666,0.2817975542537864,0.8410476420197166,0.6182015745343075,0.8514167291417095,0.9747251550666542,0.848378690912008,0.030771927675608685,0.7446944741667432,0.294359192955697,,,,,,0.002514032881399498,0.009887709340130814,0.9151737141689128,5.13933,75.48877777777777,,19.5177,,35.5467,-142.43333333333334,0.620965337938093,0.5635951085075728,0.005028065762798996,19.5177,0.028611706195165516,-55.733000000000004,0.0,29.0695,75.769,5.13933,63.4338,189.653,66.0713,35.802889360801636,-94.20988302079485,,,51.4222638837615,42.93098742328934,,193.4193433195662,2.2689721113069212,33.34915245918557,0.13229939797949333,0.002514032881399498,,,0.9747251550666542,0.7446944741667432,,0.6182015745343075,0.2817975542537864,0.848378690912008,,33.00007418444151,,0.5911930198429675,0.4995038758367847,,,0.6369918030767742,1.0552309087929226,,0.5997471922646297,0.7803433042123192,0.4465216032662577
1495845000,,63.3,35.322,212.708,,35.67083959631036,,2.057,0.13890252852999063,3.419,,0.0,,1.0,,2.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,43.4022,,,,,0.8552372973623658,,,0.36856378764647924,53.5,,0.0,75.8808,,75.7443,,0.1501999999999981,,0.26036666666666736,77.0167,,71.1,,5.916700000000006,,,9.546700000000001,,9.381583333333333,,0.0,75.5907,75.8808,75.4198,75.7443,75.6807,75.948,,,,75.7443,75.8945,,,0.0,0.0,,1.0,,,0.03597648603188393,0.03662385593297164,,1.0,1.0,7.1,13.7,,-145.2,1051.38,,0.0,189.653,,,,,,,,,,0.8085540656888252,0.9747211529800293,0.8305404177166866,0.030771927675608685,0.7388176107107454,0.2885816619226529,,,,,,,,,,75.58216666666667,,,,35.4357,-144.01666666666665,,0.3225853091515533,0.005813087221381559,19.4758,,,0.0,29.0225,75.8808,5.22583,,189.182,65.9173,,-96.4235111289363,,,,,,208.29312939974267,2.1958348030211097,,,0.0029065436106907793,,,,,,0.6314362123535208,0.16129265457577666,,,33.00007418444151,,,0.41650220972957347,,,,,,0.5426002399463542,0.842951472094809,
1495845600,,63.3422,35.2568,219.083,76.0788,35.57459888396875,,2.33767,0.147006050692557,6.26567,2.84667,0.0,-0.002200000000001978,1.0,0.06020000000000181,2.0,0.042200000000001125,0.0,0.020700000000005048,0.0,0.02319999999999922,0.0,1.7899999999999636,0.0,-0.10699999999999932,-0.16166000000000036,0.0,0.0,35.322,-0.06520000000000437,0.0,43.4,,0.18481418712511932,,,0.819111955296132,0.2623521887881405,0.02521223283882501,0.066663427123698,53.5602,0.2806700000000002,0.0,76.0788,,75.9282,,0.15059999999999718,0.15059999999999718,0.23808333333333326,77.0,,71.0442,,5.955799999999996,5.955799999999996,5.881366666666665,9.416500000000003,,9.388766666666667,0.37300000000001887,0.0,75.5907,76.0788,75.4198,75.9282,75.6807,76.0468,,,,75.9282,76.0468,0.1839000000000084,0.15230000000001098,0.0,0.0,0.1980000000000075,1.0,9.416500000000003,118.61015202450973,0.03624009462557536,0.0969785929296131,,1.0,1.0,7.8,16.3,,-141.5,1053.17,3.6999999999999886,0.0,189.182,28.84735,236.56233333333336,1086.1133333333332,19.055491666666665,-141.5,29.0025,0.4479405188387817,0.8857396648841209,0.933336572876302,0.8085540656888252,0.974787767161175,0.8151858128748807,0.030295067847800033,0.7376478112118595,0.27106646722150374,,,,,,0.00485315633485551,0.00948799035342197,0.9151737141689128,5.06417,75.68794444444444,,19.499,,35.322,-143.7,0.620965337938093,0.8958810376775634,0.00970631266971102,19.499,0.03624009462557536,6.375,0.0,28.9155,76.0788,5.06417,63.3,189.555,65.938,35.57459888396875,-101.87026037442968,,,51.55127919153533,42.99169255558073,,184.7084724709976,2.343230303581975,33.526715364112576,0.180888044703868,0.00485315633485551,,,0.974787767161175,0.7376478112118595,,0.933336572876302,0.4479405188387817,0.8151858128748807,,33.00007418444151,,0.7049221341107208,0.4304402814676698,,,0.6792169566558152,0.8178916864904185,,0.4192747880613062,0.554709303099746,0.2533137419471188
1495846200,1.0,63.3308,35.1518,211.356,,35.517140041820866,,2.58767,0.16500001398448302,0.700167,,,,,,,,,,,,,,,,,,,,,,43.4555,,,,,0.8739357137325543,,,0.051268002235884014,53.6085,,,,76.2408,,76.0022,0.23859999999999104,,,,76.926,,70.9382,5.987800000000007,,,,9.678,9.497016666666667,,,,,,,,,0.5835000000000008,0.5715000000000003,0.5600999999999914,76.0022,76.2408,,,,,,,,122.95876584125595,0.040045525261287226,,0.0969785929296131,1.0,1.0,,27.3,27.3,-139.8,1052.23,,,,,,,,,,0.8904831077338857,,0.948731997764116,0.8897636090071416,0.9728976146141385,0.77949712225907,0.028663836238049994,0.7216281263357874,0.2765733191278205,,,,,,0.017259802585392944,,,,,,,,,,,0.21903378453222855,0.03451960517078589,19.7207,,,,29.3987,76.1742,4.96867,,189.986,65.9878,35.517140041820866,,,,51.66962523843604,43.08690630325866,,,,33.61821969224096,0.12606428626744576,,,,0.9728976146141385,0.7216281263357874,,,,0.77949712225907,,,,0.3948807947073679,,,,0.6865202213341806,0.8372979358939139,,,,0.31993776615430536
1495846800,1.0,63.2587,35.062,241.243,76.3147,35.3663147857751,,2.1765,0.18097553591466783,-4.87167,-5.571837,0.0,0.11599999999999966,0.0,0.09150000000000347,1.0,-0.07210000000000605,0.0,0.060000000000002274,0.0,-0.14339999999999975,0.0,18.460000000000036,0.0,0.014299999999998647,0.28615999999999975,0.0,0.0,35.1518,-0.08980000000000388,0.0,43.5715,,0.23541618219181315,,,0.8150892051719175,0.26121264795833066,0.027027384168586854,0.10596031612182044,53.7,-0.41117000000000026,0.0,76.3147,76.3147,76.1377,76.1377,0.1770000000000067,0.1770000000000067,0.2133166666666663,76.861,76.861,70.8352,70.8352,6.025800000000004,6.025800000000004,5.937983333333335,9.8357,9.8357,9.59185,-0.36599999999998545,0.0,75.769,76.3147,75.6125,76.1377,75.8508,76.2955,0.5456999999999965,0.5251999999999981,0.44469999999999743,76.1377,76.2955,0.1354999999999933,0.05470000000001107,0.0,0.0,0.14050000000000296,0.0,9.8357,112.50797218438395,0.043826156126839495,0.257283753525802,0.0673912644603047,1.0,1.0,10.8,21.1,21.1,-143.5,1070.69,-3.6999999999999886,0.0,189.986,29.11456666666667,222.28416666666664,1085.6116666666667,19.245566666666665,-143.5,29.242399999999996,0.32856765587803066,0.8407967899558053,0.8940396838781796,0.9063505011142641,0.9729726158314131,0.7645838178081868,0.027174319321040058,0.7387873520416693,0.2689712888360184,,,,,,0.006344560548416228,0.011943418990052097,0.9151737141689128,5.25483,75.87137777777777,,19.5773,,35.1518,-143.5,0.5708618017428708,0.6571353117560613,0.012689121096832456,19.5773,0.043826156126839495,29.887,0.0,29.413,76.3147,5.25483,63.3308,189.62,66.0478,35.3663147857751,-111.81108227222472,,,51.751894980548414,43.15172426939702,,214.423027378574,2.226993302977322,33.68997777256073,0.1849107948280825,0.006344560548416228,,,0.9729726158314131,0.7387873520416693,,0.8940396838781796,0.32856765587803066,0.7645838178081868,,,,0.4809524283990198,0.47434731382086887,,,0.6026980330766456,0.8670978942750118,,0.3843594304983576,0.7727618405666099,0.4698533619239803
1495847400,1.0,63.5542,34.9517,290.993,76.5135,35.25223868116399,62.773705417179876,1.975,0.21158070508697735,-0.0806667,4.7910033,0.0,0.09799999999999898,0.0,0.021299999999996544,0.0,0.2955000000000041,0.0,0.3944000000000045,0.0,0.2251999999999974,0.0,61.97000000000003,0.0,-0.12049999999999983,0.4639999999999995,0.0,0.0,35.062,-0.11029999999999518,0.0,43.6695,0.7383801724829406,0.2644853597260296,0.0012190318342517603,0.12787069892878822,0.8165694378224199,0.26103201202785886,0.02896128421926336,0.3656632856187063,53.7213,-0.2014999999999998,0.0,76.5135,76.5135,76.328,76.328,0.18549999999999045,0.18549999999999045,0.18831666666666536,76.855,76.855,70.8167,70.8167,6.038300000000007,6.038300000000007,5.973700000000003,9.490000000000002,9.490000000000002,9.586450000000001,-0.6380000000000052,0.0,75.769,76.5135,75.6228,76.328,75.8508,76.4387,0.744499999999988,0.7052000000000049,0.5878999999999905,76.328,76.4387,0.19030000000000769,0.1431999999999931,0.0,0.0,0.19879999999999143,0.0,9.490000000000002,101.67018401409968,0.038552641012235024,0.2931695902356581,0.257283753525802,1.0,1.0,7.0,13.8,13.8,-142.4,1132.66,1.0999999999999943,0.0,189.62,29.185283333333334,228.69566666666665,1092.3491666666669,19.347925,-142.4,29.368066666666667,0.2662589441960576,0.6709418630319135,0.6343367143812937,0.9063505011142641,0.9710387157807366,0.7355146402739704,0.027174319321040058,0.7389679879721411,0.26234766107568935,0.2616198275170593,0.6736575324712218,0.9987809681657482,0.008319942714867856,0.23255287766679938,0.0034890267676072856,0.00948799035342197,0.8928322081149265,5.71883,75.96596666666666,29.2925,19.8025,63.2587,35.062,-142.95,0.37848976601088924,0.5325178883921152,0.006978053535214571,19.8025,0.038552641012235024,49.75,0.0,29.2925,76.5135,5.71883,63.2587,188.982,66.4422,35.25223868116399,-97.25686176708024,62.773705417179876,66.91648077317349,51.835213995840334,43.22621292641095,59.71439548530912,286.21272088938576,2.0508915916775745,33.77134815512046,0.18343056217758014,0.0034890267676072856,0.8721293010712118,0.2616198275170593,0.9710387157807366,0.7389679879721411,0.9987809681657482,0.6343367143812937,0.2662589441960576,0.7355146402739704,,33.00007418444151,33.00007418444151,0.5954641251678481,0.17226718386663498,0.8011863857824337,1.5587209254177972,0.6512405799181317,0.9559382996652852,0.6368776298003328,0.7061641839912289,0.3940614092012624,0.644164474222052
1495848000,1.0,63.9067,34.7442,292.279,76.6237,35.12137955317307,62.875522081290356,1.772,0.23168785607909237,2.03467,2.1153367000000003,0.0,0.13629999999999853,0.0,0.07869999999999777,0.0,0.35249999999999915,0.0,0.37879999999999825,0.0,0.2718000000000025,0.0,1.7799999999999727,0.0,-0.4147999999999996,0.17284000000000077,0.0,0.0,34.9517,-0.20750000000000313,0.0,43.8058,0.7405374204679609,0.309161067175733,0.0,0.04829015303780271,0.8873400508722853,0.24623721828996914,0.0276380315017154,0.8191544130742181,53.8,-0.20300000000000007,0.0,76.6237,76.7313,76.4508,76.4508,0.2805000000000035,0.2805000000000035,0.1970666666666645,76.9,76.9,70.9,70.9,6.0,6.0,5.987400000000003,8.8034,8.8034,9.461716666666668,0.26300000000000523,0.0,75.8808,76.6237,75.7443,76.4508,75.8945,76.7313,0.7429000000000059,0.7065000000000055,0.8368000000000109,76.4508,76.7313,0.12279999999999802,0.2926000000000073,0.0,0.0,0.11020000000000607,0.0,8.8034,92.90983516780962,0.037229172713339344,0.3030838833439511,0.2931695902356581,1.0,1.0,5.9,11.5,11.5,-131.2,1134.44,11.200000000000017,0.0,188.982,29.15331666666667,244.6103333333333,1097.2016666666668,19.469091666666664,-131.2,29.1944,0.1421441553574357,0.6709418630319135,0.1808455869257819,0.9063505011142641,0.9723619684982846,0.690838932824267,0.027174319321040058,0.7537627817100309,0.26205372044333464,0.2594625795320391,0.7389194844791958,1.0,0.007745683749004667,0.2187080603077133,0.0054996566785296,0.010676063185222155,0.8928322081149265,5.89167,76.08074444444443,28.8777,20.0743,63.5542,34.9517,-140.60000000000002,0.37848976601088924,0.2842883107148714,0.0109993133570592,20.0743,0.037229172713339344,1.2860000000000014,0.0,28.8777,76.6237,5.89167,63.5542,189.245,66.821,35.12137955317307,-92.97561310718896,62.875522081290356,67.29360201637864,51.88424960233839,43.273226749963854,59.845463282829044,314.5834878213901,1.9196165102507226,33.842901982286435,0.11265994912771476,0.0054996566785296,0.9517098469621973,0.2594625795320391,0.9723619684982846,0.7537627817100309,1.0,0.1808455869257819,0.1421441553574357,0.690838932824267,,,33.00007418444151,0.6148771709160045,0.784333915438413,0.6320662248778532,1.8801948139281373,0.8161708944770489,1.065012926945547,1.0115560095003606,0.6640499270457758,0.7813859998200448,0.5331290839147378
1495848600,1.0,63.9115,34.6642,260.616,76.5908,34.894530927054056,,1.76117,0.2572180653424755,4.76617,2.7314999999999996,0.0,0.09420000000000073,0.0,0.047800000000002285,0.0,0.004799999999995919,0.0,-0.048699999999996635,0.0,0.15970000000000084,0.0,-37.99000000000001,0.0,0.010600000000000165,-0.16984000000000066,0.0,0.0,34.7442,-0.0799999999999983,0.0,43.9,,0.3328709561868388,,,0.733143150488629,0.23667154850326377,0.02758901499278621,0.8341464028142632,53.8478,-0.010830000000000117,0.0,76.5908,76.5908,76.411,76.3287,0.2621000000000038,0.2621000000000038,0.21571666666666545,76.9,76.9,70.9,70.9,6.0,6.0,6.001283333333335,8.6543,8.6543,9.312983333333335,0.39099999999999113,0.0,76.0788,76.6237,75.9282,76.4508,76.0468,76.7313,0.5448999999999984,0.5225999999999971,0.6844999999999999,76.411,76.3287,-0.03979999999999961,-0.40260000000000673,0.0,0.0,-0.03289999999999793,0.0,8.6543,91.65429893250852,0.032637984700698904,0.2957161205156039,0.3030838833439511,1.0,1.0,6.1,12.7,12.7,-121.6,1096.45,9.599999999999994,0.0,189.245,29.130950000000002,252.59499999999997,1091.9366666666665,19.594175,-121.6,29.0195,0.13817041662984816,0.6709418630319135,0.16585359718573675,0.9063505011142641,0.9724109850072138,0.6671290438131612,0.027467357591055036,0.7633284514967362,0.2612050832910616,,,,,,0.009814745792910952,0.012266669161889142,0.8928322081149265,5.72183,76.19186666666667,,20.234,,34.7442,-136.66666666666669,0.37848976601088924,0.27634083325969633,0.019629491585821904,20.234,0.032637984700698904,-31.66300000000001,0.0,28.8883,76.5908,5.72183,63.9067,189.636,66.7723,34.894530927054056,-95.79010727142787,,,51.92796655201286,43.30903889809944,,284.3467279062489,1.9178119410660541,33.89177895689829,0.26685684951137106,0.009814745792910952,,,0.9724109850072138,0.7633284514967362,,0.16585359718573675,0.13817041662984816,0.6671290438131612,,,,0.5309267253931274,0.8222182215189474,,,0.8997129697434034,1.1332202148409654,,0.767281706833196,0.9796870544440781,0.27394686670157503
