DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM1994,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1491702000,1.0,58.51,35.586,156.372,70.4297,35.99665994439145,,2.63683,0.971515286404395,0.351167,-6.187163,0.0,-0.028300000000001546,0.0,0.2723000000000013,0.0,0.1056999999999988,0.0,0.22149999999999892,0.0,-0.7043999999999997,0.0,1.3500000000001364,0.0,0.06550000000000011,0.5391699999999995,0.0,0.0,35.735,-0.1490000000000009,0.0,42.4,68.7768,,,,,49.7175,-0.5205000000000002,0.0,0.7244000000000028,0.0,13.2884,98.0817499641784,0.09960616223014043,0.011709713126258733,0.0033127151862977575,1.0,1.0,9.9,19.1,19.1,-129.5,1051.14,-14.299999999999997,0.0,189.318,30.6831,31.16713333333333,64.48075,119.22043333333332,31.1742,1049.955,1050.1242857142859,20.9976,20.01644285714286,-90.3,-129.5,31.16713333333333,0.6306016524555212,0.6319670654332017,0.496071020855629,0.8253384927236285,0.7281636801132092,0.8773011168036869,0.8351949903807994,0.666747281862128,0.7635181182364688,,,,,,0.0092734844303833,0.11037420027405605,0.10180311915632408,4.771,68.54186,,,17.9513,,35.735,-111.83333333333333,0.8253384927236285,0.7387966950889575,0.0092734844303833,17.9513,42.735000000000014,0.0,31.2397,70.4297,4.771,58.4043,189.848,61.8665,35.99665994439145,-104.71009736618618,,,49.471836690570676,42.24587446309464,,159.43027123507736,2.5897900882044667,33.285892370320994,0.10180311915632408,0.0092734844303833,,,0.7281636801132092,0.666747281862128,,0.496071020855629,0.6306016524555212,0.8773011168036869,,0.7573557663069135,0.7544414735386407,,,0.6574936127992781,0.40037162738308524,,0.6102427085415079,0.3668401096870928,0.8569192290649074
1491702600,1.0,58.6198,35.4892,144.805,,,,2.79317,0.9557435493167703,6.21233,,,,,,,,,,,,,,,,,,,,,,42.316,70.24395,,,,,49.9548,,,,,12.827200000000001,,0.10245117096298484,0.0068074084903227226,,,,8.5,18.3,18.3,-131.8,1049.77,,,,29.99585,30.558,67.1529,144.805,30.558,1049.77,1049.77,20.9587,17.7308,-109.2,-131.8,30.558,,,,,,0.9557435493167703,,,,,,,,,0.00787963725847066,0.00787963725847066,,,,,,17.7308,,,-131.8,,,0.00787963725847066,17.7308,,,30.558,70.9237,4.60433,,189.151,61.9343,,-102.6675215542275,,,,,,,,31.877094602427793,,0.00787963725847066,,,,,,,,0.9557435493167703,,,0.7897463709225129,,,,,,,,0.7779109288796127
1491703200,1.0,58.4928,35.3695,67.4645,71.2558,35.80261682838062,,3.49267,0.9628144234522784,-0.901,-7.1133299999999995,0.0,-0.016000000000005343,0.0,0.2717000000000027,0.0,-0.12699999999999534,0.0,-0.38810000000000144,0.0,0.3948999999999998,0.0,0.07999999999992724,0.0,0.8496999999999986,-0.7706599999999999,0.0,0.0,35.4892,-0.11969999999999459,0.0,42.3,69.5642,,,,,50.2265,0.6995,0.0,0.33209999999999695,0.0,13.282,101.89180944127418,0.11417388559787357,0.0028690645367843064,0.0068074084903227226,1.0,1.0,4.0,8.6,8.6,-104.1,1049.85,27.700000000000017,0.0,189.151,31.13085,31.09342,100.64465,113.98616000000003,31.2397,1049.92,1050.07,20.528750000000002,19.3993,-109.65,-104.1,31.068466666666666,0.8187027342723571,0.5963571888812831,0.5757314306610507,0.7800776362222716,0.756282497079108,0.9061302944779616,0.8335136163975105,0.618351214845479,0.7610630423915188,,,,,,0.014574537889352849,0.0975700733963396,0.0953135155882332,3.83367,69.62582,,,18.1257,,35.4892,-114.28,0.7800776362222716,0.36259453145528586,0.014574537889352849,18.1257,-77.3405,0.0,31.4077,71.2558,3.83367,58.6198,189.621,61.5462,35.80261682838062,-83.368641380734,,,49.916570597696236,42.428462031296206,,66.21189707979764,3.3791998129754357,32.79273439483936,0.07584470488396058,0.014574537889352849,,,0.756282497079108,0.618351214845479,,0.5757314306610507,0.8187027342723571,0.9061302944779616,,0.9653024265338699,0.6554351626128895,,,0.7662393914050339,0.5851548148765683,,0.6615071776061703,0.5211900206329054,0.4188125299179521
1491703800,1.0,58.2462,35.2205,33.5102,,,,3.68917,0.9578322282482029,7.12267,,,,,,,,,,,,,,,,,,,,,,42.3993,70.9237,,,,,50.4107,,,,,12.681899999999999,,0.09352684215574292,0.0030873925869318673,,,,3.8,7.5,7.5,-87.4,1050.11,,,,30.75835,30.75835,89.1576,89.1576,30.75835,1049.77,1049.94,18.2768,18.0038,-109.60000000000001,-87.4,30.75835,,,,,,0.9578322282482029,,,,,,,,,0.17873111400975147,0.17873111400975147,,,,,,18.2768,,,-109.60000000000001,,,0.17873111400975147,18.2768,,,30.9587,71.453,3.44067,,189.191,61.0757,,-81.40747150896249,,,,,,,,31.411738647970864,,0.17873111400975147,,,,,,,,0.9578322282482029,,,0.744610896326849,,,,,,,,0.8262257688727623
1491706200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9237,,,,,,,,,,,,,-5.108178399323354,,,,0.0,,0.0,,,,,,29.410600000000002,,14.773599999999998,,27.8625,1037.545,,18.0038,,-79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491707400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.00135,,,,,,,,,,,,,-1.7228331080809132,,,,0.1,,47.0,,,,,,27.42765,,-3.87925,,27.42765,1049.77,,18.2623,,-70.94999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491708600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3678,,,,,,,,,,,,,0.05609510103716111,,,,5.6,,12.399999999999999,,,,,,28.105600000000003,,35.3101,,28.3487,1048.9650000000001,,17.6518,,-90.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491709200,1.0,58.633,34.2075,128.961,66.207,,,3.45983,0.9578322282482029,-3.52217,,,,,,,,,,,,,,,,,,,,,,40.8157,65.3678,,,,,47.7428,,,,,11.319000000000003,184.1484780901797,0.1944558159891331,0.006410705275716035,0.05609510103716111,1.0,1.0,9.7,18.4,18.4,-132.5,1049.7,,,189.36,27.8625,27.6915,74.5832,128.961,28.0201,1049.7,1049.86,17.5728,17.46003333333333,-109.9,-132.5,27.6915,0.38149676127887727,0.7629935225577545,0.9817883822742217,0.9817883822742217,0.9177366965727858,0.8896738450015864,0.9177366965727858,0.7583034838026129,0.7583034838026129,,,,,,0.006991130828128262,0.17873111400975147,,3.74717,66.207,,,16.3725,,,-132.5,0.9817883822742217,0.7629935225577545,0.006991130828128262,16.3725,,,27.6915,66.207,3.74717,,189.21,61.9163,,-100.42833683458178,,,46.679214831392564,40.25650162508041,,70.03098876377695,3.482869339429835,31.65804404835624,,0.006991130828128262,,,0.9177366965727858,0.7583034838026129,,0.9817883822742217,0.38149676127887727,0.8896738450015864,,,0.5143451179786266,,,0.7470241855525602,0.8504695545691195,,0.5041579627641459,0.1487616782432184,0.8238129855418943
1491709800,1.0,59.5407,34.1308,138.768,66.728,34.441412097645554,,3.25117,0.9449067448056425,-6.118,-2.5958300000000003,0.0,-0.6649000000000029,0.0,-0.4643000000000015,0.0,0.9076999999999984,0.0,1.6154999999999973,0.0,-0.5179999999999989,0.0,2.3299999999999272,0.0,-0.375,0.34416,0.0,0.0,34.2075,-0.07670000000000243,0.0,40.1508,65.3678,,,,,47.2785,-0.20866000000000007,0.0,0.5210000000000008,0.0,11.462000000000002,149.34343361098578,0.16936081909794615,0.01723677277699308,0.006410705275716035,1.0,1.0,12.0,22.7,22.7,-141.6,1052.03,-9.099999999999994,0.0,189.21,27.504,27.504,101.77210000000001,133.86450000000002,27.6915,1049.7,1050.4225,17.5728,17.157375000000002,-121.2,-141.6,27.504,0.60520650789491,0.7895869842101799,0.9620762971303383,0.9817883822742217,0.8414496772502427,0.8949196475846776,0.9177366965727858,0.625494127692458,0.7583034838026129,,,,,,0.006184822840161934,0.13769196997965183,0.14392477441184506,4.09133,66.4675,,,15.8545,,34.2075,-137.05,0.9817883822742217,0.7895869842101799,0.006184822840161934,15.8545,9.806999999999988,0.0,27.3165,66.728,4.09133,58.633,189.157,63.5318,34.441412097645554,-108.24972366178548,,,46.709124147500596,40.24615576303232,,92.91871536947986,3.206006797298235,31.52888619829851,0.14392477441184506,0.006184822840161934,,,0.8414496772502427,0.625494127692458,,0.9620762971303383,0.60520650789491,0.8949196475846776,,0.7610834324282286,0.6630934958417928,,,0.872330249342623,0.930762442780316,,0.5114706105028742,0.16621026358061045,0.3990975127645214
1491710400,1.0,59.535,33.9438,213.756,67.2485,34.32372523236819,,2.69617,0.9450764388175568,-6.096,0.02200000000000024,0.0,-0.4180999999999955,0.0,-0.18549999999999756,0.0,-0.005700000000004479,0.0,-0.07179999999999609,0.0,-0.28829999999999956,0.0,9.690000000000055,0.0,-0.34450000000000003,0.6698399999999998,0.0,0.0,34.1308,-0.1869999999999976,0.0,39.7327,65.78739999999999,,,,,47.093,-0.5550000000000002,0.0,0.5205000000000126,0.0,11.405800000000001,130.6234997703312,0.11911714977621046,0.11306036918644584,0.01723677277699308,1.0,1.0,12.0,25.1,25.1,-149.9,1061.72,-8.300000000000011,0.0,189.157,27.3165,27.326666666666668,128.961,160.495,27.3165,1049.7,1053.39,17.0005,16.5175,-132.5,-149.9,27.326666666666668,0.6969997446601519,0.7895869842101799,0.9707586532018855,0.9817883822742217,0.7687289838448254,0.9068090705256181,0.9177366965727858,0.5086639196356505,0.7583034838026129,,,,,,0.0046919696536985534,0.13579611821434567,0.14392477441184506,4.76117,66.72783333333334,,,15.5662,,34.1308,-141.33333333333331,0.9817883822742217,0.6060005106796962,0.0046919696536985534,15.5662,74.988,0.0,26.972,67.2485,4.76117,59.5407,189.746,63.46,34.32372523236819,-112.52160781112269,,,46.774481902621226,40.273216705198436,,163.64283637770887,2.629148890739666,31.09905326449993,0.08960948998874926,0.0046919696536985534,,,0.7687289838448254,0.5086639196356505,,0.9707586532018855,0.6969997446601519,0.9068090705256181,,0.5945747990631844,0.3861945257926966,,,1.0887847350909898,0.8613344361985806,,0.5820995973566929,0.7867402022579753,0.6221364395634087
