DATETIME,IND1,IND10,IND12,IND13,IND15,IND16,IND1679,IND1680,IND1681,IND1682,IND1683,IND2,IND2006,IND228,IND229,IND230,IND263,IND264,IND265,IND266,IND267,IND268,IND269,IND27,IND270,IND271,IND272,IND273,IND274,IND275,IND276,IND277,IND278,IND279,IND28,IND280,IND281,IND282,IND2820,IND2821,IND2822,IND2823,IND283,IND284,IND285,IND286,IND287,IND288,IND289,IND3,IND30,IND305,IND31,IND314,IND322,IND323,IND324,IND325,IND326,IND331,IND332,IND333,IND334,IND335,IND3657,IND367,IND372,IND373,IND374,IND376,IND377,IND379,IND380,IND381,IND382,IND385,IND4,IND407,IND410,IND447,IND448,IND4710,IND4711,IND4712,IND4713,IND5,IND6,IND670,IND671,IND672,IND673,IND7,IND700,IND737,IND738,IND740,IND8,IND87,IND88,IND89,IND9,MOD1,MOD3,MOD4,MOD420,MOD5,MOD55,MOD6,MOD7,MOD8,RES1,RES3,RES4,RES442,RES5,RES55,RES6,RES7,RES8,UNC1,UNC3,UNC4,UNC443,UNC5,UNC55,UNC6,UNC7,UNC8
1488585600,1.0,67.4117,33.3,1596.47,1966.186333333333,1982.7091666666668,7.558833,19.3195,33.3,33.31166,33.36267,5.06833,-0.5539722627973536,7.24,2.4913334,-1.9883326699999997,0.0,43.208830000000006,-0.03100000000000591,0.0,55.22267000000001,0.07699999999999818,0.0,1679.5403333333336,-1.6591600000000142,0.0,74.169,-0.24799999999999045,0.0,3.243499,-0.11133299999999968,0.0,1679.915,-2.9239999999995234,1680.4186666666662,0.0,21.444670000000002,-2.1251700000000007,12.20668,12.93583,-0.7291499999999989,0.0,0.0,33.36267,-0.051009999999998,0.0,190.08800000000002,0.27770000000001005,0.0,43.075,20.479503333333334,9.791662,20.471865,0.5030007300000001,99.02057333333336,99.02057333333336,43.17783,55.299670000000006,73.921,19.3195,3.1321660000000002,190.36570000000003,33.31166,7.558833,120.0,1676.9910000000004,0.0,-0.6971881689470107,1.4908068745668643,0.0,1.357892130018655,0.0,-0.5638187432949973,0.15899716275252113,-0.00923287104662256,1.0848818368601627,55.2967,10.7017,10.0,-2.2328290000000006,0.0,98.85784000000001,99.22367,-0.36582999999998833,0.0,1677.07,3.03333,1938.3670000000002,1964.68,-26.312999999999874,0.0,19.2383,98.8817,-0.32363768338426624,0.3463521301223305,60.0,10.7017,69.48433000000001,67.82517,192.558,73.605,189.9616688194618,71.41294808661013,59.13633769126164,3.8897728726930927,42.32952693626311,68.46170775945171,1755.7142787551177,3.99997476710352,33.89425342089628,1.357892130018655,1.4908068745668643,-0.6971881689470107,0.3963259914134216,0.0,-0.32363768338426624,0.0,0.0,0.0,0.824427647456912,0.537973224516852,0.4801426241872292,0.9636121607695509,0.5156140596261124,0.3534062147385063,0.9676400710490198,0.28143160711581305,1.0581407595874799
1488585660,1.0,67.2267,33.3,1918.14,1968.1579999999997,1980.070833333333,7.6654990000000005,19.25484,33.3,33.31166,33.36267,7.27333,-0.615286050990445,7.99167,2.5183334,-1.5718326699999996,0.0,43.22950000000001,-0.08167000000000968,0.0,55.242670000000004,0.046999999999997044,0.0,1679.2793333333334,-1.6488199999999864,0.0,74.21133,-0.3636600000000101,0.0,3.2343320000000007,-0.12216600000000044,0.0,1678.6009999999999,-1.6839999999995143,1680.3347499999995,0.0,21.239000000000004,-1.9841600000000028,12.250340000000001,12.5635,-0.3131599999999981,0.0,0.0,33.36267,-0.051009999999998,0.0,189.7917,0.6681000000000097,0.0,43.0,20.461169999999996,8.924829,20.41756,0.9465007300000002,99.02170333333335,99.02170333333335,43.14783,55.28967,73.84767,19.25484,3.112166,190.4598,33.31166,7.6654990000000005,120.0,1676.9170000000004,0.0,-0.7476567241419918,1.5137977603314958,-0.06131378819309141,0.0,0.0,-0.5687441505792727,0.15899716275252113,-0.010254767516507416,1.0894565530052884,55.2,12.0633,10.0,-1.2593300000000003,0.0,98.76634000000001,99.2105,-0.44415999999998235,0.0,1673.38,3.0,1938.3770000000004,1956.5469999999998,-18.16999999999939,0.0,18.8367,98.2,-0.41129666506731155,0.3398124769854268,60.0,12.0633,69.37216,67.72334000000001,190.908,73.49,189.86210734323842,71.27495720084549,59.09010624645662,6.371673480580341,42.27022676262152,68.37820957974733,1980.0137224700895,6.5162399884498825,33.89013133787372,0.0,1.5137977603314958,-0.7476567241419918,0.0,0.0,-0.41129666506731155,-13.473283806577015,0.0,-0.06131378819309141,0.4840137938841934,0.6031559441365683,0.4924679515354977,0.2717880453450587,0.5301221619416521,0.39779815720647604,1.6191677798121475,0.25281029241382935,0.9518024432581917
1488585720,1.0,67.2,33.3,2036.52,1968.077333333333,1980.5864999999997,7.471166000000001,19.20684,33.3,33.31166,33.36267,7.15667,-0.6033575892502157,5.05667,1.9968336999999998,-0.5329992699999995,0.0,43.24700000000001,-0.12667000000001138,0.0,55.25884000000001,0.020829999999996573,0.0,1678.9833333333333,-1.5943100000000072,0.0,74.23366,-0.45499000000000933,0.0,3.2256649999999993,-0.13299899999999942,0.0,1678.9250000000002,-2.5809999999999036,1680.2848333333327,0.0,20.962500000000002,-1.7556600000000024,12.27117,12.32867,-0.057500000000000995,0.0,0.0,33.36267,-0.051009999999998,0.0,190.27800000000002,-0.11820000000000164,0.0,43.0,20.430726666666665,8.526829,20.360755,1.4638344300000004,99.03396222222224,99.03396222222224,43.120329999999996,55.27967000000001,73.77866999999999,19.20684,3.092666,190.15980000000002,33.31166,7.471166000000001,120.0,1676.3440000000003,0.0,-0.7087356341975406,1.4644612981534877,0.0,0.0,0.0,-0.5733910123079079,0.15899716275252113,-0.010055959820836928,1.0915448273314057,55.2,12.55,10.0,-1.0556629999999982,0.0,98.83200000000001,99.17466999999999,-0.34266999999998404,0.0,1673.28,3.0,1950.5810000000001,1947.6859999999997,2.8950000000004366,0.0,18.5417,99.5833,-0.3283290085880708,0.3374124390577111,60.0,12.55,69.23132000000001,67.63701,188.758,73.415,189.8491570991983,71.24929366302351,59.05118515651217,7.384805055966165,42.21072288887467,68.27670989691094,2049.9014722642014,7.548604989724446,33.88791882395297,0.0,1.4644612981534877,-0.7087356341975406,0.0,0.0,-0.3283290085880708,0.0,0.0,0.0,0.6469033301371867,0.6275267264520166,0.46549295172492305,0.8236001374101969,0.5057933171255519,0.39888499962845636,1.6908830240239134,0.5956985544814993,1.1711994641925318
1488585780,1.0,67.245,33.3,1808.98,1962.114333333333,1977.4311666666663,6.715833000000001,19.11601,33.3,33.31216,33.362170000000006,4.02167,-0.5603182769812065,1.28,1.5176667,0.36416773000000013,0.0,43.257000000000005,-0.15667000000000542,0.0,55.268840000000004,8.300000000076579E-4,0.0,1678.8173333333334,-1.5072999999999865,0.0,74.24466,-0.529989999999998,0.0,3.219332,-0.14733300000000016,0.0,1679.7939999999999,-4.071999999999662,1680.2219166666662,0.0,20.691000000000003,-1.5749900000000032,11.97417,12.407670000000001,-0.43350000000000044,0.0,0.0,33.362170000000006,-0.05001000000000744,0.0,190.23170000000002,-0.30760000000000787,0.0,43.0,20.36356,8.769496000000002,20.298978333333334,1.88183443,99.03083333333338,99.03083333333338,43.10033,55.26967000000001,73.71467,19.11601,3.071999,189.9241,33.31216,6.715833000000001,120.0,1675.7220000000002,0.0,-0.6540801746333207,1.451303733250274,0.0,0.0,0.0,-0.5776120017646126,0.15192494213366103,-0.009338637949686776,1.0926034042099853,55.2,10.7617,10.0,-2.053663000000001,0.0,98.98184,98.99066999999998,-0.008829999999974802,0.0,1679.9,2.98333,1925.2450000000006,1953.8029999999999,-28.55799999999931,0.0,18.2717,99.0717,-0.16155841936966198,0.3365148922834352,60.0,10.7617,69.07098,67.56368000000002,189.055,73.4267,189.92745512478385,71.27415122792672,58.99652969694795,3.985170424437996,42.1446028836033,68.15493930769253,1855.9929763437337,4.078694227509822,33.882338713250135,0.0,1.451303733250274,-0.6540801746333207,0.0,0.0,-0.16155841936966198,0.0,0.0,0.0,0.6937151500632227,0.6936545919292804,0.4930021582811971,0.9636121607695509,0.5355849312031955,0.4901449041243678,0.9278517032428196,0.33056801148883735,0.7230950800143416
1488585840,1.0,67.1667,33.3,2054.29,1962.8719999999996,1978.2544999999996,6.6880000000000015,18.994510000000002,33.3,33.31183000000001,33.35483000000001,9.25167,-0.49589032852732906,4.95333,0.5886667000000001,2.1838337300000004,0.0,43.257000000000005,-0.18316999999999695,0.0,55.27884,-0.01916999999999547,0.0,1679.0930000000003,-1.4177999999999855,0.0,74.24015999999999,-0.5889899999999813,0.0,3.2078320000000007,-0.15783300000000056,0.0,1679.617,-3.6519999999998163,1680.325666666666,0.0,20.471,-1.4764899999999983,11.962330000000001,12.392840000000001,-0.43050999999999995,0.0,0.0,33.35483000000001,-0.04299999999999926,0.0,190.08870000000002,-0.10050000000001091,0.0,42.935,20.287893333333333,8.670666000000002,20.239783333333335,2.7725004300000005,99.0374266666667,99.0374266666667,43.07383000000001,55.25967000000001,73.65117000000001,18.994510000000002,3.049999,189.9882,33.31183000000001,6.6880000000000015,120.0,1675.9650000000001,0.0,-0.6114177881888931,1.4714676805766729,0.0,0.0,0.0,-0.5813723093056395,0.15192494213366103,-0.008264838808788817,1.0932792750044467,55.2,12.8033,10.0,-1.982666000000001,0.0,99.06601,98.90833999999998,0.1576700000000244,0.0,1685.69,2.94333,1923.9010000000003,1960.5829999999999,-36.68199999999956,0.0,18.45,99.1117,-0.1143213721247065,0.335879773549409,60.0,12.8033,68.90214999999999,67.48435,190.943,73.3833,189.85237096621327,71.21058728060032,58.953867310503526,7.929594349523965,42.08372874985315,68.0294022604476,2032.3380005129734,8.042760508923195,33.86779602743685,0.0,1.4714676805766729,-0.6114177881888931,0.0,0.0,-0.1143213721247065,0.0,0.0,0.0,0.8425087893723187,0.7422616172870599,0.46502295440919206,0.5518120920646811,0.5123352405570932,0.41441080851512085,0.5848301144737079,0.9407767993422748,0.7196804655678807
1488585900,1.0,67.1483,33.3,2072.98,1963.189333333333,1979.971833333333,6.956667000000002,18.902340000000002,33.3,33.30183000000001,33.35483000000001,10.885,-0.4395819596778523,3.725,-0.10499959999999989,3.17033333,0.0,43.257000000000005,-0.21316999999999098,0.0,55.28884000000001,-0.04034000000000049,0.0,1679.1526666666668,-1.2963100000000054,0.0,74.21716,-0.6306499999999886,0.0,3.2048320000000006,-0.17699900000000035,0.0,1680.2020000000002,-3.8350000000002638,1680.3861666666662,0.0,20.254000000000005,-1.3516600000000025,12.10933,12.357510000000001,-0.2481800000000014,0.0,0.0,33.35483000000001,-0.05299999999999727,0.0,189.73630000000003,0.7915999999999599,0.0,42.9,20.220503333333333,8.565166000000001,20.184228333333333,3.0653337300000003,99.04455666666671,99.04455666666671,43.043830000000014,55.24850000000001,73.58651000000002,18.902340000000002,3.027833,190.5279,33.30183000000001,6.956667000000002,120.0,1676.367,0.0,-0.5846858270743702,1.4161497713777642,0.0,0.41285253373297337,0.0,-0.5849012352521773,0.13127940843223626,-0.007326365994630871,1.0931644090212234,55.1883,13.8617,10.0,-1.6084989999999992,0.0,99.10751,98.92117999999999,0.18633000000001232,0.0,1683.12,2.97167,1924.3540000000003,1967.825,-43.470999999999776,0.0,18.76,99.9167,0.0,0.335879773549409,60.0,13.8617,68.70782000000001,67.41151,191.37,73.3067,189.89017097374625,71.18930518979924,58.91543534938899,10.28263024114768,42.027278681510644,67.88571968428428,2053.349409614814,10.516285429071806,33.862618548609845,0.41285253373297337,1.4161497713777642,-0.5846858270743702,0.0,0.0,0.0,0.0,0.0,0.0,0.8110159906475716,0.7718267670602222,0.4254840689536232,2.6108124355894877,0.4789858334730643,0.3429941147243066,0.7755510030202526,1.1514612679637404,1.0417421936026634
1488585960,1.0,67.1617,33.3217,2071.62,1966.4466666666667,1980.666833333333,7.291334000000001,18.82551,33.3217,33.30217000000001,33.349990000000005,9.97667,-0.43064535239113866,4.97,-0.12083289999999987,3.65649993,0.0,43.257000000000005,-0.24316999999999211,0.0,55.29767000000001,-0.06700000000000728,0.0,1678.8640000000003,-1.1669800000000095,0.0,74.18233000000001,-0.6586499999999944,0.0,3.1911660000000004,-0.17483300000000046,0.0,1679.496,-3.0770000000002256,1680.277666666666,0.0,20.01733,-1.1918199999999999,12.248159999999999,12.37701,-0.12885000000000169,0.0,0.0,33.349990000000005,-0.04781999999999442,0.0,189.649,1.0855000000000246,0.0,42.9,20.153003333333334,8.388166,20.12967333333333,3.53566703,99.03661222222226,99.03661222222226,43.01383000000001,55.23067,73.52368000000001,18.82551,3.016333,190.73450000000003,33.30217000000001,7.291334000000001,120.0,1676.4189999999999,0.0,-0.6064232771677602,1.4089329956762562,0.0,0.26867925634238077,0.0,-0.588535687038047,0.10942962214637125,-0.007177422539852311,1.0928829305213217,55.1217,13.7933,10.0,-1.0968319999999991,0.0,99.03484,98.96400999999999,0.07083000000001505,0.0,1674.7,2.98667,1933.563,1965.7730000000001,-32.210000000000036,0.0,18.88,98.2583,0.0,0.335879773549409,60.0,13.7933,68.50899000000001,67.34201,191.163,73.2967,189.88675470140075,71.18652196550073,58.87057279948238,10.128506861688717,41.971854753681185,67.73735001730608,2063.719204837292,10.396881821104895,33.85298073273506,0.26867925634238077,1.4089329956762562,-0.6064232771677602,0.0,0.0,0.0,0.0,0.0,0.0,0.8185135945411098,0.7659242015787557,0.402811541464993,0.5518120920644525,0.46568756132694966,0.329451874597656,1.1240243972035757,1.1266412811712838,1.203128052582983
1488586020,1.0,67.1117,33.3933,1915.19,1962.8760000000002,1979.152166666666,7.336667000000002,18.77885,33.3933,33.31150000000001,33.33516,5.84333,-0.37887987221799335,3.115,-0.002832569999999857,3.8476662700000004,0.0,43.24033,-0.2493299999999934,0.0,55.300000000000004,-0.08933000000001101,0.0,1678.734666666667,-1.0106499999999983,0.0,74.13600000000001,-0.6726600000000076,0.0,3.176333,-0.1758329999999999,0.0,1678.867,-2.189000000000078,1680.1364999999994,0.0,19.720660000000006,-0.9418100000000074,12.249830000000001,12.26468,-0.014849999999999142,0.0,0.0,33.33516,-0.023659999999992465,0.0,189.68830000000003,1.0718999999999994,0.0,42.9,20.06656,7.996666000000001,20.066146666666665,3.8448337000000006,99.0402977777778,99.0402977777778,42.99100000000001,55.21066999999999,73.46334,18.77885,3.0005,190.76020000000003,33.31150000000001,7.336667000000002,120.0,1676.6779999999999,0.0,-0.6040062732487321,1.427182203078555,0.0,0.0166294427646676,0.0,-0.5921584177840673,0.10970677952578238,-0.006314664536966556,1.093274135228965,55.1,11.4867,10.0,-0.6599989999999991,0.0,99.01734,98.95250999999999,0.06483000000001482,0.0,1670.51,2.94167,1928.6270000000002,1962.6140000000005,-33.98700000000031,0.0,18.4067,99.1567,0.0,0.335879773549409,60.0,11.4867,68.28666,67.27601,190.975,73.2683,189.89426204236872,71.13987275809843,58.81881868603457,5.246646105192993,41.906720930071096,67.56727189300548,1917.0058685305012,5.401212227424306,33.83531170581669,0.0166294427646676,1.427182203078555,-0.6040062732487321,0.0,0.0,0.0,0.0,0.0,0.0,0.717867580998899,0.8551467512870677,0.42035220887531566,0.2717880453450587,0.4839492452154655,0.396969598627013,0.7748860089881296,0.9760010655028118,1.132530919167827
1488586080,1.0,67.0383,33.3333,1602.78,1950.5756666666666,1972.5798333333328,7.471337,18.661179999999998,33.3333,33.31483000000001,33.32083,10.4917,-0.29550530709886047,9.47833,0.008000730000000145,4.74416597,0.0,43.220330000000004,-0.255829999999996,0.0,55.300000000000004,-0.10933000000001414,0.0,1678.3780000000002,-0.8619899999999916,0.0,74.06700000000001,-0.6569999999999965,0.0,3.1638330000000003,-0.1743330000000003,0.0,1679.682,-4.269000000000233,1680.081416666666,0.0,19.52333,-0.8621500000000033,12.1965,12.29618,-0.09967999999999932,0.0,0.0,33.32083,-0.005999999999993122,0.0,189.9325,0.9114000000000146,0.0,42.835,19.95556,8.062166000000001,19.994951666666672,4.7521667,99.03453888888893,99.03453888888893,42.96450000000001,55.19066999999999,73.41000000000001,18.661179999999998,2.9895,190.84390000000002,33.31483000000001,7.471337,120.0,1675.4129999999998,0.0,-0.5321213100447357,1.4324744984744981,0.0,1.8459165248481497,0.0,-0.5950463472960567,0.1404720549399182,-0.004925088451647674,1.0936512144405952,55.1,12.22,10.0,-0.5908290000000012,0.0,98.95034000000001,98.97151,-0.021169999999983702,0.0,1674.73,2.98167,1904.6989999999998,1945.1150000000002,-40.416000000000395,0.0,17.87,98.8,0.0,0.335879773549409,60.0,12.22,68.08483,67.22284,192.702,73.2083,189.83100382837893,71.07458046270247,58.74952313223988,6.692367449009442,41.83365323486039,67.40465744039119,1852.3140706295783,6.8347183542681895,33.81355764071132,1.8459165248481497,1.4324744984744981,-0.5321213100447357,2.3406684613723017,0.0,0.0,-137.86228646492071,2.381544407464386,0.0,1.3659594683427783,1.0104657941448303,0.5305628843881652,2.4708004122292193,0.5862548505576215,0.550066876360962,1.5480765181063292,0.19872014067374316,0.9557143673510492
1488586140,1.0,66.8867,33.3,1661.95,1939.1489999999997,1967.5574999999994,7.957504,18.60134,33.3,33.31483000000001,33.31166,9.60667,-0.230916500801138,6.55167,-0.12883256999999984,5.564999570000001,0.0,43.20033,-0.2658300000000011,0.0,55.300000000000004,-0.12933000000000305,0.0,1678.2340000000002,-0.7771499999999776,0.0,73.99433,-0.6451600000000042,0.0,3.1488329999999998,-0.16699899999999968,0.0,1677.339,0.04899999999997817,1680.078166666666,0.0,19.397170000000003,-0.7958300000000023,12.2235,12.38068,-0.15718000000000032,0.0,0.0,33.31166,0.003170000000004336,0.0,190.20620000000002,0.5529999999999688,0.0,42.8,19.866003333333328,7.959333000000001,19.939395,5.436167000000001,99.0022577777778,99.0022577777778,42.9345,55.17067,73.34917,18.60134,2.981834,190.7592,33.31483000000001,7.957504,120.0,1677.388,0.0,-0.46377148858537875,1.433920219419278,0.0,0.0,0.0,-0.5973522835854238,0.1404720549399182,-0.0038486083466856337,1.0941430268865335,55.1,11.9933,10.0,-0.0018290000000007467,0.0,98.81218000000001,98.84384,-0.03165999999998803,0.0,1681.5,2.97667,1873.8919999999998,1962.9850000000004,-89.09300000000053,0.0,18.7583,97.1417,0.0,0.335879773549409,60.0,11.9933,67.93682999999999,67.15968000000001,189.16,73.0917,189.84269904953572,70.95653474175772,58.685890801257415,6.230299803770124,41.778251479139705,67.28406745968567,1876.3916159393789,6.327454373307758,33.79877540048541,0.0,1.433920219419278,-0.46377148858537875,2.4068476145925577,0.0,0.0,-120.01768184751876,1.8431344904527,0.0,0.8926039734807582,1.104149823468159,0.6180035228185827,0.5518120920646811,0.674896227420561,0.6792986680360925,1.3555596361137363,0.24216193757481538,0.8169623495541273
