DATETIME,IND323,IND5088,IND5105,IND5113,IND5115,IND5117,IND5125,SYM157
1490265600,65.0932,189.093,17.84535,242.0025,18.2128,1089.2150000000001,2.8834150000000003,
1490266200,65.1148,189.265,18.164250000000003,242.75100000000003,18.2128,1099.655,2.8843300000000003,
1490266800,65.1148,189.309,18.3604,279.6985,18.508,1099.655,2.89608,
1490267400,65.3347,189.201,18.50885,279.6985,18.5097,1109.685,2.98408,
1490268000,65.404,189.897,18.3604,256.3435,18.5097,1109.685,3.1335800000000003,
1490268600,65.4283,189.897,18.47025,284.6745,18.4325,1109.685,3.2740799999999997,
1490269200,65.4283,189.117,18.50885,277.471,18.4325,1109.685,3.41825,
1490269800,65.4685,189.562,18.5835,273.5725,18.8092,1112.24,3.615835,
1490270400,65.5177,189.304,18.65945,273.5725,19.1837,1125.1950000000002,3.982415,
1490271000,65.5722,189.528,18.77145,265.0175,19.1837,1125.1950000000002,4.255915,
1490271600,65.603,189.134,18.996450000000003,307.87649999999996,19.4055,1128.0500000000002,4.35675,
1490272200,65.6062,189.457,19.294600000000003,307.87649999999996,19.5875,1142.1750000000002,4.449915,
1490272800,65.6345,189.683,19.358249999999998,320.33500000000004,19.5875,1149.29,4.49208,
1490273400,65.6518,189.395,19.39685,340.464,19.3882,1151.65,4.565329999999999,
1490274000,65.7613,189.505,19.434600000000003,350.14,19.3882,1169.5,4.7813300000000005,
1490274600,66.0273,189.499,19.53425,350.14,19.481,1169.5,4.984915,
1490275200,66.0273,189.898,19.53425,350.14,20.1658,1181.86,5.156085,
1490275800,66.0748,189.506,19.54635,334.8705,20.1658,1170.835,5.339585,
1490276400,66.0748,189.429,19.58135,363.8265,19.6117,1181.86,5.401165000000001,
1490277000,66.0748,189.788,19.587249999999997,390.7885,19.5628,1191.82,5.48108,
1490277600,66.0748,189.212,19.587249999999997,444.326,19.551,1206.185,5.58225,
1490278200,66.0177,188.998,19.587249999999997,444.326,19.5628,1206.185,5.617084999999999,
1490278800,65.937,189.623,19.587249999999997,438.9,19.8275,1206.185,5.638415,
1490279400,65.911,189.43,19.695149999999998,438.9,20.1973,1205.28,5.697749999999999,
1490280000,65.8705,190.48,20.0124,461.284,20.5473,1235.255,5.756085,
1490280600,65.8705,190.211,20.0124,402.02200000000005,20.5473,1231.22,5.79075,
1490281200,65.8705,189.116,20.16505,369.564,20.1328,1231.22,5.874165,
1490281800,65.8705,189.525,20.16505,402.02200000000005,20.06,1257.565,5.965415,
1490282400,65.8705,189.159,20.139499999999998,396.72400000000005,20.1328,1250.7150000000001,6.008335,
1490283000,65.9478,189.311,20.139499999999998,424.65650000000005,20.1462,1257.565,6.044169999999999,
1490283600,66.0273,189.26,20.0964,396.72400000000005,20.1462,1250.7150000000001,6.076499999999999,
1490284200,66.0273,188.989,20.0964,355.61400000000003,19.9875,1225.755,6.110329999999999,
1490284800,66.0273,189.308,20.103099999999998,376.72,19.9875,1201.245,6.138249999999999,
1490285400,66.0718,189.514,20.14785,347.173,20.1495,1201.85,6.198085,
1490286000,66.0907,189.422,20.3479,347.173,20.5463,1201.85,6.257085,
1490286600,66.0907,188.957,20.191499999999998,347.173,20.5463,1218.495,6.312835,
1490287200,66.0907,188.989,20.191499999999998,380.214,20.2335,1218.495,6.381,
1490287800,66.1193,189.383,20.191499999999998,420.5045,20.13,1237.99,6.499665,
1490288400,66.1287,189.53,20.33475,448.3665,20.13,1252.1,6.499665,
1490289000,66.159,188.967,20.33475,585.88,20.436,1252.625,6.499665,
1490289600,66.1878,189.467,20.18175,647.021,20.436,1269.795,6.499665,
1490290200,66.2737,188.943,20.0775,733.109,20.025,1269.795,6.499665,
1490290800,66.3078,189.568,19.96775,665.761,19.8193,1269.795,6.499665,
1490291400,66.5238,189.745,20.2305,665.761,19.8193,1269.795,6.486915,
1490292000,66.5238,190.316,20.2141,486.4145,20.4032,1269.795,6.16525,
1490292600,66.5238,189.357,20.2141,384.0685,20.5962,1269.795,5.926335,
1490293200,66.5238,189.323,20.499699999999997,302.82,20.5962,1269.795,5.84542,
1490293800,66.5238,189.707,20.56195,302.82,20.5962,1322.5549999999998,5.757334999999999,
1490294400,66.4565,188.932,20.56195,302.82,20.5277,1322.2649999999999,5.71675,
1490295000,66.3677,190.087,20.465449999999997,359.797,19.6432,1345.7849999999999,5.70525,
1490295600,66.1698,189.767,20.08545,405.789,19.554,1264.1999999999998,5.643665,
1490296200,66.0362,190.175,19.598599999999998,405.789,19.4762,1213.175,5.58408,
1490296800,65.9857,189.143,19.598599999999998,405.789,19.4762,1184.5549999999998,5.39225,
1490297400,65.7697,189.499,19.598599999999998,234.3105,19.7065,1115.3449999999998,4.64625,
1490298000,65.7488,188.691,19.6416,160.4785,19.7065,1064.7350000000001,4.0335,
1490298600,65.7488,189.002,19.633650000000003,160.4785,19.64,1061.9650000000001,4.0335,
1490299200,65.7488,189.667,19.67325,160.4785,19.64,1061.9650000000001,4.0335,
1490299800,65.7488,189.335,19.67325,196.532,19.6273,1076.71,4.0335,
1490300400,65.7488,189.021,19.64865,196.532,19.6573,1076.71,3.983085,
1490301000,65.6267,188.746,19.633650000000003,196.532,19.5048,1059.57,3.86167,
1490301600,65.6267,188.851,19.56605,145.55835000000002,19.3483,1054.125,3.75725,
1490302200,65.6267,188.559,19.42655,47.6141,18.7863,1050.06,3.87575,
1490302800,65.6267,189.584,19.0673,7.852085,18.369,1049.9,3.983085,
1490303400,64.6752,188.952,18.57765,-7.531414999999999,17.1043,1049.78,3.983085,
1490304000,64.5412,189.234,17.736649999999997,-8.084499999999998,16.1122,1043.0149999999999,3.983085,33.00007418444151
1490304600,62.77,189.015,16.66805,-8.084499999999998,16.1122,1034.835,3.983085,
1490305200,58.7802,188.074,16.172,-7.398835,16.1122,1009.6615,3.878665,
1490305800,55.195,188.814,16.122100000000003,-7.0169999999999995,16.132,872.004,3.75725,
1490306400,55.0845,189.439,16.121850000000002,-7.0169999999999995,16.1315,437.242,3.6643350000000003,
1490307000,54.9818,189.058,16.121850000000002,-6.70108,16.1315,58.17791665,3.583415,
1490307600,54.7863,189.144,16.0386,-6.341665,15.9457,0.00841665,3.583415,
1490308200,54.5665,188.301,16.03635,-6.079834999999999,15.9457,0.0,3.583415,
1490308800,54.2955,188.503,16.03635,-6.079834999999999,15.9457,0.0,3.583415,
1490309400,54.1868,188.535,15.909749999999999,-6.079834999999999,15.8728,0.0,3.583415,
1490310000,54.1868,188.702,15.909749999999999,-6.324249999999999,15.8728,0.0,3.583415,
1490310600,54.1868,188.701,15.9785,-6.288085,16.0113,0.0,3.5953350000000004,
1490311200,54.1868,188.997,15.98965,-6.213585,16.0113,0.00841665,3.714085,
1490311800,54.1868,187.983,15.969999999999999,-3.24258335,15.972,154.5345,3.801915,
1490312400,55.4327,189.092,15.969999999999999,19.82881665,15.968,676.1145000000001,3.801915,
1490313000,56.0583,189.522,15.969999999999999,61.1143,15.9337,1043.46,3.801915,

