DATETIME,IND1,IND10,IND12,IND13,IND15,IND16,IND1679,IND1680,IND1681,IND1682,IND1683,IND2,IND2006,IND228,IND229,IND230,IND2348,IND263,IND264,IND265,IND266,IND267,IND268,IND269,IND27,IND270,IND271,IND272,IND273,IND274,IND275,IND276,IND277,IND278,IND279,IND28,IND280,IND281,IND282,IND2820,IND2821,IND2822,IND2823,IND2824,IND283,IND284,IND285,IND286,IND287,IND288,IND289,IND3,IND30,IND305,IND31,IND314,IND322,IND323,IND324,IND325,IND326,IND331,IND332,IND333,IND334,IND335,IND3657,IND367,IND372,IND373,IND374,IND376,IND377,IND379,IND380,IND381,IND382,IND385,IND393,IND4,IND407,IND410,IND447,IND448,IND4710,IND4711,IND4712,IND4713,IND5,IND6,IND661,IND670,IND671,IND672,IND673,IND7,IND700,IND737,IND738,IND740,IND8,IND87,IND88,IND89,IND9,MOD1,MOD3,MOD4,MOD420,MOD5,MOD55,MOD6,MOD7,MOD8,RES1,RES3,RES4,RES442,RES5,RES55,RES6,RES7,RES8,SYM157,UNC1,UNC3,UNC4,UNC443,UNC5,UNC55,UNC6,UNC7,UNC8
1488412800,1.0,63.6483,20.7517,923.695,1003.8272999999999,1073.8516833333335,1.8825,20.35783,20.7517,20.70984,20.69917,2.105,0.0,6.35167,2.841167,1.5665,,0.0,41.1255,-0.17367000000000132,1.0,53.58567000000001,-0.34600000000001785,0.0,1657.6523333333337,1.1600000000000108,0.0,68.86468,-0.21367999999999654,0.0,10.96668,0.02764999999999951,0.0,1640.5040000000001,12.19399999999996,1668.3496666666665,0.0,20.397,-0.039169999999998595,8.448332,8.437834,0.010498000000000118,0.0,,0.0,20.69917,0.010670000000001068,0.0,189.4062,-0.316599999999994,0.0,40.8533,20.271723333333334,1.8401670000000003,20.134913333333333,4.407667,84.28246222222222,84.28246222222222,40.95183,53.23966999999999,68.65100000000001,20.35783,10.99433,189.08960000000002,20.70984,1.8825,120.0,1652.698,0.0,0.0,0.0,0.0,0.0,0.0,0.10507069667539251,-0.2463215346921359,0.0,0.8807161803495247,,52.9933,8.05333,10.0,0.04233299999999973,0.0,79.88484,81.23534,-1.3504999999999967,0.0,1630.29,10.9167,,972.0276,961.0803000000001,10.947299999999927,0.0,20.435,78.645,0.0,-0.013800523774644743,60.0,8.05333,61.69949999999999,62.859500000000004,190.165,69.01,189.55633538167535,68.64055077220209,51.61170640899516,1.4236583223932153,43.536200693494564,61.93304780574714,942.5081132760902,1.6241166147159936,19.844483668245132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4027713722971763,1.158792923078433,1.023846394752517,0.10953881827568557,1.0124777841820014,1.0191709037959968,0.2726005680417402,0.3340090230156325,0.2940365908288898
1488412860,1.0,62.9833,20.8,922.842,999.5053666666666,1068.7265500000003,1.9075,20.357,20.8,20.719840000000005,20.69917,1.99833,0.0,5.56333,2.957167,1.6811660000000002,,0.0,41.109170000000006,-0.18101000000000056,1.0,53.55817000000001,-0.36250000000001137,0.0,1655.978666666667,1.4824999999999946,0.0,68.78618,-0.07117999999998403,0.0,10.96701,0.012319999999998998,0.0,1633.408,21.356000000000222,1667.9277499999996,0.0,20.39933,-0.04232999999999976,8.432665,8.394333999999999,0.038331000000001225,0.0,,0.0,20.69917,0.020670000000006183,0.0,188.67880000000002,0.5141999999999882,0.0,40.8,20.289166666666667,1.8418330000000003,20.144441666666673,4.638333,84.19925888888889,84.19925888888889,40.928160000000005,53.19567,68.71500000000002,20.357,10.97933,189.193,20.719840000000005,1.9075,120.0,1654.7640000000001,0.0,0.0,0.036011658893325915,0.0,0.0,0.0,0.10507069667539251,-0.2463215346921359,0.0,0.8809162451211541,,52.985,8.17,10.0,0.0656669999999997,0.0,79.80401,81.00384,-1.1998299999999915,0.0,1629.57,10.825,,975.4758,942.6703000000002,32.805499999999824,0.0,20.47,78.885,0.0,-0.013800523774644743,60.0,8.17,61.574500000000015,63.05700000000001,186.412,69.015,189.53065963124308,68.10305897050257,51.575068497602466,1.4548140304666002,43.55191496648836,61.83155313067109,944.1112887011973,1.6785998406561258,19.845911625684764,0.0,0.036011658893325915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.37920549969468786,0.8939270073514118,1.0218351341914933,0.41180006870509844,1.011726397401916,1.0593528709139275,0.40786831063044465,0.30577281412002777,0.3114083188322465
1488412920,1.0,62.5283,20.8,887.743,993.4128,1062.9026000000003,1.9486670000000001,20.3565,20.8,20.729840000000003,20.69917,2.16667,0.0,3.90667,3.051667,1.7053330000000004,,0.0,41.08917,-0.18101000000000056,1.0,53.52817000000002,-0.3825000000000216,0.0,1653.5723333333337,1.6888199999999927,0.0,68.70384,0.07683000000001527,0.0,10.967179999999999,-3.499999999991843E-4,0.0,1630.347,20.205000000000155,1667.3235833333329,0.0,20.400990000000004,-0.04449000000000325,8.375499000000003,8.376,-5.0099999999631E-4,0.0,,0.0,20.69917,0.030670000000004194,0.0,189.5953,-0.7177999999999827,0.0,40.8,20.30772,1.8441660000000004,20.154025000000004,4.757000000000001,84.11614777777777,84.11614777777777,40.90816,53.145669999999996,68.78067000000001,20.3565,10.96683,188.87750000000003,20.729840000000003,1.9486670000000001,120.0,1650.5520000000001,0.0,0.0,0.3894784663718589,0.0,0.0,0.0,0.10507069667539251,-0.2463215346921359,0.0,0.8830800143787754,,52.9,8.02167,10.0,0.10450099999999973,0.0,79.68801,80.84534,-1.1573299999999875,0.0,1607.49,10.8717,,968.0233000000001,930.0981000000002,37.925199999999904,0.0,20.4283,79.4517,0.0,-0.013800523774644743,60.0,8.02167,61.48884000000001,63.17766,190.903,68.98,189.57416055581243,67.71974511002905,51.536944343656636,1.4164248330173104,43.57031206335283,61.762948517496824,899.9799985647877,1.7231352361991599,19.8483342176387,0.0,0.3894784663718589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.49759694169498847,0.8383537317312615,1.0343091120425452,0.30226125042964147,1.0254079191743428,1.1021711899846436,0.6389127928537109,0.5789715619758499,0.3450603291676178
1488412980,1.0,62.2067,20.8,948.128,987.9334,1057.4160666666671,1.961,20.35783,20.8,20.739840000000004,20.7,1.87833,0.0,5.32833,3.1993340000000003,1.7584989999999996,,0.0,41.07367000000001,-0.18551000000000784,1.0,53.50467000000001,-0.4089999999999989,0.0,1652.2460000000005,1.6979800000000083,0.0,68.62718000000001,0.20664999999999623,0.0,10.966349999999998,-0.006859999999997868,0.0,1628.982,19.136999999999944,1666.9751666666662,0.0,20.396659999999997,-0.038829999999997256,8.346499000000001,8.376166,-0.02966699999999811,0.0,,0.0,20.7,0.039840000000005205,0.0,188.97000000000003,0.4322999999999695,0.0,40.8,20.322996666666665,1.8383330000000002,20.16205166666667,4.957833,84.04788888888889,84.04788888888889,40.88816,53.09567000000001,68.83383,20.35783,10.95949,189.4023,20.739840000000004,1.961,120.0,1648.119,0.0,0.0,0.5278830958446008,0.0,0.0,0.0,0.10507069667539251,-0.22402326323281868,0.0,0.8860126982445788,,52.9,8.33833,10.0,0.12266699999999986,0.0,79.70850999999999,80.71584000000001,-1.0073300000000245,0.0,1639.61,10.9183,,963.9423999999999,924.9058000000001,39.036599999999794,0.0,20.3233,80.4617,0.0,-0.013800523774644743,60.0,8.33833,61.49218,63.190160000000006,189.74,68.8733,189.5011675546292,67.45118152628534,51.50417026470269,1.512371551677159,43.58814111299539,61.767339951949104,973.2015580196341,1.7098865849641331,19.850192357717244,0.0,0.5278830958446008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2938159398849928,0.7147642708640348,1.0593484111923117,0.10953881827545697,1.0513360876439468,1.0742646719958733,0.5615212475482554,0.333086144463661,0.3552660056275109
1488413040,1.0,62.0817,20.8,985.155,983.5685666666667,1051.4459833333337,1.969333,20.37533,20.8,20.749840000000006,20.7,1.96833,0.0,5.16667,3.4023339999999997,1.626499,,0.0,41.06367000000001,-0.19551000000001295,1.0,53.47484000000001,-0.41984000000000776,0.0,1651.641666666667,1.575649999999996,0.0,68.56985000000002,0.3063099999999821,0.0,10.968179999999998,-0.023849999999997706,0.0,1626.741,22.414999999999964,1666.8297499999996,0.0,20.37983,-0.004499999999996618,8.328832,8.376166,-0.04733399999999932,0.0,,0.0,20.7,0.04984000000000677,0.0,189.67780000000002,-0.9790000000000134,0.0,40.8,20.344609999999996,1.8385000000000002,20.171746666666667,5.028833,83.95794444444444,83.95794444444444,40.868159999999996,53.055,68.87616,20.37533,10.94433,188.6988,20.749840000000006,1.969333,120.0,1649.156,0.0,0.0,0.6298922341668884,0.0,-0.09673289976507249,0.0,0.10507069667539251,-0.2366710231127944,0.0,0.8895120995455061,,52.895,8.36333,10.0,0.13083299999999976,0.0,79.55101,80.62351000000001,-1.0725000000000051,0.0,1661.44,10.8667,,965.8784,920.7083000000001,45.170099999999934,0.0,20.4117,78.66,0.0,-0.013800523774644743,60.0,8.36333,61.56018,63.13583,185.77,68.875,189.52661124971775,67.34836131055214,51.46323097994664,1.522201226802741,43.60600819929951,61.82444321322142,1039.070084802531,1.598231018954373,19.85229829341946,-0.09673289976507249,0.6298922341668884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3485399677426237,0.7071899770418318,1.0938178647692376,0.7964213328751195,1.0866768825451598,0.9661538605124738,0.5929687408273528,0.2886263060443378,0.35826933561993024
1488413100,1.0,61.9667,20.8417,912.852,976.5216333333335,1044.3651833333338,2.002333,20.40133,20.8417,20.764010000000003,20.7,2.12,0.0,5.295,3.4981680000000006,1.672498,,0.0,41.05367000000001,-0.20551000000001807,1.0,53.44484,-0.4398400000000038,0.0,1649.7323333333338,1.3566499999999877,0.0,68.52568000000001,0.3871499999999912,0.0,10.97701,-0.054009999999998115,0.0,1629.911,13.60400000000027,1666.3570833333326,0.0,20.36767,0.03366000000000113,8.260332,8.400332,-0.14000000000000057,0.0,,0.0,20.7,0.06401000000000323,0.0,189.10100000000003,0.04249999999998977,0.0,40.8,20.368666666666666,1.829833,20.183913333333336,5.170666000000001,83.88231555555556,83.88231555555556,40.84815999999999,53.004999999999995,68.91283,20.40133,10.923000000000002,189.14350000000002,20.764010000000003,2.002333,120.0,1643.5150000000003,0.0,0.0,0.7796602432410005,0.0,0.0,0.0,0.10507069667539251,-0.2366710231127944,0.0,0.8938435453412894,,52.8,8.03833,10.0,0.1725000000000001,0.0,79.57835,80.48817000000001,-0.9098200000000105,0.0,1623.03,10.84,,953.2085999999999,929.541,23.66759999999988,0.0,20.5517,79.9667,0.0,-0.013800523774644743,60.0,8.03833,61.675680000000014,63.03233,191.752,68.9167,189.5628003175633,67.24077034292223,51.426692949673104,1.420166557020576,43.63021469651607,61.92112804453454,928.0314362436789,1.6544222186206374,19.856652175660734,0.0,0.7796602432410005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.48545302834442583,0.7529221424362649,1.0606594926036395,1.1258613878391526,1.1471483854859255,0.8395474252873697,0.46013448940079055,0.5424435870788522,0.3857157122698833
1488413160,1.0,61.7783,21.05,959.335,972.9334666666668,1038.4449333333337,2.008333,20.439500000000002,21.05,20.799010000000003,20.7,1.92,0.010465832275254883,4.59667,3.599001000000001,1.5413319999999993,,0.0,41.03650000000001,-0.20117000000001184,1.0,53.40601000000001,-0.44218000000000046,0.0,1648.656666666667,1.0311500000000038,0.0,68.50451000000002,0.41915999999997666,0.0,10.98234,-0.061009999999999565,0.0,1635.767,5.298999999999978,1666.0899166666659,0.0,20.363329999999998,0.07617000000000473,8.244665000000001,8.425166,-0.18050099999999958,0.0,,0.0,20.7,0.09901000000000337,0.0,189.51480000000004,-0.24880000000004543,0.0,40.8,20.39044333333333,1.832833,20.19830166666667,5.140333,83.79716777777779,83.79716777777779,40.83533,52.96383000000001,68.92367,20.439500000000002,10.921330000000001,189.266,20.799010000000003,2.008333,120.0,1641.066,0.0,0.0,0.7852660816659096,0.010465832275254883,0.0,0.0,0.10507069667539251,-0.2366710231127944,1.744305379209147E-4,0.898206134683878,,52.8,8.385,10.0,0.1755,0.0,79.53235000000001,80.29484000000002,-0.7624900000000139,0.0,1647.35,10.9933,,947.5991,941.3222000000001,6.276899999999955,0.0,20.73,79.0667,0.0,-0.013800523774644743,60.0,8.385,61.84301000000001,62.87416000000001,190.34,68.8067,189.52104434626742,67.0805765443034,51.39049308940151,1.5309910945312981,43.64914897903643,62.05877727011497,999.1439390670851,1.693185718209858,19.860506696628782,0.0,0.7852660816659096,0.0,0.0,0.0,0.0,0.0,0.0,0.010465832275254883,,0.29826099665494615,0.7638134889917325,1.0336944064291398,0.576520096186772,1.20173997214911,0.7514811654836149,0.4316346943439772,0.6032715537622477,0.3868767861908317
1488413220,1.0,61.68,20.98,989.09,970.2371333333335,1032.958766666667,2.023333,20.48883,20.98,20.82701,20.7,2.10333,0.010465832275254883,5.78,3.7736669999999997,1.455833000000001,,0.0,41.01650000000001,-0.19400000000000972,1.0,53.37334,-0.44901000000000124,0.0,1648.0720000000003,0.6151499999999999,0.0,68.51367000000002,0.39766999999997665,0.0,10.986500000000001,-0.056669999999998666,0.0,1641.063,0.4680000000000746,1665.9448333333326,0.0,20.35116,0.13766999999999996,8.232165,8.442166,-0.2100010000000001,0.0,,0.0,20.7,0.12701000000000207,0.0,189.2595,0.02549999999999386,0.0,40.7717,20.406719999999996,1.8376660000000002,20.212523333333337,5.229500000000001,83.71487111111111,83.71487111111111,40.8225,52.92433,68.91134,20.48883,10.929830000000003,189.285,20.82701,2.023333,120.0,1641.5310000000002,0.0,0.0,0.7666338831350288,0.0,0.0,0.0,0.10507069667539251,-0.2366710231127944,1.744305379209147E-4,0.9024652118124058,,52.8,8.27333,10.0,0.1856669999999998,0.0,79.48768000000001,80.17184,-0.6841599999999914,0.0,1662.47,11.0683,,948.9608000000001,950.6687000000001,-1.707899999999995,0.0,20.7533,79.41,0.0,-0.015817189589954952,60.0,8.27333,62.06251,62.67766,189.962,68.705,189.56643612220904,66.99750874283426,51.35620556258514,1.4883693988877162,43.66631877892622,62.2373725173591,1035.460336966817,1.5465594596670384,19.86590759133194,0.0,0.7666338831350288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.566476507035486,0.79476460945317,1.0190506769961618,0.7964213328753481,1.1519038681869,0.7080591619127573,0.8040861189835329,0.47180991775294673,0.40122135852318097
1488413280,1.0,61.68,20.9733,1061.71,970.4261333333334,1029.3586000000003,2.004333,20.526830000000004,20.9733,20.85434,20.7,1.79667,0.010465832275254883,5.17167,3.923,1.2858340000000004,,0.0,40.996500000000005,-0.19400000000000261,1.0,53.33334,-0.44568000000000296,0.0,1647.8643333333337,0.14732000000000056,0.0,68.53900000000002,0.3598399999999913,0.0,10.99733,-0.061159999999999215,0.0,1647.2910000000002,-4.621999999999844,1665.890916666666,0.0,20.36166,0.16517000000000337,8.259332,8.468499,-0.209166999999999,0.0,,0.0,20.7,0.15434000000000125,0.0,188.8633,0.8111999999999853,0.0,40.7,20.421773333333327,1.844833,20.22866166666667,5.208834,83.62920444444444,83.62920444444444,40.8025,52.88766,68.89884,20.526830000000004,10.93617,189.6745,20.85434,2.004333,120.0,1642.6690000000003,0.0,0.0,0.8468081315940559,0.0,0.0,0.0,0.10507069667539251,-0.23539836610230366,1.744305379209147E-4,0.9067129922171805,,52.7333,8.645,10.0,0.15949999999999998,0.0,79.32018,80.20018,-0.8800000000000097,0.0,1672.92,11.0817,,955.7085,962.7502999999999,-7.0417999999999665,0.0,20.7983,78.7767,0.0,-0.015817189589954952,60.0,8.645,62.31334000000001,62.46066000000001,189.748,68.785,189.4902522261904,66.99733449437524,51.325947623260745,1.6560749059742665,43.676104363239816,62.439009081798304,1111.6006817400282,1.6995302208067797,19.868241841884966,0.0,0.8468081315940559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2454344428916409,0.7976167570912601,1.0124534027112124,1.8942803160426755,1.1139463486895271,0.7399267456597054,0.788317823204501,0.5373599441499589,0.3828465967233646
1488413340,1.0,61.685,20.9417,993.778,968.2357333333333,1024.5630666666668,1.9981659999999999,20.570990000000002,20.9417,20.87384,20.70467,1.925,0.010465832275254883,4.49667,4.041833,1.1238350000000006,,0.0,40.9765,-0.1939999999999955,1.0,53.29033999999999,-0.43967999999999563,0.0,1647.2223333333334,-0.3798400000000015,0.0,68.59000000000002,0.29299999999999216,0.0,11.001660000000001,-0.059490000000000265,0.0,1652.73,-9.248000000000047,1665.7370833333327,0.0,20.36266,0.20833000000000013,8.272165,8.482332000000001,-0.210167000000002,0.0,,0.0,20.70467,0.16917000000000115,0.0,189.2976,0.05129999999999768,0.0,40.7,20.439439999999998,1.858167,20.245245000000008,5.165668,83.54016777777778,83.54016777777778,40.782500000000006,52.85066,68.88300000000001,20.570990000000002,10.94217,189.3489,20.87384,1.9981659999999999,120.0,1643.482,0.0,0.0,0.929487570672805,0.0,0.0,0.0,0.10507069667539251,-0.23539836610230366,1.744305379209147E-4,0.9091546467504783,,52.7,8.43333,10.0,0.13999899999999998,0.0,79.20384999999999,80.11951,-0.9156600000000168,0.0,1660.65,11.04,,958.4328000000002,971.8942999999999,-13.461499999999774,0.0,20.8083,78.715,0.0,-0.015817189589954952,60.0,8.43333,62.60367,62.22383,188.697,68.8633,189.52022171009452,66.99780760725574,51.29204980128642,1.5514981859629318,43.69008173840379,62.67025965081937,1042.7832626018308,1.6439383345278324,19.87750479228982,0.0,0.929487570672805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.23727383567147042,0.8391339771455562,1.0135070834592985,1.2625790106492296,1.0735838249265857,0.8162809114138977,0.5640407983900361,0.4582935521033854,0.3803517511029207
