DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND4,IND447,IND448,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES6,RES7,RES8,SYM157,SYM1994,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC6,UNC7,UNC8
1491616200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.17235,,,,,,,,,4.8620650426526484E-4,0.010247820074472279,1.0,1.0,2.3,,4.8,,,,,188.964,26.8345,,-0.210333,,27.052349999999997,1033.66,,19.638,,-86.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491616800,1.0,59.6565,37.0,26.6442,,,,3.67433,0.9904559400454459,0.251167,,,,,,,,,,,,,,,,,,,,,,45.761,63.457750000000004,47.4807,,,,,9.8552,,0.08973479073781102,0.0016525063597370156,,,,2.5,4.6,4.6,-91.7,1050.03,,,,27.3431,27.8517,11.323685000000001,26.6442,27.8517,1041.81,1049.995,19.33685,18.81725,-88.9,-91.7,27.8517,,,,,,0.9904559400454459,,,,,,,0.021432954619490175,0.021432954619490175,,,,,17.9965,,,-91.7,,,0.021432954619490175,17.9965,,,27.8517,64.543,3.4765,,189.166,63.188,,-75.16859413866416,,,,,,,31.47805653908013,,0.021432954619490175,,,,,,,0.9904559400454459,,,,0.4866238262932491,,,,,,,0.997632599223581
1491617400,1.0,59.4437,37.0,54.3605,66.1222,37.45702300951116,,3.48417,0.9965171979949814,-4.94133,-5.1924969999999995,0.0,-1.0273000000000039,0.0,-0.2674000000000021,0.0,-0.21280000000000143,0.0,-0.40279999999999916,0.0,-0.47550000000000026,0.0,-0.19000000000005457,0.0,0.046599999999997976,0.3958299999999997,0.0,0.0,37.0,0.0,1.0,44.7337,62.3725,47.2133,-0.19015999999999966,0.0,1.5792000000000002,0.0,10.377299999999998,85.56059224485487,0.07410189730730594,0.006503888773397907,0.0016525063597370156,1.0,1.0,4.1,8.2,8.2,-94.9,1049.84,-3.200000000000003,0.0,189.166,27.84385,27.875,15.3511,40.50235,27.8517,1033.66,1049.935,18.168,17.75875,-92.80000000000001,-94.9,27.875,0.8395356519814221,0.3209286960371558,0.35145247597614365,0.35145247597614365,0.8439731941752514,0.9965171979949814,0.8439731941752514,0.9144176248523461,0.9144176248523461,,,,0.02925909453822842,0.02925909453822842,0.07819048193102195,3.87233,66.1222,,17.521,,37.0,-93.30000000000001,0.35145247597614365,0.3209286960371558,0.02925909453822842,17.521,27.7163,0.0,27.8983,66.1222,3.87233,59.6565,188.431,62.7852,37.45702300951116,-81.48814440176051,,,46.62843075026769,40.12889746240006,63.53450645179345,3.359251417322307,30.77150417366874,0.07819048193102195,0.02925909453822842,,,0.8439731941752514,0.9144176248523461,0.35145247597614365,0.8395356519814221,0.9965171979949814,,,0.5959863009395546,0.4148764685652033,,,0.9325165810520413,0.6206918645793297,0.866393191278895,0.4925738196866623,0.853121255490042
1491618000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3725,,,,,,,,,0.003379994716092234,0.006503888773397907,1.0,1.0,3.2,,6.4,,,,,188.431,27.7225,,15.3511,,27.8517,799.5409999999999,,18.605600000000003,,-91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491618600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.17235,,,,,,,,,-0.0031763885545603573,,,,1.6,,3.6,,,,,,27.836,,4.058,,27.35765,770.262,,18.533,,-91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491619200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.543,,,,,,,,,-0.0015169590295145798,-0.0031763885545603573,1.0,1.0,2.9,,4.2,,,,,189.413,27.7225,,24.465850000000003,,26.817,953.4369999999999,,18.1074,,-91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491619800,1.0,59.8997,36.8172,293.505,68.4262,,,2.0845,0.9965171979949814,0.855667,,,,,,,,,,,,,,,,,,,,,,42.9883,66.1222,47.3393,,,,,11.920200000000001,99.38787682201168,0.0695506669499397,0.18604326685679096,-0.0015169590295145798,1.0,1.0,13.6,21.9,21.9,-168.5,1134.64,,,188.4,27.73035,27.988833333333332,32.7997,124.83656666666667,26.817,1036.095,1078.17,18.02165,17.271266666666666,-91.7,-168.5,28.2165,0.5517484341453252,0.8965031317093497,0.5151499018413683,0.5151499018413683,0.6455736890601761,0.9929082661267109,0.8439731941752514,0.892756671845999,0.9144176248523461,0.8038465531204658,0.8038465531204658,,0.001099645478575486,0.02925909453822842,,5.69533,67.27420000000001,28.2165,16.2963,,,-118.36666666666665,0.5151499018413683,0.8965031317093497,0.001099645478575486,16.2963,,,28.2165,68.4262,5.69533,,189.904,63.353,,-107.4072302319363,,62.87336795139644,47.30631764027686,40.58377305648861,295.31267734557014,2.058112078262836,31.095866305888297,,0.001099645478575486,,0.8038465531204658,0.6455736890601761,0.892756671845999,0.5151499018413683,0.5517484341453252,0.9929082661267109,,,,0.7541639276563226,,1.3133163645142778,0.6728743748258241,0.5836555393232051,0.666432432276494,0.8375183695668883,0.7250396451626538
1491620400,1.0,60.7088,36.619,253.41,69.5395,37.16207133479193,,2.06967,0.9956149650279138,2.65567,1.8000030000000002,0.0,-0.21750000000000114,0.0,0.2669999999999959,0.0,0.8090999999999937,0.0,0.8754999999999953,0.0,-0.45449999999999946,0.0,-41.950000000000045,0.0,0.32369999999999877,-0.2746599999999999,0.0,0.0,36.8172,-0.19819999999999993,1.0,42.7708,67.3123,47.6063,-0.014829999999999899,0.0,1.1133000000000095,0.0,12.6984,100.12471218894555,0.07874690767008506,0.19077775796303284,0.18604326685679096,1.0,1.0,9.9,20.8,20.8,-146.9,1092.69,21.599999999999994,0.0,189.904,27.75365,28.218333333333334,46.657849999999996,200.42516666666666,28.2165,1049.225,1081.8,17.855249999999998,16.913899999999998,-93.30000000000001,-146.9,28.378349999999998,0.31143283656546006,0.8965031317093497,0.5599776668567037,0.5599776668567037,0.40574930118129904,0.987389293670201,0.8439731941752514,0.8746508827956458,0.9144176248523461,,,,0.004225063719058102,0.027302559558543858,0.07819048193102195,5.42067,68.0293,,15.8418,,36.8172,-136.76666666666665,0.5599776668567037,0.6228656731309201,0.004225063719058102,15.8418,-40.095,0.0,28.5402,69.5395,5.42067,59.8997,189.99,64.2285,37.16207133479193,-104.40093711149507,,,47.87316408088101,40.966744868594375,253.09436048294398,2.126731117617846,31.310705773275323,0.03805101716182475,0.004225063719058102,,,0.40574930118129904,0.8746508827956458,0.5599776668567037,0.31143283656546006,0.987389293670201,,,0.4845870500133509,1.007046136476895,,,0.9910360520950076,0.6768367339246677,0.7099821657597256,0.5393294273494791,0.46192857825392425
1491621000,1.0,60.7898,36.3887,125.128,,,,2.96833,0.9904559400454459,1.17733,,,,,,,,,,,,,,,,,,,,,,42.7013,67.27785,47.9122,,,,,12.716000000000001,,0.04625191432693375,0.012438888916242178,,,,5.1,10.5,10.5,-124.2,1050.08,,,,28.4583,28.4583,125.128,125.128,28.4583,1050.03,1050.0549999999998,17.9965,16.8694,-124.2,-124.2,28.4583,,,,,,0.989758944614433,,,,,,,0.005545826434460987,0.021432954619490175,,,,,15.7423,,,-124.2,,,0.005545826434460987,15.7423,,,28.4583,70.0127,4.5055,,189.907,63.8852,,-83.10202791610067,,,,,,,30.942882257208176,,0.005545826434460987,,,,,,,0.989758944614433,,,,0.7480922732107725,,,,,,,0.9867014193377207
1491621600,1.0,60.7783,36.5117,146.818,70.4422,36.76259036394623,,2.74233,0.9950018835075976,-0.285667,-1.462997,0.0,-0.001300000000000523,0.0,0.17900000000000205,0.0,-0.011499999999998067,0.0,-0.14799999999999613,0.0,0.14899999999999913,0.0,0.3500000000001364,0.0,-0.17510000000000048,0.1775000000000002,0.0,0.0,36.3887,0.12299999999999756,0.0,42.7,68.3377,48.0912,-0.22599999999999998,0.0,0.42950000000000443,0.0,12.391900000000001,99.52488726272284,0.07637518684603886,0.006898949378754225,0.012438888916242178,1.0,1.0,10.8,20.8,20.8,-136.5,1050.43,-12.299999999999997,0.0,189.907,28.2832,28.37075,125.128,135.973,28.37075,1049.935,1050.095,17.75875,16.787775,-124.2,-136.5,28.37075,0.7303055247086434,0.5393889505827132,0.5516788279955124,0.5516788279955124,0.6923269995262741,0.9898563852774152,0.8439731941752514,0.8744480441341178,0.9144176248523461,,,,0.006722680264301197,0.027302559558543858,0.30338977911441284,4.683,68.2822,,15.8913,,36.3887,-130.35,0.5516788279955124,0.5393889505827132,0.006722680264301197,15.8913,21.690000000000012,0.0,28.2832,70.4422,4.683,60.7898,189.519,63.7372,36.76259036394623,-104.48592030974089,,,47.96807768798756,40.964545715371614,147.5188809934888,2.664487054069074,31.036095972478208,0.30338977911441284,0.006722680264301197,,,0.6923269995262741,0.8744480441341178,0.5516788279955124,0.7303055247086434,0.9898563852774152,,,0.8379619105512914,0.9802258178484287,,,0.6122459432623387,0.4050313025366358,0.4592371057078671,0.6614236958627531,0.3643261301883034
