DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND45384,IND45385,IND45386,IND45387,IND45388,IND45389,IND45390,IND45392,IND45393,IND45394,IND45397,IND45398,IND45399,IND45400,IND45401,IND45402,IND45403,IND45426,IND45427,IND45463,IND45464,IND45465,IND45466,IND45467,IND45468,IND45469,IND45470,IND45471,IND45510,IND45511,IND45512,IND45513,IND45514,IND45515,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5106,IND5114,IND5118,IND5126,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5309,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1494720000,1.0,63.66,27.4,439.318,69.0257,27.29484304039278,62.84708314717519,1.9825,0.8364478465197929,0.553167,-1.482833,0.0,-0.2665000000000006,0.0,-0.2910000000000039,0.0,0.2406999999999968,0.0,-0.34130000000000393,0.0,-0.06070000000000064,0.0,-32.25999999999999,0.0,-0.05620000000000047,-0.21899999999999942,0.0,0.0,27.4063,-0.006300000000003081,0.0,39.5358,0.21960306111769,0.8419942435515044,0.010941520957371331,0.1165374217615801,0.4195415158180227,0.5807279764782483,0.02707270425353492,0.3629157479960887,49.0368,0.053999999999999826,0.0,69.0257,69.0257,68.9273,68.9243,0.10139999999999816,0.10139999999999816,0.1636000000000024,83.9567,83.9567,78.3385,77.8733,6.0833999999999975,6.0833999999999975,5.954399999999997,8.892500000000002,8.892500000000002,8.966883333333332,1.2050000000000125,0.0,69.0257,70.8462,68.9273,70.8467,68.8717,70.7238,1.8204999999999956,1.919399999999996,1.852099999999993,68.9273,68.9243,-0.13469999999999516,0.052599999999998204,0.0,0.0,-0.04080000000000439,0.0,8.892500000000002,101.13401996850337,0.03086767162977122,0.2916281014211448,0.2987174352122224,1.0,1.0,4.4,8.7,8.7,-118.2,1283.2,2.799999999999997,0.0,188.79,23.59851666666667,543.8991666666666,1474.215833333333,14.805866666666667,-118.2,23.515033333333335,0.45304755823098325,0.7800009098428335,0.6370842520039113,0.8550856396350675,0.9729272957464651,0.15800575644849563,0.030400536087718283,0.4192720235217517,0.6254806301970035,0.78039693888231,0.09377404015454732,0.9890584790426287,0.8614028109748469,0.8416029693215349,0.005984896376206904,0.019430190782921457,0.6134834790258178,6.48183,70.04718888888888,23.4583,,14.5658,,63.4193,27.4063,-128.28333333333333,0.6463906556453038,0.9060951164619665,0.011969792752413808,14.5658,-36.27800000000002,0.0,23.4583,69.0257,6.48183,63.4193,189.995,67.291,27.29484304039278,-77.61784018814564,62.84708314717519,66.75857181216774,46.898948671088036,40.390285073738816,61.45913403842049,434.3919090102607,1.9864005089396022,29.68908671790431,0.5804584841819773,0.005984896376206904,0.8834625782384199,0.78039693888231,0.9729272957464651,0.4192720235217517,0.9890584790426287,0.6370842520039113,0.45304755823098325,0.15800575644849563,0.33355525517109985,0.41947737514303174,0.8153299364482332,1.752369218721568,0.6829274503297159,0.8292939481642918,1.877026009056088,0.8409561585218589,0.6537556407310968,0.40601685499425477
1494720600,1.0,63.7383,27.345,364.036,68.871,27.292319152165817,62.92811810951819,2.04467,0.8364478465197929,4.27083,3.717663,0.0,-0.24280000000000257,0.0,-0.26829999999999643,0.0,0.07830000000000581,0.0,-0.5056999999999903,0.0,-0.15359999999999907,0.0,-74.05999999999995,0.0,0.023699999999998056,-0.42050000000000054,0.0,0.0,27.4,-0.054999999999999716,0.0,39.293,0.42547491614786004,0.8357678274858149,0.00850369038373966,0.1174727282698671,0.527490004607632,0.5629449605035899,0.02734414288095155,0.28939911153172293,48.7685,0.06217000000000006,0.0,68.871,68.871,68.8273,68.6955,0.17549999999999955,0.17549999999999955,0.17236666666666878,83.6527,83.6527,77.9785,77.4867,6.165999999999997,6.165999999999997,6.01248333333333,9.069799999999999,9.069799999999999,8.99005,-0.7590000000000146,0.0,68.871,70.0703,68.8273,70.0658,68.6955,70.4628,1.199300000000008,1.238500000000002,1.7673000000000059,68.8273,68.6955,-0.10000000000000853,-0.22880000000000678,0.0,0.0,-0.1547000000000054,0.0,9.069799999999999,102.78667562212495,0.03206210518153607,0.30676514019531587,0.2916281014211448,1.0,1.0,5.7,11.5,11.5,-118.7,1209.14,-0.5,0.0,189.995,23.552300000000002,496.31533333333334,1439.6716666666666,14.756741666666667,-118.7,23.484933333333334,0.4524551491227133,0.8272478072220035,0.7106008884682771,0.7948113005029844,0.9726558571190485,0.16423217251418512,0.030400536087718283,0.43705503949641017,0.6254806301970035,0.57452508385214,0.14806990581873464,0.9914963096162603,0.8614028109748469,0.8416029693215349,0.0068783130834130434,0.019430190782921457,0.6134834790258178,6.06133,69.87972222222223,23.482,,14.4122,,63.66,27.4,-125.80000000000001,0.6463906556453038,0.9049102982454266,0.013756626166826087,14.4122,-75.28199999999998,0.0,23.482,68.871,6.06133,63.66,189.236,66.7853,27.292319152165817,-82.98896923649482,62.92811810951819,66.65768287639538,46.68898962514602,40.06433793638698,61.40906954922864,354.16652771056334,2.0486063773940977,29.606934151893626,0.47250999539236804,0.0068783130834130434,0.8825272717301329,0.57452508385214,0.9726558571190485,0.43705503949641017,0.9914963096162603,0.7106008884682771,0.4524551491227133,0.16423217251418512,0.2647381778522438,0.4783465146031852,0.7992531942679053,1.5690628113932492,0.4355646358875882,0.7922806241848106,1.7150056696334188,0.9510507525087474,0.6337243497133193,0.3634984122388614
1494721200,1.0,62.9178,27.3,395.753,68.911,27.2359126337146,62.95993298422235,2.048,0.8364478465197929,5.53517,1.2643399999999998,0.0,-0.18350000000000222,0.0,-0.22500000000000142,0.0,-0.8205000000000027,0.0,-0.04250000000000398,0.0,-0.10570000000000057,0.0,31.389999999999873,0.0,-0.24820000000000064,0.1603399999999997,0.0,0.0,27.345,-0.04499999999999815,0.0,39.1095,0.12477213594095182,0.8356277162657464,0.026760645413195006,0.5191853331979713,0.5012389132343178,0.5555255037644679,0.02790730524227003,0.3306759248857093,48.5435,0.003330000000000055,0.0,68.911,69.0777,68.762,68.762,0.31569999999999254,0.31569999999999254,0.1588166666666666,83.306,83.306,77.5727,77.0417,6.2642999999999915,6.2642999999999915,6.078116666666664,8.927299999999999,8.927299999999999,8.957449999999998,0.5289999999999964,0.0,68.871,69.5333,68.762,69.6252,68.6955,69.6675,0.6623000000000019,0.8632000000000062,0.9720000000000084,68.762,69.0777,-0.06529999999999347,0.38219999999999743,0.0,0.0,0.04000000000000625,0.0,8.927299999999999,101.5957863037728,0.0537620928143087,0.34219110407453796,0.30676514019531587,1.0,1.0,6.5,13.3,13.3,-136.3,1240.53,-17.60000000000001,0.0,189.236,23.4729,464.0713333333333,1414.4466666666667,14.691058333333332,-136.3,23.391366666666663,0.49306839516712925,0.8891382682269029,0.6693240751142907,0.7948113005029844,0.97209269475773,0.16437228373425358,0.030400536087718283,0.44447449623553215,0.6254806301970035,0.8752278640590482,0.1556911441914203,0.973239354586805,0.6308495562550184,0.7935483131323042,0.0030463276926143254,0.019430190782921457,0.6134834790258178,6.22167,69.67942222222221,23.2338,,14.3065,,63.7383,27.345,-126.11666666666667,0.6350228079989916,0.9861367903342585,0.006092655385228651,14.3065,31.716999999999985,0.0,23.2338,68.911,6.22167,63.7383,189.765,66.7428,27.2359126337146,-86.48934887497148,62.95993298422235,65.73186280080864,46.48844044941049,39.817662030755045,61.04156507865133,389.5368247032343,2.0357182605057327,29.56700639101918,0.49876108676568226,0.0030463276926143254,0.48081466680202867,0.8752278640590482,0.97209269475773,0.44447449623553215,0.973239354586805,0.6693240751142907,0.49306839516712925,0.16437228373425358,0.47908994117806025,0.49186150898606784,0.9707876430860787,1.007444131863954,0.17496575669778672,0.7872802436666456,1.7280962203542456,0.6556736106679517,0.7989068017461234,0.3748019062946433
1494721800,1.0,61.802,27.3,225.122,68.9443,27.211358119848022,,2.435,0.8364478465197929,6.57717,1.0419999999999998,0.0,-0.009499999999995623,0.0,-0.04350000000000165,0.0,-1.1158000000000001,0.0,-1.629800000000003,0.0,-0.08169999999999966,0.0,-176.06999999999994,0.0,-0.03529999999999944,-1.1694999999999993,0.0,0.0,27.3,0.0,1.0,39.1,,0.8186537185323035,,,0.4564947560515019,0.46979977760267977,0.025604810373539344,0.11253821341464298,48.5,0.387,0.0,68.9443,68.9443,68.7893,68.7893,0.15500000000000114,0.15500000000000114,0.16228333333333228,82.8218,82.8218,77.0322,76.4357,6.386099999999999,6.386099999999999,6.151466666666664,8.9737,8.9737,8.959983333333334,-0.8489999999999895,0.0,68.871,69.279,68.762,69.3103,68.6955,69.2993,0.40800000000000125,0.5482999999999976,0.6038000000000068,68.7893,68.9178,0.02729999999999677,-0.15989999999999327,0.0,0.0,0.033299999999997,0.0,8.9737,112.3794523052239,0.08250434961610555,0.16467341318454054,0.34219110407453796,1.0,1.0,13.8,28.1,28.1,-130.1,1064.46,6.200000000000017,0.0,189.765,23.4099,410.17266666666666,1375.5616666666667,14.619666666666667,-130.1,23.304766666666666,0.7365411269136809,0.8891382682269029,0.887461786585357,0.8550856396350675,0.9743951896264607,0.18134628146769655,0.030400536087718283,0.5302002223973202,0.6254806301970035,,,,,,0.025834025558990663,0.0222816901800898,0.6134834790258178,5.05217,69.39414444444444,,,14.2248,,,27.3,-123.28333333333332,0.4861924541146788,0.5269177461726382,0.051668051117981326,14.2248,-170.63099999999997,0.0,23.1985,68.9443,5.05217,62.9178,188.916,65.113,27.211358119848022,-116.20715356659923,,,46.22348925766739,39.49214466984609,,200.32309766786017,2.3543037272757465,29.460485153371614,0.5435052439484981,0.025834025558990663,,,0.9743951896264607,0.5302002223973202,,0.887461786585357,0.7365411269136809,0.18134628146769655,0.6846451284431938,0.8543009835226137,,,0.41611631491199685,0.75464470991503,,0.49587984451565076,0.6597894235894304,0.3343438583619105
1494722400,1.0,62.069,27.3,263.624,69.0282,27.207081162325906,,2.30883,0.8364478465197929,1.209,-5.368169999999999,0.0,-0.06850000000000023,0.0,-0.06629999999999825,0.0,0.267000000000003,0.0,-0.5451999999999941,0.0,-0.09880000000000067,0.0,30.139999999999873,0.0,0.11380000000000123,0.2661599999999993,0.0,0.0,27.3,0.0,2.0,39.0315,,0.8186483442472928,,,0.44885043385418544,0.43542960419430377,0.02374153137685886,0.11174207534457425,48.4337,-0.12617000000000012,0.0,69.0282,69.0282,68.9278,68.655,0.3731999999999971,0.3731999999999971,0.21926666666666486,82.376,82.376,76.5325,75.9483,6.4277000000000015,6.4277000000000015,6.219249999999997,9.186300000000001,9.186300000000001,8.9896,0.2580000000000098,0.0,68.871,69.0665,68.762,69.062,68.655,69.0777,0.19550000000000978,0.29999999999999716,0.42269999999999186,68.9278,68.655,0.13850000000000762,-0.2627999999999986,0.0,0.0,0.08389999999999986,0.0,9.186300000000001,110.70950608145351,0.0714521287697454,0.26538151017472295,0.16467341318454054,1.0,1.0,12.0,23.0,23.0,-130.2,1094.6,-0.09999999999999432,0.0,188.916,23.366566666666664,360.57483333333334,1338.1899999999998,14.545916666666665,-130.2,23.248199999999997,0.7599855445396533,0.8891382682269029,0.8882579246554257,0.8825256430021968,0.9762584686231411,0.1813516557527072,0.030400536087718283,0.5645703958056962,0.6254806301970035,,,,,,0.00933579782625278,0.019624074172517807,0.6134834790258178,5.31833,69.19214444444442,,,14.126,,,27.3,-125.75000000000001,0.4855832472064584,0.48002891092069344,0.01867159565250556,14.126,38.50200000000001,0.0,23.3123,69.0282,5.31833,61.802,189.174,64.5678,27.207081162325906,-106.0280063476149,,,46.02277153445584,39.27459216209703,,238.1222799477048,2.2216312745982814,29.459447006282872,0.5511495661458146,0.00933579782625278,,,0.9762584686231411,0.5645703958056962,,0.8882579246554257,0.7599855445396533,0.1813516557527072,0.4945679495656154,0.0751627116775496,,,0.352992403540961,0.334747684528736,,0.7444887343546996,0.4283005692877519,0.3475242445789737
1494723000,1.0,62.5,27.4197,391.394,69.219,27.20529387175409,62.263056539384486,2.105,0.8364478465197929,-0.760833,-1.969833,0.0,-0.10650000000000404,0.0,-0.0742000000000047,0.0,0.4309999999999974,0.0,0.6869999999999976,0.0,0.120000000000001,0.0,141.48000000000002,0.0,0.5384999999999991,0.8550000000000004,0.0,0.0,27.3,0.11969999999999814,2.0,38.925,0.392895740824336,0.8132076132103975,0.037263274666506585,0.3602539279336985,0.1911803267845873,0.46138914018534405,0.02407830811764089,0.29659808690372214,48.3595,-0.20382999999999996,0.0,69.219,69.3868,69.1798,69.1798,0.20699999999999363,0.20699999999999363,0.221299999999997,82.0578,82.0578,76.1855,75.6565,6.401300000000006,6.401300000000006,6.288133333333332,9.6048,9.6048,9.109066666666667,0.132000000000005,0.0,68.871,69.219,68.762,69.1798,68.655,69.3868,0.347999999999999,0.4177999999999997,0.7317999999999927,69.1798,69.3868,0.25199999999999534,0.7317999999999927,0.0,0.0,0.19079999999999586,0.0,9.6048,102.48733361663315,0.06013593959823952,0.31834163029052687,0.26538151017472295,1.0,1.0,10.3,20.9,20.9,-142.2,1236.08,-12.0,0.0,189.174,23.422616666666663,346.54116666666664,1308.0274999999997,14.49810833333333,-142.2,23.45386666666667,0.6367043122881159,0.8891382682269029,0.7034019130962779,0.8698940703845481,0.9759216918823591,0.18679238678960253,0.0294080228485242,0.538610859814656,0.6254806301970035,0.607104259175664,0.26292623104435153,0.9627367253334934,0.2911514241139206,0.5991056813905484,0.0047277745611474156,0.019624074172517807,0.5818388387547919,6.17333,69.09755555555554,23.8508,,14.246,,62.069,27.3,-129.28333333333333,0.4855832472064584,0.7265913754237683,0.009455549122294831,14.246,127.76999999999998,0.0,23.8508,69.219,6.17333,62.069,189.306,65.2548,27.20529387175409,-101.97487831971631,62.263056539384486,65.10053115117373,45.99221207727041,39.24846073332561,60.72631087653639,381.89499735065687,2.0564872895134547,29.49108397181024,0.8088196732154127,0.0047277745611474156,0.6397460720663015,0.607104259175664,0.9759216918823591,0.538610859814656,0.9627367253334934,0.7034019130962779,0.6367043122881159,0.18679238678960253,0.34147702508327904,0.43790328639952864,0.7799185980030717,0.8053160930226518,0.44650574180718244,0.26834638784808035,1.1772015463774068,0.7115250209832976,0.6199451885811582,0.13976836208364204
1494723600,1.0,63.0538,27.38,489.23,69.2825,27.306670656927338,62.53768618100093,1.92717,0.8364478465197929,-4.206,-3.4451670000000005,0.0,-0.02499999999999858,0.0,-0.059499999999999886,0.0,0.5538000000000025,0.0,0.9154999999999944,0.0,-0.062300000000000466,0.0,86.27999999999997,0.0,-0.27580000000000027,0.5964999999999998,0.0,0.0,27.4197,-0.039699999999999847,2.0,38.9,0.27136306757701956,0.8130253036340604,0.0152758550091604,0.238481774619566,0.4831054955246341,0.46437829770428685,0.025725961630161276,0.7574937427118352,48.3,-0.17782999999999993,0.0,69.2825,69.2825,69.1025,69.0238,0.2587000000000046,0.2587000000000046,0.24751666666666475,81.8337,81.8337,75.9685,75.505,6.328699999999998,6.328699999999998,6.329016666666665,9.3913,9.3913,9.1922,-0.30800000000002115,0.0,68.871,69.2825,68.762,69.1798,68.655,69.3868,0.41150000000000375,0.4177999999999997,0.7317999999999927,69.1025,69.0238,-0.07729999999999393,-0.36299999999999955,0.0,0.0,0.06350000000000477,0.0,9.3913,95.65588815144262,0.0921000970482272,0.330928265457093,0.31834163029052687,1.0,1.0,8.8,17.6,17.6,-116.2,1322.36,25.999999999999986,0.0,189.306,23.442066666666665,354.85983333333326,1283.0458333333331,14.440749999999998,-116.2,23.579366666666665,0.4628161217955422,0.9057989119078316,0.24250625728816477,0.8698940703845481,0.9742740383698387,0.1869746963659395,0.027944254514282313,0.5356217022957132,0.6254806301970035,0.7286369324229804,0.30174623588884864,0.9847241449908396,0.07390386526402715,0.39998677924976667,0.012202214836545046,0.019624074172517807,0.5639187484509187,6.76983,69.06968888888888,23.575,23.575,14.1837,62.5,62.5,27.4197,-128.95,0.4855832472064584,0.9256322435910844,0.024404429673090092,14.1837,97.83600000000001,0.0,23.575,69.2825,6.76983,62.5,188.998,66.1703,27.306670656927338,-95.1290001651721,62.53768618100093,65.72615562113987,46.00670550359967,39.272581248297215,60.610630938950464,511.44786740723157,1.9280336969965508,29.446022514581504,0.5168945044753659,0.012202214836545046,0.761518225380434,0.7286369324229804,0.9742740383698387,0.5356217022957132,0.9847241449908396,0.24250625728816477,0.4628161217955422,0.1869746963659395,0.3534997349636319,0.7083964383625427,0.5133459156443552,0.9891584408692928,0.3687976242982723,0.2724072762265302,1.1950840634063853,0.2364675048098521,0.8165771083093497,0.1825347995025726
1494724200,1.0,62.514,27.2617,587.195,68.8755,27.269035848149585,62.7705998154547,2.087,0.8364478465197929,-2.8985,1.3075000000000006,0.0,0.0707000000000022,0.0,0.0010000000000047748,0.0,-0.5397999999999996,0.0,1.3119000000000085,0.0,-0.18650000000000055,0.0,80.94000000000005,0.0,-0.4806999999999988,0.28183999999999987,0.0,0.0,27.38,-0.11829999999999785,2.0,38.9707,0.020557105052424807,0.818465714401509,0.03141040872426093,0.6229070807752504,0.6558550234144405,0.4640233951781906,0.02571839310869417,0.3518636415805836,48.301,0.15983000000000014,0.0,68.8755,68.8755,68.7952,68.6768,0.19870000000000232,0.19870000000000232,0.25138333333333185,81.6963,81.6963,75.8553,75.3577,6.3386,6.3386,6.357783333333332,9.097100000000001,9.097100000000001,9.196749999999998,0.3780000000000143,0.0,68.8755,69.2825,68.762,69.1798,68.655,69.3868,0.4069999999999965,0.4177999999999997,0.7317999999999927,68.7952,68.6768,-0.3073000000000121,-0.3469999999999942,0.0,0.0,-0.4069999999999965,0.0,9.097100000000001,101.03112050514842,0.10478056970901928,0.3252345920110161,0.330928265457093,1.0,1.0,8.5,17.0,17.0,-127.5,1403.3,-11.299999999999997,0.0,188.998,23.37745,392.053,1278.8199999999997,14.371474999999998,-127.5,23.5067,0.8253998734236626,0.9057989119078316,0.6481363584194164,0.7948113005029844,0.9742816068913058,0.18153428559849105,0.027944254514282313,0.5359766048218094,0.6254806301970035,0.9794428949475752,0.30174623588884864,0.9685895912757391,0.044469563881726404,0.5451157700922911,0.0067947008942577615,0.019624074172517807,0.5639187484509187,7.05167,69.02485555555555,23.0943,23.0943,13.9972,63.0538,63.0538,27.38,-130.41666666666666,0.4855832472064584,0.3492002531526748,0.013589401788515523,13.9972,97.96500000000003,0.0,23.0943,68.8755,7.05167,63.0538,189.376,67.4822,27.269035848149585,-93.60610038590323,62.7705998154547,65.1436510415135,46.019908358576096,39.34456385342921,60.59713714895267,581.2021059096116,1.9722480589361804,29.423579878206183,0.34414497658555954,0.0067947008942577615,0.37709291922474963,0.9794428949475752,0.9742816068913058,0.5359766048218094,0.9685895912757391,0.6481363584194164,0.8253998734236626,0.18153428559849105,0.5790706921709198,0.9947946722995962,0.7461170334069559,0.9606021300993866,0.32582386084681814,0.5917612626326624,1.6362074458769973,0.5836224187143635,0.683423120340999,0.18704280664106593
1494724800,1.0,61.9618,27.166,1126.81,70.5385,27.13081216167585,62.55265602690546,1.58983,0.8364478465197929,-6.69883,-3.80033,0.0,0.20779999999999887,0.0,0.1314999999999955,0.0,-0.5522000000000062,0.0,1.251499999999993,0.0,-0.25150000000000006,0.0,269.05999999999995,0.0,0.01869999999999905,2.1515000000000004,0.0,0.0,27.2617,-0.09570000000000078,2.0,39.1785,0.0,0.8111062363071696,0.2981206005968674,0.7896856115072302,0.566207688422433,0.5636496073265679,0.027472781961158432,0.9849210696428234,48.4325,-0.4971700000000001,0.0,70.5385,70.5385,70.431,70.113,0.42549999999999955,0.42549999999999955,0.26968333333333305,81.7727,81.7727,75.9813,75.5567,6.215999999999994,6.215999999999994,6.349733333333333,9.3673,9.3673,9.270083333333332,-0.40100000000001046,0.0,68.8755,70.5385,68.7893,70.431,68.655,70.113,1.6629999999999967,1.6417000000000002,1.4579999999999984,70.431,70.113,1.6358000000000033,1.4361999999999995,0.0,0.0,1.6629999999999967,0.0,9.3673,91.6385344791817,0.06192388057593198,0.14170606187060805,0.3252345920110161,1.0,1.0,4.4,8.8,8.8,-87.4,1672.36,40.099999999999994,0.0,189.376,23.357316666666666,513.8958333333333,1300.7608333333333,14.301341666666666,-87.4,23.26076666666667,0.08214956819533722,0.9057989119078316,0.015078930357176532,0.7905434134536604,0.9725272180388416,0.18889376369283042,0.02779867442199213,0.4363503926734321,0.6148123315705911,1.0,0.30174623588884864,0.7018793994031326,0.06669757604880733,0.6646017134582454,0.05378633510298959,0.02328871400794804,0.573598169404619,9.20317,69.18841111111111,23.113,23.113,13.7457,62.514,62.514,27.2617,-122.26666666666667,0.6703263424270008,0.16429913639067445,0.10757267020597917,13.7457,539.6149999999999,0.0,23.113,70.5385,9.20317,62.514,188.975,68.7337,27.13081216167585,-76.60431923041904,62.55265602690546,65.31126589316021,46.341678970973305,39.94599717819135,61.502751267822916,1229.6246403372884,1.8222771405997682,29.225871164253174,0.433792311577567,0.05378633510298959,0.21031438849276982,1.0,0.9725272180388416,0.4363503926734321,0.7018793994031326,0.015078930357176532,0.08214956819533722,0.18889376369283042,0.9919510974283542,0.6830328878375925,0.49277170346870813,1.3679047393976749,0.5622750762467126,0.6438449557884223,1.56672420188088,0.9144742071484302,0.5784170707230004,0.40256721377370175
1494725400,1.0,61.97,26.9017,973.459,72.182,27.052356509909387,62.30943116183069,1.82367,0.8361563457414184,-4.2915,2.40733,0.0,0.23279999999999745,0.0,0.3253000000000057,0.0,0.008200000000002206,0.0,0.7704999999999984,0.0,0.12509999999999977,0.0,-21.84999999999991,0.0,0.03570000000000206,-0.5861699999999992,0.0,0.0,27.166,-0.26429999999999865,1.0,39.4113,5.766208212779622E-4,0.8174938391002811,0.4177597814997175,0.6625133679425492,0.8608569663474724,0.6822759435640708,0.03046297551179844,0.7689751857418997,48.7578,0.23383999999999983,0.0,72.182,72.182,71.9813,71.7323,0.4497000000000071,0.4497000000000071,0.3188000000000007,82.342,82.342,76.7345,76.3125,6.029499999999999,6.029499999999999,6.290299999999999,9.277900000000002,9.277900000000002,9.320783333333333,-0.2769999999999868,0.0,68.8755,72.182,68.7952,71.9813,68.655,71.7323,3.3064999999999998,3.1861000000000104,3.077299999999994,71.9813,71.7323,1.5503000000000071,1.6192999999999955,0.0,0.0,1.643500000000003,0.0,9.277900000000002,97.35450181115372,0.04498212835093419,0.1991109869047808,0.14170606187060805,1.0,1.0,6.5,12.9,12.9,-105.4,1650.51,-18.0,0.0,188.975,23.34901666666667,638.6186666666666,1323.4166666666665,14.239074999999996,-105.4,23.11866666666667,0.4880881266973799,0.9207479618088049,0.2310248142581003,0.7088011446252773,0.9695370244882016,0.18250616089971888,0.02779867442199213,0.31772405643592916,0.6148123315705911,0.999423379178722,0.30174623588884864,0.5822402185002825,0.167691937631687,0.6943064288337195,0.014381053402447642,0.027672687521943986,0.5793753450940632,8.617,69.53911111111111,23.1487,23.1487,13.8708,61.9618,61.9618,27.166,-118.14999999999999,0.7476897200420505,0.9761762533947598,0.028762106804895285,13.8708,-153.351,0.0,23.1487,72.182,8.617,61.9618,188.698,69.5042,27.052356509909387,-85.00703222995708,62.30943116183069,66.23681351579037,46.80907912991806,40.678217266560196,61.80268343884495,999.9116444438243,1.8174491002483313,29.09453382096168,0.13914303365252753,0.014381053402447642,0.3374866320574508,0.999423379178722,0.9695370244882016,0.31772405643592916,0.5822402185002825,0.2310248142581003,0.4880881266973799,0.18250616089971888,0.7913881057036674,0.6537889760277789,0.7185303432785297,1.149467659249541,0.8024753712617403,0.47306679325454837,1.5889712681573094,0.7593923568126016,0.298916297129778,0.16875261700756114
