DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND45384,IND45385,IND45386,IND45387,IND45388,IND45389,IND45390,IND45392,IND45393,IND45394,IND45397,IND45398,IND45399,IND45400,IND45401,IND45402,IND45403,IND45426,IND45427,IND45463,IND45464,IND45465,IND45466,IND45467,IND45468,IND45469,IND45470,IND45471,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM112,SYM1994,SYM547,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1493510400,1.0,63.021,26.8677,941.946,76.0345,,,1.88767,0.778362849850781,3.16033,,,,,,,,,,,,,,,,,,,,,,41.005,78.9073,0.020104093585635918,0.7371743303127779,0.183715986166745,,,0.5926123929699674,0.02373957908081903,0.38016616953328586,52.193,,,76.265,76.265,76.0345,75.6708,0.5942000000000007,0.5942000000000007,0.3650833333333381,84.3478,84.3478,79.7338,79.5638,4.784000000000006,4.784000000000006,4.593883333333335,10.7825,10.7825,10.421716666666667,,,75.8993,81.2518,75.8672,81.0187,75.6708,80.6518,5.352500000000006,5.151499999999999,4.9809999999999945,,,10.7825,100.9327579923187,0.11583141157907513,0.23392855870366264,0.2878061803200233,1.0,1.0,9.5,18.8,18.8,-144.8,1582.37,,,189.364,22.7879,22.939280000000004,639.268,694.8272000000001,22.7358,1596.455,1509.6371428571429,12.914950000000001,12.684257142857142,-135.7,-144.8,22.742800000000003,0.1059623559319177,0.47420890589140785,0.6198338304667141,0.8271592078090626,0.976260420919181,0.2628256696872221,0.02373957908081903,0.4073876070300326,0.5269471980355962,0.9798959064143641,0.4324908014582227,0.816284013833255,0.6801259697656943,,0.0026430510841853085,0.016833411470923095,,8.239,78.66008333333333,22.7498,22.7498,11.9673,,,-136.16000000000003,0.6600148236829657,0.2119247118638354,0.005286102168370617,11.9673,,,22.7498,76.0345,8.239,,189.961,68.9817,,-94.46437876952967,,66.91288276198527,49.94592066006034,41.93712601684183,62.266078777044314,933.2411188760789,2.083057746564769,28.47638321207161,,0.0026430510841853085,,0.9798959064143641,0.976260420919181,0.4073876070300326,0.816284013833255,0.6198338304667141,0.1059623559319177,0.2628256696872221,,,,,0.5076418826226455,,1.0191152455606782,0.7579245313921658,0.7498178971006646,1.4487388429412251,0.6245321043463086,0.906841112006607,0.4851483044547185
1493511000,1.0,61.2885,26.834,661.447,75.254,26.772622653971204,62.706944622307255,2.00983,0.7738496779142864,3.37683,0.21649999999999991,0.0,-0.0058000000000006935,0.0,-0.1599999999999966,0.0,-1.7325000000000017,0.0,-0.8589000000000055,0.0,-0.16579999999999906,0.0,-149.3499999999999,0.0,0.04969999999999786,-0.9938300000000009,0.0,0.0,26.8677,-0.03369999999999962,0.0,40.9992,77.2282,0.023884356667070783,0.7289615165135874,0.8741556512139513,0.9924129484296513,0.5018088248007392,0.5580309101598775,0.02132655978982012,0.33319269549136143,52.033,0.12216000000000005,0.0,75.254,75.254,75.232,75.1285,0.1255000000000024,0.1255000000000024,0.2860000000000037,84.1963,84.1963,79.5708,79.2863,4.909999999999997,4.909999999999997,4.701133333333333,10.997999999999998,10.997999999999998,10.504416666666666,-0.37300000000001887,0.0,75.254,78.9073,75.232,78.8118,75.1285,78.6158,3.6533000000000015,3.579800000000006,3.4872999999999905,-0.7804999999999893,0.0,10.997999999999998,101.52800264116884,0.15528966194029953,0.27830266451047847,0.23392855870366264,1.0,1.0,9.8,19.8,19.8,-126.4,1433.02,18.400000000000006,0.0,189.961,22.77465,22.828580000000002,627.0145,656.2422000000001,22.7498,1577.3449999999998,1500.06,12.788,12.5739125,-135.7,-126.4,22.77465,0.5668332883553251,0.7663433466268141,0.6668073045086386,0.7912829385457469,0.9786734402101799,0.2710384834864125,0.023617157004660966,0.44196908984012256,0.5502599821288072,0.9761156433329292,0.36536839165841084,0.12584434878604864,0.7857192662575629,0.8554614968417432,0.008085887480615927,0.016668002343500285,0.573574216246839,7.24517,78.1735,22.7995,22.7995,11.8015,63.021,26.8677,-135.44000000000003,0.6337683683531998,0.8663334232893498,0.016171774961231854,11.8015,-280.499,0.0,22.7995,75.254,7.24517,63.021,189.588,68.1228,26.772622653971204,-96.30983430851933,62.706944622307255,65.9287213045424,49.61345208093633,41.784864559206135,62.26553731721815,651.4921822482385,1.9814753871445832,28.41119089771361,0.4981911751992608,0.008085887480615927,0.007587051570348711,0.9761156433329292,0.9786734402101799,0.44196908984012256,0.12584434878604864,0.6668073045086386,0.5668332883553251,0.2710384834864125,,,,0.40781189877762797,0.1914865965085845,0.43611710196936765,0.8798907929231768,0.9477654790868483,0.9578433799912395,1.178129921587485,0.5907769272308578,0.3209383312786787,0.35388517375022815
1493511600,1.0,63.0922,26.7555,967.369,75.2988,26.723377694922856,61.945938900452816,1.852,0.7738496779142864,1.31033,-2.0665,0.0,-0.1769000000000034,0.0,-0.2700000000000031,0.0,1.8036999999999992,0.0,0.596500000000006,0.0,-0.1830000000000016,0.0,151.37000000000012,0.0,-0.5159999999999982,1.0530000000000008,0.0,0.0,26.834,-0.07849999999999824,0.0,40.8223,76.246,0.04201296923518272,0.7239099317276395,0.1483417576321573,0.030634740461083942,0.5617139915736089,0.5931957094783141,0.02529778794278148,0.33664406805151126,51.763,-0.15782999999999991,0.0,75.3528,75.3528,75.2988,75.1952,0.15760000000000218,0.15760000000000218,0.26368333333333516,84.157,84.157,79.4832,79.303,4.853999999999999,4.853999999999999,4.771916666666667,10.665000000000001,10.665000000000001,10.564083333333333,-0.7860000000000014,0.0,75.254,77.2282,75.232,77.187,75.1285,76.9843,1.9741999999999962,1.9549999999999983,1.8558000000000021,0.044799999999995066,0.0,10.665000000000001,101.35274063622877,0.11902166381262373,0.21885760241592103,0.27830266451047847,1.0,1.0,11.2,22.7,22.7,-130.3,1584.39,-3.9000000000000057,0.0,189.588,22.742800000000003,22.67892,673.7004999999999,748.0068000000001,22.7498,1577.3449999999998,1488.2637499999998,12.6115,12.344937500000002,-135.7,-130.3,22.610933333333328,0.07813893427134247,0.7663433466268141,0.6633559319484887,0.7870712319839566,0.9747022120572185,0.2760900682723605,0.023617157004660966,0.4068042905216859,0.5839670222674449,0.9579870307648173,0.36536839165841084,0.8516582423678427,0.7857192662575629,0.7869857710477892,0.008049534522618865,0.016153598482233324,0.56987091488647,8.29817,77.8141625,22.2835,22.2835,11.6185,61.2885,26.834,-136.06000000000003,0.6337683683531998,0.15627786854268494,0.01609906904523773,11.6185,305.922,0.0,22.2835,75.2988,8.29817,61.2885,188.802,68.7193,26.723377694922856,-101.99099918437764,61.945938900452816,67.19619614162747,49.609773346067904,41.79719501226862,62.22528434398054,954.4576633325016,2.0960400563129715,28.299482446582562,0.43828600842639104,0.008049534522618865,0.9693652595389161,0.9579870307648173,0.9747022120572185,0.4068042905216859,0.8516582423678427,0.6633559319484887,0.07813893427134247,0.2760900682723605,,,,0.6535134547575643,0.49407232190906447,0.9251446637672807,0.9665423074823953,0.7469585028965845,0.760850454059149,0.9329516671145824,0.8922007395686243,1.090934528929394,0.3302693204965988
1493512200,1.0,61.9763,26.6988,566.985,74.7482,26.655054556887254,62.696965446891454,1.98417,0.7693365059777917,1.9215,0.61117,0.0,-0.09499999999999886,0.0,-0.21280000000000143,0.0,-1.1158999999999963,0.0,-0.7441000000000031,0.0,-0.2024999999999988,0.0,-209.58000000000015,0.0,-0.0470000000000006,-1.3806700000000003,0.0,0.0,26.7555,-0.05670000000000286,0.0,40.7273,76.0345,0.07008158754908755,0.7239475777060767,0.6213596740881423,0.8417369439588611,0.5421867166500968,0.5858331453199048,0.024063805093217816,0.33793344360530253,51.5502,0.1321699999999999,0.0,74.7482,74.7482,74.6527,74.4503,0.2978999999999985,0.2978999999999985,0.2726833333333355,84.0838,84.0838,79.4473,79.1538,4.929999999999993,4.929999999999993,4.827966666666666,10.8205,10.8205,10.646199999999999,0.9900000000000091,0.0,74.7482,76.246,74.6527,76.3447,74.4503,75.9558,1.497799999999998,1.6920000000000073,1.5054999999999978,-0.5506000000000029,0.0,10.8205,101.27782338497785,0.11716920852909288,0.3069924947411651,0.21885760241592103,1.0,1.0,10.7,21.6,21.6,-141.9,1374.81,-11.599999999999994,0.0,188.802,22.523400000000002,22.56102,673.7004999999999,764.7402000000001,22.2835,1502.67,1475.6577777777775,12.408750000000001,12.241722222222224,-135.7,-141.9,22.43983333333333,0.48497310255132875,0.865027458413983,0.6620665563946975,0.7469832561588505,0.9759361949067822,0.27605242229392335,0.023901692087018422,0.4141668546800951,0.5892227691449361,0.9299184124509124,0.298245981858599,0.3786403259118577,0.7505215007602735,0.8417369439588611,0.0044296467277649115,0.01613542200323479,0.5617139915736089,6.9175,76.8711,22.2365,22.2365,11.416,63.0922,26.7555,-135.20000000000002,0.607521913023434,0.9699462051026575,0.008859293455529823,11.416,-400.384,0.0,22.2365,74.7482,6.9175,63.0922,189.792,67.9752,26.655054556887254,-99.53532597691878,62.696965446891454,66.70430150554759,49.25346280200996,41.638501801063484,62.27309624226634,559.8313441677882,1.9830181889435372,28.24050341992587,0.45781328334990323,0.0044296467277649115,0.15826305604113883,0.9299184124509124,0.9759361949067822,0.4141668546800951,0.3786403259118577,0.6620665563946975,0.48497310255132875,0.27605242229392335,,,,0.6110765787867923,0.48424794763247175,0.8823430372104191,1.0474596926896342,0.8602782217718179,0.8832493286966973,0.6815035704011603,0.21391684944618422,0.4766929715243202,0.2068230631941463
1493512800,1.0,62.9557,26.6997,617.807,73.7425,26.588371585059626,62.326316805280335,1.80833,0.7648233340412971,-7.23033,-9.15183,0.0,-0.32809999999999917,0.0,-0.31400000000000006,0.0,0.9793999999999983,0.0,-0.522500000000008,0.0,-0.10079999999999956,0.0,29.720000000000027,0.0,-0.21679999999999922,0.45716999999999963,0.0,0.0,26.6988,9.000000000014552E-4,0.0,40.3992,75.8993,0.30873523906446,0.7217795410730673,0.18406960753657986,0.18856065983944925,0.3969118398908673,0.6100514405139208,0.021744538781241163,0.9677295115134577,51.2362,-0.17584,0.0,73.7425,73.7425,73.4988,73.4667,0.2758000000000038,0.2758000000000038,0.253833333333335,83.8007,83.8007,79.0615,78.8192,4.981500000000011,4.981500000000011,4.874250000000001,10.7045,10.7045,10.694199999999999,-0.29599999999999227,0.0,73.7425,76.0345,73.4988,76.265,73.4667,75.9392,2.2919999999999874,2.7661999999999978,2.4724999999999966,-1.0056999999999903,0.0,10.7045,90.46354703800225,0.13400016543113114,0.25106406769183387,0.3069924947411651,1.0,1.0,8.6,17.6,17.6,-137.6,1404.53,4.300000000000011,0.0,189.792,22.29725,22.4178,639.627,751.1108,22.2365,1428.49,1468.5449999999998,12.2178,12.149070000000002,-138.2,-137.6,22.179899999999996,0.20334194092226454,0.8643744759762996,0.0322704884865424,0.7068952803337446,0.9782554612187588,0.2782204589269327,0.023820635583918726,0.38994855948607926,0.5927582220970541,0.69126476093554,0.33967412966290067,0.8159303924634201,0.7153237352629839,0.8109302192826047,0.0036277571177551027,0.01611724552423626,0.5594871805973629,7.37467,75.93243749999999,22.0197,22.0197,11.3152,61.9763,26.6988,-136.20000000000002,0.6841466856858428,0.4066838818445291,0.007255514235510205,11.3152,50.822,0.0,22.0197,73.7425,7.37467,61.9763,189.496,67.4527,26.588371585059626,-91.25662092479928,62.326316805280335,67.122854115752,48.7983373433938,41.47129577656155,62.17824095232266,682.934751320849,1.9144317995026454,28.20359611543111,0.6030881601091327,0.0036277571177551027,0.8114393401605507,0.69126476093554,0.9782554612187588,0.38994855948607926,0.8159303924634201,0.0322704884865424,0.20334194092226454,0.2782204589269327,,,,0.49385527623132275,0.777497769986949,0.6591763224934034,0.8378426617264183,0.9376223371274276,0.9569426105130411,0.7652721241843006,0.7880708001883371,0.7242389209576049,0.3866083858592828
1493513400,1.0,63.386,26.656,683.644,72.9748,26.595377254389465,62.6771269419637,1.98867,0.7603101621048025,4.5705,11.800830000000001,0.0,-0.35900000000000176,0.0,-0.4708999999999932,0.0,0.43030000000000257,0.0,0.6386000000000109,0.0,-0.1327000000000016,0.0,61.36000000000013,0.0,-0.1612000000000009,0.028999999999999915,0.0,0.0,26.6997,-0.04370000000000118,0.0,40.0402,75.2988,0.14674019591493903,0.721864354440892,0.051427986220552335,0.1620811980461394,0.4977119822948296,0.7010083817119286,0.02443460607436776,0.4684388388589835,50.7653,0.18033999999999994,0.0,72.9748,73.1468,72.7487,72.7487,0.39809999999999945,0.39809999999999945,0.3081833333333345,83.5668,83.5668,78.7532,78.49,5.076800000000006,5.076800000000006,4.922716666666668,10.676,10.676,10.774416666666667,-0.5100000000000193,0.0,72.9748,76.0345,72.7487,76.265,73.1468,75.6708,3.0596999999999923,3.516300000000001,2.524000000000001,-0.7677000000000049,0.0,10.676,99.85975241839627,0.11223703919812741,0.3350543748811319,0.25106406769183387,1.0,1.0,11.6,22.1,22.1,-136.4,1465.89,1.1999999999999886,0.0,189.496,22.259999999999998,22.32458333333333,672.5455,739.8663333333332,22.0197,1428.49,1468.303636363636,12.0418,12.061200000000001,-137.0,-136.4,22.03823333333333,0.42922772224620037,0.8637214935386162,0.5315611611410165,0.6668073045086386,0.9755653939256322,0.278135645559108,0.024063805093217816,0.2989916182880714,0.5931957094783141,0.853259804085061,0.30873523906446,0.9485720137794477,0.6801259697656943,0.7801234946063481,0.005382756081865144,0.01609906904523773,0.5572603696211169,7.40367,75.190875,21.8585,21.8585,11.1825,62.9557,26.6997,-136.23333333333332,0.6600148236829657,0.8584554444924007,0.010765512163730288,11.1825,65.83699999999999,0.0,21.8585,72.9748,7.40367,62.9557,188.986,68.0913,26.595377254389465,-100.29889980287214,62.6771269419637,67.36928484772803,48.449477285229555,41.34907984363564,62.11290667465312,684.6041407509622,2.0035050381760175,28.16132653737901,0.5022880177051704,0.005382756081865144,0.8379188019538606,0.853259804085061,0.9755653939256322,0.2989916182880714,0.9485720137794477,0.5315611611410165,0.42922772224620037,0.278135645559108,,,,0.26574039701881264,0.3382222692480081,0.5703461727374509,0.8770306416693233,0.9667861935699439,1.0823210754891275,0.8776990540372154,0.597535820829073,0.47881233316592897,0.47607540903761353
1493514000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.254,,,,,,,,,,,,72.5858,72.5858,72.5443,72.5087,0.0771000000000015,0.0771000000000015,0.2220000000000013,83.3188,83.3188,78.4598,78.179,5.139799999999994,5.139799999999994,4.9820166666666665,10.6975,10.6975,10.76025,,,72.5858,75.2988,72.5443,75.3528,72.5087,75.1952,2.712999999999994,2.808499999999995,2.6864999999999952,,,,,,0.24829867750219073,0.3350543748811319,1.0,1.0,12.1,,25.1,,,,,188.986,22.1281,,672.5455,,21.8585,1428.49,,11.8844,,-137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493514600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7482,,,,,,,,,,,,73.1375,73.1375,72.9468,72.6075,0.5300000000000011,0.5300000000000011,0.28941666666666777,83.3653,83.3653,78.523,78.193,5.172300000000007,5.172300000000007,5.025733333333335,11.186500000000002,11.186500000000002,10.791666666666666,,,72.5858,75.2988,72.5443,75.3528,72.5087,75.1952,2.712999999999994,2.808499999999995,2.6864999999999952,,,,,,0.2661302869807384,0.24829867750219073,1.0,1.0,9.2,,17.799999999999997,,,,,189.165,22.06135,,747.1855,,21.8585,1428.49,,11.71,,-139.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493515200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7425,,,,,,,,,,,,73.3162,73.3162,73.222,72.797,0.5191999999999979,0.5191999999999979,0.3496833333333337,83.3655,83.3655,78.5772,78.2393,5.126199999999997,5.126199999999997,5.071100000000001,10.892499999999998,10.892499999999998,10.829583333333332,,,72.5858,74.7482,72.5443,74.6527,72.5087,74.4503,2.162399999999991,2.108399999999989,1.941599999999994,,,,,,0.21158430542160644,0.2661302869807384,1.0,1.0,10.2,,20.1,,,,,189.501,21.9391,,747.1855,,21.7455,1449.455,,11.51725,,-139.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493515800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5815,,,,,,,,,,,,73.5815,73.5815,73.3687,73.1592,0.422300000000007,0.422300000000007,0.37041666666666845,83.5052,83.5052,78.7843,78.4142,5.091000000000008,5.091000000000008,5.097933333333337,11.109,11.109,10.877666666666666,,,72.5858,73.7425,72.5443,73.4988,72.5087,73.4667,1.1567000000000007,0.9544999999999959,0.9579999999999984,,,,,,0.2822645946858498,0.21158430542160644,1.0,1.0,13.7,,27.0,,,,,189.635,21.802,,832.1485,,21.6085,1488.4450000000002,,11.3656,,-139.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
