DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND45384,IND45385,IND45386,IND45387,IND45388,IND45389,IND45390,IND45392,IND45393,IND45394,IND45397,IND45398,IND45399,IND45400,IND45401,IND45402,IND45403,IND45426,IND45427,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM1921,SYM1994,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1493164800,1.0,61.3322,28.2602,80.2717,67.4055,28.327787615985574,,3.31833,0.3238911911115431,0.754833,0.15049999999999997,0.0,0.1407999999999987,0.0,-0.09179999999999922,0.0,-0.5628000000000029,0.0,-0.8175000000000026,0.0,-0.06332999999999878,0.0,0.2999999999999545,0.0,0.9722000000000008,-0.2613399999999997,0.0,0.0,28.4232,-0.16300000000000026,0.0,37.183,67.7807,,0.35356082010517276,,,0.7712848512324768,0.5954697288900114,0.027039825047765698,0.6471725440760672,46.634,0.2909999999999999,0.0,67.4055,67.4512,67.2487,67.2487,0.20250000000000057,0.20250000000000057,0.14960000000000423,81.7962,81.7962,76.1862,75.1328,6.663399999999996,6.663399999999996,6.475249999999997,13.04833,13.04833,11.781498333333333,,,-0.1214999999999975,0.0,13.04833,89.42994226470442,0.0864591660936061,0.005755536003271965,0.003736274018684593,1.0,1.0,7.9,14.600000000000001,14.600000000000001,-94.9,1050.22,17.0,0.0,189.938,21.45995,21.548166666666663,268.61,240.20361666666668,21.6358,1223.515,1222.1183333333333,9.965,9.950875833333335,-134.8,-94.9,21.7422,0.7244218090493115,0.7479939081939789,0.35282745592393283,0.5141768378702631,0.9729601749522343,0.6464391798948272,0.027982867227533126,0.4045302711099886,0.7411020529315917,,,,,,0.04588980786801251,0.014376382517768255,0.6881513465894957,4.11533,68.01102222222222,,,9.55967,,28.4232,-126.73333333333332,0.9065556633712653,0.551156381901377,0.09177961573602501,9.55967,-28.943300000000008,0.0,22.608,67.4055,4.11533,61.895,189.708,63.0395,28.327787615985574,-83.6663835480245,,,44.3040330946143,38.04104326997705,,89.75931099497205,3.240567133052469,27.246325983048344,0.22871514876752316,0.04588980786801251,,,0.9729601749522343,0.4045302711099886,,0.35282745592393283,0.7244218090493115,0.6464391798948272,,,0.7180445324124174,0.26212522743703714,,,0.38599600699440323,0.36598217783274495,,0.8376317056118993,0.7926338166687956,1.148290616307148
1493165400,1.0,60.9527,28.0422,82.8928,67.4392,28.16460107141296,,3.26217,0.341619559607923,-4.39433,-5.149163,0.0,0.11699999999999733,0.0,-0.10849999999999937,0.0,-0.37950000000000017,0.0,-0.3266999999999953,0.0,-0.03884000000000043,0.0,-0.43000000000006366,0.0,-0.0707000000000022,0.02783999999999942,0.0,0.0,28.2602,-0.21799999999999997,0.0,37.3,67.6717,,0.37329476608134193,,,0.848052916290968,0.5758113277924091,0.02803988434509297,0.711023104107595,46.5255,-0.05616000000000021,0.0,67.4392,67.472,67.3105,67.3105,0.16149999999998954,0.16149999999998954,0.15356666666666757,81.1627,81.1627,75.5267,74.4817,6.680999999999997,6.680999999999997,6.536949999999997,13.016469999999998,13.016469999999998,12.019709999999998,,,0.033699999999996066,0.0,13.016469999999998,87.13194916981111,0.1013757581755033,0.005892028305714491,0.005755536003271965,1.0,1.0,6.7,14.3,14.3,-99.0,1049.79,-4.099999999999994,0.0,189.708,21.51525,21.716849999999997,199.9635,212.93441666666664,22.5373,1191.52,1207.4841666666666,9.929585,9.878778333333333,-123.75,-99.0,22.260366666666663,0.6358343893167933,0.7568393525910262,0.288976895892405,0.5141768378702631,0.971960115654907,0.6267052339186581,0.02810337100533647,0.4241886722075909,0.7359550278539893,,,,,,0.01955895148271848,0.02297129477576116,0.6881513465894957,4.14317,67.83939999999998,,,9.52083,,28.2602,-120.89999999999999,0.9065556633712653,0.7283312213664135,0.03911790296543696,9.52083,2.6210999999999984,0.0,22.5373,67.4392,4.14317,61.3322,188.791,62.7128,28.16460107141296,-83.03829008157021,,,44.30595503682351,38.07259850767004,,95.13479359729524,3.2106502807013984,27.180335471877008,0.15194708370903204,0.01955895148271848,,,0.971960115654907,0.4241886722075909,,0.288976895892405,0.6358343893167933,0.6267052339186581,,,0.5773968731903167,0.3312347056961828,,,0.2980841050914065,0.4614049881391435,,0.6535485174729412,0.855343748155549,0.9217563939647448
1493166000,1.0,60.7233,27.8172,93.8993,67.4815,27.95664560581495,,3.20183,0.3516361443685405,7.06717,11.461500000000001,0.0,0.10529999999999973,0.0,-0.11180000000000234,0.0,-0.22939999999999827,0.0,-0.23080000000000211,0.0,-0.07949999999999946,0.0,0.36000000000012733,0.0,0.37200000000000344,0.05433000000000021,0.0,0.0,28.0422,-0.22500000000000142,0.0,37.4053,67.6065,,0.3985846110405977,,,0.8566773973967404,0.5752905793239036,0.029733294973425917,0.6939190197624197,46.4137,-0.060339999999999616,0.0,67.4815,67.5815,67.3758,67.3758,0.20570000000000732,0.20570000000000732,0.17418333333333416,80.556,80.556,74.8953,73.8833,6.672699999999992,6.672699999999992,6.5715999999999966,13.467970000000001,13.467970000000001,12.352116666666664,,,0.04229999999999734,0.0,13.467970000000001,89.82860978124666,0.1288459797498511,0.0033073665866025052,0.005892028305714491,1.0,1.0,7.2,14.5,14.5,-104.8,1050.15,-5.799999999999997,0.0,188.791,22.08655,21.96928333333333,101.55715000000001,180.1323,22.608,1147.705,1183.3633333333332,9.88067,9.812780833333335,-108.35,-104.8,22.684866666666665,0.6041388235839328,0.7853772803739084,0.3060809802375804,0.46511904421778316,0.9702667050265741,0.6014153889594023,0.028231488859808584,0.4247094206760964,0.7359550278539893,,,,,,0.014146789844391697,0.027626498180500232,0.7510722234552853,4.1975,67.69995555555553,,,9.44133,,28.0422,-114.46666666666667,0.9065556633712653,0.7917223528321344,0.028293579688783394,9.44133,11.006500000000003,0.0,22.9093,67.4815,4.1975,60.9527,189.203,62.482,27.95664560581495,-83.39585949924509,,,44.36474894351194,38.15368912289158,,104.53161885580374,3.1574496036723367,27.09365905679781,0.1433226026032596,0.014146789844391697,,,0.9702667050265741,0.4247094206760964,,0.3060809802375804,0.6041388235839328,0.6014153889594023,,,0.7249941222295383,0.34380039080718827,,,0.2246885171428115,0.14364517851763045,,0.6046068233604032,0.8791014398669496,0.5674703448475753
1493166600,1.0,60.5342,27.6453,118.338,67.593,27.714931914392114,,2.9985,0.36836127958729964,3.12767,-3.9395,0.0,0.038900000000005264,0.0,-0.013700000000000045,0.0,-0.18910000000000338,0.0,-0.06519999999999726,0.0,-0.10666000000000153,0.0,-0.07000000000016371,0.0,-0.7886000000000024,0.18467000000000056,0.0,0.0,27.8172,-0.17190000000000083,0.0,37.4442,67.593,,0.41902497718492293,,,0.7701543960912525,0.5749761464567777,0.031493358894702395,0.6157490993753718,46.4,-0.20333000000000023,0.0,67.737,67.7665,67.593,67.593,0.17349999999999,0.17349999999999,0.14568333333333308,80.0577,80.0577,74.3655,73.4243,6.633399999999995,6.633399999999995,6.606249999999996,12.78603,12.78603,12.5994,,,0.1115000000000066,0.0,12.78603,94.02432455059234,0.14024307591900817,0.005920475071594083,0.0033073665866025052,1.0,1.0,10.7,20.5,20.5,-122.6,1050.08,-17.799999999999997,0.0,189.203,22.329,22.132316666666668,101.55715000000001,145.39046666666664,22.5373,1121.4650000000001,1155.7633333333333,9.779085,9.749028333333333,-108.35,-122.6,22.522433333333332,0.5665685196867088,0.8480778086779703,0.38425090062462813,0.3763950394494543,0.9685066411052976,0.5809750228150771,0.028495485039471496,0.4250238535432223,0.7262168697664496,,,,,,0.00910081997237634,0.027626498180500232,0.7710022374471708,4.38217,67.61278888888889,,,9.33467,,27.8172,-112.30000000000001,0.9065556633712653,0.8668629606265823,0.01820163994475268,9.33467,24.438699999999997,0.0,22.1207,67.593,4.38217,60.7233,189.898,62.4168,27.714931914392114,-95.55742614268166,,,44.394033692435926,38.202015680239434,,125.85892062040287,2.9669332041903806,27.046836641101535,0.2298456039087476,0.00910081997237634,,,0.9685066411052976,0.4250238535432223,,0.38425090062462813,0.5665685196867088,0.5809750228150771,,,0.47369765476460385,0.4787884012766227,,,0.521346040143468,0.3072810900195358,,0.5203874542868909,0.7087203489167467,0.377838888746653
1493167200,1.0,60.344,27.506,183.408,67.8285,27.508969798683466,,2.507,0.3922621498007838,0.355833,-2.771837,0.0,-0.014400000000001967,0.0,0.0,1.0,-0.19019999999999726,0.0,0.015200000000000102,0.0,-0.022669999999999746,0.0,6.080000000000155,0.0,-0.8290000000000006,0.6599999999999993,0.0,0.0,27.6453,-0.13929999999999865,0.0,37.4298,67.593,,0.424666546037076,,,0.6551559566790108,0.5749459934705614,0.031494587983534994,0.8787587628527013,46.4,-0.4914999999999998,0.0,67.9222,67.9687,67.8285,67.8285,0.140199999999993,0.140199999999993,0.16303333333333114,79.5673,79.5673,73.8582,72.9748,6.592500000000001,6.592500000000001,6.639133333333331,11.9797,11.9797,12.71855,,,0.23550000000000182,0.0,11.9797,87.59435852656675,0.11742523556325948,0.04584467578956741,0.005920475071594083,1.0,1.0,18.7,36.8,36.8,-129.3,1056.16,-6.700000000000017,0.0,189.898,22.329,22.183799999999998,101.55715000000001,111.33746666666664,22.1207,1082.545,1139.7666666666667,9.6705,9.684836666666666,-108.35,-129.3,22.10723333333333,0.9240295101767065,0.7853772803739084,0.1212412371472987,0.34301628825665575,0.968505412016465,0.575333453962924,0.029442871181731695,0.42505400652943864,0.7247752055276951,,,,,,0.40126256539102495,0.03641182214627357,0.7710022374471708,5.04217,67.59262222222222,,,9.312,,27.6453,-110.41666666666666,0.9363090114477872,0.15194097964658693,0.8025251307820499,9.312,65.07,0.0,21.2917,67.8285,5.04217,60.5342,189.187,62.432,27.508969798683466,-127.20342876998825,,,44.393034251668695,38.206598910429975,,209.3833473811828,2.3003661976490877,27.001779376583965,0.34484404332098917,0.40126256539102495,,,0.968505412016465,0.42505400652943864,,0.1212412371472987,0.9240295101767065,0.575333453962924,,,0.5434329306677097,0.3825684735367798,,,0.35039577526002713,0.5335567221542418,,0.8140117636894036,0.6632200828446309,0.38077685224444907
1493167800,1.0,60.174,27.4027,190.873,68.2797,27.34772199347536,,2.15,0.4139148856488416,-1.21,-1.565833,0.0,-0.1775999999999982,0.0,0.0033000000000029672,1.0,-0.1700000000000017,0.0,-0.052199999999999136,0.0,-0.050670000000000215,0.0,-3.4500000000000455,0.0,-0.442499999999999,0.12950000000000017,0.0,0.0,27.506,-0.10330000000000084,0.0,37.2522,67.593,,0.4377257122038237,,,0.5231458367531502,0.6030364697491077,0.030330309114430243,0.9007641898640262,46.4033,-0.3570000000000002,0.0,68.2797,68.3197,68.252,68.252,0.06770000000000209,0.06770000000000209,0.15851666666666375,79.2293,79.2293,73.4787,72.67,6.559299999999993,6.559299999999993,6.633716666666662,11.58787,11.58787,12.647728333333333,,,0.45120000000000005,0.0,11.58787,87.01983447399863,0.06696289593110157,0.04233675763534873,0.04584467578956741,1.0,1.0,11.7,22.9,22.9,-121.0,1052.71,8.300000000000011,0.0,189.187,22.329,22.0527,106.11865,124.94713333333334,21.2917,1054.435,1109.5983333333334,9.591335,9.6239475,-112.9,-121.0,21.42053333333333,0.48402301152513183,0.8480778086779703,0.09923581013597378,0.34301628825665575,0.9696696908855698,0.5622742877961763,0.03018105557917916,0.3969635302508923,0.7169712801037056,,,,,,0.011707524615329019,0.03641182214627357,0.7710022374471708,5.17167,67.66742222222221,,,9.26133,,27.506,-111.93333333333334,0.8952628331111949,0.9680460230502637,0.023415049230658038,9.26133,7.465000000000003,0.0,20.8492,68.2797,5.17167,60.344,189.067,62.3798,27.34772199347536,-100.39731653936542,,,44.35873239064046,38.16219383169737,,219.3442462327741,2.1472949197399376,27.00438244880479,0.4768541632468498,0.011707524615329019,,,0.9696696908855698,0.3969635302508923,,0.09923581013597378,0.48402301152513183,0.5622742877961763,,,0.41524130813961857,0.8652794820599249,,,0.41979836840913565,0.47646676615921096,,0.756315239861907,0.7102690948810205,0.5188023626816752
1493168400,1.0,60.2182,27.3942,200.972,68.5913,27.295743617324145,,2.26783,0.4232561538240377,3.195,4.404999999999999,0.0,0.010799999999996146,0.0,0.11019999999999897,1.0,0.04420000000000357,0.0,0.09799999999999898,0.0,0.00484000000000151,0.0,7.339999999999918,0.0,2.0112999999999985,-0.018339999999999357,0.0,0.0,27.4027,-0.008499999999997954,0.0,37.263,67.593,,0.4406194171188317,,,0.43204609142108563,0.612852748046637,0.029316753987680633,0.8120340810155791,46.5135,0.1178300000000001,0.0,68.5913,68.5913,68.5092,68.5068,0.08450000000000557,0.08450000000000557,0.13884999999999792,78.775,78.775,72.9522,72.1068,6.668199999999999,6.668199999999999,6.634516666666663,13.594329999999998,13.594329999999998,12.73872833333333,,,0.31159999999999854,0.0,13.594329999999998,91.2552396933168,0.08440678163439949,0.08189618674850421,0.04233675763534873,1.0,1.0,10.6,21.1,21.1,-141.5,1060.05,-20.5,0.0,189.067,22.329,22.094783333333332,150.873,145.06385,21.2917,1054.435,1087.0874999999999,9.54025,9.561361666666667,-121.8,-141.5,21.667133333333332,0.6836538710501673,0.8480778086779703,0.18796591898442097,0.34301628825665575,0.9706832460123194,0.5593805828811683,0.03018105557917916,0.38714725195336297,0.7118682206409797,,,,,,0.003511441382342062,0.03641182214627357,0.7710022374471708,5.15333,67.75748888888889,,,9.26617,,27.4027,-119.69999999999999,0.8620775923934207,0.6326922578996654,0.007022882764684124,9.26617,10.099000000000018,0.0,22.8605,68.5913,5.15333,60.174,189.316,62.4778,27.295743617324145,-96.74357935904106,,,44.43317165018618,38.20604171400916,,220.23064174222802,2.2023632115251486,27.065857655736387,0.5679539085789144,0.003511441382342062,,,0.9706832460123194,0.38714725195336297,,0.18796591898442097,0.6836538710501673,0.5593805828811683,,,0.8190364364497212,0.6337859357469329,,,0.5076996169266845,0.3083410683724214,,0.8702153101404795,0.7061663938107324,0.40239871684761713
1493169000,1.0,60.9967,27.42,372.611,68.9585,27.311054440633985,60.45377313181048,2.0195,0.4344609206621368,5.66317,2.46817,0.0,0.42370000000000374,0.0,0.15169999999999817,1.0,0.778499999999994,0.0,1.4024,0.0,0.10665999999999976,0.0,151.1500000000001,0.0,2.6140000000000008,0.9419999999999993,0.0,0.0,27.3942,0.025800000000000267,0.0,37.6867,67.593,0.18285703131661935,0.44038992423698053,0.27326668853036473,0.17600086215985333,0.4140217694920263,0.5757666713350775,0.03456593020985965,0.6736213461889646,46.6652,-0.24833000000000016,0.0,68.9843,68.9843,68.9585,68.8988,0.08550000000001035,0.08550000000001035,0.1261833333333347,78.2277,78.2277,72.383,71.5402,6.6875,6.6875,6.635599999999997,16.10167,16.10167,13.252928333333333,,,0.36719999999999686,0.0,16.10167,96.5939340951849,0.1094441154129473,0.27411509067886164,0.08189618674850421,1.0,1.0,10.0,20.0,20.0,-138.5,1211.2,3.0,0.0,189.316,22.4906,22.584316666666666,187.14049999999997,193.35021666666663,22.8605,1054.435,1095.61,9.48108,9.514264166666667,-125.95,-138.5,23.0614,0.39391645008735093,0.8480778086779703,0.3263786538110353,0.34621525539570847,0.9654340697901403,0.5596100757630195,0.031202596449634357,0.4242333286649224,0.6878850431410647,0.8171429686833807,0.5673831519845903,0.7267333114696353,0.4178940591244216,0.7341953073227103,0.004260852600872253,0.03641182214627357,0.7710022374471708,6.09533,67.90046666666666,25.4745,,9.37283,60.2182,27.3942,-126.28333333333332,0.7989619033983377,0.7878329001747019,0.008521705201744506,9.37283,171.63899999999998,0.0,25.4745,68.9585,6.09533,60.2182,189.664,63.8802,27.311054440633985,-94.55818993314637,60.45377313181048,63.316968650298826,44.809845181502865,38.48529091147451,60.46269899614452,385.74989567442645,2.0404886260328596,27.09170317642639,0.5859782305079737,0.004260852600872253,0.8239991378401467,0.8171429686833807,0.9654340697901403,0.4242333286649224,0.7267333114696353,0.3263786538110353,0.39391645008735093,0.5596100757630195,,,0.46397777662162115,0.36357095905563047,0.7027030434581635,1.797362314104237,0.4226558841362698,0.5709665660132147,1.4846167039740628,0.7902402518810101,0.7665532646657978,0.7770647076888504
1493169600,1.0,62.705,27.445,599.441,69.2207,27.328835389379194,61.44195759250771,1.81817,0.4387033871591397,0.52,-5.14317,0.0,0.7205000000000013,0.0,0.3500000000000014,1.0,1.7083000000000013,0.0,2.770799999999994,0.0,0.20416999999999952,0.0,199.21000000000004,0.0,0.35930000000000106,1.17584,0.0,0.0,27.42,0.02499999999999858,0.0,38.4072,67.8285,0.08157576097007813,0.4390292788109117,0.04392597315213609,0.017282449946595668,0.40608566521667255,0.4735248653732971,0.0350964251139545,0.8504932676946381,47.0152,-0.2013299999999998,0.0,69.2403,69.2403,69.2207,69.1352,0.1051000000000073,0.1051000000000073,0.10941666666666805,77.9977,77.9977,72.1888,71.3917,6.6059999999999945,6.6059999999999945,6.62448333333333,16.2568,16.2568,13.717733333333332,,,0.2621999999999929,0.0,16.2568,94.66757515672447,0.057900998051207714,0.3302063354846977,0.27411509067886164,1.0,1.0,7.2,14.3,14.3,-121.3,1410.41,17.200000000000003,0.0,189.664,22.4906,23.07173333333333,195.9225,277.60716666666667,25.4745,1054.435,1118.6441666666665,9.48108,9.485583333333334,-125.95,-121.3,24.72293333333333,0.16385380799902408,0.8480778086779703,0.1495067323053619,0.3231796866719826,0.9649035748860455,0.5609707211890883,0.031494280711326844,0.5264751346267029,0.625652362316668,0.9184242390299219,0.45064127881527416,0.9560740268478639,0.3181996431398949,0.5806225788021139,0.006191881960870379,0.03641182214627357,0.7710022374471708,7.27117,68.08865555555555,25.8338,25.8338,9.577,60.9967,27.42,-129.0333333333333,0.8408784710248733,0.32770761599804815,0.012383763921740757,9.577,226.83000000000004,0.0,25.8338,69.2207,7.27117,60.9967,189.496,66.651,27.328835389379194,-83.07156187940853,61.44195759250771,65.29521700747809,45.266059756454936,38.806307564007824,61.18796110676889,633.2062472368294,1.9544149907430264,27.09295356484286,0.5939143347833274,0.006191881960870379,0.9827175500534043,0.9184242390299219,0.9649035748860455,0.5264751346267029,0.9560740268478639,0.1495067323053619,0.16385380799902408,0.5609707211890883,,,0.2007677009270438,0.32143969356661994,0.5984719066024702,0.6745979298664125,0.8272722124081621,0.5897754752664592,0.893833298289793,0.249657580159616,0.6181948902692306,0.8729261723058234
1493170200,1.0,63.4318,27.5283,403.539,69.4282,27.359525357645495,62.58912534225326,1.8685,0.4387033871591397,-3.92817,-4.44817,0.0,0.8155000000000001,0.0,0.4380999999999986,1.0,0.7268000000000043,0.0,0.6437999999999988,0.0,-0.12082999999999977,0.0,-169.41000000000008,0.0,0.507200000000001,-0.8769999999999998,0.0,0.0,27.445,0.08330000000000126,0.0,39.2227,68.2797,0.11464444303191135,0.43621698451930857,0.02973486042744722,0.10716470640544495,0.2838731137649986,0.35002129883497046,0.04334248694510079,0.8874758492957479,47.4533,0.050329999999999986,0.0,69.4282,69.4282,69.3443,69.3443,0.08389999999999986,0.08389999999999986,0.09448333333333636,77.657,77.657,71.9328,71.1422,6.514799999999994,6.514799999999994,6.604716666666663,16.88483,16.88483,14.400866666666662,,,0.20750000000001023,0.0,16.88483,92.15516776184332,0.07581531301169658,0.33089147809058894,0.3302063354846977,1.0,1.0,8.7,18.0,18.0,-126.6,1241.0,-5.299999999999997,0.0,189.496,24.167499999999997,23.775116666666666,286.7915,325.1406666666666,25.8338,1054.435,1125.2766666666666,9.44875,9.453583333333334,-127.95,-126.6,25.883100000000002,0.2992376816537344,0.7907499896677763,0.1125241507042521,0.3231796866719826,0.9566575130548992,0.5637830154806914,0.03379809465327849,0.6499787011650295,0.6103986784722547,0.8853555569680887,0.3256951318973622,0.9702651395725528,0.23578177795700236,0.3378140267510197,0.006025660647055553,0.03641182214627357,0.7710022374471708,6.39417,68.3134,26.341,,9.45617,62.705,27.445,-129.7,0.8716923890631855,0.5984753633074688,0.012051321294111106,9.45617,-195.90200000000004,0.0,26.341,69.4282,6.39417,62.705,189.369,67.2948,27.359525357645495,-90.51982073513182,62.58912534225326,66.25141112941965,45.83423154457654,39.231931677184555,61.85074033418637,437.89079853108854,1.9281944382469562,27.083734560970065,0.7161268862350014,0.006025660647055553,0.892835293594555,0.8853555569680887,0.9566575130548992,0.6499787011650295,0.9702651395725528,0.1125241507042521,0.2992376816537344,0.5637830154806914,,,0.48732862991923726,0.09284515265991126,0.7720634974147439,1.1171535704540128,0.7066829531968493,0.3652624849438503,1.0204556588476856,0.9833181933897599,0.7504121927676897,0.8865250140683298
