DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND45384,IND45385,IND45386,IND45387,IND45388,IND45389,IND45390,IND45392,IND45393,IND45394,IND45397,IND45398,IND45399,IND45400,IND45401,IND45402,IND45403,IND45426,IND45427,IND45463,IND45464,IND45465,IND45466,IND45467,IND45468,IND45469,IND45470,IND45471,IND45510,IND45511,IND45512,IND45513,IND45514,IND45515,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5106,IND5114,IND5118,IND5126,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM112,SYM246,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1494201600,1.0,62.3385,31.5572,601.574,85.096,31.673368925778522,63.025211756326996,1.89183,0.6113944035997307,2.329,3.2,0.0,-0.1343000000000032,0.0,-0.14260000000000161,0.0,-1.3214999999999932,0.0,-1.5100000000000051,0.0,-0.3249999999999993,0.0,-127.73000000000002,0.0,-0.129999999999999,-0.8261699999999994,0.0,0.0,31.7352,-0.17799999999999727,0.0,47.3657,0.024914015367517583,0.6288604029333773,0.5188812302981225,0.8290131288134373,0.7446426422286649,0.8068155411482915,0.017669007740009124,0.7078699007254119,59.7617,0.13083,0.0,85.1492,85.1492,85.096,85.096,0.0531999999999897,0.0531999999999897,0.6362499999999969,87.7808,87.7808,82.975,82.975,4.805800000000005,4.805800000000005,4.683483333333335,10.179200000000002,10.179200000000002,9.436366666666666,0.117999999999995,0.0,85.096,91.553,85.1492,91.15,85.1035,90.4315,6.456999999999994,6.000800000000012,5.328000000000003,85.1492,85.1035,-2.323600000000013,-2.1700000000000017,0.0,0.0,-2.415999999999997,0.0,10.179200000000002,96.91482611419562,0.09514503607007901,0.30072631860969656,0.28567672175332715,1.0,1.0,9.7,19.299999999999997,19.299999999999997,-143.2,1419.71,-17.299999999999983,0.0,189.143,27.81191666666666,1077.7533333333333,1622.039,18.600509999999996,-143.2,28.029266666666665,0.3392553511304074,0.5655343929072482,0.29213009927458805,0.42709608265314136,0.9823309922599909,0.3711395970666227,0.032846567224214474,0.19318445885170857,0.9205583153500199,0.9750859846324824,0.00718295365246116,0.48111876970187756,0.22390845962243114,0.5109644655752326,0.004904152585397436,0.034086848691473666,0.89957078005972,7.2775,88.6059625,28.0545,28.0545,17.8753,63.66,31.7352,-110.81666666666668,0.7770735139768528,0.6785107022608148,0.009808305170794873,17.8753,-189.16500000000008,0.0,28.0545,85.096,7.2775,63.66,189.261,69.9593,31.673368925778522,-104.97783101287894,63.025211756326996,68.35109851288271,57.53135484579778,49.98196154752573,62.40224270437112,620.7244279540469,1.9339229767811565,32.39150452905718,0.255357357771335,0.004904152585397436,0.17098687118656278,0.9750859846324824,0.9823309922599909,0.19318445885170857,0.48111876970187756,0.29213009927458805,0.3392553511304074,0.3711395970666227,39.69199806157768,,0.5151722575951128,0.6614913294109663,0.4519055366144552,0.3672484895782885,1.0527772524410148,0.8630743637156365,0.8912790463466479,0.6329133014843983,0.36226648427330216,0.3986968668861185
1494202200,1.0,61.2928,31.4462,641.775,83.2442,31.493408556614398,62.365054469566665,1.965,0.6113944035997307,6.58917,4.2601700000000005,0.0,-0.19119999999999493,0.0,-0.3819999999999979,0.0,-1.0457000000000036,0.0,-1.2107999999999919,0.0,-0.24929999999999808,0.0,31.029999999999973,0.0,-0.24050000000000082,0.06932999999999989,0.0,0.0,31.5572,-0.11100000000000065,0.0,47.1745,0.06271733848196026,0.678077997029002,0.9536260049447467,0.9488310184165903,0.6402047170667842,0.7215079866964125,0.0166432859300637,0.4031658347822199,59.3797,0.07317000000000018,0.0,83.3272,83.3272,83.2442,82.9612,0.36599999999999966,0.36599999999999966,0.5482666666666631,87.406,87.406,82.5015,82.5015,4.904500000000013,4.904500000000013,4.699883333333337,10.187999999999999,10.187999999999999,9.562033333333332,-0.015999999999991132,0.0,83.2442,91.553,83.3272,91.15,82.9612,90.4315,8.30879999999999,7.822800000000001,7.470299999999995,83.3272,82.9612,-1.8219999999999885,-2.1422999999999917,0.0,0.0,-1.8517999999999972,0.0,10.187999999999999,100.46533222094801,0.09165980429654695,0.30677389613873973,0.30072631860969656,1.0,1.0,11.7,23.6,23.6,-149.9,1450.74,-6.700000000000017,0.0,189.261,27.77563333333333,970.5324999999999,1604.9450000000002,18.426830000000002,-149.9,28.017666666666663,0.4661027914689184,0.5682631187507771,0.5968341652177801,0.43183583902021044,0.9833567140699363,0.32192200297099804,0.032846567224214474,0.27849201330358747,0.9174287527883708,0.9372826615180397,0.012027553964569032,0.04637399505525326,0.29804172477170254,0.7186431266387664,0.004896355938099457,0.034086848691473666,0.89957078005972,7.34683,88.0102111111111,27.814,27.814,17.626,62.3385,31.5572,-120.7,0.7770735139768528,0.9322055829378368,0.009792711876198915,17.626,40.20100000000002,0.0,27.814,83.2442,7.34683,62.3385,189.245,68.7485,31.493408556614398,-113.15632513124234,62.365054469566665,67.53178242166896,56.996952629812384,48.92745517776183,62.50586256781436,638.802446388749,1.9653703075996605,32.52365986788574,0.35979528293321583,0.004896355938099457,0.05116898158340964,0.9372826615180397,0.9833567140699363,0.27849201330358747,0.04637399505525326,0.5968341652177801,0.4661027914689184,0.32192200297099804,,,0.5902010682337367,0.28673270801180156,0.5932912020900644,0.9707179441703904,0.4142804201719875,1.0691358305335554,0.7427875943798937,0.5082801235117769,0.5522639977895104,0.17329196205001626
1494202800,1.0,61.974,31.4925,660.949,81.8778,31.384445963553624,61.90108328342727,2.04567,0.6411648014572835,3.729,-2.86017,0.0,-0.2985000000000042,0.0,-0.5052000000000021,0.0,0.6811999999999969,0.0,-0.26420000000000243,0.0,-0.07820000000000249,0.0,5.349999999999909,0.0,-0.24849999999999994,0.13934000000000069,0.0,0.0,31.4462,0.046299999999998676,0.0,46.876,0.07531615622267085,0.6868165108568145,0.7634681685144352,0.4366044108503826,0.3402475359161222,0.4667988393600453,0.01695751612323837,0.7602011046261309,58.8745,0.0806699999999998,0.0,81.912,81.912,81.8778,81.8778,0.034200000000012665,0.034200000000012665,0.3947166666666651,87.1635,87.1635,82.2313,82.2313,4.932199999999995,4.932199999999995,4.739150000000002,10.017700000000001,10.017700000000001,9.817066666666665,0.3930000000000007,0.0,81.8778,91.553,81.912,91.15,81.899,90.4315,9.675200000000004,9.238,8.532499999999999,81.912,81.899,-1.4151999999999987,-1.0622000000000043,0.0,0.0,-1.366400000000013,0.0,10.017700000000001,96.52953097233855,0.1251298060289841,0.31624180420491466,0.30677389613873973,1.0,1.0,17.4,34.7,34.7,-159.3,1456.09,-9.400000000000006,0.0,189.245,27.825050000000005,826.3473333333333,1586.751,18.27069,-159.3,27.81133333333333,0.7466284872926375,0.5682631187507771,0.23979889537386914,0.3766446660817393,0.9830424838767616,0.31318348914318556,0.032846567224214474,0.5332011606399547,0.9050443069461964,0.9246838437773292,0.03436484614612825,0.2365318314855648,0.5800279648522007,0.7186431266387664,0.008163921431632526,0.034086848691473666,0.89957078005972,7.48617,87.42846666666667,27.5655,27.5655,17.5478,61.2928,31.4462,-130.60000000000002,0.7770735139768528,0.5067430254147249,0.016327842863265052,17.5478,19.173999999999978,0.0,27.5655,81.8778,7.48617,61.2928,189.638,68.4843,31.384445963553624,-133.76934666742505,61.90108328342727,67.33918556743633,56.409368480238015,47.400848958920754,62.65355052359341,684.7117077461002,1.963154451642106,32.60841304373813,0.6597524640838778,0.008163921431632526,0.5633955891496174,0.9246838437773292,0.9830424838767616,0.5332011606399547,0.2365318314855648,0.23979889537386914,0.7466284872926375,0.31318348914318556,,,0.46025590566066166,0.5247631488012121,0.9741214747924003,0.8018714616827288,0.23595676937147153,0.4574574073577327,0.8607849667247774,0.2332251966389044,0.7325394582446775,0.24293620483184203
1494203400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5163,82.5163,82.3632,82.2478,0.26850000000000307,0.26850000000000307,0.2525499999999994,87.3293,87.3293,82.4248,82.4248,4.904499999999999,4.904499999999999,4.795450000000002,9.857,9.857,9.95835,,,81.8778,90.4562,81.912,90.168,81.899,89.9013,8.578400000000002,8.256,8.002300000000005,,,,,,,,,,,,0.1297384597735823,0.31624180420491466,1.0,1.0,10.2,,20.299999999999997,,,,,189.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494204000,1.0,62.964,31.3755,887.369,82.5063,,,1.883,0.678077997029002,1.3665,,,,,,,,,,,,,,,,,,,,,,46.2312,0.0,0.7328804023515281,0.37214829618384615,,,0.41301279139195235,0.020982060488652254,0.49951802330139095,57.921,,,82.5063,82.5063,82.3727,81.9007,0.6055999999999955,0.6055999999999955,0.2610000000000004,87.6388,87.6388,82.819,82.819,4.819800000000001,4.819800000000001,4.841450000000002,10.2805,10.2805,10.084433333333333,,,81.8778,87.512,81.912,87.4728,81.899,87.2735,5.634200000000007,5.5608,5.374499999999998,82.3727,81.9007,,,,,,,10.2805,99.67484669421931,0.08145143830201301,0.2437341578640147,0.1297384597735823,1.0,1.0,7.6,15.2,15.2,-135.1,1597.54,,,189.19,27.894040000000004,716.4812000000001,1587.7318181818182,18.2071,-135.1,27.7086,0.16036262194187878,0.5315139242474312,0.500481976698609,0.500481976698609,0.9790179395113477,0.26711959764847193,0.03271825427214148,0.5869872086080477,0.8999045198559723,1.0,0.024914015367517583,0.6278517038161538,0.5188812302981225,,0.005323127019554814,0.0299133958415033,,8.2215,86.6490625,27.8517,27.8517,17.5712,,,-142.68,0.7767913110389094,0.32072524388375756,0.010646254039109628,17.5712,,,27.8517,82.5063,8.2215,,190.004,70.7152,,-95.98098628358713,,67.17660691283156,55.89234537538813,46.49211280667089,62.66858896918276,890.2637219219956,2.0237296951825154,32.76268696127025,,0.005323127019554814,,1.0,0.9790179395113477,0.5869872086080477,0.6278517038161538,0.500481976698609,0.16036262194187878,0.26711959764847193,,,,0.5653390383155413,,0.7727540111379446,1.0610109151562408,1.0664507091094184,1.204006685001804,0.455724324553817,0.697446007375215,0.638706364009521
1494204600,1.0,62.5225,31.3167,958.349,81.5408,31.28638039393728,62.62746162251499,1.766,0.6868165108568145,1.12,-0.24649999999999994,0.0,-0.14269999999999783,0.0,-0.209699999999998,0.0,-0.4414999999999978,0.0,-0.22919999999999163,0.0,-0.010500000000000398,0.0,34.32999999999993,0.0,-0.024699999999999278,0.31599999999999895,0.0,0.0,31.3755,-0.058799999999997965,0.0,46.0885,0.0,0.7230985343821142,0.5537008770327085,0.5466714774627504,0.508075800876471,0.44878676486531643,0.020344546980909928,0.7627131435417868,57.7113,-0.11699999999999999,0.0,81.5408,81.5408,81.368,81.3132,0.22760000000000957,0.22760000000000957,0.259183333333335,87.7102,87.7102,82.8278,82.8278,4.882400000000004,4.882400000000004,4.874866666666669,10.266300000000001,10.266300000000001,10.131450000000001,-0.5869999999999891,0.0,81.5408,85.096,81.368,85.1492,81.3132,85.1035,3.5551999999999992,3.7811999999999983,3.790300000000002,81.368,81.3132,-1.0046999999999997,-0.5875000000000057,0.0,0.0,-0.9654999999999916,0.0,10.266300000000001,97.41641220959283,0.06774020497803807,0.2286664769828637,0.2437341578640147,1.0,1.0,7.5,15.4,15.4,-122.7,1631.87,12.399999999999991,0.0,190.004,27.82254,750.0032000000001,1583.3463636363635,18.0975,-122.7,27.839350000000003,0.11606973272801248,0.5315139242474312,0.2372868564582132,0.500481976698609,0.9796554530190901,0.27690146561788576,0.03271825427214148,0.5512132351346836,0.8437227828144285,1.0,0.024914015367517583,0.4462991229672915,0.5537008770327085,0.6634581255514309,0.009344277828288514,0.0299133958415033,0.8991600735573464,8.5375,85.4732875,27.827,27.827,17.5607,62.964,31.3755,-142.04000000000002,0.7767913110389094,0.23213946545602496,0.018688555656577028,17.5607,70.98000000000002,0.0,27.827,81.5408,8.5375,62.964,189.417,70.486,31.28638039393728,-96.37596814192938,62.62746162251499,67.16979205016267,55.5777737603991,46.513142678822504,62.66933796371363,983.7654438947085,1.946328290583835,32.655596782252736,0.49192419912352897,0.009344277828288514,0.4533285225372496,1.0,0.9796554530190901,0.5512132351346836,0.4462991229672915,0.2372868564582132,0.11606973272801248,0.27690146561788576,,,0.4599839163732155,0.5512575978796607,0.7298627885258026,0.7794771321147873,0.8374974904190453,0.596703554765658,1.3528858325659803,0.7282317867105268,0.7599685410576771,0.6158467787251959
1494205200,1.0,61.7097,31.3045,638.141,80.946,31.24223108088119,62.45198947114105,1.947,0.7087243621835997,5.07533,3.95533,0.0,-0.1595000000000013,0.0,-0.21650000000000347,0.0,-0.8128000000000029,0.0,-0.8078000000000003,0.0,-0.1855000000000011,0.0,-186.12999999999988,0.0,-0.4753000000000007,-1.17917,0.0,0.0,31.3167,-0.012199999999999989,0.0,45.929,0.006192337645438584,0.7087243621835997,0.8933824150263427,0.8583125293566016,0.43737741302217925,0.43085307635514125,0.018001888508831776,0.5041936935814587,57.4948,0.18100000000000005,0.0,80.946,80.946,80.8238,80.8238,0.12219999999999231,0.12219999999999231,0.27068333333333544,87.6905,87.6905,82.7935,82.7935,4.897000000000006,4.897000000000006,4.8900666666666694,9.976500000000001,9.976500000000001,10.097666666666665,-0.030000000000001137,0.0,80.946,83.2442,80.8238,83.3272,80.829,82.9612,2.2982000000000085,2.503399999999999,2.1322000000000116,80.8238,80.829,-0.5441999999999894,-0.4842000000000013,0.0,0.0,-0.5948000000000064,0.0,9.976500000000001,99.2925450367782,0.09098137756800798,0.3010516204765818,0.2286664769828637,1.0,1.0,9.6,19.1,19.1,-148.9,1445.74,-26.200000000000003,0.0,189.417,27.68198,757.3166000000001,1562.1063636363635,17.994018181818184,-148.9,27.676800000000004,0.4320846455727857,0.6785107022608148,0.4958063064185413,0.4958063064185413,0.9819981114911682,0.2912756378164003,0.029703093944493553,0.5691469236448587,0.8322283932428032,0.9938076623545614,0.024914015367517583,0.10661758497365727,0.7634681685144352,0.8363379789492283,0.003179600055564878,0.0299133958415033,0.8991600735573464,7.35833,84.14741249999999,27.3517,27.3517,17.3752,62.5225,31.3167,-143.18000000000004,0.7767913110389094,0.8641692911455714,0.006359200111129756,17.3752,-320.2080000000001,0.0,27.3517,80.946,7.35833,62.5225,189.387,69.6782,31.24223108088119,-103.65465195179104,62.45198947114105,66.91473618009084,55.084189058781206,46.26641075822563,62.68848292713936,642.6877262171405,1.9596513045170192,32.58142689805087,0.5626225869778207,0.003179600055564878,0.14168747064339843,0.9938076623545614,0.9819981114911682,0.5691469236448587,0.10661758497365727,0.4958063064185413,0.4320846455727857,0.2912756378164003,,,0.29834583747206855,0.7551945069570877,0.642343355747199,1.249642695864499,1.1090807332982948,0.6326677445958703,0.8412692005537775,0.4314349366278395,0.2323380512646761,0.6156518652453008
1494205800,1.0,61.8175,31.2698,497.312,79.353,31.227314083063472,62.09714457196336,1.91417,0.7087243621835997,4.70767,-0.3676599999999999,0.0,-0.244800000000005,0.0,-0.31210000000000093,0.0,0.10780000000000456,0.0,-1.424900000000008,0.0,-0.1363999999999983,0.0,-113.27999999999997,0.0,-0.05799999999999983,-0.5596599999999992,0.0,0.0,31.3045,-0.03470000000000084,0.0,45.6842,0.04840525144214125,0.6931000914091081,0.8469517968613895,0.6273986919468312,0.48625939590649536,0.3733745684304005,0.017504758078748517,0.645268329137273,57.1827,-0.03283000000000014,0.0,79.353,79.5745,79.3048,79.3048,0.2697000000000003,0.2697000000000003,0.25463333333333554,87.4128,87.4128,82.4013,82.4013,5.011499999999998,5.011499999999998,4.9079,10.0549,10.0549,10.075483333333333,-0.28700000000000614,0.0,79.353,82.5163,79.3048,82.3727,79.5745,82.2478,3.1633000000000067,3.0678999999999945,2.6732999999999976,79.3048,79.5745,-1.5190000000000055,-1.254499999999993,0.0,0.0,-1.5930000000000035,0.0,10.0549,97.34109681733268,0.1044015961945498,0.2970265462830831,0.3010516204765818,1.0,1.0,9.8,20.0,20.0,-143.7,1332.46,5.200000000000017,0.0,189.387,27.577920000000002,728.4240000000001,1530.5063636363636,17.87048181818182,-143.7,27.4908,0.42103761061749645,0.8420752212349929,0.3547316708627271,0.4958063064185413,0.9824952419212515,0.3068999085908919,0.024774041090921628,0.6266254315695995,0.8295864377813036,0.9515947485578587,0.04840525144214125,0.1530482031386105,0.8469517968613895,0.8363379789492283,0.004893682212770808,0.022630459285319066,0.8488719428058595,6.79867,82.7595125,27.2937,27.2937,17.2388,61.7097,31.3045,-141.94000000000003,0.7767913110389094,0.8420752212349929,0.009787364425541616,17.2388,-140.82899999999995,0.0,27.2937,79.353,6.79867,61.7097,189.1,68.2533,31.227314083063472,-105.2407615520035,62.09714457196336,66.77625625588395,54.47945414719428,45.80313591197627,62.684813508464444,510.89623628675616,1.9300707388890759,32.45275025999087,0.5137406040935046,0.004893682212770808,0.3726013080531688,0.9515947485578587,0.9824952419212515,0.6266254315695995,0.1530482031386105,0.3547316708627271,0.42103761061749645,0.3068999085908919,,,0.30513208646905415,0.49379628616691357,0.9270111367261913,1.1425000721497642,1.009224906255094,0.8210235698659648,0.7958468299421043,0.7257463027854839,0.6834406150412694,0.7545937722957654
1494206400,1.0,62.6002,31.333,377.985,78.5832,31.19688118911412,62.14579072307888,1.98967,0.7087243621835997,4.2845,-0.4231699999999998,0.0,-0.4573999999999998,0.0,-0.5094999999999956,0.0,0.7826999999999984,0.0,-1.2445000000000022,0.0,0.17520000000000024,0.0,-107.09000000000015,0.0,-0.08170000000000144,-0.6356700000000002,0.0,0.0,31.2698,0.06319999999999837,0.0,45.2268,0.33755742758875484,0.6617272010210561,0.5201203256985629,0.2640177429021161,0.2930572307376368,0.3556559791419849,0.017916104698210145,0.43416580279172623,56.6732,0.07550000000000012,0.0,78.5832,78.789,78.4525,78.4525,0.3365000000000009,0.3365000000000009,0.30501666666666694,87.013,87.013,81.9035,81.9035,5.109500000000011,5.109500000000011,4.937450000000003,9.797999999999998,9.797999999999998,10.038866666666665,0.48699999999999477,0.0,78.5832,82.5163,78.4525,82.3727,78.789,82.2478,3.933099999999996,3.920199999999994,3.4587999999999965,78.4525,78.789,-0.8522999999999996,-0.785499999999999,0.0,0.0,-0.7697999999999894,0.0,9.797999999999998,100.12546619093348,0.08083855265292876,0.31137255364651417,0.2970265462830831,1.0,1.0,14.0,28.2,28.2,-158.1,1225.37,-14.400000000000006,0.0,189.1,27.507220000000004,671.8312000000001,1489.1499999999999,17.74616363636364,-158.1,27.285800000000002,0.3401537096644453,0.8420752212349929,0.5658341972082738,0.500481976698609,0.9820838953017899,0.3382727989789439,0.022226611384651318,0.6443440208580151,0.817132185944476,0.6624425724112452,0.06271733848196026,0.4798796743014371,0.8469517968613895,0.8363379789492283,0.004721739488456119,0.018688555656577028,0.8410537095569244,6.163,81.6434125,27.212,,17.414,61.8175,31.2698,-141.70000000000002,0.7767913110389094,0.6803074193288906,0.009443478976912239,17.414,-119.327,0.0,27.212,78.5832,6.163,61.8175,189.587,67.0088,31.19688118911412,-121.66598517406396,62.14579072307888,66.71152672284353,53.9050524348224,45.29921848981481,62.67008108272831,377.5113508876996,2.03015549158454,32.33888393170764,0.7069427692623632,0.004721739488456119,0.7359822570978839,0.6624425724112452,0.9820838953017899,0.6443440208580151,0.4798796743014371,0.5658341972082738,0.3401537096644453,0.3382727989789439,,,0.3882869083875053,0.07400024572875508,0.5671307276183103,0.8466334371669696,0.5100172327098406,1.3284940413004305,0.37539227285516896,0.9343107143494647,0.4973740488079953,0.8154828016183294
1494207000,1.0,63.3148,31.3238,465.213,77.6283,31.263014251704067,62.49100751323441,1.99567,0.7087243621835997,4.89367,0.6091699999999998,0.0,-0.43249999999999744,0.0,-0.5747,0.0,0.7145999999999972,0.0,0.33500000000000796,0.0,0.2234999999999978,0.0,82.41000000000008,0.0,0.13149999999999906,0.42666999999999966,0.0,0.0,31.333,-0.009199999999999875,0.0,44.7943,0.2617199318292347,0.6537020727151173,0.21866367052765923,0.11087464981365958,0.4363216787731955,0.3947082013663943,0.018209655108682,0.38603451025560265,56.0985,0.006000000000000005,0.0,77.6283,78.1887,77.6075,77.6075,0.5811999999999955,0.5811999999999955,0.3571333333333323,86.612,86.612,81.4065,81.4065,5.205500000000001,5.205500000000001,4.9876166666666695,9.706,9.706,10.0137,0.07600000000002183,0.0,77.6283,82.5063,77.6075,82.3727,78.1887,81.9007,4.878,4.765199999999993,3.7120000000000033,77.6075,78.1887,-0.8449999999999989,-0.6003000000000043,0.0,0.0,-0.9549000000000092,0.0,9.706,100.64449215313937,0.0904916331166811,0.33562604772536675,0.31137255364651417,1.0,1.0,11.8,23.0,23.0,-140.5,1307.78,17.599999999999994,0.0,189.587,27.479933333333328,637.3948333333334,1455.3118181818184,17.67014545454546,-140.5,27.283066666666663,0.5408890840000722,0.8641692911455714,0.6139654897443974,0.5658341972082738,0.981790344891318,0.3462979272848828,0.020982060488652254,0.6052917986336057,0.8068155411482915,0.7382800681707653,0.07531615622267085,0.7813363294723408,0.8469517968613895,0.8363379789492283,0.007379512091222434,0.016327842863265052,0.7638005354351012,6.58967,80.70994999999999,27.3435,27.3435,17.6375,62.6002,31.333,-141.5,0.7627131435417868,0.9182218319998556,0.014759024182444867,17.6375,87.22800000000001,0.0,27.3435,77.6283,6.58967,62.6002,189.663,67.3438,31.263014251704067,-111.98976656114871,62.49100751323441,66.90968491677238,53.47377551627688,45.00306085870892,62.648690149381814,462.2339385369821,1.9771149436099904,32.26847823526549,0.5636783212268045,0.007379512091222434,0.8891253501863404,0.7382800681707653,0.981790344891318,0.6052917986336057,0.7813363294723408,0.6139654897443974,0.5408890840000722,0.3462979272848828,,,0.35223087870700137,0.1653282327826406,0.8843041611230292,0.35351801061130916,0.05034510120127694,1.429075266698854,0.37754831645598524,0.6005353457204449,0.6613059504270278,0.8793681359590135
