DATETIME,IND1,IND10,IND12,IND13,IND15,IND16,IND1679,IND1680,IND1681,IND1682,IND1683,IND2,IND2006,IND228,IND229,IND230,IND2348,IND263,IND264,IND265,IND266,IND267,IND268,IND269,IND27,IND270,IND271,IND272,IND273,IND274,IND275,IND276,IND277,IND278,IND279,IND28,IND280,IND281,IND282,IND2820,IND2821,IND2822,IND2823,IND2824,IND283,IND284,IND285,IND286,IND287,IND288,IND289,IND3,IND30,IND305,IND31,IND314,IND322,IND323,IND324,IND325,IND326,IND331,IND332,IND333,IND334,IND335,IND3657,IND367,IND372,IND373,IND374,IND376,IND377,IND379,IND380,IND381,IND382,IND385,IND393,IND4,IND407,IND410,IND447,IND448,IND4710,IND4711,IND4712,IND4713,IND5,IND6,IND661,IND670,IND671,IND672,IND673,IND7,IND700,IND737,IND738,IND740,IND8,IND87,IND88,IND89,IND9,MOD1,MOD3,MOD4,MOD420,MOD5,MOD55,MOD6,MOD7,MOD8,RES1,RES3,RES4,RES442,RES5,RES55,RES6,RES7,RES8,UNC1,UNC3,UNC4,UNC443,UNC5,UNC55,UNC6,UNC7,UNC8
1488499200,1.0,60.8117,29.3,353.653,300.4295333333333,260.8518383333333,2.295333,24.046,29.3,29.229660000000003,29.11967,2.525,0.0,3.78667,4.5643343000000005,-0.40150030000000037,,0.0,36.242830000000005,0.409009999999995,0.0,41.902170000000005,0.49181999999999704,0.0,1134.0036666666667,0.3618399999999937,0.0,63.24983,0.31349999999999767,0.0,11.9565,9.999999999621423E-6,0.0,1143.389,4.051999999999907,1079.7135135135136,0.0,23.846490000000003,0.19950999999999652,5.577500000000001,5.479667,0.0978330000000005,0.0,,0.0,29.11967,0.10999000000000336,0.0,188.8253,0.609499999999997,0.0,36.8,23.86383333333334,2.387166,23.500529999999998,4.162834,63.27984166666665,63.27984166666665,36.65184,42.39399,63.56333,24.046,11.95651,189.4348,29.229660000000003,2.295333,111.0,1147.4409999999998,0.0,0.0,0.19025594381587752,0.0,0.0,0.0,-0.12419387288947795,0.0,0.0,0.19533954568061773,,42.6,5.70333,10.0,-0.09183300000000028,0.0,65.83466000000001,65.24166000000001,0.5930000000000035,0.0,1191.72,11.8617,,313.2694000000001,309.3619,3.907500000000084,0.0,24.1117,66.0383,0.0,0.0,60.0,5.70333,60.21266000000001,60.5745,188.653,63.8217,189.69353664352823,62.758546096235285,43.713822194044035,2.0695853079685564,38.178066668179014,60.26700360305245,327.2889057171926,2.2487452446473366,29.689551758043113,0.0,0.19025594381587752,0.0,0.0788695197575654,0.0,0.0,0.0,0.0,0.0,0.22881413544322696,0.9668360443206743,0.6271637796087903,0.9611413603572504,0.725251757418837,0.6886041461658702,0.5114911093342193,0.7252031307016278,0.8731217864987584
1488499260,1.0,60.9,29.3,378.742,304.44926666666663,265.0665716666666,2.2766669999999998,24.078999999999997,29.3,29.241660000000003,29.12784,2.13167,0.0,7.63,5.0413343,-0.7606672999999997,,0.0,36.2885,0.4015100000000018,0.0,41.95217,0.4856500000000068,0.0,1138.5513333333333,0.37299999999999045,0.0,63.29,0.3295000000000101,0.0,11.962170000000002,-0.011160000000002057,0.0,1136.7520000000002,21.675999999999704,1081.2146846846847,0.0,23.859660000000005,0.21933999999999187,5.642333,5.418500000000001,0.22383299999999906,0.0,,0.0,29.12784,0.11382000000000403,0.0,188.8483,0.7058000000000106,0.0,36.8817,23.885890000000007,2.404999,23.524363333333334,4.280667,63.35208333333332,63.35208333333332,36.69001,42.43782000000001,63.61950000000001,24.078999999999997,11.95101,189.5541,29.241660000000003,2.2766669999999998,111.0,1158.4279999999999,0.0,0.0,0.050199810442137505,0.0,0.0,0.0,-0.11651839343204985,0.0,0.0,0.18626831222821272,,42.6383,5.99833,10.0,-0.12833200000000033,0.0,65.89082,65.28900000000002,0.6018199999999894,0.0,1216.83,11.9267,,323.3771000000001,303.42560000000003,19.951500000000067,0.0,24.1617,65.9433,0.0,0.0,60.0,5.99833,60.25133000000001,60.62433,190.515,63.9617,189.55129471380585,62.85369102644747,43.763216253398866,1.8858801463784092,38.202364442954554,60.30849692319004,366.3484822585266,2.1663849182425947,29.699080123625198,0.0,0.050199810442137505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4798425964660291,0.9778011927858332,0.6812915611931614,0.9331389556854253,0.7390444534054007,0.7808293875528356,0.41938350643764916,0.6470462518225732,0.8706702876786686
1488499320,1.0,60.9667,29.39,347.068,308.6572,269.1959,2.264667,24.097,29.39,29.26066,29.134839999999997,2.39333,0.0,9.97,5.7460013,-1.0358342999999994,,0.0,36.3285,0.4015100000000018,0.0,42.00367,0.4826500000000067,0.0,1142.7836666666667,0.3996699999999933,0.0,63.31484,0.3728200000000115,0.0,11.97517,-0.04499999999999993,0.0,1133.653,31.537000000000035,1082.4167567567567,0.0,23.89299,0.20401000000000025,5.680167000000001,5.406666,0.27350100000000044,0.0,,0.0,29.134839999999997,0.12582000000000448,0.0,188.96189999999999,0.5899000000000001,0.0,36.9,23.908000000000005,2.3989990000000003,23.550751666666663,4.710167,63.42627023809521,63.42627023809521,36.73001,42.486320000000006,63.68766000000001,24.097,11.93017,189.5518,29.26066,2.264667,111.0,1165.19,0.0,0.0,0.14332251930535733,0.0,0.0,0.0,-0.10909408614591376,0.0,0.0,0.18374208911510356,,42.7,5.65167,10.0,-0.13433200000000012,0.0,65.96432,65.32517,0.6391500000000008,0.0,1183.69,11.7833,,329.50620000000004,300.5273,28.97890000000001,0.0,24.2383,66.19,0.0,0.0,60.0,5.65167,60.281330000000004,60.681,189.18,64.0733,189.61345824754852,62.92719905463371,43.814709139353056,2.103545222636853,38.228110706997164,60.343065132972946,323.09201237371497,2.260897601518873,29.706904197267683,0.0,0.14332251930535733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1808506047706538,1.0083597682242562,0.739233758751538,0.3022612504294129,0.7623222442883596,0.8685893562504363,0.6078891599009303,0.8834483180568236,0.8678089145851856
1488499380,1.0,61.0567,29.4,413.983,315.1594,273.7043333333333,2.2676669999999994,24.121000000000002,29.4,29.281830000000003,29.1385,2.36,0.0,10.4567,6.809667999999999,-2.1918309999999996,,0.0,36.375170000000004,0.38833999999999946,0.0,42.05384,0.4741500000000016,0.0,1149.4543333333336,0.4276800000000023,0.0,63.33067000000001,0.43382999999998617,0.0,11.981000000000002,-0.05249000000000059,0.0,1129.8600000000001,48.45199999999977,1084.2503603603602,0.0,23.918490000000002,0.2025100000000002,5.744333,5.3755,0.3688330000000004,0.0,,0.0,29.1385,0.1433300000000024,0.0,189.1626,0.24729999999999563,0.0,36.9167,23.933276666666668,2.4149990000000003,23.57839,4.617837,63.49686547619044,63.49686547619044,36.763510000000004,42.52799,63.7645,24.121000000000002,11.928510000000001,189.4099,29.281830000000003,2.2676669999999994,111.0,1178.312,0.0,0.0,0.11613765749632066,0.0,0.0,0.0,-0.10186860368363652,0.0,0.0,0.17998628735850453,,42.7167,6.01833,10.0,-0.1473320000000009,0.0,66.02565000000001,65.38101,0.6446400000000096,0.0,1253.07,11.9667,,342.1435000000001,297.30800000000005,44.835500000000025,0.0,24.3433,66.235,0.0,0.0,60.0,6.01833,60.31466,60.742340000000006,189.483,64.1567,189.67668095301937,63.03113147624135,43.86599473851019,1.8741291191585625,38.25417295440237,60.381512045448375,402.5037877373463,2.1912362182696428,29.712056881721463,0.0,0.11613765749632066,0.0,0.09931310560008777,0.0,0.0,0.0,0.0,0.0,0.5957496718929451,1.0683135190883313,0.808492636327003,2.580339230505019,0.7931287966370493,0.9692468396998983,0.9660773136003964,0.40467005237554315,0.8844708515901062
1488499440,1.0,61.1467,29.4,373.908,319.2907666666667,277.5969666666667,2.2776669999999997,24.151,29.4,29.301830000000002,29.148500000000002,2.18333,0.0,7.42833,7.014334,-2.1429969999999994,,0.0,36.41517000000001,0.38833999999999236,0.0,42.10367,0.47382000000000346,0.0,1154.0119999999997,0.4653500000000008,0.0,63.34617000000001,0.5135000000000005,0.0,11.985669999999999,-0.06682999999999772,0.0,1127.3990000000001,59.753999999999905,1085.7107207207207,0.0,23.935159999999996,0.21584000000000358,5.778999,5.3898340000000005,0.3891649999999993,0.0,,0.0,29.148500000000002,0.1533300000000004,0.0,188.9522,0.6396000000000299,0.0,37.0,23.961000000000002,2.3873320000000002,23.605389999999996,4.8713370000000005,63.56505952380951,63.56505952380951,36.80351,42.577490000000004,63.85967000000001,24.151,11.918840000000001,189.59180000000003,29.301830000000002,2.2776669999999997,111.0,1187.153,0.0,0.0,0.21213839919165167,0.0,0.0,0.0,-0.09431093111139373,0.0,0.0,0.1816785037707754,,42.795,6.03333,10.0,-0.10966500000000057,0.0,66.04782000000002,65.46284000000001,0.5849800000000016,0.0,1211.66,11.91,,350.37660000000005,295.02850000000007,55.34809999999999,0.0,24.4,66.145,0.0,0.0,60.0,6.03333,60.343160000000005,60.808510000000005,189.497,64.3517,189.5889795103546,63.13013073454601,43.91501382320636,1.8653799739975865,38.27956300996497,60.414352427197954,360.5899853949208,2.149534962290544,29.724503240295853,0.0,0.21213839919165167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5052953716325964,1.02441737086253,0.8705962468884112,3.815739436619857,0.8288878786601995,0.9867429265187176,0.29191842566069726,0.47078858747650026,0.9107258107367734
1488499500,1.0,61.215,29.4,369.6,321.2318666666667,281.6166,2.249001,24.189500000000002,29.4,29.321830000000002,29.150329999999997,1.86167,0.0,5.42,6.050001000000001,-0.407331000000001,,0.0,36.455000000000005,0.39000999999998953,0.0,42.15200000000001,0.46882999999999697,0.0,1156.0449999999998,0.50685,0.0,63.3635,0.5913400000000024,0.0,12.00017,-0.09748999999999874,0.0,1128.4810000000002,64.96199999999976,1087.1131531531532,0.0,23.933989999999998,0.25551000000000457,5.837332,5.403668,0.43366400000000027,0.0,,0.0,29.150329999999997,0.17150000000000531,0.0,189.06740000000002,0.18700000000001182,0.0,37.015,23.985223333333334,2.3706650000000002,23.631334999999996,5.64267,63.6334726190476,63.6334726190476,36.845009999999995,42.620830000000005,63.954840000000004,24.189500000000002,11.902680000000002,189.25440000000003,29.321830000000002,2.249001,111.0,1193.443,0.0,0.0,0.1910461203010776,0.0,0.0,0.0,-0.08703211359433918,0.0,0.0,0.18214688459729056,,42.8167,6.17,10.0,-0.12166400000000044,0.0,66.08865999999999,65.52284000000002,0.5658199999999738,0.0,1205.26,11.8667,,356.6589000000001,295.69520000000006,60.96370000000002,0.0,24.36,66.2067,0.0,0.0,60.0,6.17,60.37316,60.88001,187.558,64.4,189.4449950410566,63.1995230134366,43.96374837979355,1.7883066934125251,38.305538578897526,60.44855710432583,355.17570207342874,2.0998920303921564,29.72713369410703,0.0,0.1910461203010776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6650416946952816,1.0164805862435182,0.9372203395540432,0.41180006870486985,0.8706121704194003,0.9900215414020085,0.6130788267469882,0.3269958171452916,0.9079449023820002
1488499560,1.0,61.3,29.4,397.282,324.8054333333333,285.9836833333333,2.291501,24.231330000000003,29.4,29.34183,29.15683,2.42667,0.0,10.48,5.688334000000001,0.5258359999999991,,0.0,36.495000000000005,0.39000999999999664,0.0,42.201330000000006,0.4694999999999965,0.0,1159.703,0.5455199999999891,0.0,63.393499999999996,0.6488400000000141,0.0,11.99,-0.08664999999999878,0.0,1135.4360000000001,62.60400000000004,1088.7816216216215,0.0,23.943659999999998,0.28767000000000564,5.821498000000001,5.496668,0.3248300000000013,0.0,,0.0,29.15683,0.18500000000000227,0.0,188.89190000000002,0.6787000000000205,0.0,37.1,24.007166666666663,2.3101650000000005,23.657223333333327,6.21417,63.70015833333332,63.70015833333332,36.88501,42.67083,64.04234000000001,24.231330000000003,11.903350000000001,189.57060000000004,29.34183,2.291501,111.0,1198.0400000000002,0.0,0.0,0.14756460586374942,0.0,0.0,0.0,-0.07998522264479216,0.0,0.0,0.18050010941950284,,42.9,5.84333,10.0,-0.01866400000000068,0.0,66.11016,65.59017000000001,0.5199899999999786,0.0,1234.42,11.9717,,361.39140000000003,301.78290000000004,59.60849999999999,0.0,24.4,66.1633,0.0,0.0,60.0,5.84333,60.40816000000001,60.95368,191.49,64.4467,189.6747010329961,63.28970452787393,44.01228732378592,1.9801008963546485,38.332190591739,60.487498964994224,377.83761080518104,2.236349475731601,29.73769511463243,0.0,0.14756460586374942,0.0,0.05947996759557783,0.0,0.0,0.0,0.0,0.0,0.3267216192310302,0.986779048665219,1.0121486859433184,0.13754122294739635,0.918979918930538,1.0027163419227865,1.0450238239572263,0.5591429244935879,0.9733301788221893
1488499620,1.0,61.3867,29.4,394.248,327.2218666666667,290.2557833333333,2.2385010000000003,24.276330000000005,29.4,29.358,29.170659999999998,1.915,0.0,4.035,5.160501,1.2185020000000009,,0.0,36.535,0.39001000000001085,0.0,42.24916,0.4638399999999976,0.0,1162.2443333333333,0.5736899999999991,0.0,63.435159999999996,0.6976800000000054,0.0,11.997,-0.08847999999999878,0.0,1139.01,65.49799999999982,1090.0801785714284,0.0,23.969659999999998,0.30667000000000755,5.889832000000001,5.509334,0.3804980000000011,0.0,,0.0,29.170659999999998,0.1873400000000025,0.0,188.87970000000004,0.9276000000000124,0.0,37.1,24.031053333333332,2.3213320000000004,23.685444999999998,6.379003000000001,63.72964705882351,63.72964705882351,36.92501000000001,42.713,64.13284,24.276330000000005,11.908520000000001,189.80730000000005,29.358,2.2385010000000003,112.0,1204.5079999999998,0.0,0.0,0.20113781331496483,0.0,0.0,0.0,-0.07927106887117795,0.0,0.0,0.1814381868692966,,42.9,6.24667,10.0,-0.0828310000000001,0.0,66.13082999999999,65.6585,0.47232999999998526,0.0,1234.22,11.9317,,367.4659000000001,305.2232,62.24270000000007,0.0,24.5483,66.2067,0.0,0.0,60.0,6.24667,60.452160000000006,61.025850000000005,191.892,64.5883,189.49339894924822,63.377731320422704,44.046626401284364,1.747270878453267,38.35086904004382,60.53253211662799,386.65932055637904,2.108207423067288,29.752387855935204,0.0,0.20113781331496483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7586089168836168,0.8884781176182898,1.0247013101298943,0.38462126417036396,0.93589831985857,1.0248347642835625,0.8592312771898064,0.5347166156625115,0.9543554738769121
1488499680,1.0,61.455,29.4,402.075,330.1188,294.36424999999997,2.253667,24.341660000000005,29.4,29.369,29.18966,2.24333,0.0,4.535,5.172667000000001,1.3095029999999994,,0.0,36.57284,0.3965000000000103,0.0,42.297830000000005,0.46367000000000047,0.0,1165.2069999999999,0.6033499999999989,0.0,63.47783000000001,0.7463399999999893,0.0,11.982669999999999,-0.07198999999999778,0.0,1139.852,73.73799999999983,1091.4200884955753,0.0,23.99666,0.34500000000000597,5.9301650000000015,5.5220009999999995,0.40816400000000197,0.0,,0.0,29.18966,0.17933999999999983,0.0,189.02270000000001,0.6236999999999853,0.0,37.18,24.057106666666662,2.2949990000000002,23.71708333333333,6.48217,63.7980976470588,63.7980976470588,36.96934000000001,42.761500000000005,64.22417,24.341660000000005,11.910680000000001,189.6464,29.369,2.253667,113.0,1213.59,0.0,0.0,0.1830759756114695,0.0,0.0,0.0,-0.0785695549873622,0.0,0.0,0.181509395075478,,42.985,6.02833,10.0,-0.041332000000000146,0.0,66.16083,65.72083,0.4399999999999977,0.0,1241.49,12.0133,,376.07270000000005,306.1444,69.92830000000004,0.0,24.7533,66.3583,0.0,0.0,60.0,6.02833,60.49533,61.09868,187.808,64.6633,189.61933222210268,63.451515166883226,44.09870500866611,1.8682902014294105,38.37996888338604,60.576451809530575,391.8549449346154,2.179143129194669,29.776201967571616,0.0,0.1830759756114695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5421409513042516,0.7771936331873458,1.0100924898365233,3.403939367914987,0.9365422275830563,1.0522268235179628,1.1720990125710276,0.3938392728264928,1.0108074762278496
1488499740,1.0,61.57,29.4,434.965,334.5748666666667,298.398,2.209833,24.41966,29.4,29.379000000000005,29.209660000000003,2.05833,0.0,8.42,4.573834000000001,2.6423359999999994,,0.0,36.61284,0.3965000000000032,0.0,42.34416,0.4610100000000017,0.0,1169.8400000000001,0.6480200000000096,0.0,63.52166,0.80501000000001,0.0,11.96234,-0.028989999999998517,0.0,1141.1060000000002,83.35099999999989,1093.369557522124,0.0,24.02016,0.39949999999999974,6.006832,5.549667,0.4571649999999998,0.0,,0.0,29.209660000000003,0.16934000000000182,0.0,189.35150000000002,-0.024399999999985766,0.0,37.2,24.09255,2.288166,23.750083333333336,7.21617,63.862509411764684,63.862509411764684,37.00934,42.805170000000004,64.32667000000001,24.41966,11.93335,189.32710000000003,29.379000000000005,2.209833,113.0,1224.457,0.0,0.0,0.034004561631125085,0.0,0.0,0.0,-0.07348818146309054,0.0,0.0,0.17536336034862998,,43.0,6.375,10.0,-0.07833299999999976,0.0,66.17882999999999,65.78500000000001,0.3938299999999799,0.0,1272.21,12.1017,,386.55240000000003,307.7859,78.76650000000001,0.0,24.88,66.3017,0.0,0.0,60.0,6.375,60.532830000000004,61.180850000000014,187.195,64.8033,189.5960308127615,63.57457042218022,44.149765331437706,1.6823995118388875,38.408871605741,60.61620710742474,430.77468925445805,2.1067224252017507,29.79927676646436,0.0,0.034004561631125085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9416394998898292,0.6049677148972539,1.0034286962705439,0.823600137409854,0.9434173574159506,1.0171124658758217,0.5027900188107062,0.9565879575607721,1.0321247982829647
