DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND45384,IND45385,IND45386,IND45387,IND45388,IND45389,IND45390,IND45392,IND45393,IND45394,IND45397,IND45398,IND45399,IND45400,IND45401,IND45402,IND45403,IND45426,IND45427,IND45463,IND45464,IND45465,IND45466,IND45467,IND45468,IND45469,IND45470,IND45471,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM1994,SYM246,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1493424000,1.0,60.6685,26.0458,185.229,71.3593,26.086750425306345,,2.63667,0.7601418979043025,4.6685,2.45767,0.0,0.11220000000000141,0.0,0.0,3.0,-0.04279999999999973,0.0,0.059000000000004604,0.0,-0.0015000000000000568,0.0,4.559999999999945,0.0,0.17050000000000054,0.19200000000000017,0.0,0.0,26.0607,-0.014900000000000801,2.0,39.1532,71.1708,,0.7798710123861922,,,0.6968044938683717,0.5551656072753948,0.04233289937625828,0.25574922464129235,48.8,-0.18866000000000005,0.0,71.3593,71.3593,71.2508,71.2508,0.10850000000000648,0.10850000000000648,0.12536666666666935,72.9802,72.9802,67.7348,67.5637,5.416499999999999,5.416499999999999,5.263700000000002,14.210400000000002,14.210400000000002,12.5181,0.6620000000000061,0.0,70.8822,71.3593,70.7975,71.2508,70.8298,71.3528,0.4771000000000072,0.4532999999999987,0.5229999999999961,0.04829999999999757,0.0,14.210400000000002,106.44945888212817,0.10327870552201944,0.06961387018066856,0.014743726873098526,1.0,1.0,13.5,27.5,27.5,-138.7,1054.34,-14.099999999999994,0.0,189.141,24.9414,24.428283333333333,173.036,178.498,25.9112,1051.5549999999998,1114.0975,11.808399999999999,11.637075,-125.55,-138.7,25.9524,0.8053674415570801,0.7721518697191412,0.7442507753587077,0.9449790307857453,0.9576671006237417,0.22012898761380784,0.03268782947567547,0.44483439272460523,0.6453305627505707,,,,,,0.007847668623204613,0.02081570665417524,0.738609130920624,4.82233,71.11561111111111,,,11.8713,,26.0607,-129.06666666666666,0.43666967091518305,0.38926511688583987,0.015695337246409227,11.8713,37.03200000000001,0.0,26.0817,71.3593,4.82233,60.7113,189.803,62.9635,26.086750425306345,-111.82615210661794,,,47.18090670419991,39.853615062073345,,174.00652097734445,2.531173564313079,27.905754220437853,0.3031955061316282,0.007847668623204613,,,0.9576671006237417,0.44483439272460523,,0.7442507753587077,0.8053674415570801,0.22012898761380784,,,0.5300972470804012,0.7143450991568246,,,0.3830236474255515,0.7149678203686561,,0.5652986266043106,0.17572873263550162,0.28678538557225086
1493424600,1.0,60.609,26.0957,131.607,71.3963,26.09360275814199,,3.10183,0.7605130713606735,5.55417,0.8856700000000002,0.0,0.1086000000000027,0.0,0.0,4.0,-0.059499999999999886,0.0,-0.09820000000000562,0.0,-0.05649999999999977,0.0,-4.069999999999936,0.0,0.16959999999999908,-0.4740000000000002,0.0,0.0,26.0458,0.049900000000000944,2.0,39.2618,71.1708,,0.7608388275878704,,,0.6133286790514264,0.5674619590336365,0.06120531885989344,0.1820145415189336,48.8,0.46516,0.0,71.3963,71.539,71.2937,71.2937,0.2453000000000003,0.2453000000000003,0.1521333333333364,72.6087,72.6087,67.3637,67.1853,5.423400000000001,5.423400000000001,5.319850000000002,14.4365,14.4365,13.074133333333332,0.5060000000000002,0.0,71.157,71.3963,70.9722,71.2937,71.108,71.539,0.23930000000000007,0.32150000000000034,0.4309999999999974,0.03699999999999193,0.0,14.4365,113.95199496600057,0.10084377220680123,0.009532844008294695,0.06961387018066856,1.0,1.0,8.1,16.6,16.6,-113.7,1050.27,24.999999999999986,0.0,189.803,25.88775,24.97,154.51999999999998,167.50449999999998,26.0817,1050.46,1084.7433333333333,11.84305,11.723499999999998,-124.05,-113.7,26.081400000000002,0.8208826391286067,0.631829928832686,0.8179854584810664,0.9449790307857453,0.9387946811401066,0.2391611724121296,0.03445014918473155,0.43253804096636356,0.6310025819934525,,,,,,0.011302019308859072,0.021329776602957193,0.7225055790598899,4.34833,71.13238888888887,,,11.8148,,26.0458,-124.88333333333333,0.4093343629212365,0.3582347217427866,0.022604038617718144,11.8148,-53.622000000000014,0.0,26.2513,71.3963,4.34833,60.6685,190.309,62.8653,26.09360275814199,-89.77456765588778,,,47.47751476977129,40.10086861861859,,115.49337072972446,2.9926615235856016,27.896916602622237,0.3866713209485736,0.011302019308859072,,,0.9387946811401066,0.43253804096636356,,0.8179854584810664,0.8208826391286067,0.2391611724121296,,,1.0061322525599634,0.14376889896637565,,,0.5622290102024483,0.6875992087480576,,0.6106085262617341,0.23589672885726604,0.418830826685964
1493425200,1.0,60.4848,26.064,133.28,71.367,26.1378882974008,,3.06967,0.7607862731723298,0.587,-4.96717,0.0,0.14470000000000027,0.0,0.0,5.0,-0.12420000000000186,0.0,-0.038599999999995305,0.0,-0.021599999999999397,0.0,0.9100000000000819,0.0,-0.1252999999999993,0.023170000000000357,0.0,0.0,26.0957,-0.03170000000000073,2.0,39.4065,71.2273,,0.7798366112199493,,,0.7650143004032764,0.6001022388442563,0.10349329867989199,0.2572156501690309,48.8,-0.03216000000000019,0.0,71.367,71.367,71.225,71.225,0.14200000000001012,0.14200000000001012,0.14500000000000549,72.25,72.25,66.9548,66.7388,5.511200000000002,5.511200000000002,5.381950000000003,14.3328,14.3328,13.83285,-1.3590000000000089,0.0,71.1708,71.3963,71.0975,71.2937,71.2137,71.539,0.2254999999999967,0.1962000000000046,0.3252999999999986,-0.02929999999999211,0.0,14.3328,108.69610228948882,0.1392627244652865,0.01617631867534396,0.009532844008294695,1.0,1.0,13.5,25.6,25.6,-126.0,1051.18,-12.299999999999997,0.0,190.309,25.996450000000003,25.70883333333333,141.1925,148.89066666666665,26.126,1050.46,1057.6666666666667,11.84305,11.789241666666666,-124.05,-126.0,26.153,0.7823849409462872,0.43369524944173754,0.7427843498309691,0.9449790307857453,0.896506701320108,0.2201633887800507,0.04040960520108722,0.39989776115574366,0.5919421688916013,,,,,,0.013029715527237666,0.022262000120313777,0.738609130920624,4.3715,71.18596666666667,,,11.7932,,26.0957,-124.79999999999998,0.3283338161841814,0.4352301181074256,0.02605943105447533,11.7932,1.6730000000000018,0.0,26.126,71.367,4.3715,60.609,188.95,62.8267,26.1378882974008,-107.99811550372772,,,47.88475315629567,40.43284944430367,,122.61709223485974,2.9734639215269008,27.923790692010698,0.23498569959672358,0.013029715527237666,,,0.896506701320108,0.39989776115574366,,0.7427843498309691,0.7823849409462872,0.2201633887800507,,,0.8666248159100739,0.5458785066868169,,,0.6173337808101923,0.40660004094700825,,0.6611512973707018,0.1956957932937526,0.4169233368587769
1493425800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2273,,,,,,,,,,,,70.773,71.2597,70.7232,70.7232,0.5364999999999895,0.5364999999999895,0.2142166666666701,71.858,71.858,66.5662,66.3118,5.546199999999999,5.546199999999999,5.433066666666669,14.2275,14.2275,14.193733333333334,,,70.773,71.3963,70.7232,71.2937,71.2137,71.539,0.6233000000000004,0.5704999999999956,0.3252999999999986,,,,,,0.03881371994811412,0.01617631867534396,1.0,1.0,27.4,,54.599999999999994,,,,,188.95,26.03335,,133.73399999999998,,26.126,1050.46,,11.84305,,-125.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493426400,1.0,60.1742,26.0075,102.214,70.7797,,,3.29033,0.7798366112199493,-0.276333,,,,,,,,,,,,,,,,,,,,,,39.5,71.2273,,0.7876337869312952,,,,0.6281157280983296,0.1684472920176181,0.30693504006609984,48.6457,,,70.7797,70.7797,70.6535,70.5818,0.19790000000000418,0.19790000000000418,0.2255666666666703,71.4983,71.4983,66.2098,65.9845,5.513800000000003,5.513800000000003,5.464233333333334,14.4592,14.4592,14.284133333333331,,,70.773,71.3963,70.6535,71.2937,70.5818,71.539,0.6233000000000004,0.6402000000000072,0.9572000000000003,,,14.4592,107.53728163976142,0.15453847038415333,0.005220151499893232,0.03881371994811412,1.0,1.0,10.0,20.9,20.9,-117.2,1049.37,,,189.986,26.0816,26.090340000000005,132.4435,140.1054,26.0815,1050.32,1052.5563636363638,11.84305,11.818381818181818,-125.3,-117.2,26.103749999999998,0.5986444905133108,0.7963992627492915,0.6930649599339002,0.8179854584810664,0.8315527079823819,0.21236621306870482,0.06120531885989344,0.37188427190167034,0.5674619590336365,,,,,,0.013067522431896435,0.02465269625366968,,4.08717,71.22105,,,11.6223,,,-124.03999999999999,0.3520398715225649,0.8027110189733784,0.02613504486379287,11.6223,,,26.0815,70.7797,4.08717,,189.576,62.5395,,-98.34409154402795,,,48.09615464561564,40.602204773536485,,95.04982685205505,3.2466436956410396,27.926636490536147,,0.013067522431896435,,,0.8315527079823819,0.37188427190167034,,0.6930649599339002,0.5986444905133108,0.21236621306870482,,,,0.15810563779530123,,,0.3650349561879065,0.531082416214241,,0.37618144950948135,0.774089728600909,0.3354933972162942
1493427000,1.0,59.8223,25.9797,48.9487,70.7885,26.072645107124966,,3.6065,0.7798366112199493,-5.7475,-5.4711669999999994,0.0,0.10600000000000165,0.0,-0.13299999999999557,3.0,-0.35190000000000055,0.0,-0.5267999999999944,0.0,-0.12359999999999971,0.0,0.7100000000000364,0.0,-0.4477999999999973,-0.44367000000000045,0.0,0.0,26.0075,-0.02779999999999916,0.0,39.606,71.2273,,0.7790350070568139,,,0.7869541123490663,0.5992109048268199,0.18616533779956457,0.5037632189913926,48.5127,0.31617000000000006,0.0,70.7885,70.7885,70.6713,70.1663,0.6221999999999923,0.6221999999999923,0.3087333333333338,71.099,71.099,65.7818,65.4783,5.620699999999999,5.620699999999999,5.5053,14.135000000000002,14.135000000000002,14.300233333333333,-1.296999999999997,0.0,70.773,71.3963,70.6535,71.2937,70.1663,71.539,0.6233000000000004,0.6402000000000072,1.3726999999999947,0.008799999999993702,0.0,14.135000000000002,95.10105475306834,0.08693316865651159,0.0059816391868257575,0.005220151499893232,1.0,1.0,4.5,9.5,9.5,-84.0,1050.08,33.2,0.0,189.576,26.0816,26.03484,128.0125,120.25574000000002,25.985,1050.22,1052.5136363636366,11.84305,11.812327272727272,-121.6,-84.0,25.857599999999998,0.28324943445017015,0.7963992627492915,0.49623678100860735,0.7768541093378379,0.8138346622004354,0.2209649929431861,0.10349329867989199,0.40078909517318007,0.5992109048268199,,,,,,0.09365026587721274,0.02605943105447533,0.7470945541571774,3.6435,71.1749875,,,11.4987,,26.0075,-115.91999999999999,0.4394153856466462,0.5664988689003403,0.1873005317544255,11.4987,-53.265299999999996,0.0,25.6337,70.7885,3.6435,60.1742,188.279,62.0127,26.072645107124966,-75.15768291061926,,,48.0318786505786,40.55529394203384,,51.47019675764503,3.66943099708719,27.799604795102354,0.21304588765093366,0.09365026587721274,,,0.8138346622004354,0.40078909517318007,,0.49623678100860735,0.28324943445017015,0.2209649929431861,,,1.315222103401333,0.9206012428067945,,,0.36808644483828484,0.4994104420451283,,0.40927916633010913,0.3020799151027217,0.597065125246864
1493427600,1.0,59.601,25.8985,74.7613,70.7132,26.040966873893314,,3.48667,0.7798366112199493,1.194,6.9415,0.0,0.0940000000000012,0.0,-0.1565000000000012,2.0,-0.22129999999999939,0.0,-0.12590000000000146,0.0,-0.0884999999999998,0.0,-0.05999999999994543,0.0,-0.08770000000000167,0.25450000000000017,0.0,0.0,25.9797,-0.0812000000000026,0.0,39.7,71.2273,,0.7528613385067762,,,0.8378858544887338,0.5603696715353595,0.20758273162834684,0.32075983880229464,48.3562,-0.11982999999999988,0.0,70.7132,70.7132,70.568,70.568,0.14520000000000266,0.14520000000000266,0.31484999999999985,70.7397,70.7397,65.3988,65.0848,5.654899999999998,5.654899999999998,5.5450333333333335,14.1358,14.1358,14.287799999999999,1.1020000000000039,0.0,70.7132,71.3963,70.568,71.2937,70.1663,71.539,0.683099999999996,0.7257000000000033,1.3726999999999947,-0.07529999999999859,0.0,14.1358,109.09735619434726,0.07817701385325808,0.007818631269815426,0.0059816391868257575,1.0,1.0,4.6,8.899999999999999,8.899999999999999,-89.8,1050.02,-5.799999999999997,0.0,188.279,26.03325,25.927700000000005,113.316,98.16220000000001,25.6337,1050.22,1052.5418181818184,11.84305,11.781845454545456,-115.45,-89.8,25.753733333333333,0.6438742461894387,0.7963992627492915,0.6792401611977054,0.7521302397589932,0.7924172683716532,0.2471386614932239,0.1684472920176181,0.43963032846464045,0.5992109048268199,,,,,,0.022835604422108774,0.02613504486379287,0.7704992533897239,3.898,71.1177875,,,11.4102,,25.9797,-106.14000000000001,0.4394153856466462,0.7122515076211227,0.04567120884421755,11.4102,25.812600000000003,0.0,25.546,70.7132,3.898,59.8223,189.381,61.8868,26.040966873893314,-73.90609723191056,,,47.93632128893542,40.48242074352822,,68.52714181892674,3.433292589887869,27.575364623873647,0.1621141455112662,0.022835604422108774,,,0.7924172683716532,0.43963032846464045,,0.6792401611977054,0.6438742461894387,0.2471386614932239,,,1.2097682957967593,0.9645216514271555,,,0.44540357837185157,0.5612123560104959,,0.6187893350174802,0.6326579950250765,0.7103352033222387
1493428200,1.0,59.5888,25.8057,73.8507,70.5813,25.961750194100556,,3.54967,0.7798366112199493,4.65983,3.4658300000000004,0.0,0.019499999999993634,0.0,-0.13390000000000413,1.0,-0.012199999999999989,0.0,0.03020000000000067,0.0,9.999999999976694E-5,0.0,0.15000000000009095,0.0,-0.629999999999999,-0.14700000000000024,0.0,0.0,25.8985,-0.09279999999999688,0.0,39.7195,70.7885,,0.7262307955125904,,,0.8485316886387388,0.5225972040078177,0.18892347161063983,0.18326424048902168,48.2223,0.06299999999999972,0.0,70.5813,70.9685,70.3797,70.3797,0.5888000000000062,0.5888000000000062,0.3721000000000008,70.3172,70.3172,64.9762,64.6407,5.676500000000004,5.676500000000004,5.587216666666667,13.505700000000001,13.505700000000001,14.132666666666665,-1.1850000000000023,0.0,70.5813,71.367,70.3797,71.225,70.1663,71.2597,0.7857000000000056,0.8452999999999946,1.0933999999999884,-0.13190000000000168,0.0,13.505700000000001,127.96975820923322,0.08070914422820583,0.007869272015129424,0.007818631269815426,1.0,1.0,4.1,8.5,8.5,-75.6,1050.17,14.200000000000003,0.0,189.381,25.809350000000002,25.66064,88.48765,86.61094000000001,25.546,1050.17,1052.5236363636366,11.804,11.737263636363638,-103.5,-75.6,25.365233333333336,0.38081697083985033,0.7616339416797007,0.8167357595109783,0.7768541093378379,0.8110765283893602,0.27376920448740955,0.18616533779956457,0.4774027959921823,0.5992109048268199,,,,,,0.3752641338542757,0.04567120884421755,0.7996870478839831,3.751,71.03703750000001,,,11.4103,,25.8985,-98.52000000000001,0.3520398715225649,0.7616339416797007,0.7505282677085514,11.4103,-0.9106000000000023,0.0,24.916,70.5813,3.751,59.601,188.196,61.917,25.961750194100556,-73.13830596068817,,,47.75357417267037,40.343503237838206,,57.709494050346315,3.5721761320374714,27.336743463420923,0.1514683113612612,0.3752641338542757,,,0.8110765283893602,0.4774027959921823,,0.8167357595109783,0.38081697083985033,0.27376920448740955,,,1.344237513949903,0.8841845676859599,,,0.37142864800777137,0.5990408086174023,,0.5154855479179963,0.36208836368068265,0.7507609281568487
1493428800,1.0,59.848,25.8,88.1193,70.3608,25.873770126748823,,3.4815,0.7798366112199493,5.26233,0.6025,0.0,0.240000000000002,0.0,-0.18009999999999593,0.0,0.2591999999999999,0.0,0.31919999999999504,0.0,0.03550000000000075,0.0,-0.2300000000000182,0.0,0.16799999999999926,0.1445000000000003,0.0,0.0,25.8057,-0.0057000000000009265,0.0,39.9595,70.7797,,0.6862338685220494,,,0.7580716385189716,0.43101290381670965,0.19584406833108747,0.18270001616360776,48.0422,-0.06816999999999984,0.0,70.3608,70.6357,70.2408,70.2408,0.3949000000000069,0.3949000000000069,0.4142500000000003,69.7397,69.7397,64.3565,63.9172,5.822499999999998,5.822499999999998,5.6391,13.6382,13.6382,14.0169,1.247000000000014,0.0,70.3608,70.7885,70.2408,70.7232,70.1663,71.2597,0.4277000000000015,0.4824000000000126,1.0933999999999884,-0.22050000000000125,0.0,13.6382,122.27257891416356,0.09936003080477472,0.007602224308138969,0.007869272015129424,1.0,1.0,6.3,12.5,12.5,-91.6,1049.94,-16.0,0.0,188.196,25.58985,25.452240000000003,81.44030000000001,77.5788,25.084,1050.125,1050.477272727273,11.77535,11.694836363636364,-90.69999999999999,-91.6,25.181999999999995,0.6116555009658795,0.7616339416797007,0.8172999838363922,0.8167357595109783,0.8041559316689125,0.3137661314779506,0.18892347161063983,0.5689870961832904,0.5992109048268199,,,,,,0.06152314183555728,0.12304628367111456,0.7996870478839831,3.8955,70.9182625,,,11.4458,,25.8057,-91.64000000000001,0.32075983880229464,0.776688998068241,0.12304628367111456,11.4458,14.268599999999992,0.0,25.084,70.3608,3.8955,59.5888,189.443,62.2362,25.873770126748823,-81.03104787105781,,,47.58686959823717,40.22445474670454,,72.0679164392701,3.4348675388089513,27.071766910214805,0.2419283614810283,0.06152314183555728,,,0.8041559316689125,0.5689870961832904,,0.8172999838363922,0.6116555009658795,0.3137661314779506,,,1.3463412634241965,0.37705489555057947,,,0.4149109855188429,0.6979677762221788,,0.4575039764444762,0.6398295469267987,0.45835289698271997
1493429400,1.0,59.9882,25.8657,79.567,70.303,25.866663811811954,,3.50817,0.7798366112199493,6.01917,0.7568399999999995,0.0,0.19030000000000058,0.0,-0.2109000000000023,0.0,0.1402000000000001,0.0,0.1933000000000007,0.0,-0.14610000000000056,0.0,0.15999999999985448,0.0,-0.30049999999999955,-0.06933000000000034,0.0,0.0,25.8,0.06569999999999965,0.0,40.1498,70.773,,0.6706522370376249,,,0.6142029761370071,0.34885499405723874,0.22134356032310853,0.22193589088666177,47.8313,0.02666999999999975,0.0,70.303,70.303,70.092,70.092,0.21099999999999852,0.21099999999999852,0.36000000000000176,69.2565,69.2565,63.8543,63.3923,5.864200000000004,5.864200000000004,5.692100000000001,13.4838,13.4838,13.892949999999999,-0.3810000000000002,0.0,70.303,70.7885,70.092,70.6713,70.1663,70.9685,0.4855000000000018,0.5793000000000035,0.8021999999999991,-0.057800000000000296,0.0,13.4838,119.88108329836957,0.09793056764336137,0.009713189283398883,0.007602224308138969,1.0,1.0,5.7,11.5,11.5,-81.0,1050.1,10.599999999999994,0.0,189.443,25.314999999999998,25.340783333333334,77.16415,77.91016666666667,24.916,1050.09,1050.4709090909093,11.6899,11.635145454545455,-86.9,-81.0,24.927833333333332,0.46957135740819134,0.776688998068241,0.7780641091133382,0.8167357595109783,0.7786564396768915,0.3293477629623751,0.19584406833108747,0.6511450059427613,0.5992109048268199,,,,,,0.39445785489335133,0.1873005317544255,0.7996870478839831,3.82617,70.786225,,,11.2997,,25.8,-89.86666666666667,0.32075983880229464,0.9391427148163827,0.7889157097867027,11.2997,-8.552300000000002,0.0,24.7835,70.303,3.82617,59.848,189.062,62.4295,25.866663811811954,-78.88207955946751,,,47.47007335749409,40.15142134204385,,66.37160577033436,3.503196152614124,26.98111621112011,0.3857970238629929,0.39445785489335133,,,0.7786564396768915,0.6511450059427613,,0.7780641091133382,0.46957135740819134,0.3293477629623751,,,1.21948517380775,0.4480434071918485,,,0.4982924011907378,0.6695130238900372,,0.4630076790254977,0.46179127510136764,0.42167343966032345
