DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND45384,IND45385,IND45386,IND45387,IND45388,IND45389,IND45390,IND45392,IND45393,IND45394,IND45397,IND45398,IND45399,IND45400,IND45401,IND45402,IND45403,IND45426,IND45427,IND45463,IND45464,IND45465,IND45466,IND45467,IND45468,IND45469,IND45470,IND45471,IND45510,IND45511,IND45512,IND45513,IND45514,IND45515,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5106,IND5114,IND5118,IND5126,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM112,SYM1921,SYM1994,SYM246,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1494460800,1.0,63.0983,27.4717,706.346,69.9353,27.38602741285153,62.300152410867476,1.932,0.6441345721057328,-1.42283,3.2621699999999993,0.0,-0.17010000000000502,0.0,-0.2471000000000032,0.0,1.1231000000000009,0.0,0.6201000000000079,0.0,-0.14499999999999957,0.0,96.16999999999985,0.0,-0.32750000000000057,0.5243399999999996,0.0,0.0,27.5187,-0.0470000000000006,0.0,39.8062,0.02875716245873705,0.6616324978027621,0.06115171064400138,0.12748087105008177,0.46634548898270445,0.5979049228244149,0.024823689627433976,0.43300947481181395,49.6387,-0.04632999999999998,0.0,70.0128,70.0128,69.9353,69.9183,0.09449999999999648,0.09449999999999648,0.14758333333332985,85.832,85.832,80.4398,79.8048,6.0271999999999935,6.0271999999999935,6.020933333333329,9.970699999999999,9.970699999999999,10.139933333333333,0.29999999999998295,0.0,69.9353,72.0157,70.0128,71.9935,69.9183,71.7882,2.0803999999999974,1.9806999999999988,1.8699000000000012,70.0128,69.9183,-0.35720000000000596,-0.2727000000000004,0.0,0.0,-0.3177000000000021,0.0,9.970699999999999,100.20433753162585,0.06451914469360688,0.2819749354821883,0.30235390088738906,1.0,1.0,9.2,18.7,18.7,-141.6,1488.34,-3.5,0.0,189.299,22.99465,615.8893333333333,1404.9881818181818,12.819136363636362,-141.6,23.001266666666666,0.26245810913563933,0.8061257062915679,0.566990525188186,0.7982426468940336,0.975176310372566,0.3383675021972379,0.022833146463459353,0.4020950771755851,0.5620411932419884,0.971242837541263,0.20864091149918762,0.9388482893559986,0.44733547894451375,0.8572246346116146,0.003447134681169098,0.012919481642960856,0.5303240820764029,7.56267,71.63661111111111,22.6315,22.6315,12.6608,61.9752,27.5187,-142.36666666666667,0.6587791672110357,0.5249162182712787,0.006894269362338196,12.6608,134.12699999999995,0.0,22.6315,69.9353,7.56267,61.9752,189.599,68.5353,27.38602741285153,-95.1533915875853,62.300152410867476,66.62099327899143,47.309265846267984,40.81920581063358,61.87882052304235,704.9056132695529,2.0118503880572565,28.60459145738815,0.5336545110172956,0.003447134681169098,0.8725191289499182,0.971242837541263,0.975176310372566,0.4020950771755851,0.9388482893559986,0.566990525188186,0.26245810913563933,0.3383675021972379,,,,,0.37557911655428927,0.5343970483277171,0.7650075425444605,1.137967157550163,1.0036054010545266,0.6014438915395681,1.2796791198162905,0.23464315022080243,0.5185854244288237,0.3570621977941904
1494461400,1.0,61.4657,27.3802,729.664,69.792,27.35167967070396,62.72139658836812,1.95733,0.650636206792605,1.7305,3.15333,0.0,-0.05689999999999884,0.0,-0.13870000000000005,0.0,-1.6326000000000036,0.0,0.08699999999998909,0.0,-0.03780000000000072,0.0,17.600000000000136,0.0,0.5452000000000012,0.07750000000000057,0.0,0.0,27.4717,-0.09149999999999991,0.0,39.7493,0.011301584488490946,0.6787552668818438,0.8023797054007893,0.9820528077435451,0.5841372496269983,0.6331815046681618,0.025044888032027868,0.47295201507055384,49.5,0.025330000000000075,0.0,69.868,69.868,69.792,69.5987,0.2693000000000012,0.2693000000000012,0.15454999999999802,85.5268,85.5268,80.1168,79.4028,6.123999999999995,6.123999999999995,6.0511499999999945,10.553700000000001,10.553700000000001,10.197499999999998,-0.046999999999997044,0.0,69.792,71.2693,69.868,71.3333,69.5987,71.1932,1.4772999999999996,1.4652999999999992,1.5945000000000107,69.868,69.5987,-0.1448000000000036,-0.3196000000000083,0.0,0.0,-0.14329999999999643,0.0,10.553700000000001,99.87962938118417,0.07358016902765252,0.3421949313326189,0.2819749354821883,1.0,1.0,11.1,22.5,22.5,-149.3,1505.94,-7.700000000000017,0.0,189.599,23.01038333333333,651.1276666666665,1413.4008333333334,12.802791666666666,-149.3,22.9224,0.28482150684069213,0.8022608468157478,0.5270479849294462,0.7404296164675717,0.9749551119679721,0.32124473311815616,0.024009921536566725,0.3668184953318382,0.5875036767509516,0.988698415511509,0.17580097534678693,0.19762029459921068,0.4771241671323161,0.9386128114035103,0.003148219504319501,0.01220860452222882,0.5795100912931166,7.64017,71.18864444444444,23.1767,23.1767,12.623,63.0983,27.4717,-144.39999999999998,0.6123223791759153,0.5696430136813843,0.006296439008639002,12.623,23.317999999999984,0.0,23.1767,69.792,7.64017,63.0983,189.552,68.6223,27.35167967070396,-102.83959510318135,62.72139658836812,66.00484575454219,47.24666392834693,40.876699542555215,62.240970849933035,730.5433595626234,2.026054752005887,28.610869618567147,0.41586275037300174,0.003148219504319501,0.017947192256454903,0.988698415511509,0.9749551119679721,0.3668184953318382,0.19762029459921068,0.5270479849294462,0.28482150684069213,0.32124473311815616,,,,,0.5434824056211598,0.8328697050368133,0.5171307485648683,0.8770448835081256,0.6980130825157033,0.6480194746163026,1.041478688442188,0.45511130500328734,0.5841672526909587,0.3485381018459543
1494462000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.197,70.2525,70.16,70.16,0.09250000000000114,0.09250000000000114,0.14661666666666662,85.4588,85.4588,80.0462,79.4317,6.02709999999999,6.02709999999999,6.050116666666661,10.0319,10.0319,10.216216666666666,,,69.792,70.9085,69.868,70.9165,69.5987,70.8782,1.116500000000002,1.0485000000000042,1.279500000000013,,,,,,,,,,,,0.243907409157651,0.3421949313326189,1.0,1.0,13.1,,26.0,,,,,189.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494462600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2898,71.2898,71.124,70.8995,0.3902999999999963,0.3902999999999963,0.20528333333333393,85.5,85.5,80.1847,79.5045,5.995500000000007,5.995500000000007,6.05028333333333,10.681099999999999,10.681099999999999,10.306949999999999,,,69.792,71.2898,69.868,71.124,69.5987,70.8995,1.497799999999998,1.2560000000000002,1.3008000000000095,,,,,,,,,,,,0.28102342728756186,0.243907409157651,1.0,1.0,10.9,,21.700000000000003,,,,,189.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494463200,1.0,61.5645,27.227,958.394,71.4205,,,1.82183,0.6659131900725326,1.1455,,,,,,,,,,,,,,,,,,,,,,39.8865,0.0037214425529800144,0.6943781208811528,0.8424998443153884,,,0.6060001019543528,0.02500828738956784,0.4954910787085659,49.6328,,,71.4205,71.4205,71.3288,70.6558,0.7647000000000048,0.7647000000000048,0.29838333333333367,85.5162,85.5162,80.145,79.4765,6.039699999999996,6.039699999999996,6.052249999999998,10.703100000000001,10.703100000000001,10.348949999999999,,,69.792,71.4205,69.868,71.3288,69.5987,70.8995,1.6285000000000025,1.460800000000006,1.3008000000000095,71.3288,70.6558,,,,,,,10.703100000000001,99.80477671367403,0.05842143454940829,0.28690263925150516,0.28102342728756186,1.0,1.0,6.6,13.0,13.0,-122.5,1634.16,,,188.807,23.042625,741.65575,1420.7510000000002,12.811150000000001,-122.5,23.4033,0.23782657592167514,0.8224040309592071,0.5045089212914341,0.8202040055123656,0.9749917126104322,0.30562187911884714,0.024869839067967442,0.3939998980456471,0.5999287176068994,0.99627855744702,0.21950873647863295,0.15750015568461156,0.565885223746385,,0.0061545266016519206,0.01309694294919238,,8.44767,70.58661428571428,23.4033,23.4033,12.7002,,,-137.875,0.5363131008341834,0.4756531518433503,0.012309053203303841,12.7002,,,23.4033,71.4205,8.44767,,189.348,69.3618,,-83.5504997897271,,66.5023562111412,47.314578232925456,40.935635241617135,62.424641049238524,960.2686680513284,1.9062280080341847,28.561435838500664,,0.0061545266016519206,,0.99627855744702,0.9749917126104322,0.3939998980456471,0.15750015568461156,0.5045089212914341,0.23782657592167514,0.30562187911884714,,,,,,0.6850380715626184,,0.8619590163697972,0.2701581314542759,0.3396489373379699,0.5424870689042033,0.6226053658261538,0.6910588594392104,0.4210056811464858
1494463800,1.0,61.7645,27.1985,698.401,71.8487,27.108897212629245,62.11110557863108,1.86417,0.6826609803816711,-5.801,-6.9465,0.0,0.013500000000000512,0.0,0.15049999999999386,0.0,0.19999999999999574,0.0,-0.6791000000000054,0.0,-0.032900000000001484,0.0,-158.57000000000016,0.0,-0.470600000000001,-0.8185000000000002,0.0,0.0,27.227,-0.02850000000000108,0.0,39.9,0.026786332802044455,0.6943956376889137,0.7274547436134005,0.6630277186068078,0.45050015848290703,0.6060233325132545,0.024745708098845243,0.8985443768431606,49.7833,0.042340000000000044,0.0,71.8487,71.8487,71.6817,71.5927,0.2560000000000002,0.2560000000000002,0.3112166666666667,85.565,85.565,80.2308,79.5808,5.984200000000001,5.984200000000001,6.032949999999997,10.265400000000001,10.265400000000001,10.36765,-0.07600000000002183,0.0,69.792,71.8487,69.868,71.6817,69.5987,71.5927,2.056699999999992,1.8137000000000114,1.9939999999999998,71.6817,71.5927,0.3529000000000053,0.9368999999999943,0.0,0.0,0.4281999999999897,0.0,10.265400000000001,94.11230895502011,0.1094590892587267,0.28986036734084464,0.28690263925150516,1.0,1.0,8.5,17.0,17.0,-130.9,1475.59,-8.400000000000006,0.0,189.348,23.03605,773.2012500000001,1442.678,12.79668,-130.9,23.168,0.16417974476231526,0.7882714426118166,0.1014556231568394,0.64676491423298,0.9752542919011548,0.30560436231108634,0.024869839067967442,0.3939766674867456,0.6060059095940782,0.9732136671979555,0.09200524281750727,0.2725452563865996,0.7461859840602476,0.8843540268755798,0.005581151786601915,0.012461660313218095,0.549032997648915,7.62917,70.66938571428571,22.9327,22.9327,12.6673,61.5645,27.227,-136.075,0.6993043598781866,0.3283594895246305,0.01116230357320383,12.6673,-259.99300000000005,0.0,22.9327,71.8487,7.62917,61.5645,189.272,68.6827,27.108897212629245,-91.6763258663409,62.11110557863108,66.7367811227549,47.44159393643929,40.931928338836364,62.33823713612611,742.0931520591982,1.997867929649113,28.536123166526593,0.549499841517093,0.005581151786601915,0.33697228139319224,0.9732136671979555,0.9752542919011548,0.3939766674867456,0.2725452563865996,0.1014556231568394,0.16417974476231526,0.30560436231108634,,,,,0.715505823330757,0.5979871742023256,0.6756256114819842,1.222501230276328,0.48954283057029935,0.6889304630040233,0.5023641399919148,0.44632327438177394,0.40462919640809514,0.5676289196577435
1494464400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1197,71.1197,71.0967,70.8963,0.22339999999999804,0.22339999999999804,0.3327000000000003,85.4743,85.4743,80.1087,79.5252,5.949100000000001,5.949100000000001,6.019933333333332,9.897099999999998,9.897099999999998,10.355383333333332,,,69.792,71.8487,69.868,71.6817,69.5987,71.5927,2.056699999999992,1.8137000000000114,1.9939999999999998,,,,,,,,,,,,0.2989386858138139,0.28986036734084464,1.0,1.0,14.4,,29.700000000000003,,,,,189.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494465000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.7482,71.7482,71.6815,71.4193,0.3288999999999902,0.3288999999999902,0.3426333333333318,85.33,85.33,79.9552,79.3432,5.986800000000002,5.986800000000002,5.997066666666666,10.8223,10.8223,10.40015,,,70.16,71.8487,70.197,71.6817,70.2525,71.5927,1.6886999999999972,1.4847000000000037,1.3401999999999958,,,,,,,,,,,,0.20324827141111293,0.2989386858138139,1.0,1.0,14.7,,28.5,,,,,189.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494465600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3097,73.3097,72.9842,72.8398,0.46990000000000975,0.46990000000000975,0.4055333333333332,85.48,85.48,80.2298,79.5562,5.9238,5.9238,5.979850000000001,10.872200000000001,10.872200000000001,10.540199999999999,,,71.1197,73.3097,71.0967,72.9842,70.6558,72.8398,2.190000000000012,1.8875000000000028,2.1839999999999975,,,,,,,,,,,,0.20447638557081774,0.20324827141111293,1.0,1.0,15.0,,29.8,,,,,189.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494466200,1.0,63.1227,26.8727,864.42,72.9185,,,1.7475,0.6943956376889137,-7.38833,,,,,,,,,,,,,,,,,,,,,,40.1038,0.019827047949060206,0.7214108133883573,0.1531599651781611,,,0.5620151005755456,0.0255381632900068,0.9856242129191135,50.1,,,72.9185,72.9185,72.7707,72.6113,0.3071999999999946,0.3071999999999946,0.39168333333333294,85.5845,85.5845,80.3515,79.7428,5.841700000000003,5.841700000000003,5.954216666666667,10.010000000000002,10.010000000000002,10.428349999999998,,,71.1197,73.3097,71.0967,72.9842,70.6558,72.8398,2.190000000000012,1.8875000000000028,2.1839999999999975,72.7707,72.6113,,,,,,,10.010000000000002,90.34542545813983,0.12089537331088604,0.2428136815276873,0.20447638557081774,1.0,1.0,10.5,20.9,20.9,-126.3,1559.94,,,189.442,22.92433333333333,840.405,1507.8785714285716,12.69232857142857,-126.3,22.437,0.034424074218211094,0.7906662683882877,0.014375787080886441,0.5630516660315688,0.9744618367099932,0.27858918661164267,0.025044888032027868,0.43798489942445445,0.6060233325132545,0.9801729520509398,0.026786332802044455,0.8468400348218389,0.8023797054007893,,0.008720981730291694,0.012309053203303841,,8.30983,71.494925,22.437,22.437,12.427,,,-126.56666666666666,0.8985443768431606,0.06884814843642219,0.01744196346058339,12.427,,,22.437,72.9185,8.30983,,189.367,69.4542,,-99.33581335173204,,67.56574327584177,47.881056304871734,40.8989219195942,62.28510179701188,956.7944316123849,2.143726156288744,28.368052181411365,,0.008720981730291694,,0.9801729520509398,0.9744618367099932,0.43798489942445445,0.8468400348218389,0.014375787080886441,0.034424074218211094,0.27858918661164267,,,,,,0.5531574074084332,,1.0297755666796948,0.3816173025823286,0.5965751346217475,0.7902446495611876,0.7972776563826877,0.7183725421693541,0.49307675607100415
