DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND36351,IND36356,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND45384,IND45385,IND45386,IND45387,IND45388,IND45389,IND45390,IND45392,IND45393,IND45394,IND45397,IND45398,IND45399,IND45400,IND45401,IND45402,IND45403,IND45426,IND45427,IND45463,IND45464,IND45465,IND45466,IND45467,IND45468,IND45469,IND45470,IND45471,IND45510,IND45511,IND45512,IND45513,IND45514,IND45515,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5106,IND5114,IND5118,IND5126,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1494028800,1.0,63.4385,26.285,758.988,70.4613,26.40381487127741,62.090098443329175,1.97383,0.6488092972281098,4.84733,8.555,0.0,-0.05559999999999832,0.0,0.12899999999999778,0.0,2.0456999999999965,0.0,-0.1612999999999971,0.0,-0.21620000000000061,0.0,-47.52999999999997,0.0,-0.4707000000000008,-0.4881700000000011,0.0,0.0,26.5093,-0.2242999999999995,0.0,38.5282,0.08479022526436952,0.7185730000733871,0.045191681982811316,0.008921176364539596,0.8205105411151781,0.6748405286579331,0.02972925873478316,0.30928601245701937,48.561,0.18700000000000006,0.0,70.5913,70.6652,70.4613,70.4613,0.2039000000000044,0.2039000000000044,0.27486666666666554,87.2655,87.2655,82.0982,81.1853,6.080200000000005,6.080200000000005,6.177499999999999,10.2212,10.2212,10.468166666666665,0.25,0.0,67.2752,71.3273,67.1907,71.0585,67.2015,71.1625,4.052099999999996,3.8677999999999884,3.9609999999999985,70.5913,70.6652,-0.4568999999999903,-0.49729999999999563,0.0,0.0,-0.8659999999999997,0.0,10.2212,101.78201929628958,0.07967218672577912,0.32765579052364757,0.33132399787712824,1.0,1.0,9.2,18.2,18.2,-135.7,1518.91,-29.099999999999994,0.0,188.849,21.906766666666663,923.2434999999998,1529.5649999999998,11.411575000000001,-135.7,21.6738,0.2869290473738696,0.7070876114416429,0.6907139875429806,0.8439042522141356,0.9702707412652168,0.2814269999266129,0.033167692816412964,0.3251594713420669,0.8075255526216947,0.9152097747356305,0.07764107755484057,0.9548083180171887,0.6933840171390043,0.9324801106878563,0.004370131817432254,0.01815554851769281,0.8050052903185227,7.669,68.84503333333333,21.284,21.284,11.0628,61.3928,26.5093,-124.21666666666665,0.5468543924200422,0.5738580947477392,0.008740263634864508,11.0628,-66.3789999999999,0.0,21.284,70.4613,7.669,61.3928,189.099,68.9127,26.40381487127741,-92.22052007951584,62.090098443329175,67.93467612578692,46.592588285561774,39.75962207278185,62.16239014968397,745.6994911749297,2.037094869018453,27.761156832739367,0.1794894588848219,0.004370131817432254,0.9910788236354604,0.9152097747356305,0.9702707412652168,0.3251594713420669,0.9548083180171887,0.6907139875429806,0.2869290473738696,0.2814269999266129,0.4006399544409729,0.8387775956128983,1.0122257091238023,0.8811414668472495,0.5129574454076636,0.924959087487145,1.5208238404607444,0.955102646910537,0.48910533097365044,0.6040298386175488
1494029400,1.0,63.0583,26.1585,985.718,70.566,26.187874940225527,62.77161563843863,1.784,0.6759066274381132,-4.51733,-9.36466,0.0,-0.11220000000000141,0.0,-0.06099999999999994,0.0,-0.380199999999995,0.0,0.44599999999999795,0.0,0.05200000000000138,0.0,114.34999999999991,0.0,0.2193000000000005,0.9338300000000013,0.0,0.0,26.285,-0.12650000000000006,0.0,38.416,0.02776880227351808,0.7193394003509006,0.19158271607389665,0.3420885611168277,0.6763714103269365,0.6867657908128384,0.034049568710537104,0.9253033725792496,48.5,-0.18982999999999994,0.0,70.566,70.5682,70.5392,70.5392,0.029000000000010573,0.029000000000010573,0.2656166666666687,87.0713,87.0713,81.8955,80.9427,6.128599999999992,6.128599999999992,6.1308833333333315,10.388499999999999,10.388499999999999,10.381699999999999,0.31800000000001205,0.0,68.2032,71.3273,67.9337,71.0585,67.9497,71.1625,3.1240999999999985,3.1247999999999934,3.212799999999987,70.5392,70.5682,-0.05210000000001003,-0.0969999999999942,0.0,0.0,0.10470000000000823,0.0,10.388499999999999,94.58004514459286,0.09550636244119667,0.32138016214940207,0.32765579052364757,1.0,1.0,6.2,11.8,11.8,-114.5,1633.26,21.19999999999999,0.0,189.099,21.739516666666663,943.6331666666665,1541.5466666666666,11.394366666666667,-114.5,21.514,0.11070699322234716,0.5616142509678524,0.07469662742075042,0.8439042522141356,0.9659504312894629,0.28066059964909934,0.03407233560105752,0.31323420918716155,0.8075255526216947,0.9722311977264819,0.07764107755484057,0.8084172839261033,0.6406232586985836,0.8870145703284524,0.0076002813980777266,0.018857790865086876,0.8050052903185227,8.60283,69.25375555555556,21.5033,21.5033,11.1148,63.4385,26.285,-116.73333333333335,0.8302102854997414,0.22141398644469432,0.015200562796155453,11.1148,226.7299999999999,0.0,21.5033,70.566,8.60283,63.4385,189.417,69.3587,26.187874940225527,-79.29232478299588,62.77161563843863,67.7354004374582,46.687746042774094,39.67321646234439,62.32739777842606,1042.2050428217135,1.971167969093576,27.652041986298062,0.3236285896730635,0.0076002813980777266,0.6579114388831723,0.9722311977264819,0.9659504312894629,0.31323420918716155,0.8084172839261033,0.07469662742075042,0.11070699322234716,0.28066059964909934,0.44587970756345463,0.43100535287725245,1.1477659319139255,0.7120300437739339,0.22863347520869506,0.7233079705685199,1.385856424164833,0.5475702256024588,0.3996397380368151,0.7748205026786787
1494030000,1.0,62.2187,25.9933,1127.85,72.6003,26.052246638478007,62.6571680395696,1.62467,0.7096123983238423,-6.14083,-1.6235,0.0,0.07000000000000028,0.0,0.04270000000000351,0.0,-0.8396000000000043,0.0,0.48810000000000286,0.0,-0.3236000000000008,0.0,46.180000000000064,0.0,-0.42299999999999827,0.38949999999999996,0.0,0.0,26.1585,-0.16519999999999868,0.0,38.486,0.009788712263349653,0.7255985154051183,0.4997049987764842,0.7166358032167687,0.7295472020975347,0.6396115356809202,0.03989665961092548,0.5825766939572917,48.5427,-0.15932999999999997,0.0,72.6003,72.6003,72.2032,72.0542,0.5461000000000098,0.5461000000000098,0.3117166666666714,87.3022,87.3022,82.2185,81.2943,6.007899999999992,6.007899999999992,6.089399999999998,10.289100000000001,10.289100000000001,10.364149999999999,-0.3810000000000002,0.0,70.4613,72.6003,70.382,72.2032,70.0808,72.0542,2.13900000000001,1.8211999999999904,1.973399999999998,72.2032,72.0542,1.6640000000000015,1.48599999999999,0.0,0.0,2.0343000000000018,0.0,10.289100000000001,99.31117452307555,0.034176681683167766,0.028170083575899646,0.32138016214940207,1.0,1.0,3.2,6.5,6.5,-92.8,1679.44,21.700000000000003,0.0,189.417,21.598366666666664,969.1265,1569.9133333333332,11.351441666666668,-92.8,21.289199999999997,0.6671109040578395,0.6427981676001756,0.4174233060427083,0.8403963763434801,0.9601033403890745,0.27440148459488173,0.03479667163792391,0.3603884643190797,0.8075255526216947,0.9902112877366503,0.04908742638806979,0.5002950012235158,0.6502879258410981,0.8870145703284524,0.015662712311058254,0.022278805262900377,0.7512539539708012,8.99233,69.90617777777778,21.0803,21.0803,10.7912,63.0583,26.1585,-111.54999999999998,0.8323229848093588,0.6657781918843211,0.03132542462211651,10.7912,142.13199999999995,0.0,21.0803,72.6003,8.99233,63.0583,189.036,69.8468,26.052246638478007,-68.81587983877063,62.6571680395696,67.37162530488136,46.89521931658258,39.60941568007353,62.22915925812835,1135.6728036057384,1.5692135900978001,27.54412627107244,0.2704527979024654,0.015662712311058254,0.2833641967832313,0.9902112877366503,0.9601033403890745,0.3603884643190797,0.5002950012235158,0.4174233060427083,0.6671109040578395,0.27440148459488173,0.4367068864932805,0.3580065030646051,1.0283984956673837,1.0300267888655295,0.18376336884598932,0.5265417918187462,1.0945272245609514,0.9116048867531825,0.43800370728073906,0.5815585045243733
1494030600,1.0,61.8635,25.7733,1049.39,73.5182,25.910346624048234,62.41646943416975,1.7955,0.7191478002815223,0.6545,6.79533,0.0,0.04420000000000357,0.0,0.21409999999999485,0.0,-0.3551999999999964,0.0,-0.1565999999999974,0.0,0.022299999999999542,0.0,-7.6400000000001,0.0,0.15489999999999782,-0.34250000000000114,0.0,0.0,25.9933,-0.22000000000000242,0.0,38.5302,0.010040354586337008,0.7607187525524342,0.6565717765896455,0.7761409273519605,0.8255021879742052,0.6862263875481395,0.034179849363607406,0.15910809108161994,48.7568,0.17083000000000004,0.0,73.5182,73.5182,73.2317,72.9045,0.6136999999999944,0.6136999999999944,0.33191666666666936,87.6662,87.6662,82.6703,81.7365,5.929699999999997,5.929699999999997,6.057166666666665,10.4217,10.4217,10.374033333333333,0.33899999999999864,0.0,70.4613,73.5182,70.5392,73.2317,70.5682,72.9045,3.056899999999999,2.6925000000000097,2.3362999999999943,73.2317,72.9045,1.0285000000000082,0.8503000000000043,0.0,0.0,0.9178999999999888,0.0,10.4217,103.73586474116017,0.03913521999854333,0.12351063099851858,0.028170083575899646,1.0,1.0,5.3,11.0,11.0,-108.7,1671.8,-15.900000000000006,0.0,189.036,21.473366666666667,955.6748333333331,1592.1866666666665,11.3118,-108.7,21.27293333333333,0.9462931042720326,0.6427981676001756,0.8408919089183801,0.8387372008750127,0.9658201506363926,0.23928124744756582,0.03482165283768468,0.31377361245186053,0.805982482763207,0.989959645413663,0.026967233709371707,0.34342822341035445,0.6895046202943883,0.8870145703284524,0.010071304211156032,0.022295240646462388,0.8050052903185227,8.64983,70.6468111111111,21.2352,21.2352,10.8135,62.2187,25.9933,-111.51666666666665,0.8323229848093588,0.10741379145593477,0.020142608422312063,10.8135,-78.45999999999981,0.0,21.2352,73.5182,8.64983,62.2187,189.375,69.6902,25.910346624048234,-77.42443287489283,62.41646943416975,67.19336014062179,46.98420364602734,39.78932148520258,62.28477606035378,1011.5980645829858,1.552565018197703,27.529557370249655,0.17449781202579484,0.010071304211156032,0.2238590726480395,0.989959645413663,0.9658201506363926,0.31377361245186053,0.34342822341035445,0.8408919089183801,0.9462931042720326,0.23928124744756582,0.12618907360134976,0.8018767621307681,1.0044235482586328,0.9752543273779399,0.43991943393509986,0.6153523038512301,1.187289647229662,0.5746132726151133,1.0521450781679358,0.6437637915052866
1494031200,1.0,61.3993,25.55,941.643,73.2515,25.714251080864656,62.30012555547768,1.94767,0.7240337366415639,1.93133,1.27683,0.0,0.10529999999999973,0.0,0.2704000000000022,0.0,-0.4642000000000053,0.0,-0.4258999999999986,0.0,-0.13919999999999888,0.0,-39.22000000000003,0.0,0.03760000000000119,-0.3929999999999989,0.0,0.0,25.7733,-0.22329999999999828,0.0,38.6355,0.015496085725191011,0.7997544716867214,0.8615044972087069,0.9115109790574042,0.8519283808210494,0.7009176796198493,0.030280276430746045,0.14341810644425135,49.0272,0.15216999999999992,0.0,73.2515,73.2515,73.2423,73.0148,0.23669999999999902,0.23669999999999902,0.31808333333333627,87.8178,87.8178,82.8357,81.9,5.9178,5.9178,6.027349999999998,10.5985,10.5985,10.399116666666666,-0.12299999999999045,0.0,70.4613,73.5182,70.5392,73.2423,70.5682,73.0148,3.056899999999999,2.7031000000000063,2.4465999999999894,73.2423,73.0148,0.010599999999996612,0.11029999999999518,0.0,0.0,-0.26670000000000016,0.0,10.5985,104.30675971450304,0.05705422056648858,0.2981401775830559,0.12351063099851858,1.0,1.0,8.6,17.0,17.0,-135.6,1632.58,-26.89999999999999,0.0,189.375,21.355049999999995,948.1593333333333,1603.7483333333332,11.247341666666665,-135.6,21.1961,0.7704115189459072,0.6427981676001756,0.8565818935557487,0.8425510843868474,0.969719723569254,0.20024552831327858,0.03482165283768468,0.2990823203801507,0.800937968368417,0.984503914274809,0.02686645761711484,0.13849550279129308,0.7452474601204514,0.8870145703284524,0.0037968265103774396,0.022295240646462388,0.8242542762594484,8.25683,71.31084444444443,21.2728,21.2728,10.6743,61.8635,25.7733,-115.64999999999998,0.8323229848093588,0.4591769621081856,0.007593653020754879,10.6743,-107.74700000000007,0.0,21.2728,73.2515,8.25683,61.8635,189.252,69.2643,25.714251080864656,-89.39059379052793,62.30012555547768,66.98043502095368,47.080220891690395,39.92173380904501,62.32353568512603,902.7631599115545,1.859616463076114,27.580625844624215,0.14807161917895062,0.0037968265103774396,0.08848902094259578,0.984503914274809,0.969719723569254,0.2990823203801507,0.13849550279129308,0.8565818935557487,0.7704115189459072,0.20024552831327858,0.2221323578669125,0.8221011533962339,0.886075560328781,0.6815310124013915,0.689902740862163,0.762578518375149,1.1274518418744084,1.013983786405465,0.48412232556928775,0.5928295590066772
1494031800,1.0,63.301,25.3695,915.136,72.7112,25.482027684004755,62.115480902347,1.81583,0.7519386932656051,-5.76983,-7.70116,0.0,0.029200000000003,0.0,0.14450000000000074,0.0,1.9017000000000053,0.0,-0.007600000000010709,0.0,-0.07880000000000109,0.0,-13.460000000000036,0.0,-0.8698000000000015,0.10583999999999882,0.0,0.0,25.55,-0.1805000000000021,0.0,38.6647,0.0481381106445371,0.8290368548604022,0.02994915953605648,0.024951628602566278,0.7897070870208402,0.6554888392114009,0.027868729246027124,0.7443067705869142,49.1717,-0.13183999999999996,0.0,72.7112,72.7112,72.5747,72.5427,0.16850000000000875,0.16850000000000875,0.29965000000000447,87.9223,87.9223,82.836,81.9918,5.930500000000009,5.930500000000009,5.999116666666666,9.8075,9.8075,10.287749999999999,0.057999999999992724,0.0,70.4613,73.5182,70.5392,73.2423,70.5682,73.0148,3.056899999999999,2.7031000000000063,2.4465999999999894,72.5747,72.5427,-0.6675999999999931,-0.4720999999999975,0.0,0.0,-0.5402999999999878,0.0,9.8075,97.5160315657863,0.06036050687160918,0.3164222739813865,0.2981401775830559,1.0,1.0,5.5,10.9,10.9,-114.5,1619.12,21.099999999999994,0.0,189.252,21.12976666666666,963.1208333333334,1618.550833333333,11.180425,-114.5,20.970333333333333,0.1342168745905352,0.6427981676001756,0.25569322941308587,0.8387372008750127,0.9721312707539729,0.17096314513959773,0.03482165283768468,0.34451116078859917,0.795138772472471,0.9518618893554629,0.02686645761711484,0.9700508404639435,0.7452474601204514,0.8870145703284524,0.0068039144823011325,0.022295240646462388,0.8242542762594484,8.36267,71.81173333333332,20.403,20.403,10.5955,61.3993,25.55,-116.96666666666665,0.8727555039667645,0.2684337491810704,0.013607828964602265,10.5955,-26.507000000000062,0.0,20.403,72.7112,8.36267,61.3993,189.31,69.2567,25.482027684004755,-77.03743519401542,62.115480902347,67.93321000755363,47.124428663945835,39.87825839141117,61.69332454061982,938.4467203042718,1.9766940635293961,27.577197177719583,0.21029291297915975,0.0068039144823011325,0.9750483713974337,0.9518618893554629,0.9721312707539729,0.34451116078859917,0.9700508404639435,0.25569322941308587,0.1342168745905352,0.17096314513959773,0.7330513451608995,0.50051558843644,0.9270131840722203,1.1365161711953866,0.48963383478324796,0.8950590234917409,0.9803610254488988,1.0852050419946633,0.7335209019867766,0.4383810772400564
1494032400,1.0,62.3193,25.2,1004.11,73.0245,25.32397945277614,62.72715452158273,1.77817,0.7899955419031496,-5.22617,0.54366,0.0,-0.06470000000000198,0.0,-0.07169999999999987,0.0,-0.9817000000000036,0.0,0.4468000000000103,0.0,-0.0034999999999989484,0.0,37.67000000000007,0.0,0.5807000000000002,0.28200000000000003,0.0,0.0,25.3695,-0.16949999999999932,0.0,38.6,0.012856321301225715,0.8337309590843591,0.4862390627701013,0.6971114319784584,0.8062715675948974,0.6332646345726667,0.03395354111932536,0.7388805649455736,49.1,-0.03766000000000003,0.0,73.0245,73.0245,72.8495,72.8495,0.17499999999999716,0.17499999999999716,0.2948333333333366,87.9528,87.9528,82.8682,82.0112,5.941599999999994,5.941599999999994,5.976016666666664,10.391699999999998,10.391699999999998,10.316166666666668,-0.20900000000000318,0.0,70.566,73.5182,70.5392,73.2423,70.5682,73.0148,2.9521999999999906,2.7031000000000063,2.4465999999999894,72.8495,72.8783,0.27479999999999905,0.33559999999999945,0.0,0.0,0.31329999999999814,0.0,10.391699999999998,97.7892194120096,0.05534358165204687,0.22029729682469215,0.3164222739813865,1.0,1.0,7.2,14.4,14.4,-107.7,1656.79,6.799999999999997,0.0,189.31,21.079716666666666,1003.9744999999999,1627.373333333333,11.101075000000002,-107.7,20.886499999999998,0.5459937170899904,0.6427981676001756,0.2611194350544264,0.8387372008750127,0.9660464588806746,0.1662690409156409,0.03482165283768468,0.36673536542733326,0.7408293957716745,0.9871436786987743,0.02575894741908899,0.5137609372298987,0.7452474601204514,0.8870145703284524,0.012545189775376928,0.023093965096100972,0.8242542762594484,8.64467,72.08408888888889,20.9837,20.9837,10.592,63.301,25.3695,-112.29999999999998,0.8727555039667645,0.9080125658200191,0.025090379550753855,10.592,88.97400000000005,0.0,20.9837,73.0245,8.64467,63.301,189.101,69.7035,25.32397945277614,-84.02483905901556,62.72715452158273,67.46135555013855,47.318806458055434,39.681850722781434,62.31040960653091,1026.8105278245878,1.755096450054029,27.471700573351495,0.19372843240510262,0.012545189775376928,0.3028885680215417,0.9871436786987743,0.9660464588806746,0.36673536542733326,0.5137609372298987,0.2611194350544264,0.5459937170899904,0.1662690409156409,0.35321922168973835,0.676509057159079,0.7861642417227089,0.7648449658425986,0.4479259959774235,0.7957166184859716,0.9169937092906271,0.967638164285188,0.7466862260739227,0.6305340154168811
1494033000,1.0,61.63,25.0587,1034.53,73.989,25.168817296088665,62.45358331088746,1.83167,0.821716259066982,1.37533,6.6015,0.0,0.0,1.0,0.033699999999996066,0.0,-0.6892999999999958,0.0,-0.23329999999999984,0.0,-0.03049999999999997,0.0,6.160000000000082,0.0,-0.04499999999999815,-0.015839999999998966,0.0,0.0,25.2,-0.14129999999999754,0.0,38.6,0.014233531350735129,0.8565357782537383,0.7601283023039855,0.8883527349552522,0.7782702291760041,0.6201412712609355,0.0339888672011176,0.3483308823247818,49.1337,0.05349999999999988,0.0,73.989,73.989,73.4535,73.2893,0.6997000000000071,0.6997000000000071,0.40661666666666935,88.0225,88.0225,83.0073,82.1437,5.878799999999998,5.878799999999998,5.934383333333331,10.3772,10.3772,10.314283333333334,0.18000000000000682,0.0,72.6003,73.989,72.2032,73.4535,72.0542,73.2893,1.3887,1.25030000000001,1.2351000000000028,73.4535,73.2893,0.6039999999999992,0.41100000000000136,0.0,0.0,0.964500000000001,0.0,10.3772,101.14707743592413,0.05686356087673531,0.1793095157706482,0.22029729682469215,1.0,1.0,7.1,13.7,13.7,-120.4,1662.95,-12.700000000000003,0.0,189.101,20.985616666666665,1012.1098333333332,1633.2616666666665,11.014575,-120.4,20.775133333333333,0.8872573626673264,0.5495968440193016,0.6516691176752182,0.8387372008750127,0.9660111327988824,0.1434642217462617,0.03482165283768468,0.3798587287390644,0.7070953427831852,0.9857664686492649,0.02575894741908899,0.2398716976960144,0.7452167854436481,0.8761889305378986,0.006230115224897932,0.023093965096100972,0.8242542762594484,8.62883,72.38325555555555,20.9387,20.9387,10.5615,62.3193,25.2,-113.28333333333332,0.8727555039667645,0.2254852746653473,0.012460230449795865,10.5615,30.41999999999996,0.0,20.9387,73.989,8.62883,62.3193,189.281,69.4702,25.168817296088665,-82.58469142284315,62.45358331088746,67.18474979617599,47.36810409589431,39.666782126595905,62.311579610504495,1022.7977181598416,1.6712068163343547,27.45972315309975,0.2217297708239959,0.006230115224897932,0.1116472650447477,0.9857664686492649,0.9660111327988824,0.3798587287390644,0.2398716976960144,0.6516691176752182,0.8872573626673264,0.1434642217462617,0.28618266066841697,0.5452438035828061,0.48950162573186656,1.051359140176564,0.5078019247193223,0.6798182166788157,0.8533574070466181,0.9423289069882191,0.7602077975962549,0.5672342979083002
1494033600,1.0,61.396,24.861,1087.83,74.6842,25.02305718034425,62.22400807178881,1.716,0.8325574330283699,0.361167,-1.014163,0.0,0.02949999999999875,1.0,0.09600000000000364,0.0,-0.23400000000000176,0.0,-0.1554000000000002,0.0,-0.5080000000000009,0.0,7.069999999999936,0.0,-0.42190000000000083,0.192499999999999,0.0,0.0,25.0587,-0.1977000000000011,0.0,38.6295,0.015424566385487504,0.878544903216821,0.8115927927009732,0.8912211327787088,0.8342321020801818,0.6388585810576848,0.03295311435502013,0.4487227337479637,49.2297,-0.11566999999999994,0.0,74.6842,74.6842,74.3965,74.1178,0.5664000000000016,0.5664000000000016,0.4100000000000013,88.2922,88.2922,83.35,82.4957,5.796499999999995,5.796499999999995,5.899149999999999,10.4633,10.4633,10.343316666666666,-0.3930000000000007,0.0,72.7112,74.6842,72.5747,74.3965,72.5427,74.1178,1.972999999999999,1.821799999999996,1.5751000000000062,74.3965,74.1178,0.9429999999999978,0.8285000000000053,0.0,0.0,0.6951999999999998,0.0,10.4633,100.21861147829841,0.047531494683908215,0.09556690310678556,0.1793095157706482,1.0,1.0,3.8,8.0,8.0,-95.4,1670.02,25.0,0.0,189.281,20.891699999999997,1005.4398333333334,1636.8975,10.891300000000001,-95.4,20.813066666666664,0.7204322115004809,0.570177465310564,0.5512772662520363,0.8033474285745302,0.9670468856449799,0.12145509678317903,0.03482165283768468,0.36114141894231516,0.6973797074180965,0.9845754336145125,0.02554849114873131,0.18840720729902682,0.7987266701017263,0.8905040333228447,0.01501611084652665,0.02459804096833412,0.8320496235536876,8.82133,72.75624444444443,20.5168,20.5168,10.0535,61.63,25.0587,-113.71666666666665,0.8727555039667645,0.5591355769990383,0.0300322216930533,10.0535,53.299999999999955,0.0,20.5168,74.6842,8.82133,61.63,188.888,69.3148,25.02305718034425,-71.05236763621753,62.22400807178881,67.0500578241421,47.38563989593439,39.75140930672082,62.18657284969717,1085.4570662611518,1.6469766394167051,27.425513781689144,0.16576789791981816,0.01501611084652665,0.10877886722129113,0.9845754336145125,0.9670468856449799,0.36114141894231516,0.18840720729902682,0.5512772662520363,0.7204322115004809,0.12145509678317903,0.46843031309064054,0.39183045877010503,1.0048797037995858,0.8689663539263033,0.5561909404162376,0.6677733210045841,0.4244784027230031,0.6513516988220514,0.6992145846975493,0.46998997733036224
1494034200,1.0,61.1148,24.6705,1153.18,74.8862,24.839863720452183,62.13549387548562,1.707,0.8508345734613935,1.76033,1.399163,0.0,0.03820000000000334,1.0,0.1617999999999995,0.0,-0.28119999999999834,0.0,-0.23160000000000025,0.0,-0.09549999999999947,0.0,9.519999999999982,0.0,0.03300000000000125,0.09800000000000075,0.0,0.0,24.861,-0.1905000000000001,0.0,38.6677,0.01918462405985366,0.9034654275580439,0.9417183819931908,0.9469100215270361,0.8322232249616959,0.6142252559283905,0.03243427966196233,0.21153615045491292,49.3915,-0.008999999999999897,0.0,74.8862,74.8862,74.6965,74.3867,0.4994999999999976,0.4994999999999976,0.3909666666666685,88.471,88.471,83.5528,82.6818,5.789200000000008,5.789200000000008,5.875733333333334,10.591800000000001,10.591800000000001,10.371666666666666,0.39699999999999136,0.0,72.7112,74.8862,72.5747,74.6965,72.5427,74.3867,2.174999999999997,2.1217999999999932,1.8440000000000083,74.6965,74.3867,0.29999999999999716,0.26890000000000214,0.0,0.0,0.20199999999999818,0.0,10.591800000000001,102.62340446159743,0.04684488633114819,0.02182678722989092,0.09556690310678556,1.0,1.0,4.4,8.4,8.4,-99.3,1679.54,-3.8999999999999915,0.0,188.888,20.777466666666665,1022.7381666666666,1636.9441666666667,10.752566666666667,-99.3,20.668433333333333,0.9006246410695574,0.570177465310564,0.7884638495450871,0.7640263840445605,0.9675657203380377,0.09653457244195603,0.034154868163846636,0.38577474407160955,0.6866309399966637,0.9808153759401463,0.025622757720101974,0.05828161800680923,0.8490265710817735,0.8998954742016703,0.012550765433829315,0.025098743038432438,0.8337298828005604,8.91933,73.2479,20.5498,20.5498,9.958,61.396,24.861,-112.14999999999999,0.8727555039667645,0.19875071786088516,0.02510153086765863,9.958,65.35000000000014,0.0,20.5498,74.8862,8.91933,61.396,189.285,69.0832,24.839863720452183,-71.74302924555974,62.13549387548562,66.9394795925997,47.50675792334215,39.71206159179173,62.279281679453604,1123.7007835103834,1.5307103783763691,27.353780367738967,0.16777677503830418,0.012550765433829315,0.05308997847296391,0.9808153759401463,0.9675657203380377,0.38577474407160955,0.05828161800680923,0.7884638495450871,0.9006246410695574,0.09653457244195603,0.42426249972023017,0.3064521021410522,0.9006280341351034,1.0139071477563935,0.36908738168461835,0.5478749143391265,0.2834557247114949,0.6896070917959629,0.632417655387839,0.18694797463170004
