DATETIME,IND1679,IND1680,IND1681,IND1682,IND1683,IND323,IND5088,IND5105,IND5113,IND5115,IND5117,IND5125,SYM157
1489104000,4.014001,30.471660000000004,34.9,34.9,34.99416,,,,,,,,
1489104060,4.002667000000001,30.482830000000003,34.9,34.9,34.984159999999996,,,,,,,,
1489104120,4.022667000000001,30.481170000000006,34.9,34.9,34.974160000000005,,,,,,,,
1489104180,4.029334000000001,30.443670000000004,34.9,34.9,34.96416000000001,,,,,,,,
1489104240,4.000500000000001,30.40734,34.9,34.9,34.95416,,,,,,,,
1489104300,3.976166000000001,30.398340000000005,34.9,34.9,34.944160000000004,,,,,,,,
1489104360,3.9351660000000006,30.39901,34.9,34.9,34.93416,,,,,,,,
1489104420,3.9219989999999996,30.431840000000008,34.9,34.9,34.92416,,,,,,,,
1489104480,3.8978319999999997,30.441510000000008,34.9,34.9,34.91416,,,,,,,,
1489104540,3.8696659999999996,30.460510000000006,34.9,34.9,34.90483,,,,,,,,
1489104600,3.8373330000000005,30.477010000000003,34.9,34.9,34.9,,,,,,,,
1489104660,3.8261670000000003,30.50917,34.9,34.9,34.9,,,,,,,,
1489104720,3.8431670000000007,30.532000000000007,34.9,34.9,34.9,,,,,,,,
1489104780,3.850333,30.524330000000006,34.9,34.9,34.9,,,,,,,,
1489104840,3.851667,30.505330000000004,34.9,34.9,34.9,,,,,,,,
1489104900,3.8478339999999998,30.482,34.9,34.9,34.9,,,,,,,,
1489104960,3.857001,30.4635,34.9,34.9,34.9,,,,,,,,
1489105020,3.8345010000000004,30.445999999999998,34.9,34.9,34.9,,,,,,,,
1489105080,3.830168,30.4595,34.9,34.9,34.9,,,,,,,,
1489105140,4.102168,30.49767,34.9,34.9,34.9,,,,,,,,
1489105200,4.258834,30.519830000000002,34.95,34.904999999999994,34.9,,,,,,,,
1489105260,4.230167000000001,30.54350000000001,34.985,34.9135,34.9,,,,,,,,
1489105320,4.1895,30.57950000000001,34.9,34.9135,34.9,,,,,,,,
1489105380,4.154334,30.642840000000007,34.9,34.9135,34.9,,,,,,,,
1489105440,4.134167000000001,30.722000000000005,34.9,34.9135,34.9,,,,,,,,
1489105500,4.110334,30.813000000000002,34.9,34.9135,34.9,,,,,,,,
1489105560,4.091334000000001,30.908829999999995,34.9,34.9135,34.9,,,,,,,,
1489105620,4.085168,30.99867,34.9,34.9135,34.9,,,,,,,,
1489105680,4.094335,31.073499999999996,34.9,34.9135,34.9,,,,,,,,
1489105740,3.847835000000001,31.086999999999996,34.9,34.9135,34.9,,,,,,,,
1489105800,3.729669,31.08934,34.9,34.9085,34.904999999999994,,,,,,,,
1489105860,3.770669000000001,31.06217,34.9,34.9,34.9135,,,,,,,,
1489105920,3.8078360000000004,31.007669999999997,34.9,34.9,34.9135,,,,,,,,
1489105980,3.8416690000000004,30.92483,34.9,34.9,34.9135,,,,,,,,
1489106040,3.881169,30.8335,34.9,34.9,34.9135,,,,,,,,
1489106100,3.926002,30.721829999999997,34.9,34.9,34.9135,,,,,,,,
1489106160,3.9661679999999992,30.601330000000004,34.9,34.9,34.9135,,,,,,,,
1489106220,4.000001,30.474490000000003,34.9,34.9,34.9135,,,,,,,,
1489106280,4.013667,30.35632,34.9,34.9,34.9135,,,,,,,,
1489106340,4.013833,30.273490000000006,34.9,34.9,34.9135,,,,,,,,
1489106400,4.009499000000001,30.212649999999996,34.9,34.9,34.9085,,,,,,,,
1489106460,4.020499,30.156490000000005,34.9,34.9,34.9,,,,,,,,
1489106520,4.021832000000001,30.097660000000005,34.9,34.9,34.9,,,,,,,,
1489106580,4.0303320000000005,30.057000000000002,34.9,34.9,34.9,,,,,,,,
1489106640,4.039832,30.00267000000001,34.9,34.9,34.9,,,,,,,,
1489106700,4.046999,29.92901,34.9,34.9,34.9,,,,,,,,
1489106760,4.053666,29.856010000000005,34.9,34.9,34.9,,,,,,,,
1489106820,4.053666,29.79018,34.9,34.9,34.9,,,,,,,,
1489106880,4.053333,29.722679999999997,34.8683,34.896829999999994,34.9,,,,,,,,
1489106940,4.051833,29.65401,34.8667,34.893499999999996,34.9,,,,,,,,
1489107000,4.0455,29.589510000000004,34.8033,34.883829999999996,34.9,,,,,,,,
1489107060,4.030667,29.534010000000002,34.8,34.87383,34.9,,,,,,,,
1489107120,4.009834000000001,29.50034,34.8,34.86383,34.9,,,,,,,,
1489107180,3.997667,29.464170000000003,34.8,34.853829999999995,34.9,,,,,,,,
1489107240,3.9716669999999996,29.4515,34.8,34.84383,34.9,,,,,,,,
1489107300,3.9548330000000007,29.495000000000005,34.8,34.83383,34.9,,,,,,,,
1489107360,3.935000000000001,29.534170000000003,34.8,34.82383,34.9,,,,,,,,
1489107420,3.9260000000000006,29.581500000000002,34.8,34.813829999999996,34.9,,,,,,,,
1489107480,3.9115,29.644669999999998,34.8,34.807,34.896829999999994,,,,,,,,
1489107540,3.8983340000000006,29.70317,34.8,34.80033,34.893499999999996,,,,,,,,
1489107600,3.885501,29.76517000000001,34.8,34.800000000000004,34.883829999999996,,,,,,,,
1489107660,3.8740010000000007,29.849000000000004,34.8,34.800000000000004,34.87383,,,,,,,,
1489107720,3.8711670000000007,29.943830000000005,34.8,34.800000000000004,34.86383,,,,,,,,
1489107780,3.8561669999999992,30.057000000000002,34.8,34.800000000000004,34.853829999999995,,,,,,,,
1489107840,3.8429999999999995,30.160000000000004,34.8,34.800000000000004,34.84383,,,,,,,,
