DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND36351,IND36361,IND36364,IND36369,IND36372,IND36377,IND36380,IND4,IND447,IND448,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5213,IND5214,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD55,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES55,RES6,RES7,RES8,SYM1994,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC55,UNC6,UNC7,UNC8
1491782400,1.0,60.889,35.5007,77.0782,,,,3.40283,0.7171364437772366,1.04433,,,,,,,,,,,,,,,,,,,,,,46.4,77.86965000000001,,,,,,,,55.4872,,,,,13.919700000000002,,0.080579703600003,0.008554478708252952,,,,5.1,11.0,11.0,-104.6,1049.86,,,,34.3235,34.3235,110.5781,110.5781,34.1557,1050.07,1050.07,20.6286,20.6286,-126.45,-104.6,34.1557,,,,,,0.7171364437772366,,,,,,,,,0.034716515034990646,0.034716515034990646,,,,,,20.236,,,-126.45,,,0.034716515034990646,20.236,,,34.1557,78.0583,3.98583,,188.723,63.5148,,-92.2407809186808,,,,,,,,34.46164405412597,,0.034716515034990646,,,,,,,,0.7171364437772366,,,0.9973171971179483,,,,,,,,0.6645538466373784
1491783600,1.0,60.8757,35.2995,79.595,,,,3.467,0.8130990928943119,0.693333,,,,,,,,,,,,,,,,,,,,,,46.5183,77.8067,,,,,,,,55.3917,,,,,13.0428,,0.09064836528113467,0.008718705144800595,,,,6.4,12.8,12.8,-109.2,1049.89,,,,33.835750000000004,33.835750000000004,78.3366,78.3366,33.835750000000004,1049.89,1050.0099999999998,20.473,20.576733333333333,-106.9,-109.2,33.835750000000004,,,,,,0.8130990928943119,,,,,,,,,0.032586949834803564,0.034716515034990646,,,,,,20.473,,,-106.9,,,0.032586949834803564,20.473,,,33.5158,77.8067,3.89333,,189.305,63.4898,,-96.46112920063644,,,,,,,,33.623572330766756,,0.032586949834803564,,,,,,,,0.8130990928943119,,,0.5358348318693809,,,,,,,,0.15177051175389372
1491784200,1.0,60.838,35.2203,109.044,77.7913,35.47545326105151,,3.17933,0.7133526634300172,-3.93217,-4.625503,0.0,0.034699999999993736,0.0,-0.09120000000000061,1.0,-0.037700000000000955,0.0,0.1273999999999944,0.0,-0.05480000000000018,0.0,0.2999999999999545,0.0,0.591700000000003,0.3889999999999998,0.0,0.0,35.2995,-0.07920000000000016,0.0,46.553,77.85125,,,,0.7469667338115927,0.3375875000611881,0.24891327722600276,0.2485858903392415,55.3005,-0.28766999999999987,0.0,-0.015399999999999636,0.0,13.689300000000003,111.73618912064936,0.08301018370840173,0.012282641933504123,0.008718705144800595,1.0,1.0,8.7,16.4,16.4,-131.6,1050.19,-22.39999999999999,0.0,189.305,34.1075,34.060320000000004,82.1948,90.5752,33.81165,1049.9450000000002,1050.015,20.474649999999997,20.638212499999998,-127.0,-131.6,33.81165,0.9129551764888797,0.4565969385675592,0.7514141096607585,0.7334575252227957,0.7510867227739972,0.702001322388359,0.24891327722600276,0.6624124999388119,0.3375875000611881,,,,,,0.008032324448223443,0.031222549701450338,0.7469667338115927,4.28233,77.9065,,,20.4182,,35.2995,-120.75999999999999,0.2485858903392415,0.1740896470222406,0.008032324448223443,20.4182,29.448999999999998,0.0,34.1075,77.7913,4.28233,60.8757,189.622,63.6172,35.47545326105151,-103.85283723424152,,,54.98609751310342,46.53341397478866,,97.59058444552605,2.990202761780724,34.258516111622455,0.25303326618840727,0.008032324448223443,,,0.7510867227739972,0.6624124999388119,,0.7514141096607585,0.9129551764888797,0.702001322388359,,0.6778426590437702,0.8527114021797932,,,0.4910352105773117,0.26805037562405615,,0.796686420360944,0.7937509214650915,0.18456023124707294
1491784800,1.0,60.8713,35.2,109.434,77.736,35.38567944157685,,3.18,0.7293282922077864,-2.862,1.07017,0.0,-0.052499999999994884,0.0,-0.005000000000002558,1.0,0.033299999999997,0.0,0.046800000000004616,0.0,-0.013199999999997658,0.0,-0.38000000000010914,0.0,0.08670000000000044,-0.029160000000000075,0.0,0.0,35.2203,-0.020299999999998875,0.0,46.5005,77.85125,,,,0.6403478854136953,0.3375866827989288,0.2354911417919654,0.23164360335270406,55.2955,6.699999999999484E-4,0.0,-0.05530000000000257,0.0,13.789200000000001,113.00286159604532,0.09777789272472064,0.013372262669029404,0.012282641933504123,1.0,1.0,9.1,17.4,17.4,-120.3,1049.81,11.299999999999997,0.0,189.622,34.1075,34.0111,104.964,96.02304,34.1075,1049.9450000000002,1050.015,20.4456,20.5438625,-120.3,-120.3,33.939166666666665,0.8920593950845243,0.43550082123719575,0.7683563966472959,0.7641208249006616,0.7645088582080346,0.7333922416846363,0.24891327722600276,0.6624133172010712,0.3375875000611881,,,,,,0.023091699008796235,0.031222549701450338,0.7469667338115927,4.25317,77.84966666666668,,,20.405,,35.2203,-118.54000000000002,0.2485858903392415,0.2158812098309515,0.023091699008796235,20.405,0.39000000000000057,0.0,34.1942,77.736,4.25317,60.838,190.141,63.664,35.38567944157685,-105.88996274699446,,,54.94098692900151,46.47914930513763,,96.8417953796577,3.0126549829356373,34.07876495520443,0.3596521145863047,0.023091699008796235,,,0.7645088582080346,0.6624133172010712,,0.7683563966472959,0.8920593950845243,0.7333922416846363,,0.7256659488035463,1.0166504678679311,,,0.4821284180016655,0.2637163676438657,,0.5061322301871639,0.7795668950110832,0.2912117760571328
1491785400,1.0,60.801,35.1475,109.863,77.6583,35.3704440379385,,3.20733,0.7384785283654272,-1.95567,0.9063300000000001,0.0,-0.007000000000005002,0.0,-0.09149999999999636,0.0,-0.07029999999999603,0.0,-0.015500000000002956,0.0,-0.11480000000000246,0.0,0.009999999999990905,0.0,-0.08870000000000289,-0.004999999999999893,0.0,0.0,35.2,-0.05250000000000199,0.0,46.4935,77.8067,,,,0.7034282001498906,0.33758702773630667,0.25596243445334865,0.23213531318252467,55.204,0.027329999999999632,0.0,-0.07770000000000721,0.0,13.8153,112.60276224628296,0.10691050499391502,0.009840079607556663,0.013372262669029404,1.0,1.0,9.0,17.9,17.9,-121.4,1049.82,-1.1000000000000085,0.0,190.141,34.1075,34.01574,109.044,97.00284,34.1075,1049.9450000000002,1050.0075,20.4116,20.44745,-120.3,-121.4,34.13573333333333,0.9128476012281875,0.20643391570614178,0.7678646868174753,0.7682334691898408,0.7440375655466513,0.7401739572590241,0.25596243445334865,0.6624129722636933,0.3375875000611881,,,,,,0.020467731695418132,0.031222549701450338,0.7469667338115927,4.24817,77.801825,,,20.2902,,35.2,-117.42000000000002,0.2485858903392415,0.17430479754362493,0.020467731695418132,20.2902,0.42900000000000205,0.0,34.1055,77.6583,4.24817,60.8713,189.163,63.6485,35.3704440379385,-106.69359571678706,,,54.923628482519916,46.46486809094722,,97.56687829709665,3.0178472199534294,33.93896220485646,0.29657179985010934,0.020467731695418132,,,0.7440375655466513,0.6624129722636933,,0.7678646868174753,0.9128476012281875,0.7401739572590241,,0.7294183365634149,1.0684740189164066,,,0.4826376491009747,0.2570224957147866,,0.772649109943776,0.7093405156235214,0.4401169160215977
1491786000,1.0,60.8178,35.1,159.008,77.681,35.300433578187366,,2.8445,0.7367830994718303,-4.53233,-2.57666,0.0,-0.13469999999999516,0.0,-0.020000000000003126,0.0,0.016799999999996373,0.0,0.10320000000000107,0.0,-0.2511999999999972,0.0,0.2799999999999727,0.0,-0.6097999999999999,0.36716000000000015,0.0,0.0,35.1475,-0.04749999999999943,0.0,46.3588,77.799,,,,0.6786234525086026,0.337637828809058,0.2488786745496141,0.13026079903950416,55.184,-0.36282999999999976,0.0,0.022700000000000387,0.0,13.456699999999998,117.22291912125877,0.09078354093856777,0.018612737149436627,0.009840079607556663,1.0,1.0,11.6,24.2,24.2,-142.6,1050.1,-21.19999999999999,0.0,189.163,34.1055,33.883739999999996,109.434,113.3888,34.1055,1050.0,1050.0177777777778,20.405,20.402066666666666,-121.4,-142.6,33.931799999999996,0.8411152294223021,0.26682537549317364,0.8697392009604958,0.8190477988038959,0.7511213254503859,0.6941450480981195,0.2542001451465122,0.662362171190942,0.33762524662209054,,,,,,0.008635312277068045,0.029858149568097108,0.7360821003961672,4.61533,77.77766,,,20.039,,35.1475,-125.02000000000001,0.2444732460500623,0.3177695411553958,0.008635312277068045,20.039,49.14500000000001,0.0,33.4957,77.681,4.61533,60.801,189.584,63.7517,35.300433578187366,-118.80922780204139,,,54.85833351399932,46.37368507187311,,135.64582864168187,2.7214297055389727,34.191782165911704,0.3213765474913975,0.008635312277068045,,,0.7511213254503859,0.662362171190942,,0.8697392009604958,0.8411152294223021,0.6941450480981195,,0.4192679182893177,0.4687540802582946,,,0.3200925913400496,0.3816793272235206,,0.33409892959791915,0.45645809013496075,0.5146757152642965
1491788400,1.0,61.7183,35.1077,316.058,,,,2.26217,0.7384785283654272,-1.65283,,,,,,,,,,,,,,,,,,,,,,45.6018,77.76365000000001,,,,,,,,54.9602,,,,,10.511600000000001,,0.09059922021834595,0.29864155485092697,,,,16.2,31.9,31.9,-166.4,1160.28,,,,33.4957,32.44116666666666,159.008,194.97633333333332,29.7223,1049.995,1063.77,20.274949999999997,20.166475,-142.6,-166.4,29.7223,,,,,,0.6269701660486279,,,,,,,,,0.005405183837449122,0.03021313712830173,,,,,,19.2107,,,-143.46666666666664,,,0.005405183837449122,19.2107,,,29.7223,77.8258,5.64517,,188.973,64.931,,-131.66974876878868,,,,,,,,34.56539581464934,,0.005405183837449122,,,,,,,,0.6269701660486279,,,0.5283067645685283,,,,,,,,0.6255161348243136
1491789000,1.0,61.9323,35.0853,313.282,,,,2.34683,0.8130990928943119,0.225167,,,,,,,,,,,,,,,,,,,,,,45.4437,77.5847,,,,,,,,54.9,,,,,10.416,,0.08570803974706413,0.29900089222995485,,,,14.0,27.0,27.0,-162.6,1156.66,,,,29.4492,29.4492,313.282,313.282,29.4492,1049.89,1085.4699999999998,20.236,19.914066666666663,-162.6,-162.6,29.4492,,,,,,0.5918852365797982,,,,,,,,,0.003897409276057817,0.034716515034990646,,,,,,19.0332,,,-162.6,,,0.003897409276057817,19.0332,,,29.4492,77.5847,5.535,,189.63,65.093,,-122.30347948887345,,,,,,,,34.73497786197782,,0.003897409276057817,,,,,,,,0.5918852365797982,,,0.07428665000909829,,,,,,,,0.8001973572897232
1491790200,1.0,62.2202,35.094,272.617,,,,2.34583,0.7384785283654272,7.07417,,,,,,,,,,,,,,,,,,,,,,45.1252,77.6583,,,,,,,,54.6987,,,,,10.814800000000002,,0.07707527696240886,0.28266526680212906,,,,14.4,29.3,29.3,-165.1,1108.9,,,,29.6568,29.60943333333333,313.282,300.65233333333333,29.553,1050.145,1084.4562500000002,20.1646,19.8389125,-165.1,-165.1,29.553,,,,,,0.6074740405657496,,,,,,,,,0.0043587259142648,0.02243570718045171,,,,,,18.842,,,-164.7,,,0.0043587259142648,18.842,,,29.6568,77.0767,5.2805,,189.568,65.1445,,-126.26483528410881,,,,,,,,34.704433603282254,,0.0043587259142648,,,,,,,,0.6074740405657496,,,0.5985145543254762,,,,,,,,0.7039104820990287
1491790800,1.0,62.2055,35.1035,241.927,76.8137,35.28312146100758,,2.21683,0.725544511860567,5.322,-1.7521699999999996,0.0,-0.09100000000000108,0.0,-0.0987000000000009,0.0,-0.014699999999997715,0.0,-0.2061999999999955,0.0,-0.09699999999999775,0.0,-31.410000000000082,0.0,0.7729999999999997,0.035829999999999806,0.0,0.0,35.094,0.009499999999995623,0.0,45.0342,77.5847,,,,0.6305727635757329,0.19832325969979214,0.02815697008283602,0.297977414960812,54.6,-0.129,0.0,-0.26300000000000523,0.0,11.6848,103.71515242155962,0.08594763680960363,0.20372549417994223,0.28266526680212906,1.0,1.0,13.5,27.6,27.6,-164.5,1077.49,0.5999999999999943,0.0,189.568,29.68955,29.814525,292.9495,285.971,30.043300000000002,1063.8400000000001,1087.90625,19.624850000000002,19.622912499999998,-164.8,-164.5,30.043300000000002,0.5754090440670735,0.5834757265106244,0.702022585039188,0.8190477988038959,0.971843029917164,0.6357735179243565,0.2524378558396757,0.8016767403002079,0.33761266443512306,,,,,,0.003887740164011812,0.01750962684083061,0.7251974669807417,5.31633,77.24735,,,18.745,,35.094,-164.65,0.27328165265002674,0.849181911865853,0.003887740164011812,18.745,-30.690000000000026,0.0,30.4298,76.8137,5.31633,62.2202,189.626,64.9383,35.28312146100758,-122.911554001855,,,52.760726696792084,44.086191676339986,,233.26099837048477,2.1878592302720454,34.535614916580705,0.3694272364242671,0.003887740164011812,,,0.971843029917164,0.8016767403002079,,0.702022585039188,0.5754090440670735,0.6357735179243565,,0.8775677086750413,0.5177260664503005,,,0.4494005955822934,0.9349761932799916,,0.27939548491021543,0.2987549740403886,0.377568388915268
