DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND4,IND447,IND448,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5112,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES6,RES7,RES8,SYM1756,SYM1994,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC6,UNC7,UNC8
1491445800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6267,,,,,,,,,,,,,,,,,,,,189.31,19.71595,,,1208.2350000000001,,19.6417,1638.4450000000002,,9.361165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491446400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.902,,,,,,,,,,,,,,,,,,,,188.644,19.63845,,,1257.1,,19.6417,1647.8400000000001,,9.361165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491447000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.1258,,,,,,,,,,,,,,,,,,,,189.851,19.612250000000003,,,1334.2849999999999,,19.6352,1659.88,,9.331335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491447600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1572,,,,,,,,,,,,,,,,,,,,189.571,19.6305,,,1334.2849999999999,,19.6258,1662.775,,9.329915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491448200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1578,,,,,,,,,,,,,,,,,,,,188.855,19.6305,,,1262.635,,19.2632,1662.92,,9.281335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491448800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2427,,,,,,,,,,,,,,,,,,,,190.971,19.6305,,,1262.635,,19.6258,1662.92,,9.14275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491449400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3588,,,,,,,,,,,,,,,,,,,,189.481,19.6305,,,1200.495,,19.6548,1662.92,,9.08075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.6158,,,,,,,,,,,,,,,,,,,,190.066,19.4445,,,1200.495,,19.6548,1668.405,,9.073585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491450600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.424,,,,,,,,,,,,,,,,,,,,190.013,19.43405,,,1200.495,,19.2423,1674.275,,9.069749999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491451200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5353,,,,,,,,,,,,,,,,,,,,188.641,19.33115,,,1268.555,,19.2423,1674.605,,9.069749999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
