DATETIME,IND1,IND10,IND12,IND13,IND15,IND16,IND1679,IND1680,IND1681,IND1682,IND1683,IND2,IND2006,IND228,IND229,IND230,IND2348,IND263,IND264,IND265,IND266,IND267,IND268,IND269,IND27,IND270,IND271,IND272,IND273,IND274,IND275,IND276,IND277,IND278,IND279,IND28,IND280,IND281,IND282,IND2820,IND2821,IND2822,IND2823,IND2824,IND283,IND284,IND285,IND286,IND287,IND288,IND289,IND3,IND30,IND305,IND31,IND314,IND322,IND323,IND324,IND325,IND326,IND331,IND332,IND333,IND334,IND335,IND3657,IND367,IND372,IND373,IND374,IND376,IND377,IND378,IND379,IND380,IND381,IND382,IND384,IND385,IND393,IND4,IND407,IND410,IND447,IND448,IND4710,IND4711,IND4712,IND4713,IND5,IND6,IND661,IND670,IND671,IND672,IND673,IND7,IND700,IND737,IND738,IND740,IND8,IND87,IND88,IND89,IND9,MOD1,MOD3,MOD4,MOD420,MOD5,MOD55,MOD6,MOD7,MOD8,RES1,RES3,RES4,RES442,RES5,RES55,RES6,RES7,RES8,UNC1,UNC3,UNC4,UNC443,UNC5,UNC55,UNC6,UNC7,UNC8
1488844800,1.0,61.1,28.0,995.917,788.1316333333334,656.1865,2.0203330000000004,24.072329999999997,28.0,28.0,28.01684,2.06333,0.0,0.678333,2.3714994,0.3299992000000005,0.0,0.0,39.655499999999996,0.194669999999995,8.0,49.34949999999999,0.1364900000000091,0.0,1544.0593333333331,-0.5268300000000181,0.0,67.95300000000002,0.23315999999998382,0.0,13.634,-0.1783399999999986,0.0,1539.6490000000001,81.60899999999992,1292.6352500000005,0.0,24.277829999999994,-0.20549999999999713,8.145667000000001,7.586500000000001,0.5591670000000004,0.0,0.0,0.0,28.01684,-0.016839999999998412,0.0,188.9086,0.052600000000012415,0.0,39.9,24.143606666666663,2.1765000000000003,23.920084999999993,2.7014986000000003,70.43514555555554,70.43514555555554,39.85016999999999,49.48599,68.18616,24.072329999999997,13.455660000000002,188.96120000000002,28.0,2.0203330000000004,120.0,1621.258,0.0,0.23821917408440907,0.897170017446637,0.0,0.0,0.0,0.0,0.982618917015954,-0.02301949181510281,0.0,2.5179285005800614E-5,0.18103588380984678,0.0,49.6033,8.195,10.0,-0.15616699999999994,0.0,69.87766,69.24784000000001,0.6298199999999952,0.0,1654.22,13.4333,995.917,914.8062,774.9986,139.80759999999998,0.0,24.1067,70.27,0.0,-0.03810591327901485,60.0,8.195,61.753810000000016,61.22698,188.647,68.24,189.7434964808827,66.00077428905874,47.55728267936792,1.462416625374357,42.576856538550786,62.24483931653963,998.3999549387103,1.5830587404214893,28.49651175680346,0.0,0.897170017446637,0.23821917408440907,0.0,0.0,0.0,0.0,0.0,0.0,0.93823234349954,0.6707515778876563,0.7932770975637354,0.16472002748190223,0.8074440878533099,0.7131339515749048,1.0865335054840117,0.12548027483233753,0.42513944847491003
1488844860,1.0,61.1,28.0,967.198,800.9696666666667,663.5066666666667,2.020833,24.084000000000003,28.0,28.0,28.009339999999998,1.92833,0.0,5.69667,2.7451657,0.17216690000000057,0.0,0.0,39.6655,0.20467000000000013,8.0,49.3595,0.14649000000000711,0.0,1552.260333333333,-0.4526600000000016,0.0,67.97000000000001,0.23915999999998405,0.0,13.620170000000002,-0.19167999999999807,0.0,1551.8990000000003,71.9989999999998,1297.5605000000005,0.0,24.26033,-0.17632999999999655,8.146334000000001,7.681666000000002,0.46466799999999964,0.0,0.0,0.0,28.009339999999998,-0.009339999999998128,0.0,188.81320000000002,0.11519999999998731,0.0,39.9,24.147663333333327,2.1515,23.928779999999996,2.9173326000000004,70.42227555555554,70.42227555555554,39.87017,49.505990000000004,68.20916,24.084000000000003,13.428490000000004,188.9284,28.0,2.020833,120.0,1623.8980000000001,0.0,0.7807792610092728,0.9258714968351747,0.0,0.0,0.0,0.0,0.9891254108576979,-0.02301949181510281,0.0,2.5179285005800614E-5,0.17903798528267134,0.0,49.6,8.31,10.0,-0.13066699999999987,0.0,70.00999,69.24668000000001,0.7633099999999899,0.0,1648.44,13.2983,967.198,920.7175,794.4539,126.2636,0.0,24.1217,70.525,-0.013709403023483446,-0.03818380761437556,60.0,8.31,61.650310000000005,61.19765,189.775,68.3117,189.70708088160615,66.08328752572619,47.572397430374984,1.5016345111367175,42.640023434067345,62.176277188402985,988.9894285820551,1.6678095430277247,28.48901562726707,0.0,0.9258714968351747,0.7807792610092728,0.0,0.0,-0.013709403023483446,0.0,0.0,0.0,1.1055900938776868,0.741636156315723,0.8750246694999269,0.0,0.7922967867085745,0.8017773464969397,1.1876446454132747,0.3928542109226939,0.4206301883959319
1488844920,1.0,61.1317,28.0,958.078,811.9023666666668,671.0396333333335,2.0341660000000004,24.072,28.0,28.0,28.00467,2.22333,0.0,4.50167,3.0039990000000003,0.06100059999999985,0.0,0.0,39.666830000000004,0.22400999999999271,8.0,49.36949999999999,0.15649000000001934,0.0,1559.2746666666662,-0.38449000000000666,0.0,67.98933,0.24416000000000793,0.0,13.596000000000002,-0.20083999999999946,0.0,1558.112,71.63499999999999,1302.5796666666672,0.0,24.244830000000004,-0.1728300000000047,8.163334,7.694166000000002,0.4691679999999989,0.0,0.0,0.0,28.00467,-0.00467000000000084,0.0,188.74600000000004,0.5092999999999677,0.0,39.9067,24.14933,2.155833,23.936279999999996,3.0649996,70.40960888888888,70.40960888888888,39.89084,49.52599000000001,68.23349,24.072,13.395160000000002,189.2553,28.0,2.0341660000000004,120.0,1629.747,0.0,0.7924820693510819,0.9509670101194807,0.0,0.0,0.0,0.0,0.9957294281022903,-0.02301949181510281,0.0,2.5179285005800614E-5,0.1773930714973815,0.0,49.6,8.05667,10.0,-0.12166699999999953,0.0,70.08482000000001,69.27750999999999,0.8073100000000153,0.0,1651.81,13.135,958.078,930.4789999999999,804.5269000000001,125.95209999999986,0.0,24.05,70.5433,0.0,-0.03818380761437556,60.0,8.05667,61.56031000000001,61.17582,191.242,68.3883,189.78622228199458,66.18051360774666,47.5874611922045,1.4244516920564663,42.70339727144943,62.117283051669254,986.8929512698845,1.5339367078785129,28.48393007962735,0.0,0.9509670101194807,0.7924820693510819,0.08604321711412177,0.0,0.0,0.0,0.0,0.0,0.7953913448823753,0.8292836894998751,0.9719546466507782,0.02717880453439157,0.8006292083391183,0.9359125026565585,0.9711081674462043,0.44390405273943045,0.41267062508704455
1488844980,1.0,61.1,27.9533,981.427,823.1570333333335,679.6472833333336,2.028499,24.05134,27.9533,27.995330000000003,28.0,1.84,0.0,5.34167,3.295999,-0.1198323999999995,0.0,0.0,39.677,0.2336700000000036,8.0,49.380329999999994,0.1656600000000097,0.0,1565.8993333333333,-0.30781999999999954,0.0,68.00033,0.2603299999999962,0.0,13.576500000000003,-0.196670000000001,0.0,1566.7849999999999,65.779,1307.5460833333339,0.0,24.22116,-0.16982000000000141,8.179668000000001,7.770666,0.409002000000001,0.0,0.0,0.0,28.0,-0.004669999999997287,0.0,188.9036,0.4800999999999931,0.0,40.0,24.147609999999997,2.131167,23.94128,3.1761666000000006,70.39959111111112,70.39959111111112,39.91067,49.54599,68.26066,24.05134,13.379830000000002,189.3837,27.995330000000003,2.028499,120.0,1632.5639999999999,0.0,0.8330430237341861,1.0046871570470692,0.0,0.0,0.0,0.0,1.0026714533000751,-0.02301949181510281,0.0,2.5179285005800614E-5,0.17596039396782057,0.0,49.6083,8.44167,10.0,-0.10266799999999998,0.0,70.22916000000001,69.28716999999999,0.9419900000000183,0.0,1649.34,13.34,981.427,937.9092,818.6837,119.22550000000001,0.0,23.9767,70.7767,0.0,-0.03818380761437556,60.0,8.44167,61.473310000000005,61.165490000000005,191.267,68.3817,189.68329641684892,66.2204238056724,47.604552902698984,1.5551633449007367,42.773697292354605,62.06214879747012,998.8363180307667,1.7313927721958553,28.477565545339434,0.0,1.0046871570470692,0.8330430237341861,0.0,0.0,0.0,0.0,0.0,0.0,1.0771945160431784,0.8799290684580746,0.947709619859833,1.2625790106492296,0.6858385403473143,1.1034067823059233,1.2801487443644328,0.44131557806705957,0.40549664592516105
1488845040,1.0,61.1017,27.9367,1093.92,838.0288666666667,690.3054833333334,2.014999,24.017010000000003,27.9367,27.989,28.0,1.80667,0.0,4.39167,3.4549990000000004,-0.22099840000000004,0.0,0.0,39.697,0.22366999999999848,8.0,49.39933,0.16716000000000264,0.0,1573.4853333333333,-0.2524800000000056,0.0,68.01916,0.2623399999999947,0.0,13.56033,-0.20165999999999862,0.0,1578.58,61.05099999999993,1312.7949166666672,0.0,24.20366,-0.18664999999999665,8.214668000000001,7.894332,0.32033600000000106,0.0,0.0,0.0,28.0,-0.010999999999999233,0.0,188.6979,0.6461000000000183,0.0,40.0,24.13633333333333,2.0823340000000004,23.940808333333333,3.2340006000000003,70.39123888888889,70.39123888888889,39.92067,49.56649,68.2815,24.017010000000003,13.358670000000002,189.34400000000002,27.989,2.014999,120.0,1639.6309999999999,0.0,0.4341164859417521,0.9566402242617649,0.0,-0.5966341609364463,0.0,0.0,1.006289090682923,-0.03296339449737692,0.0,2.5179285005800614E-5,0.17401187442795923,0.0,49.7,8.71333,10.0,-0.06733500000000037,0.0,70.36833,69.333,1.0353300000000019,0.0,1680.94,13.3217,1093.92,958.1915000000001,837.2961,120.89540000000011,0.0,23.7617,71.0,0.0,-0.03818380761437556,60.0,8.71333,61.403310000000005,61.15083,185.723,68.4067,189.6776995597233,66.29588909964177,47.623745614582404,1.6949856740929143,42.856380733047715,62.02254694996226,1144.582659301388,1.7124227208813214,28.475205250832122,-0.5966341609364463,0.9566402242617649,0.4341164859417521,0.0,0.0,0.0,0.0,0.0,0.0,0.8857216459917929,1.0321634125860772,0.7931775124763156,0.2742588457575878,0.522543474798279,1.314785366924342,0.9259303748443647,1.1648961938952063,0.40346931664785396
1488845100,1.0,61.1983,27.9,1015.01,849.1185333333332,699.9043666666669,2.0023320000000004,23.99001,27.9,27.979,28.0,1.92333,0.0,5.33667,3.6333320000000002,-0.17649740000000014,0.0,0.0,39.717,0.21367000000000047,8.0,49.41416,0.1723299999999952,0.0,1579.9053333333331,-0.20780999999999494,0.0,68.04266,0.27034000000000447,0.0,13.539000000000001,-0.19817000000000107,0.0,1591.8310000000001,51.644999999999754,1317.9184166666673,0.0,24.18682,-0.19680999999999926,8.237001000000001,7.996999,0.24000200000000138,0.0,0.0,0.0,28.0,-0.021000000000000796,0.0,188.87310000000002,0.5153999999999996,0.0,40.0,24.127386666666663,2.051334,23.940474999999996,3.4568346,70.3876088888889,70.3876088888889,39.93067,49.58649,68.313,23.99001,13.34083,189.38850000000002,27.979,2.0023320000000004,120.0,1643.4759999999999,0.0,0.8865267519574163,0.9129268885192765,0.0,0.0,0.0,0.0,1.0136768136159016,-0.03296339449737692,0.0,2.5179285005800614E-5,0.1722145388116904,0.0,49.7,8.465,10.0,-0.04900199999999977,0.0,70.48833,69.42217000000001,1.0661599999999964,0.0,1669.39,13.2783,1015.01,967.5826999999999,858.1804000000001,109.40229999999985,0.0,23.7383,71.305,0.0,-0.03818380761437556,60.0,8.465,61.35813999999999,61.15033,191.04,68.4633,189.70601433878812,66.43957577013006,47.64276917447577,1.565613973455287,42.92880646290571,61.99884288922449,1065.4440181377968,1.6308165737048284,28.47325468905408,0.0,0.9129268885192765,0.8865267519574163,0.0,0.0,0.0,0.0,0.0,0.0,1.0138180635021337,0.952312986639813,0.67291662025927,0.6588801099278375,0.40215091972695843,1.5282841589941187,0.9563915095490272,0.6159410414889114,0.40463446682531523
1488845160,1.0,61.2917,27.9,1043.88,861.0122666666667,709.07245,1.9726650000000003,23.95934,27.9,27.969,28.0,1.80333,0.0,4.88,3.7838320000000003,-0.28683039999999993,0.0,0.0,39.73667,0.20400000000000773,8.0,49.43033,0.17616000000000298,0.0,1585.7949999999998,-0.18197000000001395,0.0,68.08498999999999,0.25168000000002166,0.0,13.517,-0.19583999999999868,0.0,1602.3780000000002,44.23799999999983,1322.9482500000006,0.0,24.154490000000003,-0.1951500000000017,8.282501000000002,8.090332000000002,0.1921689999999998,0.0,0.0,0.0,28.0,-0.030999999999998806,0.0,189.1972,-0.14320000000000732,0.0,40.0,24.11588666666666,2.020667,23.93786333333333,3.4970016000000004,70.3856088888889,70.3856088888889,39.940670000000004,49.60649,68.33667000000001,23.95934,13.32116,189.054,27.969,1.9726650000000003,120.0,1646.616,0.0,0.8970064076520279,0.8830487086955117,0.0,0.0,0.0,0.0,1.021151867013002,-0.03296339449737692,0.0,2.5179285005800614E-5,0.17027745764418045,0.0,49.7,8.54833,10.0,-0.048001999999999656,0.0,70.62783,69.48683,1.1410000000000053,0.0,1657.6,13.24,1043.88,980.5595,875.1586,105.40089999999998,0.0,23.7433,71.4883,0.0,-0.03818380761437556,60.0,8.54833,61.334640000000014,61.15267,189.263,68.5167,189.6736466457599,66.57385000402289,47.660358110054894,1.6053257659913651,42.994848635916576,61.99006350840914,1033.0876951462358,1.7458828010143255,28.470361300130442,0.0,0.8830487086955117,0.8970064076520279,0.0,0.0,0.0,0.0,0.0,0.0,1.0285231834134156,0.8811181403722325,0.5856766464908592,0.2742588457575878,0.3362347478545258,1.7417623500190218,1.201210243311826,0.4949043017649442,0.41348135345959897
1488845220,1.0,61.1317,27.9067,899.8,868.6318333333334,715.3313166666668,1.9608320000000004,23.923840000000002,27.9067,27.959670000000003,28.0,1.99667,0.0,3.39167,3.627999,0.007502600000000026,0.0,0.0,39.75666999999999,0.19400000000000972,8.0,49.44033,0.1863299999999981,0.0,1590.8499999999997,-0.1829699999999974,0.0,68.12331999999999,0.23269000000001938,0.0,13.503,-0.19417999999999935,0.0,1612.3370000000002,34.170999999999594,1327.6138333333338,0.0,24.10882,-0.18497999999999948,8.300001000000002,8.139166000000001,0.1608350000000005,0.0,0.0,0.0,28.0,-0.04032999999999731,0.0,188.9951,-0.07460000000000377,0.0,40.0,24.100276666666666,2.0015,23.935696666666665,3.6355016,70.38112777777779,70.38112777777779,39.95067,49.62666,68.35601000000001,23.923840000000002,13.30882,188.9205,27.959670000000003,1.9608320000000004,120.0,1646.5079999999998,0.0,0.8880815345835575,0.8971523793354379,0.0,0.0,0.0,0.0,1.0285525464678649,-0.03296339449737692,0.0,2.5179285005800614E-5,0.16859103227746872,0.0,49.7017,8.11667,10.0,-0.040667999999999704,0.0,70.74616999999999,69.57133,1.174839999999989,0.0,1618.62,13.2833,899.8,978.8495000000001,892.3978999999999,86.45160000000021,0.0,23.67,71.2667,0.0,-0.03818380761437556,60.0,8.11667,61.322810000000004,61.13984000000001,187.307,68.4617,189.71983614750357,66.49237682011642,47.670982983123366,1.4396913719363944,43.03780221602312,61.98462858639749,915.4610033375596,1.729227163742142,28.467996503477444,0.0,0.8971523793354379,0.8880815345835575,0.0,0.0,0.0,0.0,0.0,0.0,0.8532431810097134,0.9087035946655093,0.5499456651782582,2.9097792854689377,0.33469332873285523,1.7093794770482404,0.6937790194396068,0.4973884786583534,0.42070468377894565
1488845280,1.0,61.0333,27.9,900.072,873.5241666666666,720.9507166666667,1.9479990000000003,23.8865,27.9,27.949669999999998,28.0,1.99667,0.0,3.81,3.2644993,0.6871689999999999,0.0,0.0,39.776669999999996,0.1840000000000046,8.0,49.45033,0.19632999999999612,0.0,1593.9333333333332,-0.17447000000000656,0.0,68.16032,0.2160300000000035,0.0,13.470670000000002,-0.17867999999999995,0.0,1612.4950000000003,37.1609999999996,1332.3590000000006,0.0,24.087989999999998,-0.20148999999999617,8.330501,8.121,0.2095009999999995,0.0,0.0,0.0,28.0,-0.05033000000000243,0.0,188.9609,-0.04099999999999682,0.0,40.0,24.086219999999994,2.0173330000000003,23.935501666666664,3.9516683,70.38105444444446,70.38105444444446,39.96067,49.64666,68.37635,23.8865,13.291990000000002,188.9199,27.949669999999998,1.9479990000000003,120.0,1649.656,0.0,0.8742421039246944,0.9233008032388099,0.0,0.0,0.0,0.0,1.035837897333904,-0.03296339449737692,0.0,2.5179285005800614E-5,0.16732459039017195,0.0,49.7,8.09167,10.0,-0.069334,0.0,70.89234,69.68166000000001,1.2106799999999964,0.0,1619.57,13.1567,900.072,982.7494000000002,894.2007,88.54870000000017,0.0,23.6883,71.6817,0.0,-0.03818380761437556,60.0,8.09167,61.301310000000015,61.12684000000001,188.802,68.4317,189.7189018154983,66.44142719465952,47.68312241378223,1.433113813028764,43.07670916266845,61.97034784747995,916.3337684071792,1.713687440876094,28.46548537170873,0.0,0.9233008032388099,0.8742421039246944,0.0,0.0,0.0,0.0,0.0,0.0,0.8216937805886518,0.9525673568766201,0.536728778298171,1.208221401580218,0.36714219777367063,1.668455370554389,0.8051847658661688,0.5914509077819861,0.4316662898311847
1488845340,1.0,61.09,27.9,954.32,881.4588333333332,726.7762666666666,1.9646660000000002,23.86867,27.9,27.939670000000003,28.0,2.065,0.0,4.87,2.9796653000000006,1.3101699999999994,0.0,0.0,39.79667,0.1740000000000066,8.0,49.46566,0.1956699999999998,0.0,1598.7773333333332,-0.1386399999999952,0.0,68.17216,0.22201999999998634,0.0,13.454,-0.18551000000000073,0.0,1615.9750000000001,33.707999999999856,1337.3145833333338,0.0,24.063990000000004,-0.19532000000000238,8.320334,8.111667000000002,0.20866699999999838,0.0,0.0,0.0,28.0,-0.060329999999996886,0.0,188.82850000000002,0.6269000000000062,0.0,40.0,24.073496666666664,2.0363330000000004,23.93875166666667,4.2898353,70.37864666666668,70.37864666666668,39.970670000000005,49.66133,68.39417999999999,23.86867,13.26849,189.45540000000003,27.939670000000003,1.9646660000000002,120.0,1649.683,0.0,0.8605883970566852,0.7298566910152609,0.0,0.0,0.0,0.0,1.0430094673093764,-0.03296339449737692,0.0,2.5179285005800614E-5,0.16504888566054057,0.0,49.7,8.265,10.0,-0.07166700000000015,0.0,71.027,69.77266000000002,1.254339999999985,0.0,1646.9,13.1983,954.32,980.9622000000002,902.5116999999999,78.45050000000026,0.0,23.83,71.4133,0.0,-0.03738318447650525,60.0,8.265,61.26648,61.127840000000006,191.488,68.34,189.74260985732553,66.53636863680393,47.69677612065024,1.4854554129269446,43.11704545190873,61.94582328793148,987.0976019316374,1.6533966050483473,28.465290389251958,0.0,0.7298566910152609,0.8605883970566852,0.0,0.0,0.0,0.0,0.0,0.0,1.0672873006142725,1.026841229146225,0.54557897926735,0.9883201648916419,0.426500884359625,1.648796264145414,1.0360108973299573,0.4770294300815248,0.428599352902417
