DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND4,IND447,IND448,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES6,RES7,RES8,SYM1994,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC6,UNC7,UNC8
1491523200,1.0,62.4838,26.378,825.269,88.6885,26.408233374602368,63.220537465861824,1.91933,0.5421288570216816,2.4535,4.6615,0.0,0.6921000000000035,0.0,1.2042000000000002,0.0,-1.640199999999993,0.0,-1.0631999999999948,0.0,-0.08150000000000013,0.0,-141.95000000000005,0.0,0.36489999999999867,-2.1991299999999994,0.0,0.0,26.508,-0.129999999999999,0.0,41.9078,78.4488,55.166,0.13033000000000006,0.0,-2.69019999999999,0.0,10.799,97.4993790124459,0.13180853572270693,0.2591360983419079,0.03003717480453366,1.0,1.0,11.3,22.5,22.5,-135.4,1538.19,38.29999999999998,0.0,189.654,21.4955,21.58114,1570.54,1439.6178,21.3387,1676.77,1641.6788888888889,11.22185,11.3388,-146.9,-135.4,21.52075,0.15206847997184966,0.49661722932630625,0.27266511049891057,0.825289755667408,0.9850532240265327,0.27423112015570755,0.9795164312922288,0.8306329397231029,0.7588493488199293,0.9750006616555512,0.9813115983855696,0.8600947540424533,0.006221524517314334,0.008936853183403235,0.27416483319835383,7.93067,81.10841666666666,21.7032,21.7032,10.9042,64.124,26.508,-134.94,0.825289755667408,0.3041369599436993,0.006221524517314334,10.9042,-810.181,0.0,21.7032,88.6885,7.93067,64.124,188.84,69.659,26.408233374602368,-100.82742800399001,63.220537465861824,68.03449140702627,51.728811059894156,40.74750245370609,846.4351346223997,2.0632623982743588,28.048256958464666,0.31743299001006087,0.006221524517314334,0.1502035534857013,0.9750006616555512,0.9850532240265327,0.8306329397231029,0.27266511049891057,0.15206847997184966,0.27423112015570755,99.99994343643593,0.13558716652012925,0.08619407794714033,1.0405069006130911,1.0579610677183726,0.47225291325706514,0.8218023657240142,0.7452718056861167,0.35991082987400813,0.508509635583015
1491523800,1.0,61.7905,26.2192,1257.27,,,,1.54317,0.5045207317525,-6.399,,,,,,,,,,,,,,,,,,,,,,42.298,81.36355,55.7547,,,,,10.752699999999999,,0.06567900138180104,0.1344399588909271,,,,5.4,10.7,10.7,-94.7,1671.16,,,,21.3387,21.416325,1635.45,1555.7025,21.4744,1674.03,1653.42625,11.168,11.2456375,-158.4,-94.7,21.4744,,,,,,0.2622715533847693,,,,,,,0.0189801950300886,0.01628033524503711,,,,,,10.8578,,,-128.8,,,0.0189801950300886,10.8578,,,21.6105,86.4722,9.45867,,189.499,69.0347,,-76.8747072694697,,,,,,,27.96137687878321,,0.0189801950300886,,,,,,,0.2622715533847693,,,0.8369401811886796,,,,,,,0.5175873392391409
1491524400,1.0,62.0268,26.0792,1451.92,87.7843,26.105557253165017,62.16160818129289,1.503,0.4758258459348753,-6.20617,0.19282999999999983,0.0,0.10170000000000101,0.0,0.14529999999999887,0.0,0.23629999999999995,0.0,0.21649999999999636,0.0,0.1720000000000006,0.0,8.519999999999982,0.0,-0.38319999999999865,0.31349999999999945,0.0,0.0,26.2192,-0.14000000000000057,0.0,42.3997,86.4722,55.9,-0.04017000000000004,0.0,1.312100000000001,0.0,10.1975,96.7255017759333,0.051826871616027975,0.016610712775304497,0.1344399588909271,1.0,1.0,4.2,8.600000000000001,8.600000000000001,-95.2,1679.68,-0.5,0.0,189.499,21.3385,21.3887,1543.685,1398.8738,21.6105,1676.77,1644.528,11.10365,11.189910000000001,-146.9,-95.2,21.513666666666666,0.018629811351301803,0.46307201726071956,0.09552315634927153,0.7798592427528891,0.9871195414725566,0.23793900353303626,0.9836690258429568,0.8512774357626666,0.8126870419973096,0.9621667185381497,0.9812837779198704,0.7702873396932652,0.01626827933794787,0.01681118982048804,0.3259757845713931,9.77217,83.73046666666666,21.2273,21.2273,11.0298,61.7905,26.2192,-131.48000000000002,0.7798592427528891,0.037259622702603606,0.01626827933794787,11.0298,194.6500000000001,0.0,21.2273,87.7843,9.77217,61.7905,189.384,69.2512,26.105557253165017,-72.96265797387906,62.16160818129289,67.78375840305537,52.09303789250034,40.99876791124886,1501.0725954809766,2.157395538075517,27.95898020066338,0.33451857913272537,0.01626827933794787,0.44251869358616336,0.9621667185381497,0.9871195414725566,0.8512774357626666,0.09552315634927153,0.018629811351301803,0.23793900353303626,,0.5223723574491597,0.9081764203180874,0.6128051941285274,1.4201022750988979,1.0427862065504314,0.8175034581013861,0.3930281246702465,0.8148858360774631,0.554927896025122
1491525000,1.0,62.5188,25.7893,1545.49,90.3827,25.979792525272824,62.25646847542558,1.66017,0.43419131862755544,-4.61433,1.5918400000000004,0.0,0.06329999999999814,0.0,0.11250000000000426,0.0,0.49199999999999733,0.0,0.3096000000000032,0.0,-0.007500000000000284,0.0,-0.13000000000010914,0.0,-0.1598000000000006,0.23353000000000002,0.0,0.0,26.0792,-0.2898999999999994,0.0,42.463,87.7843,56.0125,0.15717000000000003,0.0,2.598399999999998,0.0,10.0452,96.86862112657579,0.07694674035799595,0.023497613933864125,0.016610712775304497,1.0,1.0,7.0,14.3,14.3,-106.9,1679.55,-11.700000000000003,0.0,189.384,21.3385,21.38936,1498.705,1343.0798,21.2273,1679.53,1647.2200000000003,11.051649999999999,11.11074,-121.15,-106.9,21.301766666666666,0.014744789723588822,0.34786152578389445,0.09362896286370045,0.7798592427528891,0.984438251959663,0.21798277504028007,0.9848994810098153,0.8175940089047383,0.8273732070185118,0.9686574851880242,0.9812837779198704,0.7256825025206504,0.013390026140115793,0.01681118982048804,0.321704387290727,10.0057,86.82688333333334,21.0675,21.0675,11.0223,62.0268,26.0792,-121.18,0.7798592427528891,0.029489579447177644,0.013390026140115793,11.0223,93.56999999999994,0.0,21.0675,90.3827,10.0057,62.0268,189.061,69.5608,25.979792525272824,-84.22394240745689,62.25646847542558,68.00158822657139,52.8092499278909,41.44249739573726,1595.4495707960448,2.42812034153072,27.827767167485852,0.1195187192122468,0.013390026140115793,0.6509426138969867,0.9686574851880242,0.984438251959663,0.8175940089047383,0.09362896286370045,0.014744789723588822,0.21798277504028007,,0.3529447664541011,0.3580577469186781,0.6399550434882911,1.1533015423854232,0.9708537742888661,1.0041526028606154,0.5526828805825441,0.346638192291154,0.4680837983997746
1491525600,1.0,61.916,25.512,1071.65,88.7053,25.73228464207083,62.429245637121184,1.81183,0.40758904472253515,1.74167,6.356,0.0,0.19529999999999603,0.0,0.3048000000000002,0.0,-0.602800000000002,0.0,-0.28000000000000114,0.0,-0.06729999999999947,0.0,-23.12999999999988,0.0,0.7505000000000024,-1.2673699999999997,0.0,0.0,25.7893,-0.2773000000000003,0.0,42.6583,87.821,56.3173,0.15166000000000013,0.0,-1.6774000000000058,0.0,10.863000000000001,100.17482288847245,0.06808394739040527,0.1402197327876823,0.023497613933864125,1.0,1.0,12.5,25.2,25.2,-130.6,1656.42,-23.69999999999999,0.0,189.061,21.4744,21.4608,1354.595,1297.8415,21.2273,1679.53,1661.9660000000001,11.0348,11.038210000000001,-118.75,-130.6,21.37093333333333,0.5089672788924907,0.4517983800935967,0.5418506674331209,0.7798592427528891,0.9856613838867926,0.18000366009080693,0.9855093439217276,0.8292189525715353,0.830279442935211,0.9712776049910249,0.9812837779198704,0.7256825025206504,0.009257043602027015,0.01681118982048804,0.321704387290727,8.73833,87.09522857142856,21.818,21.818,10.955,62.5188,25.7893,-122.75000000000001,0.7798592427528891,0.9820654422150186,0.009257043602027015,10.955,-473.8399999999999,0.0,21.818,88.7053,8.73833,62.5188,190.066,69.2808,25.73228464207083,-106.30005572294925,62.429245637121184,67.63324306985939,52.85587458320908,41.56046901132488,1069.7797800881558,1.7993888910745015,27.813386208166804,0.10124897834567981,0.009257043602027015,0.24337338864012192,0.9712776049910249,0.9856613838867926,0.8292189525715353,0.5418506674331209,0.5089672788924907,0.18000366009080693,,0.44852787171592706,0.04205923217584348,0.9217416940475854,0.7644145373046207,0.5078921217162145,0.49684219975006677,0.6663035819399098,0.8324995681488462,0.659875506407561
1491526200,1.0,61.5467,25.2595,1254.94,87.1208,25.47382461668173,62.250562070581104,1.74883,0.4017535183540292,1.99567,0.254,0.0,0.25440000000000396,0.0,0.25039999999999907,0.0,-0.3692999999999955,0.0,-0.25900000000000034,0.0,0.18050000000000033,0.0,16.919999999999845,0.0,0.17220000000000013,0.42849999999999966,0.0,0.0,25.512,-0.2525000000000013,0.0,42.9127,87.821,56.5677,-0.06299999999999994,0.0,-1.5844999999999914,0.0,10.854700000000001,101.06171724965125,0.08785545275738724,0.051433427408725495,0.1402197327876823,1.0,1.0,9.6,20.799999999999997,20.799999999999997,-125.3,1673.34,5.299999999999997,0.0,190.066,21.65685,21.569449999999996,1256.105,1234.4231666666667,21.818,1679.53,1663.0,11.0348,11.047054545454547,-116.1,-125.3,21.62523333333333,0.37767091039199724,0.6281803371304451,0.659691616936007,0.7424906863017076,0.9854519211890378,0.16067466044279513,0.9855566525379151,0.8177135728429512,0.8299259461473192,0.9673770104799885,0.9812559574541713,0.6509426138969867,0.008559133113790189,0.01626827933794787,0.31743299001006087,9.16683,88.3340857142857,21.9902,21.9902,11.1355,61.916,25.512,-114.68333333333335,0.7424906863017076,0.7553418207839945,0.008559133113790189,11.1355,183.28999999999996,0.0,21.9902,87.1208,9.16683,61.916,189.399,69.0218,25.47382461668173,-97.60784473456181,62.250562070581104,67.41057860432191,53.238785083532704,41.92572136885853,1241.7560616944006,1.7801691712990748,27.721081237817117,0.11059955889775312,0.008559133113790189,0.15909185325737693,0.9673770104799885,0.9854519211890378,0.8177135728429512,0.659691616936007,0.37767091039199724,0.16067466044279513,,0.6316989436776308,0.4020984896631447,0.33828308628356024,0.848592331067244,0.5566886826827009,0.32909228043557853,0.17500189778087888,0.279936402413447,0.3656757288072465
1491526800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.6885,,,,,,,,,0.03511001147786504,0.051433427408725495,1.0,1.0,15.3,,30.0,,,,,189.399,21.594,,1354.595,,21.818,1679.595,,11.0348,,-116.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491527400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7053,,,,,,,,,0.03949413781587344,0.03511001147786504,1.0,1.0,21.7,,43.5,,,,,189.938,21.547150000000002,,1498.705,,21.5775,1679.66,,11.0348,,-127.94999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491528000,1.0,63.0413,25.0087,1612.48,94.2687,,,1.58967,0.28099385295748414,4.39833,,,,,,,,,,,,,,,,,,,,,,43.4502,88.7053,57.7435,,,,,10.6531,98.5539827537249,0.05587884747176783,0.027576098888371276,0.03949413781587344,1.0,1.0,6.8,13.3,13.3,-120.5,1679.66,,,188.806,21.547150000000002,21.51925,1578.9850000000001,1371.1399999999999,21.5168,1679.65,1659.8655555555554,11.02605,10.942033333333331,-127.94999999999999,-120.5,21.2013,0.009052298575671342,0.6425406055739207,0.23043035133277776,0.6181384448652796,0.9875583695517456,0.10522523011528413,0.9867550020761157,0.8649323780149702,0.8461163117527757,0.983227402126554,0.9812837779198704,,0.006295175520923372,0.014829152739031832,,10.0683,89.49171666666666,21.2013,21.2013,10.5482,,,-120.82499999999999,0.6181384448652796,0.018104597151342685,0.006295175520923372,10.5482,,,21.2013,94.2687,10.0683,,188.748,70.06,,-81.76849711151044,,68.25361184878318,53.89694724174195,41.92238479130292,1636.1388499431857,2.5101051292519867,27.75069457249707,,0.006295175520923372,,0.983227402126554,0.9875583695517456,0.8649323780149702,0.23043035133277776,0.009052298575671342,0.10522523011528413,,,0.47952946458855006,,0.9824331139338504,0.708812507226689,0.8741591254413255,0.4107816615848024,0.42327060996873195,0.5552707379788422
1491528600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7548,,,,,,,,,0.04222532153219996,0.027576098888371276,1.0,1.0,11.7,,24.9,,,,,188.748,21.547150000000002,,1618.665,,21.2013,1679.65,,11.004,,-137.64999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
