unixtime,IND1,MOD6,RES6
1488326400,1.0,1158.0060414393286,0.0
1488327000,1.0,1702.7708340742608,0.0
1488327600,1.0,676.2932775501615,0.0
1488328200,1.0,1316.662955694823,0.0
1488328800,1.0,814.2534723202182,0.0
1488329400,1.0,870.6137877460081,0.0
1488330000,1.0,1132.7099402080655,0.0
1488330600,1.0,1316.8156218626164,59.30312087552789
1488331200,1.0,1243.9364236607366,0.0
1488331800,1.0,1245.4492841749386,0.0
1488332400,1.0,1128.4868243800324,0.0
1488333000,1.0,791.9566860278842,0.0
1488333600,1.0,1385.4240960923078,0.0
1488334200,1.0,1055.0012200638298,0.0
1488334800,1.0,888.8086668009688,0.0
1488335400,1.0,1029.5650340165487,0.0
1488336000,1.0,897.3554683823213,0.0
1488336600,1.0,683.2142043800717,0.0
1488337200,1.0,736.6340245594455,0.0
1488337800,1.0,682.9561419620197,0.0
1488338400,1.0,481.0554559383187,0.0
1488339000,1.0,468.89822033809037,0.0
1488339600,1.0,293.4118764896519,0.0
1488340200,1.0,135.45213386133344,0.0
1488340800,1.0,224.53679269842263,0.0
1488341400,1.0,588.8318328465676,0.0
1488342000,1.0,398.8986381539562,0.0
1488342600,1.0,540.4427694431364,0.0
1488343200,1.0,489.359633352576,0.0
1488343800,1.0,1112.2290683687684,0.0
1488344400,1.0,692.453916984471,0.0
1488345000,1.0,877.0202721435696,0.0
1488345600,1.0,646.5870871786731,0.0
1488346200,1.0,584.159601708892,0.0
1488346800,1.0,220.4506256263323,0.0
1488347400,1.0,431.3502134108247,0.0
1488348000,1.0,187.9300023327513,0.0
1488348600,1.0,368.8776107328234,0.0
1488349200,1.0,291.655795298778,0.0
1488349800,1.0,255.60791720064785,0.0
1488350400,1.0,160.71625081354878,0.0
1488351000,1.0,157.05792079986142,0.0
1488351600,,,
1488352200,1.0,129.78990438101619,0.0
1488352800,1.0,204.3498475151597,0.0
1488353400,1.0,317.6133378586851,0.0
1488354000,1.0,171.6603979709729,0.0
1488354600,1.0,220.87550785352497,0.0
1488355200,1.0,379.881707102496,0.0
1488355800,1.0,868.5830927254387,0.0
1488356400,1.0,778.0324464718025,0.0
1488357000,1.0,417.9215546074382,0.0
1488357600,1.0,299.2347518475188,0.0
1488358200,1.0,279.3694767513111,0.0
1488358800,1.0,411.1271712380416,0.0
1488359400,1.0,224.66105326773732,0.0
1488360000,1.0,184.6019297722949,0.0
1488360600,1.0,183.55574759391868,0.0
1488361200,1.0,416.0813015202141,0.0
1488361800,1.0,516.5823708672243,0.0
1488362400,1.0,304.9243238063987,0.0
1488363000,1.0,467.34240167179473,0.0
1488363600,1.0,268.3995191157107,0.0
1488364200,1.0,271.5443120003892,0.0
1488364800,1.0,304.6336435324078,0.0
1488365400,1.0,511.9655436461025,0.0
1488366000,1.0,803.3290110560033,0.0
1488366600,1.0,687.0537518125749,0.0
1488367200,1.0,721.8383978123088,0.0
1488367800,1.0,297.6650534337614,0.0
1488368400,1.0,182.7923492200369,0.0
1488369000,1.0,524.4455733361757,0.0
1488369600,1.0,525.3567973484902,0.0
1488370200,1.0,717.9840116735535,0.0
1488370800,1.0,542.0800404917717,0.0
1488371400,1.0,830.8252299593387,0.0
1488372000,1.0,1183.6974165352885,0.0
1488372600,1.0,454.81869575603895,0.0
1488373200,1.0,1016.3776490609,0.0
1488373800,1.0,931.792056597764,0.0
1488374400,1.0,1007.7255339067964,4.239941081833745
1488375000,1.0,534.9673993087923,0.0
1488375600,1.0,548.2758188802952,0.0
1488376200,1.0,294.2168438977397,0.0
1488376800,1.0,1652.7416871772061,0.0
1488377400,1.0,1919.0717697479945,0.0
1488378000,1.0,1336.3967562670234,60.25204548266823
1488378600,,,
1488379200,1.0,1393.5615713629193,0.0
1488379800,1.0,1809.5575524609146,0.0
1488380400,1.0,1134.2868679708654,0.0
1488381000,1.0,1004.570088711598,46.2841108503476
1488381600,1.0,825.0935797096097,0.0
1488382200,1.0,1572.8667769494657,0.0
1488382800,1.0,1146.8973031524233,0.0
1488383400,1.0,1770.2917739592515,0.0
1488384000,1.0,1778.5159668683589,0.0
1488384600,1.0,1255.1301349601101,0.0
1488385200,1.0,1586.465416751617,0.0
1488385800,1.0,1509.12484766987,13.815139880520285
1488386400,1.0,1154.3369496670543,0.0
1488387000,1.0,1144.7005218404934,0.0
1488387600,1.0,1737.0712194757016,0.0
1488388200,1.0,1063.08579708541,0.0
1488388800,1.0,1099.9672416122132,0.0
1488389400,1.0,981.503326267115,0.0
1488390000,1.0,734.1322765970804,0.0
1488390600,1.0,935.0308354069883,0.0
1488391200,1.0,747.3915636293799,0.0
1488391800,1.0,508.7403015267614,0.0
1488392400,1.0,839.6301703137527,0.0
1488393000,1.0,954.4577575733693,0.0
1488393600,1.0,807.298512967509,0.0
1488394200,1.0,708.1678727928813,0.0
1488394800,1.0,643.7266393953406,0.0
1488395400,1.0,725.4082278817928,0.0
1488396000,1.0,800.7662889604262,0.0
1488396600,1.0,1142.0819677071815,0.0
1488397200,1.0,1550.6461741736791,0.0
1488397800,1.0,1379.2825105685265,0.0
1488398400,1.0,987.0177417333799,0.0
1488399000,1.0,1198.1508516898896,0.0
1488399600,1.0,1592.6171466213086,0.0
1488400200,1.0,1708.335765736171,0.0
1488400800,1.0,1392.5543252356092,0.0
1488401400,1.0,1216.5038894298075,0.0
1488402000,1.0,717.717726280043,0.0
1488402600,1.0,1255.6217265638893,0.0
1488403200,1.0,1250.9568178996708,0.0
1488403800,1.0,1257.3995385352769,0.0
1488404400,1.0,1176.736808829437,0.0
1488405000,1.0,1201.1035975483842,0.0
1488405600,1.0,1282.7943199408494,0.0
1488406200,1.0,1395.8932532868353,0.0
1488406800,1.0,1374.4886192189733,0.0
1488407400,1.0,1380.0589703467651,0.0
1488408000,1.0,1352.863837175585,0.0
1488408600,1.0,1237.3473840374975,0.0
1488409200,1.0,1273.7203119235005,0.0
1488409800,1.0,1338.7586349432988,0.0
1488410400,1.0,1052.9302967833294,0.0
1488411000,1.0,1097.0932151713118,0.0
1488411600,1.0,1151.2412018945622,0.0
1488412200,1.0,954.5575958935952,0.0
1488412800,1.0,942.5081132760904,0.0
1488413400,1.0,1113.8995692168157,0.0
1488414000,1.0,701.6348518979988,0.0
1488414600,1.0,631.2288748126205,0.0
1488415200,1.0,667.6312376205557,0.0
1488415800,1.0,737.9709573602797,0.0
1488416400,1.0,736.1198532474066,0.0
1488417000,1.0,955.8169177909313,0.0
1488417600,1.0,977.60876944875,0.0
1488418200,1.0,1007.6325359471248,0.0
1488418800,1.0,1206.3158800119459,0.0
1488419400,1.0,1098.768334596417,0.0
1488420000,1.0,1160.7066666698504,0.0
1488420600,1.0,1059.8040392056473,0.0
1488421200,1.0,633.7287045645762,0.0
1488421800,1.0,651.2384720434977,0.0
1488422400,1.0,468.7309196508688,0.0
1488423000,1.0,524.119701677546,0.0
1488423600,1.0,435.0330450661664,0.0
1488424200,1.0,509.2997587223117,0.0
1488424800,1.0,392.3295413835143,0.0
1488425400,1.0,248.942475874996,0.0
1488426000,1.0,555.6873993899312,0.0
1488426600,1.0,601.2029317847059,0.0
1488427200,1.0,565.973735947221,0.0
1488427800,1.0,239.64727307731656,0.0
1488428400,1.0,315.5676492861413,0.0
1488429000,1.0,345.8290117028054,0.0
1488429600,1.0,346.88369997680155,0.0
