unixtime,WTURNativeStatus,WROTPitchAngleAvgTravNeg,WGENStatorCur,WGENSpeed,WROTSpeed,WNACWindSpeed,WTURPower,WCNVCoolantPress,WTRFPhase3Temp,WGENRotorCur,WGENBearNDETemp,WTURReactivePowerAux,WTURReactivePower,WROTPitchAngleSP,WYAWPressure,WGENPhase3Temp,WTURCosPhi,WGENBearDETemp,WTRMBearTemp,WGENPhase2Temp,WTRFPhase1Temp,WROTPitchAngleAvg,WHDRGroupOilTemp,WGENPhase1Temp,WNACDirection,WCNVHeaterTempBott,WNACWindDirection,WCNVHeaterTempSup,WNACWindSpeedStd10min,WHDRGroupOilPress,WTRMOilTemp,WTURStatus,WNACAmbTemp,WCNVCoolantTemp,WCNVNetVoltage,WNACNacelleTemp,WTURPowerAux,WTRFPhase2Temp,WROTPitchAngleAvgTravPos,WHDRGroupOilPressTravNeg,WHDRGroupOilPressTravPos,WTURPowerMed10min,WGENSpeedStd10min,WTURPowerStd10min,WROTPitchAngleAvgMax10min,WNACWindDirectionCosMin10min,WROTSpeedMin10min,WTURPowerMin10min
1439397600,100.0,-41.9,1064.32,1672.4,16.5547,9.9525,1359.63,0.0,72.5139,449.86400000000003,72.0765,-17.0297,-108.595,2.18495,200.12900000000002,93.0205,0.9956,72.082,71.12,91.6168,73.2726,2.19767,42.9596,91.5611,183.75,44.6126,-3.8535,52.1238,1.16049,189.58599999999998,63.7419,100.0,27.1832,41.9627,676.023,34.3956,-20.4031,71.6527,42.2,-225.99200000000002,219.09400000000002,1235.59,23.9904,320.222,6.9,0.9547479999999999,15.3,856.931
1439398200,100.0,-38.1,739.55,1560.94,15.4476,8.4475,863.288,0.0,72.9542,343.402,73.2844,-21.5544,-101.995,2.08872,176.357,91.5944,0.98905,73.288,70.2611,90.3632,74.0368,2.11117,43.0148,90.5547,196.082,43.2361,2.8917,50.2278,1.2595,189.35,63.0418,100.0,27.2555,40.415,677.447,32.8307,-26.9496,72.5464,40.2,-201.922,198.82,805.4810000000001,126.243,262.123,6.6,0.860742,12.0,419.73800000000006
1439398800,100.0,-93.2,1433.21,1681.92,16.6507,11.600999999999999,1834.05,0.0,73.6469,588.664,73.8674,-22.7623,-68.6079,4.21879,179.321,95.0558,0.9987520000000001,73.8706,71.6738,93.6968,74.7985,4.257,43.0851,93.4917,216.34599999999998,45.8357,-2.11245,53.6609,1.214,189.71200000000002,64.3479,100.0,26.5771,43.2979,680.695,33.5272,-28.2461,73.5939,91.1,-389.5,388.305,1898.33,13.2384,188.863,11.2,0.913652,16.0988,1375.76
1439399400,100.0,-35.0,857.635,1636.48,16.1977,9.0755,1096.16,0.0,75.1127,383.66,75.257,-22.1339,-100.581,1.84723,176.22099999999998,94.9709,0.993775,75.2644,71.4353,93.4798,76.1297,1.8705,43.5358,93.5793,205.43200000000002,44.8917,-0.21506199999999998,51.9039,1.13751,189.514,64.2526,100.0,26.3838,41.547,681.9169999999999,32.8101,-27.2394,75.2728,34.7,-186.38299999999998,194.38299999999998,1077.23,75.28,298.748,4.9,0.9521430000000001,13.8994,618.975
1439400000,100.0,-15.7,772.8989999999999,1610.76,15.946,8.81983,964.812,0.0,75.6825,352.51300000000003,75.5833,-21.7319,-116.76700000000001,1.6186399999999999,188.57299999999998,91.3744,0.9906200000000001,75.5885,70.8614,90.0299,76.6467,1.641,43.6251,90.1009,201.146,42.247,-5.73904,49.5182,0.8328540000000001,189.06900000000002,63.5792,100.0,26.4775,39.5974,684.45,32.8889,-26.7754,75.3615,15.7,-140.703,142.602,962.916,79.02199999999999,219.35299999999998,3.8,0.9477270000000001,14.2988,637.219
1439400600,100.0,-19.4,540.064,1414.43,14.0037,7.42917,571.918,0.0,75.6878,286.222,73.6739,-22.5149,-115.274,1.7698,176.736,87.3933,0.9748530000000001,73.6806,68.4987,85.8311,76.717,1.80067,43.5561,85.9621,192.739,40.3108,-0.031575,47.5462,1.02346,189.05,61.8142,100.0,26.5163,38.0065,686.2130000000001,32.0448,-27.2591,75.0291,19.8,-149.211,139.906,543.8340000000001,137.54399999999998,158.77200000000002,3.2,0.944419,11.8988,361.33099999999996
1439403600,100.0,-57.4,1401.99,1680.85,16.6403,11.0555,1826.76,0.0,77.9191,582.4830000000001,73.7182,-21.8247,-32.5068,2.5756,193.862,98.1698,0.998808,73.7243,72.4113,106.512,79.0096,2.60167,44.3577,98.65,268.082,45.8412,-5.38853,53.1425,0.5756060000000001,189.757,65.67699999999999,100.0,23.1361,41.9498,682.1089999999999,32.077,-27.3354,78.6066,52.4,-268.328,258.43,1843.8,6.54217,150.14700000000002,6.5,0.976258,16.2994,1394.53
1439404200,100.0,-22.4,720.342,1543.46,15.2798,8.40967,894.005,0.0,79.122,341.892,74.9706,-21.3199,-102.895,1.6742299999999999,200.268,94.7995,0.987038,74.9777,70.9765,93.7834,80.1167,1.70567,44.4458,95.8316,267.969,41.4726,-5.45947,48.2424,1.0999,189.255,64.3661,100.0,22.7579,37.6958,684.903,30.6039,-26.4191,79.5432,23.3,-153.688,161.391,802.1339999999999,142.531,314.92400000000004,5.1,0.97514,11.8988,373.275
1439419800,100.0,-38.2,1372.66,1680.8,16.6436,10.561,1769.58,0.0,79.9775,565.677,73.747,-19.1792,-69.15100000000001,1.9285400000000001,199.96099999999998,96.4171,0.9988030000000001,73.7505,71.1674,94.7518,81.3586,1.9485,40.4261,94.691,261.406,45.0012,-3.5618300000000005,52.0371,0.567199,189.58,64.4005,100.0,18.4585,40.6805,680.742,29.9459,-24.3844,81.06,37.6,-216.422,216.61700000000002,1767.68,5.68706,120.795,4.8,0.990942,16.2994,1536.02
1439420400,100.0,-21.3,1313.3,1680.12,16.644000000000002,10.4032,1682.13,0.0,81.2007,542.785,74.8947,-20.1294,-75.1981,1.63196,200.333,97.3105,0.998532,74.8992,70.9476,95.6952,82.2297,1.66317,40.2847,95.7505,261.406,39.8536,-6.756489999999999,46.9215,0.361558,189.31900000000002,64.2593,100.0,18.2004,35.5843,678.211,28.5145,-25.9671,82.0254,21.3,-149.695,161.594,1692.73,3.07165,67.3228,2.5,0.981917,16.2994,1502.68
