unixtime,WTURNativeStatus,WROTPitchAngleAvgTravNeg,WGENStatorCur,WGENSpeed,WROTSpeed,WNACWindSpeed,WTURPower,WCNVCoolantPress,WTRFPhase3Temp,WGENRotorCur,WGENBearNDETemp,WTURReactivePowerAux,WTURReactivePower,WROTPitchAngleSP,WYAWPressure,WGENPhase3Temp,WTURCosPhi,WGENBearDETemp,WTRMBearTemp,WGENPhase2Temp,WTRFPhase1Temp,WROTPitchAngleAvg,WHDRGroupOilTemp,WGENPhase1Temp,WNACDirection,WCNVHeaterTempBott,WNACWindDirection,WCNVHeaterTempSup,WNACWindSpeedStd10min,WHDRGroupOilPress,WTRMOilTemp,WTURStatus,WNACAmbTemp,WCNVCoolantTemp,WCNVNetVoltage,WNACNacelleTemp,WTURPowerAux,WTRFPhase2Temp,WROTPitchAngleAvgTravPos,WHDRGroupOilPressTravNeg,WHDRGroupOilPressTravPos,WTURPowerMed10min,WGENSpeedStd10min,WTURPowerStd10min,WROTPitchAngleAvgMax10min,WNACWindDirectionCosMin10min,WROTSpeedMin10min,WTURPowerMin10min
1438881000,100.0,-58.9,953.828,1662.17,16.455,9.361,1210.67,0.0,74.8382,420.899,78.5104,-15.8298,-80.9477,2.12544,198.39700000000002,95.1706,0.99669,68.7786,71.15,93.9773,70.4664,2.14017,47.3191,94.0768,231.875,47.0371,1.67145,52.461000000000006,1.03541,189.395,65.9781,100.0,29.1574,43.5249,678.821,36.2075,-16.8053,73.9866,59.2,-301.22700000000003,299.43,1162.09,35.1845,281.22,8.5,0.9460850000000001,14.8988,743.5310000000001
1438881600,100.0,-57.6,724.1239999999999,1575.99,15.595,8.310830000000001,867.3439999999999,0.0,75.5973,344.38,79.5893,-16.8935,-81.6585,2.24474,163.73,94.9332,0.993925,69.1327,70.7053,93.7965,71.3047,2.27517,47.5275,93.805,233.592,45.2052,-2.88214,50.762,1.07035,189.937,65.5201,100.0,29.2576,42.2123,677.3960000000001,35.8392,-17.5319,74.7238,57.8,-303.188,298.086,838.622,108.35,194.995,8.5,0.8589379999999999,12.6994,496.781
1438882200,100.0,-44.6,804.76,1595.57,15.7982,8.64583,982.303,0.0,75.9751,368.204,79.9639,-20.1586,-106.68700000000001,1.9502,138.317,94.91799999999999,0.9903629999999999,68.8989,70.7227,93.8176,71.771,1.9646700000000001,47.6299,93.7883,232.388,45.3913,3.7997300000000003,50.8593,1.04067,189.676,65.6125,100.0,29.1634,42.293,679.7860000000001,35.9052,-21.4861,75.1672,44.5,-269.60200000000003,275.10200000000003,974.663,116.25200000000001,298.29,7.2,0.67185,12.6,461.344
1438883400,100.0,-40.1,762.52,1610.74,15.9485,8.60633,942.1469999999999,0.0,77.278,354.764,79.297,-21.8868,-107.48899999999999,1.8838599999999999,194.78099999999998,92.8457,0.990865,68.8999,71.0367,91.5481,72.9991,1.9043299999999999,48.0182,91.5628,235.06900000000002,45.684,2.10593,51.3196,0.943421,189.515,65.9786,100.0,29.0963,42.5497,681.982,36.2055,-26.5585,76.3725,43.0,-263.98400000000004,261.781,986.081,109.72,184.72,7.7,0.931644,12.3994,547.575
1438884000,100.0,-26.0,684.523,1540.27,15.2468,8.17033,804.802,0.0,77.4157,330.001,78.0455,-22.372,-115.462,1.7458799999999999,174.993,90.0612,0.9853780000000001,67.9698,70.3485,88.8518,73.2332,1.7711700000000001,48.0561,88.8386,235.291,44.1146,1.9284400000000002,49.8151,0.9689610000000001,189.36599999999999,65.2905,100.0,29.0196,41.3391,683.298,36.1769,-26.3249,76.4708,22.8,-217.805,201.90599999999998,805.678,131.694,247.78900000000002,4.4,0.735122,12.3994,453.075
1438884600,100.0,-21.1,557.117,1441.3,14.2641,7.518669999999999,613.134,0.0,77.5511,293.353,76.34899999999999,-21.7022,-111.48100000000001,1.75605,198.703,88.0177,0.980218,66.2662,69.7851,86.81,73.3081,1.77633,48.0921,86.7913,240.46900000000002,43.6974,-0.18086300000000002,49.416000000000004,0.663137,189.935,64.7805,100.0,29.0109,41.0735,684.693,36.0441,-26.1044,76.4755,21.6,-213.102,226.203,573.3,110.941,146.44299999999998,2.7,0.9677969999999999,12.3,427.875
1438885200,100.0,-21.3,538.336,1422.34,14.075999999999999,7.44533,573.993,0.0,77.4524,288.922,72.8642,-21.8108,-111.353,1.73849,198.65,85.3133,0.979562,63.5299,68.8183,84.1895,73.1442,1.7595,48.0938,84.1928,240.46900000000002,42.8945,-4.10111,48.6572,0.51713,189.46400000000003,63.8031,100.0,28.9775,40.454,686.5830000000001,36.2045,-26.1356,76.1705,21.2,-206.61700000000002,200.91400000000002,556.894,83.2049,93.6386,2.8,0.955793,12.4988,427.481
1438977600,100.0,-35.1,761.429,1598.14,15.8264,8.26967,954.4689999999999,0.0,74.4537,351.963,76.7191,-14.1148,-115.709,1.9306299999999998,198.74599999999998,91.4278,0.9903870000000001,53.8531,67.6303,90.2051,70.8739,1.964,43.8631,90.2556,37.1875,41.6202,5.60996,47.2147,0.819939,189.74900000000002,62.3046,100.0,16.9319,38.2622,685.3860000000001,30.1231,-13.3221,74.2413,35.2,-237.71099999999998,221.91400000000002,963.047,101.027,200.33700000000002,4.6,0.9467200000000001,13.2,568.05
1438978200,100.0,-24.6,649.248,1534.16,15.1837,7.784669999999999,776.515,0.0,74.5412,315.394,75.9433,-13.3869,-116.52600000000001,1.92133,198.72,89.8934,0.987188,53.2411,66.4677,88.6304,70.8356,1.9495,43.6507,88.5785,37.1875,38.8559,-0.6612,44.5892,0.63372,189.62599999999998,61.8497,100.0,16.5301,35.9571,687.19,28.5032,-12.4317,74.039,24.9,-210.07,226.07,750.8810000000001,84.0975,116.955,2.8,0.980555,13.3988,595.35
1438978800,100.0,-39.5,673.013,1544.4,15.2917,7.8495,805.505,0.0,74.7117,323.694,74.7788,-11.8718,-114.21,2.04788,198.75,88.514,0.9871219999999999,52.5588,66.676,87.2533,71.0448,2.07933,43.3991,87.1829,37.1875,37.993,3.85759,43.4668,0.916642,189.68400000000003,63.3325,100.0,16.2938,34.9487,687.0830000000001,30.5948,-10.3174,74.3444,39.3,-254.102,239.898,810.666,120.486,156.871,5.6,0.95841,11.7994,406.875
