unixtime,YEAR,MONTH,DAY,HOUR,MINUTE,WTURNativeStatus,WROTPitchAngleAvgTravNeg,WGENStatorCur,WGENSpeed,WROTSpeed,WNACWindSpeed,WTURPower,WCNVCoolantPress,WTRFPhase3Temp,WGENRotorCur,WGENBearNDETemp,WTURReactivePowerAux,WTURReactivePower,WROTPitchAngleSP,WYAWPressure,WGENPhase3Temp,WTURCosPhi,WGENBearDETemp,WTRMBearTemp,WGENPhase2Temp,WTRFPhase1Temp,WROTPitchAngleAvg,WHDRGroupOilTemp,WGENPhase1Temp,WNACDirection,WCNVHeaterTempBott,WNACWindDirection,WCNVHeaterTempSup,WNACWindSpeedStd10min,WHDRGroupOilPress,WTRMOilTemp,WTURStatus,WNACAmbTemp,WCNVCoolantTemp,WCNVNetVoltage,WNACNacelleTemp,WTURPowerAux,WTRFPhase2Temp,WROTPitchAngleAvgTravPos,WHDRGroupOilPressTravNeg,WHDRGroupOilPressTravPos,WTURPowerMed10min,WGENSpeedStd10min,WTURPowerStd10min,WROTPitchAngleAvgMax10min,WNACWindDirectionCosMin10min,WROTSpeedMin10min,WTURPowerMin10min
1438884600,2015,8,6,20,10,100.0,-27.4,372.465,1186.78,11.747,6.3335,341.059,0.0,75.8868,255.61,78.3304,-22.6512,-111.07700000000001,1.83726,166.035,87.4755,0.9068120000000001,69.1242,69.8031,87.7645,73.0822,1.8735,44.4933,88.1948,222.365,46.8384,-2.23069,54.6387,1.2577,189.94400000000002,63.3864,100.0,29.5536,44.6887,686.37,39.9576,-26.9443,78.6771,27.4,-205.41400000000002,202.82,278.644,168.834,190.451,3.4,0.8625360000000001,10.2,138.075
1438885200,2015,8,6,20,20,100.0,-19.3,592.044,1489.12,14.7362,7.71983,663.9860000000001,0.0,75.6877,304.953,75.5825,-21.7458,-111.76899999999999,1.79495,187.53799999999998,85.7182,0.9824,66.4078,69.3396,85.9068,72.8444,1.824,44.7085,86.4638,213.63299999999998,46.8515,0.531412,53.9533,0.8264959999999999,189.718,62.9072,100.0,29.3959,44.4974,687.895,41.096000000000004,-26.7666,78.3351,19.0,-176.313,162.406,716.4939999999999,132.21,168.84400000000002,2.8,0.94429,10.6988,213.019
1438885800,2015,8,6,20,30,100.0,-23.4,328.58,1138.48,11.2693,5.79683,271.378,0.0,75.4964,255.196,73.2667,-21.866,-94.82799999999999,1.9188,188.102,84.1535,0.908423,64.4833,67.6906,84.522,72.5845,1.94717,44.891999999999996,84.8972,210.075,46.5821,7.55843,54.6791,0.631695,189.66400000000002,61.6158,100.0,29.3436,44.5549,690.427,41.0585,-26.4475,78.0745,24.6,-194.00799999999998,203.609,256.725,83.3741,86.5664,3.1,0.876307,10.2,96.3375
1438980600,2015,8,7,22,50,100.0,-45.4,764.1139999999999,1603.65,15.8774,8.407169999999999,978.1510000000001,0.0,68.0649,359.685,72.1527,-13.4425,-103.477,1.94828,200.58,85.5523,0.9923200000000001,57.1901,69.385,85.6884,65.8993,1.98133,41.3018,86.3203,24.375,38.8762,2.21055,45.8221,0.9282790000000001,189.485,63.1708,100.0,16.0886,35.8352,691.182,32.0658,-13.517999999999999,71.0158,44.6,-234.5,222.898,970.528,99.0653,188.016,6.0,0.9763430000000001,13.2,625.406
1438983600,2015,8,7,23,40,100.0,-47.1,880.196,1642.44,16.2602,8.93317,1135.87,0.0,68.979,395.14099999999996,72.2301,-12.9157,-108.73200000000001,1.9645,200.565,85.988,0.9937819999999999,56.4162,69.1197,86.0725,66.9452,1.9780000000000002,40.815,86.7358,22.6563,46.708,-0.37185,53.3858,1.02195,189.03099999999998,63.1135,100.0,15.0639,43.8543,688.6139999999999,29.6213,-12.1357,71.9055,47.4,-245.898,241.195,1159.86,81.7407,206.66,5.6,0.979223,12.9,595.481
1438984200,2015,8,7,23,50,100.0,-35.8,695.84,1522.74,15.0757,7.9325,846.102,0.0,69.3962,336.46,72.7244,-13.1062,-109.262,1.90966,189.516,86.4175,0.986632,56.5822,68.7289,86.5538,67.3597,1.9401700000000002,40.6826,87.251,25.5867,46.1696,0.982237,53.1189,1.2299200000000001,189.947,62.7802,100.0,14.9855,43.5283,686.5260000000001,29.9195,-12.2377,72.3011,35.4,-203.53099999999998,221.13299999999998,802.659,157.834,293.608,3.6,0.940881,12.0994,428.79400000000004
1438998600,2015,8,8,3,50,100.0,-48.1,774.0269999999999,1631.78,16.147000000000002,8.4535,986.215,0.0,71.35,358.293,72.7086,-13.1344,-106.93,2.0845,193.243,88.365,0.99318,64.4116,69.2644,88.4432,69.4237,2.121,37.8238,89.1729,193.767,42.5146,2.90235,49.2415,0.765003,189.34099999999998,63.6607,100.0,13.2007,39.8586,687.2669999999999,28.9864,-12.3099,73.9773,44.1,-222.91400000000002,228.41400000000002,949.528,49.5023,106.964,6.8,0.9450629999999999,14.5988,805.4810000000001
1438999200,2015,8,8,4,0,100.0,-37.5,734.582,1601.4,15.8445,8.3845,909.679,0.0,71.242,345.845,72.2813,-12.7431,-106.564,1.8558,200.71,86.9548,0.9919520000000001,63.6493,68.4761,87.0827,69.4259,1.89467,37.7579,87.8613,6.25,41.8411,-4.00106,48.5557,0.654413,190.145,62.8553,100.0,13.2061,39.2453,687.035,28.7837,-12.1738,73.8473,36.6,-202.102,209.90599999999998,936.6,82.9078,140.766,6.1,0.9706959999999999,13.8994,615.825
1438999800,2015,8,8,4,10,100.0,-44.1,790.556,1641.52,16.2455,8.71833,1010.43,0.0,71.1953,363.93199999999996,72.46,-12.9316,-111.351,1.91514,200.64,86.6567,0.993052,63.1859,68.4359,86.7492,69.4096,1.9525,37.6378,87.5135,6.25,42.3106,-3.9382900000000003,49.037,0.647763,190.255,62.7251,100.0,13.264000000000001,39.6214,688.928,28.488000000000003,-12.1495,73.7969,43.8,-227.797,218.797,1007.93,47.9265,102.335,8.1,0.9552139999999999,15.0,820.8380000000001
1439000400,2015,8,8,4,20,100.0,-41.1,1079.14,1679.35,16.6245,9.636000000000001,1387.94,0.0,71.3587,463.152,72.9321,-13.4467,-102.82799999999999,1.7968400000000002,190.37,88.1324,0.9965,63.038000000000004,68.7061,88.1473,69.6455,1.8205,37.5307,88.8116,178.257,44.6881,-4.73228,51.1711,0.680497,189.8,63.0126,100.0,13.2906,41.5693,687.347,27.7714,-12.7485,73.9918,43.2,-217.0,216.898,1385.02,9.6331,219.697,4.9,0.96936,16.0988,889.2189999999999
