unixtime,WTURNativeStatus,WROTPitchAngleAvgTravNeg,WGENStatorCur,WGENSpeed,WROTSpeed,WNACWindSpeed,WTURPower,WCNVCoolantPress,WTRFPhase3Temp,WGENRotorCur,WGENBearNDETemp,WTURReactivePowerAux,WTURReactivePower,WROTPitchAngleSP,WYAWPressure,WGENPhase3Temp,WTURCosPhi,WGENBearDETemp,WTRMBearTemp,WGENPhase2Temp,WTRFPhase1Temp,WROTPitchAngleAvg,WHDRGroupOilTemp,WGENPhase1Temp,WNACDirection,WCNVHeaterTempBott,WNACWindDirection,WCNVHeaterTempSup,WNACWindSpeedStd10min,WHDRGroupOilPress,WTRMOilTemp,WTURStatus,WNACAmbTemp,WCNVCoolantTemp,WCNVNetVoltage,WNACNacelleTemp,WTURPowerAux,WTRFPhase2Temp,WROTPitchAngleAvgTravPos,WHDRGroupOilPressTravNeg,WHDRGroupOilPressTravPos,WTURPowerMed10min,WGENSpeedStd10min,WTURPowerStd10min,WROTPitchAngleAvgMax10min,WNACWindDirectionCosMin10min,WROTSpeedMin10min,WTURPowerMin10min
1440602400,100.0,-70.4,1049.0,1647.73,16.3039,10.0578,1299.31,0.0,71.8863,455.751,72.0477,-22.1864,-75.3641,2.79765,167.613,97.1866,0.996732,70.8638,71.6482,97.0956,73.5401,2.83,44.0305,97.5679,228.342,47.15,-0.231525,52.6074,1.59809,189.483,65.6845,100.0,25.5744,43.7732,679.216,34.2097,-25.6948,75.1555,70.5,-323.195,333.695,1201.53,82.7427,418.30300000000005,11.7,0.875549,11.4,327.6
1442405400,100.0,-162.2,1539.04,1672.21,16.5552,18.758,1970.31,0.0,96.5224,640.7719999999999,72.1698,-22.3551,20.3576,18.7006,196.59900000000002,107.87799999999999,0.9990000000000001,52.5138,73.9994,107.693,104.48899999999999,18.7368,49.4703,108.861,216.05,45.7008,-6.47055,50.5443,3.03117,189.842,69.4457,100.0,16.1457,40.7364,685.7180000000001,29.5995,-26.9593,99.5066,161.3,-601.0,606.398,2000.45,47.4678,105.402,25.8,0.9630920000000001,14.4994,1579.46
1442407200,100.0,-131.5,1517.53,1678.74,16.6152,18.2397,1983.31,0.0,96.4612,635.51,72.9769,-23.2254,11.5423,18.082,202.7,109.01899999999999,0.9990120000000001,53.1232,73.9672,108.94200000000001,104.579,18.1315,49.3083,110.046,213.75,46.1466,0.364012,51.0329,2.0796200000000002,189.769,69.4489,100.0,16.1545,41.1935,693.258,30.026,-26.22,99.3324,135.2,-532.406,528.305,1958.51,34.9377,57.6345,25.4,0.9598540000000001,15.0994,1907.59
1442407800,100.0,-135.0,1517.78,1673.73,16.5624,18.1147,1993.43,0.0,97.167,636.722,73.1048,-24.8842,6.3824,17.7868,202.769,110.445,0.9990120000000001,53.3453,74.3128,110.329,105.146,17.8142,48.2406,111.359,213.75,45.5822,-2.9847,50.5768,2.7229,189.861,68.695,100.0,16.5861,40.4594,696.701,29.7703,-27.7098,99.9884,138.9,-535.188,534.289,1994.61,41.0705,55.934,25.5,0.9730989999999999,15.0994,1896.69
1442408400,100.0,-132.9,1510.16,1656.87,16.404,19.3202,1939.3,0.0,97.7488,631.013,73.2309,-23.951,9.4174,19.8224,202.585,111.054,0.99902,53.468999999999994,73.8747,110.956,105.70200000000001,19.8595,47.4612,111.913,213.75,44.9616,1.15095,49.7805,2.9820900000000004,189.952,67.9741,100.0,16.9908,39.9259,690.727,29.8761,-27.4425,100.61,128.4,-513.188,513.586,1991.72,59.9226,132.41,28.3,0.961274,14.5988,1650.47
1442416200,100.0,-131.7,1533.42,1681.2,16.6324,13.2058,1977.28,0.0,100.75299999999999,638.285,73.7554,-22.0121,21.4228,8.71905,193.59900000000002,113.92399999999999,0.9990000000000001,55.3872,73.296,113.75200000000001,108.735,8.7575,46.0188,114.734,233.88299999999998,45.5235,-0.38055,50.2887,1.33651,189.954,67.9831,100.0,16.2013,40.4035,681.824,31.0627,-26.1965,102.775,138.9,-512.891,518.289,2009.04,20.4413,96.6944,15.0,0.9271510000000001,15.9,1755.6
1442416800,100.0,-137.4,1549.18,1678.73,16.6189,14.3142,1991.25,0.0,101.775,644.145,73.8967,-22.0698,26.2368,11.8128,192.144,114.667,0.9990000000000001,55.6926,74.0862,114.633,109.264,11.845,46.226000000000006,115.412,228.106,47.4307,4.08124,52.2025,1.2397799999999999,189.89700000000002,69.564,100.0,16.4462,42.2909,681.779,32.3855,-25.82,103.242,139.2,-522.594,515.398,2000.78,24.6488,70.1875,17.9,0.939139,15.6994,1811.12
1442423400,100.0,-92.1,1437.84,1679.99,16.6304,11.9392,1888.56,0.0,105.25399999999999,607.165,73.7351,-21.2777,8.65906,6.36221,198.77700000000002,114.12100000000001,0.9990100000000001,56.2969,73.9545,113.98299999999999,114.074,6.39083,46.6764,114.844,236.225,45.5624,5.346080000000001,50.4663,1.30175,189.98,69.5433,100.0,14.4488,40.4602,691.7280000000001,33.2478,-24.7149,106.09700000000001,86.4,-450.023,450.92199999999997,1998.94,12.4593,207.80200000000002,12.1,0.9489719999999999,16.2,1243.86
1443963600,100.0,-152.3,1413.31,1679.97,16.6325,12.7382,1846.53,0.0,91.3227,597.275,72.1827,-22.7387,16.842,8.227089999999999,192.62099999999998,110.051,0.999008,54.949,74.0742,109.876,95.97,8.2795,47.9794,111.061,204.581,46.8765,3.78405,51.6823,2.0655900000000003,189.87400000000002,68.0136,100.0,20.8436,41.8205,684.7489999999999,32.2347,-27.7746,93.5063,151.8,-585.219,577.914,1981.88,24.3075,263.231,15.8,0.928615,15.9,1277.06
1443964200,100.0,-135.5,1490.58,1679.15,16.6198,13.8992,1911.35,0.0,91.7897,624.544,72.5998,-21.1366,17.2868,10.2742,202.644,109.181,0.9990020000000001,55.2835,73.7663,109.023,96.5573,10.3057,48.4414,110.199,206.875,46.6452,1.21099,51.4022,1.6457700000000002,190.019,68.4062,100.0,20.8409,41.9003,686.465,32.9566,-25.6873,94.0003,127.4,-557.305,559.805,2009.57,22.0706,206.854,18.2,0.9707899999999999,15.9,1324.18
