unixtime,WTURNativeStatus,WROTPitchAngleAvgTravNeg,WGENStatorCur,WGENSpeed,WROTSpeed,WNACWindSpeed,WTURPower,WCNVCoolantPress,WTRFPhase3Temp,WGENRotorCur,WGENBearNDETemp,WTURReactivePowerAux,WTURReactivePower,WROTPitchAngleSP,WYAWPressure,WGENPhase3Temp,WTURCosPhi,WGENBearDETemp,WTRMBearTemp,WGENPhase2Temp,WTRFPhase1Temp,WROTPitchAngleAvg,WHDRGroupOilTemp,WGENPhase1Temp,WNACDirection,WCNVHeaterTempBott,WNACWindDirection,WCNVHeaterTempSup,WNACWindSpeedStd10min,WHDRGroupOilPress,WTRMOilTemp,WTURStatus,WNACAmbTemp,WCNVCoolantTemp,WCNVNetVoltage,WNACNacelleTemp,WTURPowerAux,WTRFPhase2Temp,WROTPitchAngleAvgTravPos,WHDRGroupOilPressTravNeg,WHDRGroupOilPressTravPos,WTURPowerMed10min,WGENSpeedStd10min,WTURPowerStd10min,WROTPitchAngleAvgMax10min,WNACWindDirectionCosMin10min,WROTSpeedMin10min,WTURPowerMin10min
1435936200,100.0,0.0,7106.63,21118.6,196.678,25.4578,14037.1,0.0,112.15100000000001,657.301,87.3087,-10.2991,-2182.94,90.0,202.303,277.731,-8.6805,75.8173,254.085,228.40200000000002,118.431,-975.095,68.7157,227.418,-41.8669,167.14,128.379,242.36599999999999,0.0,166.84599999999998,142.361,100.0,20.9231,103.273,394.79,10.5239,-59.6301,111.405,0.0,0.0,0.0,1145.68,0.0,0.0,1.4,0.9946709999999999,16.3988,1145.68
1438368000,100.0,-117.1,1554.04,1681.19,16.6422,12.2593,1997.0,0.0,73.5859,641.793,72.5735,-20.3038,-10.1953,6.6132,195.437,105.99,0.99902,68.6703,72.9024,104.41799999999999,74.6767,6.6565,45.7108,104.617,52.8802,49.7969,-5.386430000000001,56.043,1.2272,189.67700000000002,68.1883,100.0,16.5938,41.0456,680.465,33.1477,-24.6218,78.8895,111.5,-525.906,525.703,2002.88,15.3854,67.3718,13.1,0.9449350000000001,16.2,1776.6
1438368600,100.0,-103.9,1554.31,1679.65,16.6252,12.9552,2002.5,0.0,75.6443,642.224,73.3497,-20.0161,-9.12875,9.4629,198.94099999999997,108.49600000000001,0.9990180000000001,69.4244,73.4623,106.838,77.2133,9.50433,46.1484,107.02,50.625,49.9292,-0.0490125,56.1421,0.9886530000000001,189.90400000000002,69.0156,100.0,16.1304,41.0873,681.079,33.0942,-24.4027,81.4679,105.2,-494.805,488.10900000000004,2000.51,17.0933,19.8008,14.4,0.9710719999999999,15.9994,1902.08
1438369200,100.0,-122.0,1431.33,1679.96,16.6305,11.5165,1875.52,0.0,77.4119,598.553,74.1444,-21.3911,-35.8691,5.48197,191.601,109.46799999999999,0.9989969999999999,70.1608,73.8038,107.79700000000001,79.3424,5.5375,46.4752,107.947,57.6526,48.9588,4.86293,55.5292,1.34674,189.53599999999997,69.4336,100.0,15.892999999999999,40.586,687.5830000000001,32.9961,-24.8074,83.6345,115.4,-542.813,539.008,1988.96,17.0467,185.993,13.6,0.954865,16.0988,1393.35
1438369800,100.0,-129.1,1458.04,1681.99,16.6521,11.9023,1874.39,0.0,78.7383,605.497,74.8664,-20.7895,-52.158,6.3057,198.84,109.236,0.9989520000000001,70.89699999999999,73.952,107.625,80.971,6.37983,46.9784,107.726,59.0625,47.8949,-0.8518120000000001,54.5214,1.66487,190.139,69.6139,100.0,15.762,39.7096,686.691,32.5697,-24.4994,85.2035,138.9,-560.813,570.016,1963.43,19.4663,226.247,14.8,0.9578479999999999,16.0988,1170.62
1438370400,100.0,-114.2,1478.35,1680.44,16.6352,12.0367,1929.4,0.0,80.4809,613.865,75.2842,-21.9628,-40.0584,6.122269999999999,193.399,111.22200000000001,0.9990000000000001,71.6688,73.9635,109.557,83.3962,6.16533,47.4487,109.666,56.2799,48.3161,-4.66541,54.7625,1.60968,189.747,68.6893,100.0,15.4504,39.5966,685.7080000000001,31.8512,-26.0652,87.3695,111.3,-509.49199999999996,498.89099999999996,2000.51,16.1628,185.27700000000002,12.9,0.9587450000000001,15.9994,1267.22
1438371000,100.0,-126.8,1457.26,1682.53,16.6518,11.253,1865.45,0.0,81.9278,609.006,75.9043,-21.1647,-13.0606,4.51849,198.864,110.70100000000001,0.999007,72.0261,73.0442,108.98299999999999,84.8716,4.54283,47.6359,109.07799999999999,52.9688,46.4986,-0.4998,53.1932,1.25128,190.05900000000003,67.2564,100.0,15.0555,38.2989,683.561,30.7424,-25.6618,88.7675,127.1,-544.375,557.977,1910.93,18.8376,156.921,11.9,0.947852,16.2,1462.39
1438371600,100.0,-118.5,1509.98,1681.67,16.6503,11.325,1963.62,0.0,82.6467,627.285,76.8126,-20.4494,-13.463,4.32742,198.945,111.73100000000001,0.9990180000000001,72.1657,73.0257,110.03,86.0202,4.3968300000000005,47.8828,110.147,52.9688,47.7625,-3.8631800000000003,54.1142,1.0167899999999999,189.93200000000002,68.6432,100.0,14.6192,39.0706,683.398,31.6044,-24.5088,90.2385,115.7,-548.516,535.617,1984.5,15.4988,92.6645,11.5,0.966297,16.0988,1607.29
1438372200,100.0,-115.5,1524.86,1682.0,16.643,11.7867,1967.49,0.0,83.8619,634.264,76.6987,-20.9548,-13.0302,5.81205,199.054,112.47,0.9990129999999999,72.393,73.4361,110.72,87.4023,5.8505,48.1458,110.853,52.9688,47.9651,-0.08205,54.3637,1.03601,189.813,69.3567,100.0,14.2987,39.2672,687.1260000000001,32.0921,-24.7268,91.774,117.1,-544.406,551.5,2001.96,16.1672,109.899,11.0,0.9863,15.9994,1607.42
1438372800,100.0,-123.5,1409.38,1680.66,16.6428,11.0012,1829.24,0.0,84.8615,592.685,76.4227,-21.0391,-20.2748,3.95719,199.072,112.265,0.9989979999999999,72.5523,73.6816,110.581,88.8086,4.018,48.4035,110.7,52.9688,46.8263,-4.7763,53.4928,1.09084,190.05599999999998,69.6346,100.0,14.0692,38.4895,686.3480000000001,31.8087,-24.671999999999997,93.1396,118.5,-526.695,530.797,1910.74,16.1258,198.31099999999998,11.4,0.9593020000000001,16.0988,1353.98
1438373400,100.0,-89.8,1397.27,1682.1,16.6539,10.681,1812.6,0.0,85.5062,588.58,76.1256,-20.5076,-19.5449,3.26139,199.053,110.87100000000001,0.999007,72.5995,73.7209,109.241,89.5866,3.31233,48.5,109.34,52.9688,45.7229,-3.51338,52.4382,1.01994,189.757,69.639,100.0,13.6694,37.5901,687.923,31.4576,-24.0959,93.8993,94.7,-480.31300000000005,482.51599999999996,1810.27,12.6809,148.716,10.5,0.966297,16.0988,1544.55
1438374000,100.0,-122.2,1526.67,1680.59,16.6444,11.9545,1998.2,0.0,86.462,636.618,75.6689,-22.6075,-21.0601,6.4116,192.14700000000002,111.973,0.9990100000000001,72.6344,73.8383,110.20299999999999,91.0445,6.47233,48.5764,110.31200000000001,52.6005,46.733999999999995,-5.84524,53.128,1.01868,189.90900000000002,69.2931,100.0,13.4488,37.9275,692.9739999999999,30.6065,-25.811,95.0844,118.9,-545.391,533.891,2008.19,16.3158,68.6786,12.2,0.949958,15.9994,1771.88
1438374600,100.0,-119.0,1435.36,1682.11,16.6505,11.0693,1888.9,0.0,87.8587,603.476,75.2893,-22.8149,-33.8791,3.4974199999999995,193.65,112.51299999999999,0.9989879999999999,72.6047,73.0854,110.698,92.3795,3.5316699999999996,48.7388,110.819,46.2365,45.7307,4.27511,52.4189,0.922883,190.015,67.5795,100.0,13.3659,37.2357,694.5989999999999,29.5512,-25.9204,96.3141,116.4,-537.211,548.313,1961.2,14.9715,160.812,8.8,0.936687,16.0988,1481.68
1438375200,100.0,-84.5,1192.63,1680.71,16.6437,10.0293,1576.8,0.0,87.8636,516.092,74.9974,-21.2741,-51.3766,2.56261,198.842,109.333,0.9988469999999999,72.1565,72.4736,107.87799999999999,92.2857,2.5906700000000003,48.7139,107.939,50.625,43.451,-0.20673699999999998,50.6061,0.9149870000000001,189.882,67.9633,100.0,13.3253,36.0265,694.654,30.4299,-24.0536,96.434,85.6,-410.805,406.805,1550.0,13.8264,153.151,9.1,0.9568260000000001,16.2,1313.81
