unixtime,YEAR,MONTH,DAY,HOUR,MINUTE,WTURNativeStatus,WROTPitchAngleAvgTravNeg,WGENStatorCur,WGENSpeed,WROTSpeed,WNACWindSpeed,WTURPower,WCNVCoolantPress,WTRFPhase3Temp,WGENRotorCur,WGENBearNDETemp,WTURReactivePowerAux,WTURReactivePower,WROTPitchAngleSP,WYAWPressure,WGENPhase3Temp,WTURCosPhi,WGENBearDETemp,WTRMBearTemp,WGENPhase2Temp,WTRFPhase1Temp,WROTPitchAngleAvg,WHDRGroupOilTemp,WGENPhase1Temp,WNACDirection,WCNVHeaterTempBott,WNACWindDirection,WCNVHeaterTempSup,WNACWindSpeedStd10min,WHDRGroupOilPress,WTRMOilTemp,WTURStatus,WNACAmbTemp,WCNVCoolantTemp,WCNVNetVoltage,WNACNacelleTemp,WTURPowerAux,WTRFPhase2Temp,WROTPitchAngleAvgTravPos,WHDRGroupOilPressTravNeg,WHDRGroupOilPressTravPos,WTURPowerMed10min,WGENSpeedStd10min,WTURPowerStd10min,WROTPitchAngleAvgMax10min,WNACWindDirectionCosMin10min,WROTSpeedMin10min,WTURPowerMin10min
1437679800,2015,7,23,21,30,100.0,-6.3,878.845,1680.01,16.6392,9.30483,1122.78,0.0,68.4395,391.108,73.1108,-20.4026,-118.20100000000001,1.48926,202.511,89.6187,0.99393,65.4364,69.8615,86.06299999999999,69.9043,1.50483,41.2945,89.7553,79.2188,53.8607,-7.705760000000001,46.1973,0.25092800000000004,189.023,63.0739,100.0,28.6495,42.732,683.14,36.0012,-25.611,75.097,6.1,-111.70299999999999,103.398,1122.19,0.954149,42.9731,1.8,0.98477,16.2994,1035.83
1437680400,2015,7,23,21,40,100.0,-9.4,772.6060000000001,1675.27,16.5875,8.93967,981.013,0.0,69.3174,355.595,73.5423,-21.0912,-119.04,1.61095,195.02599999999998,88.8108,0.992088,66.7391,69.7999,86.9174,70.7899,1.6435,41.1958,88.6682,75.6464,53.4275,-3.9488300000000005,45.6346,0.266417,189.18099999999998,63.0119,100.0,28.6074,42.3439,682.204,36.0995,-26.5484,75.7188,9.6,-122.492,122.195,975.188,9.42442,43.0838,2.3,0.9841489999999999,16.0988,898.013
1437681000,2015,7,23,21,50,100.0,-10.7,802.227,1678.34,16.6224,8.8865,1016.49,0.0,69.9063,365.6,73.2501,-20.5599,-116.23,1.64765,202.456,87.7527,0.9930030000000001,67.4479,69.7265,86.3242,71.3108,1.6821700000000002,41.1064,87.5024,71.25,52.9246,1.36496,45.1598,0.255558,189.35,62.9182,100.0,28.4422,41.9185,682.293,35.9634,-26.3211,76.1416,10.6,-131.211,143.00799999999998,1025.33,5.13436,47.5261,2.3,0.9958879999999999,16.2994,921.9
1437681600,2015,7,23,22,0,100.0,-13.5,768.155,1665.53,16.4863,8.677669999999999,973.183,0.0,70.5032,354.56199999999995,72.7349,-20.407,-111.065,1.73144,202.518,87.2757,0.992827,67.9152,69.6781,85.6911,71.8818,1.76017,41.056999999999995,86.9725,71.25,52.8982,4.58524,45.1281,0.330732,189.257,62.9146,100.0,28.2695,41.8555,680.1030000000001,35.8235,-26.3729,76.5814,13.9,-139.687,142.49200000000002,971.3810000000001,22.8267,65.6585,2.3,0.9854450000000001,15.6994,826.7439999999999
1453684200,2016,1,25,2,10,100.0,-4.8,1017.46,1679.84,16.6332,9.45167,1336.67,0.0,69.0406,437.782,72.4338,-12.3574,-120.463,1.45297,191.963,96.1731,0.9953270000000001,60.9682,67.5297,95.6211,69.8698,1.4705,32.7141,96.0174,29.6714,49.1077,-4.4877400000000005,41.4156,0.267488,189.13400000000001,61.3927,100.0,13.7129,37.1259,686.783,23.7677,-11.902999999999999,73.699,5.0,-86.3047,81.4063,1328.71,1.0483799999999999,85.7685,1.9,0.983231,16.2994,1114.84
1453684800,2016,1,25,2,20,100.0,-18.9,839.658,1661.35,16.4543,8.859,1075.28,0.0,69.8882,377.165,73.7718,-10.6603,-111.711,1.7040799999999998,201.79,94.2773,0.9937379999999999,61.4937,67.1704,93.7926,70.7255,1.74383,32.3229,94.2184,22.8125,46.7724,3.81889,38.9138,0.666077,189.862,62.3772,100.0,13.573,35.0755,682.551,23.930999999999997,-10.0225,74.7296,18.7,-134.61700000000002,121.414,1030.05,34.1469,139.486,3.5,0.9816940000000001,15.1988,817.819
1453685400,2016,1,25,2,30,100.0,-31.0,676.051,1561.07,15.4519,7.46167,829.562,0.0,70.33800000000001,327.14799999999997,74.512,-11.1716,-98.5524,2.32878,202.393,92.2573,0.99197,61.2675,67.0058,91.831,71.1594,2.388,31.6988,92.3363,22.8125,44.9433,5.06051,37.4542,0.8327379999999999,189.25400000000002,63.3898,100.0,13.5481,33.7112,686.1419999999999,25.4281,-10.2524,75.2972,32.0,-184.09400000000002,183.297,818.3439999999999,64.3936,114.133,3.6,0.9799329999999999,13.8994,649.031
1453686000,2016,1,25,2,40,100.0,-30.2,551.519,1409.42,13.9518,6.3985,607.75,0.0,70.1553,294.527,73.5137,-10.9369,-99.5486,2.61753,202.58900000000003,89.5674,0.983375,59.5948,66.2151,89.2276,71.0432,2.6875,31.4225,89.6947,22.8125,43.3479,4.1557900000000005,35.7538,0.893184,189.71200000000002,63.2262,100.0,13.6123,32.2889,685.515,27.5725,-10.183,75.3492,30.7,-179.688,181.984,625.8,107.346,114.193,3.6,0.979223,11.1994,353.325
