TRAINING,VALIDATION
0.0201810723524,0.0101967266317
0.010271724041,0.00446813753555
0.00808272583916,0.00294441130943
0.00681326559166,0.00252747171645
0.00593511542773,0.00227880216259
0.00537566257518,0.00194285711237
0.00492141178095,0.0016458057979
0.00450953138978,0.00154501048723
0.00409862382616,0.00148043772586
0.00370192245078,0.00151280772541
0.00331320288032,0.00180117602458
0.00294006780183,0.00160276993761
0.00259620683569,0.00195658755084
0.00230134411343,0.00186661157645
0.0020164851695,0.0014842651565
0.00175403191681,0.00190718101679
0.00152172206049,0.00195425639217
0.00130864137681,0.00206596494066
0.001124971419,0.00195289276355
0.000956189100679,0.00159510489184
0.000809304856826,0.00148782396602
0.000684528069451,0.00143882416137
0.000574222202503,0.00115478246362
0.000480431880548,0.000858822983856
0.000404432631483,0.000788622483442
0.000341811270996,0.000655644366314
0.000292350809135,0.000577185804776
0.000249065121214,0.000465730935947
0.000214153608953,0.000346850358412
0.000187774305983,0.000309053654019
0.000166318938887,0.000284240362845
0.00014706570852,0.000253066688879
0.000131463802901,0.000240530799635
0.000119917081656,0.000220160792868
0.000110480614622,0.000192810729063
0.000102829595328,0.000167717827086
9.69272320518e-05,0.000171178029306
9.07177120727e-05,0.000141243267969
8.50607700514e-05,0.000132510467507
8.10210921073e-05,0.00013715576646
7.75992093612e-05,0.000121243263268
7.41718115965e-05,0.000133228416964
7.34459536957e-05,0.000111986700999
7.0250388407e-05,0.000120738376788
6.8292002217e-05,0.000103242722092
6.37063529556e-05,0.000104226392737
6.28480364601e-05,9.98663225457e-05
6.0521083416e-05,9.98077092592e-05
5.82871251056e-05,9.50908040299e-05
5.63974203605e-05,9.24398854655e-05
5.56679789123e-05,9.856855159e-05
5.52262061982e-05,9.77967429287e-05
5.46935266991e-05,9.48220543674e-05
5.14866450743e-05,9.29976663589e-05
4.96257015531e-05,9.16618270579e-05
4.87972939038e-05,9.10933718365e-05
4.72773091566e-05,9.0449194028e-05
4.61603083467e-05,8.76413435382e-05
4.52129048024e-05,8.45821155033e-05
4.41160959431e-05,8.45416599824e-05
4.31712095341e-05,8.34243162584e-05
4.21949263781e-05,8.2598738143e-05
4.15966532087e-05,8.07432677291e-05
4.05209939007e-05,8.14552328534e-05
3.96883529343e-05,7.86275949719e-05
3.94969713869e-05,8.06010198269e-05
3.8780569666e-05,7.92827080265e-05
3.78388912346e-05,7.88634172175e-05
3.70133488089e-05,7.7222708464e-05
3.60330689175e-05,9.00710041032e-05
3.7263125631e-05,9.07950425024e-05
3.77898087868e-05,8.29953078327e-05
3.51272325913e-05,7.40449648469e-05
3.34945927561e-05,7.29203227069e-05
3.44719896279e-05,8.05739572037e-05
3.27770428154e-05,7.53186808499e-05
3.22426829231e-05,7.17211980436e-05
3.1421490246e-05,7.52499374662e-05
3.08586157394e-05,7.05457566941e-05
3.03080682925e-05,8.03207203317e-05
3.11903441766e-05,6.573299782e-05
3.21479431691e-05,8.73764859828e-05
3.28398964651e-05,8.04051626194e-05
2.90438277764e-05,6.77272035492e-05
2.84955852649e-05,6.78392665696e-05
2.74153778538e-05,7.35743644747e-05
2.71698476763e-05,6.97503565622e-05
2.65439017837e-05,6.83791274146e-05
2.62854579979e-05,6.95566439625e-05
2.63833424688e-05,6.75615035013e-05
2.53892275927e-05,6.26783990196e-05
2.57333537026e-05,7.20052381098e-05
2.59048418424e-05,5.83528257716e-05
2.52124741601e-05,6.87919724823e-05
2.43453447457e-05,6.53422716484e-05
2.35977617092e-05,6.6605502465e-05
2.38212695477e-05,5.77531230787e-05
2.33926564694e-05,6.02335039321e-05
2.26523874982e-05,6.57634305152e-05
2.25207907847e-05,7.06245817374e-05
2.32922366367e-05,6.07339447068e-05
2.28188715774e-05,5.71609531795e-05
2.24529560716e-05,7.03020178438e-05
2.36897474066e-05,5.3578335295e-05
2.28994605642e-05,6.40798305314e-05
2.24192979507e-05,6.5603760183e-05
2.11923014203e-05,5.73268719774e-05
2.05752515361e-05,5.53139055174e-05
2.06952849663e-05,6.54538021573e-05
2.04619867314e-05,5.43037024739e-05
2.12288751583e-05,5.16476391043e-05
2.05272074064e-05,5.6040973679e-05
1.95130212446e-05,6.48727996227e-05
1.96647380522e-05,6.3016500912e-05
1.94255248704e-05,6.0022495038e-05
1.91804862695e-05,5.62670011697e-05
1.86012335541e-05,5.09040692211e-05
1.85599982819e-05,5.72085145672e-05
1.8007192484e-05,5.25882145753e-05
1.79031616751e-05,5.28407138828e-05
1.80133644261e-05,5.50315659517e-05
1.78168690917e-05,4.87776547922e-05
1.76112378641e-05,5.15515607559e-05
1.71737527335e-05,4.64921744919e-05
1.7518887857e-05,4.73025291877e-05
