TRAINING,VALIDATION
1.99877479548e-06,1.76708799282e-06
1.59302993605e-06,2.68694497565e-06
1.51389402418e-06,2.2424146742e-06
1.97172091469e-06,1.24383895338e-05
1.51668447762e-06,2.02144921088e-06
2.11907564587e-06,2.68919784958e-06
1.27787119948e-06,2.45612332555e-06
2.44654902715e-06,2.12859520477e-06
9.95138442624e-07,2.84468634973e-06
1.46270998257e-06,3.15458344855e-06
1.8345383698e-06,2.01704716792e-06
1.61159999696e-06,5.24693871899e-06
1.65274676737e-06,4.5052178695e-06
1.58689531463e-06,1.70830414755e-06
1.7240504844e-06,1.28829463789e-05
1.77700094474e-06,2.92029535404e-06
1.58050332909e-06,4.64862772762e-06
1.76965333788e-06,3.3813659184e-06
1.27468167795e-06,1.37819009011e-06
1.36338064499e-06,2.80904531908e-06
1.58632109481e-06,9.1359666017e-06
1.56689787653e-06,3.45730143994e-06
1.61786371617e-06,1.94350008323e-06
1.33262251633e-06,1.64642750699e-06
1.34455662512e-06,3.43329263416e-06
2.2250568484e-06,2.10981807085e-06
1.21619393164e-06,1.43489590454e-06
1.17295946464e-06,1.71981446334e-06
1.5688241982e-06,2.62385526176e-06
1.74823347016e-06,1.49483790697e-06
1.6121894453e-06,4.16605167981e-06
1.20149967374e-06,1.88250077304e-06
1.45644669485e-06,1.44360072221e-06
2.10226199706e-06,2.04268877081e-06
1.29814570285e-06,2.39925587724e-06
1.17338554781e-06,1.51081260872e-06
1.41146906438e-06,3.84562504561e-06
1.36636538821e-06,2.11057918093e-06
1.69592141606e-06,1.29625944344e-06
1.22113549546e-06,2.40812858754e-06
1.42472998435e-06,2.04443833731e-06
1.57634213073e-06,3.18347237127e-06
1.55084143783e-06,1.21312029725e-06
1.2459454571e-06,2.25457672543e-06
1.37176750045e-06,1.57728204318e-06
1.20539537266e-06,2.01309715855e-06
1.45474928919e-06,2.55538004704e-06
1.23199567188e-06,1.48125616888e-06
1.71619878351e-06,3.24297175054e-06
1.31969017764e-06,1.52435499219e-06
1.61296928017e-06,1.2476099313e-06
1.50119139784e-06,1.71690986217e-06
1.04312335836e-06,2.06030110682e-06
1.47177542338e-06,2.19654949951e-06
1.26285838037e-06,2.00045987066e-06
1.37043670488e-06,4.0490007062e-06
1.48785486401e-06,1.76510630013e-06
1.21200437603e-06,3.02764075391e-06
1.45072189884e-06,2.80447350784e-06
1.34706110417e-06,7.90656075517e-06
1.55744362133e-06,1.5571182723e-06
1.27464295083e-06,1.6328903981e-06
1.96229916368e-06,3.04224135254e-06
9.68979382561e-07,5.35752880452e-06
1.09442056845e-06,1.27492804156e-06
1.76308898447e-06,1.30052254234e-06
9.29259943046e-07,1.1494019858e-06
1.98137921469e-06,1.20466483945e-06
8.75877492053e-07,5.25656561679e-06
1.92471113741e-06,1.92066177869e-06
9.8058289468e-07,3.00607935701e-06
1.33562066515e-06,2.34227838017e-06
1.5664215637e-06,1.44686609432e-06
9.08609980186e-07,1.51001211125e-06
1.03942216568e-06,1.58603045346e-06
1.02705896931e-06,2.67192214798e-06
1.85015203693e-06,4.65408218331e-06
8.20416265995e-07,2.56165810325e-06
1.31477701275e-06,5.03441673232e-06
1.5073809032e-06,2.03005726304e-06
1.04374625164e-06,1.4820748431e-06
1.39092418705e-06,2.07161110165e-06
1.04985744586e-06,1.93524982238e-06
1.35201355028e-06,1.72612253852e-06
1.27524905762e-06,3.15773792627e-06
1.32552475458e-06,1.51377220643e-06
1.39670651958e-06,1.69364446459e-06
1.16499484962e-06,2.02156890358e-06
1.1519942769e-06,1.09520617772e-06
1.10722399017e-06,1.65048115483e-06
1.17483349592e-06,2.87659116094e-06
1.22857349063e-06,1.61723999732e-06
1.78685227379e-06,1.53134392677e-06
8.47516256767e-07,4.49512666931e-06
1.38815152298e-06,1.75742728259e-06
7.84598880296e-07,1.86089693602e-06
1.20155216204e-06,1.33587351956e-06
1.61994170889e-06,3.24867100748e-06
1.04942248727e-06,1.5051455709e-06
1.22569758027e-06,1.35775551494e-06
1.17558923082e-06,2.30743676855e-06
1.27001271302e-06,2.71313776304e-06
9.52941213867e-07,1.5526426201e-06
1.65928735397e-06,1.71481302083e-06
1.03100756427e-06,1.29077107808e-06
9.74153386822e-07,1.51398849191e-06
1.13525608829e-06,2.33674487614e-06
1.1069803875e-06,4.18430389721e-06
1.42236122513e-06,2.5220686339e-06
1.0601946877e-06,1.11969350903e-06
1.13744642802e-06,1.81864309604e-06
9.33003700287e-07,1.542118207e-06
1.08590050366e-06,1.34048898259e-06
1.26465663845e-06,4.20978891578e-06
1.371440506e-06,7.5151643168e-06
1.17785040124e-06,4.2897227683e-06
1.04184025348e-06,5.21736143708e-06
9.19267604199e-07,1.40729570775e-06
1.06383453226e-06,2.33125705877e-06
1.29951374085e-06,1.56330309806e-06
9.91906559287e-07,3.17403521572e-06
1.13951930063e-06,1.87637162994e-06
9.55037683691e-07,1.17920384729e-06
1.54861382928e-06,1.44657371479e-06
9.64843957608e-07,1.83032070399e-06
8.98002295575e-07,1.36344427447e-06
1.0046915473e-06,2.54351995682e-06
1.17501771242e-06,1.63267195417e-06
1.15286831558e-06,1.02351725242e-05
1.32818297516e-06,5.66147948928e-06
9.6788282172e-07,1.46260335677e-06
1.14477382761e-06,1.89907661258e-06
1.16829899024e-06,1.08535104414e-06
7.14285956957e-07,3.15930580218e-06
1.2318193138e-06,2.59271750295e-06
1.17449838971e-06,1.29869909463e-06
8.45943925232e-07,1.42590258721e-06
1.21932239209e-06,4.65858621927e-06
9.08365730607e-07,2.22696357596e-06
1.46356046748e-06,1.16458898868e-06
7.03427828518e-07,3.4840882562e-06
1.12511056259e-06,1.34252223215e-06
1.07208082982e-06,1.18941214766e-05
1.2354052352e-06,1.13455013261e-06
1.37649385798e-06,1.74384473989e-06
5.77881668197e-07,1.47154264641e-06
1.39860129297e-06,1.28363910884e-06
1.41997011203e-06,1.20262560239e-06
7.02239821134e-07,2.50201058644e-06
9.74410879171e-07,1.84481773073e-06
1.04874233792e-06,2.12326486148e-06
1.24522589521e-06,1.68750923614e-06
8.41746612355e-07,1.84803957654e-06
1.00472435063e-06,1.58473326631e-06
1.07798960638e-06,4.29495622064e-06
9.55408711325e-07,1.48442586989e-06
8.15151987872e-07,1.22726467242e-06
1.37194896378e-06,2.37749695122e-06
9.05320626244e-07,2.14748271984e-06
7.35751597409e-07,1.56089966352e-06
