TRAINING,VALIDATION
0.00564469161215,0.00143753538356
0.000853423516421,0.000721595081763
0.000508425500608,0.000534601137645
0.000364504646238,0.000331215180793
0.000277851186261,0.000353337169431
0.000199765882223,0.000301832720025
0.000143131281089,0.000206009143144
0.000103537044756,0.0001714090435
7.38897889012e-05,0.000168352459336
5.30768919877e-05,0.000141272558497
4.15977554644e-05,9.98649239042e-05
3.2913645137e-05,7.38751428627e-05
2.79644002076e-05,6.89614996248e-05
2.37397688206e-05,7.42951560621e-05
2.00452802874e-05,6.22460371242e-05
1.99914073005e-05,8.0597608197e-05
1.72359791455e-05,4.37574371606e-05
1.5007637482e-05,3.2792985628e-05
1.39960281981e-05,3.2342747389e-05
1.43229859308e-05,2.91299054287e-05
1.11618641599e-05,0.00011453441655
1.21106216899e-05,2.60232799631e-05
1.14936102289e-05,2.49209705895e-05
1.15125002064e-05,1.905750112e-05
1.12775099231e-05,1.80903015636e-05
8.77967713928e-06,1.74264973016e-05
1.04235842931e-05,1.53437182996e-05
9.03407631456e-06,1.59434152616e-05
9.16201440879e-06,1.97342058326e-05
7.73612681432e-06,1.64703137792e-05
7.38008376142e-06,1.39331345636e-05
7.71747329895e-06,1.33091840697e-05
7.43667657133e-06,1.25982106489e-05
6.56997972762e-06,1.51908282872e-05
6.26587041905e-06,1.14970250766e-05
6.65325924995e-06,1.25833631312e-05
6.20133623171e-06,1.25756055488e-05
5.12254183926e-06,1.13824712129e-05
7.78511538906e-06,1.66521896942e-05
6.97778534263e-06,1.13760205064e-05
5.51461788409e-06,8.91316068665e-06
5.45756419251e-06,1.05508633425e-05
4.12929969207e-06,1.0835374752e-05
5.11409918996e-06,8.9386630167e-06
7.08946764856e-06,1.17809374887e-05
4.34260419364e-06,9.86478363931e-06
4.17670907016e-06,1.54209107125e-05
5.15371975102e-06,1.07354022443e-05
4.85574201842e-06,1.00097963401e-05
4.63880571608e-06,1.37104489869e-05
5.50306964234e-06,9.9743240589e-06
4.89368988982e-06,8.44974527011e-06
4.43567021487e-06,9.22727769948e-06
4.50323585596e-06,8.41896993058e-06
3.64391894331e-06,8.4550959559e-06
3.79272371475e-06,6.50901363191e-06
4.43477509335e-06,2.08432303587e-05
6.63089688778e-06,2.00205128115e-05
3.17174299314e-06,1.15808389743e-05
3.84091063627e-06,9.34694894367e-06
4.67585433861e-06,1.36429628045e-05
3.09252917019e-06,8.00159639796e-06
3.23546707281e-06,1.81394249825e-05
4.01914881273e-06,6.16419689063e-06
3.3260856533e-06,1.04712839701e-05
3.65596208201e-06,7.21139342397e-06
6.00480223957e-06,5.61485933373e-06
2.93727857674e-06,1.00567588482e-05
2.65637098486e-06,5.94932748685e-06
3.3011540312e-06,2.47609142963e-05
4.5031838477e-06,5.44513369032e-06
3.31704864916e-06,5.93621592188e-06
3.39406637189e-06,7.63606731551e-06
2.98685997385e-06,7.8558905354e-06
3.67105724992e-06,7.11734077733e-06
3.08672988209e-06,6.0919144079e-06
3.06893551485e-06,4.97472683485e-06
3.37911503365e-06,5.85353780305e-06
3.73031355978e-06,1.12699562335e-05
3.75323616708e-06,1.28385535476e-05
2.16700278762e-06,2.47712307981e-05
3.1576669939e-06,7.22272804144e-06
2.19253889833e-06,5.76879162318e-06
2.7143618486e-06,6.91401109538e-06
3.22623020273e-06,5.60211952428e-06
3.76951869519e-06,1.21537892301e-05
2.45293603796e-06,6.39839804662e-06
2.27073117241e-06,1.25950636777e-05
2.85670845708e-06,9.99598096112e-06
2.89199934793e-06,2.90973701087e-05
3.32773025991e-06,1.95694894898e-05
2.61351004819e-06,7.51871596494e-06
2.81545223057e-06,1.12763840144e-05
2.92509292144e-06,1.06312360413e-05
2.76504974595e-06,1.88774907196e-05
2.7792496227e-06,4.48778406872e-06
2.80421521786e-06,2.02976206035e-05
2.34854781075e-06,1.59713986179e-05
2.28227783355e-06,1.80315571562e-05
2.89506550152e-06,1.22991687914e-05
3.22777392106e-06,5.61118870236e-06
2.03026716082e-06,9.61704066808e-06
2.62367950041e-06,6.78624708537e-06
1.98682492508e-06,4.44011567572e-06
2.58685618318e-06,6.12977550785e-06
2.45287581807e-06,6.64020199502e-06
2.64075594905e-06,6.27621540438e-06
2.15142764767e-06,6.0459050336e-06
2.55337750899e-06,7.31689782791e-06
2.54430032336e-06,5.53771418392e-06
2.34295591498e-06,8.97993303296e-06
2.54663902013e-06,9.56475239394e-06
2.6050663942e-06,4.58853935404e-06
2.66880099478e-06,1.04203499399e-05
1.75161019393e-06,1.11308002742e-05
2.55067863384e-06,8.4142691287e-06
2.13573134746e-06,8.56238401621e-06
2.86504420723e-06,9.50512616685e-06
2.50153823092e-06,6.32625431679e-06
2.15491977069e-06,4.26344587916e-06
2.26596792779e-06,7.46786953863e-06
